country;variable;percentile;year;value;age;pop
CN-UR;tptincj992;p0p1;1978;0;992;j
CN-UR;tptincj992;p0p1;1979;0;992;j
CN-UR;tptincj992;p0p1;1980;0;992;j
CN-UR;tptincj992;p0p1;1981;0;992;j
CN-UR;tptincj992;p0p1;1982;0;992;j
CN-UR;tptincj992;p0p1;1983;0;992;j
CN-UR;tptincj992;p0p1;1984;0;992;j
CN-UR;tptincj992;p0p1;1985;0;992;j
CN-UR;tptincj992;p0p1;1986;0;992;j
CN-UR;tptincj992;p0p1;1987;0;992;j
CN-UR;tptincj992;p0p1;1988;0;992;j
CN-UR;tptincj992;p0p1;1989;0;992;j
CN-UR;tptincj992;p0p1;1990;0;992;j
CN-UR;tptincj992;p0p1;1991;0;992;j
CN-UR;tptincj992;p0p1;1992;0;992;j
CN-UR;tptincj992;p0p1;1993;0;992;j
CN-UR;tptincj992;p0p1;1994;0;992;j
CN-UR;tptincj992;p0p1;1995;0;992;j
CN-UR;tptincj992;p0p1;1996;0;992;j
CN-UR;tptincj992;p0p1;1997;0;992;j
CN-UR;tptincj992;p0p1;1998;0;992;j
CN-UR;tptincj992;p0p1;1999;0;992;j
CN-UR;tptincj992;p0p1;2000;0;992;j
CN-UR;tptincj992;p0p1;2001;0;992;j
CN-UR;tptincj992;p0p1;2002;0;992;j
CN-UR;tptincj992;p0p1;2003;0;992;j
CN-UR;tptincj992;p0p1;2004;0;992;j
CN-UR;tptincj992;p0p1;2005;0;992;j
CN-UR;tptincj992;p0p1;2006;0;992;j
CN-UR;tptincj992;p0p1;2007;0;992;j
CN-UR;tptincj992;p0p1;2008;0;992;j
CN-UR;tptincj992;p0p1;2009;0;992;j
CN-UR;tptincj992;p0p1;2010;-2245.3;992;j
CN-UR;tptincj992;p0p1;2011;-6618.4;992;j
CN-UR;tptincj992;p0p1;2012;-6294.4;992;j
CN-UR;tptincj992;p0p1;2013;-6427;992;j
CN-UR;tptincj992;p0p1;2014;-6615.1;992;j
CN-UR;tptincj992;p0p1;2015;-6732.2;992;j
CN-UR;tptincj992;p0p10;1978;0;992;j
CN-UR;tptincj992;p0p10;1979;0;992;j
CN-UR;tptincj992;p0p10;1980;0;992;j
CN-UR;tptincj992;p0p10;1981;0;992;j
CN-UR;tptincj992;p0p10;1982;0;992;j
CN-UR;tptincj992;p0p10;1983;0;992;j
CN-UR;tptincj992;p0p10;1984;0;992;j
CN-UR;tptincj992;p0p10;1985;0;992;j
CN-UR;tptincj992;p0p10;1986;0;992;j
CN-UR;tptincj992;p0p10;1987;0;992;j
CN-UR;tptincj992;p0p10;1988;0;992;j
CN-UR;tptincj992;p0p10;1989;0;992;j
CN-UR;tptincj992;p0p10;1990;0;992;j
CN-UR;tptincj992;p0p10;1991;0;992;j
CN-UR;tptincj992;p0p10;1992;0;992;j
CN-UR;tptincj992;p0p10;1993;0;992;j
CN-UR;tptincj992;p0p10;1994;0;992;j
CN-UR;tptincj992;p0p10;1995;0;992;j
CN-UR;tptincj992;p0p10;1996;0;992;j
CN-UR;tptincj992;p0p10;1997;0;992;j
CN-UR;tptincj992;p0p10;1998;0;992;j
CN-UR;tptincj992;p0p10;1999;0;992;j
CN-UR;tptincj992;p0p10;2000;0;992;j
CN-UR;tptincj992;p0p10;2001;0;992;j
CN-UR;tptincj992;p0p10;2002;0;992;j
CN-UR;tptincj992;p0p10;2003;0;992;j
CN-UR;tptincj992;p0p10;2004;0;992;j
CN-UR;tptincj992;p0p10;2005;0;992;j
CN-UR;tptincj992;p0p10;2006;0;992;j
CN-UR;tptincj992;p0p10;2007;0;992;j
CN-UR;tptincj992;p0p10;2008;0;992;j
CN-UR;tptincj992;p0p10;2009;0;992;j
CN-UR;tptincj992;p0p10;2010;-2245.3;992;j
CN-UR;tptincj992;p0p10;2011;-6618.4;992;j
CN-UR;tptincj992;p0p10;2012;-6294.4;992;j
CN-UR;tptincj992;p0p10;2013;-6427;992;j
CN-UR;tptincj992;p0p10;2014;-6615.1;992;j
CN-UR;tptincj992;p0p10;2015;-6732.2;992;j
CN-UR;tptincj992;p0p100;1978;0;992;j
CN-UR;tptincj992;p0p100;1979;0;992;j
CN-UR;tptincj992;p0p100;1980;0;992;j
CN-UR;tptincj992;p0p100;1981;0;992;j
CN-UR;tptincj992;p0p100;1982;0;992;j
CN-UR;tptincj992;p0p100;1983;0;992;j
CN-UR;tptincj992;p0p100;1984;0;992;j
CN-UR;tptincj992;p0p100;1985;0;992;j
CN-UR;tptincj992;p0p100;1986;0;992;j
CN-UR;tptincj992;p0p100;1987;0;992;j
CN-UR;tptincj992;p0p100;1988;0;992;j
CN-UR;tptincj992;p0p100;1989;0;992;j
CN-UR;tptincj992;p0p100;1990;0;992;j
CN-UR;tptincj992;p0p100;1991;0;992;j
CN-UR;tptincj992;p0p100;1992;0;992;j
CN-UR;tptincj992;p0p100;1993;0;992;j
CN-UR;tptincj992;p0p100;1994;0;992;j
CN-UR;tptincj992;p0p100;1995;0;992;j
CN-UR;tptincj992;p0p100;1996;0;992;j
CN-UR;tptincj992;p0p100;1997;0;992;j
CN-UR;tptincj992;p0p100;1998;0;992;j
CN-UR;tptincj992;p0p100;1999;0;992;j
CN-UR;tptincj992;p0p100;2000;0;992;j
CN-UR;tptincj992;p0p100;2001;0;992;j
CN-UR;tptincj992;p0p100;2002;0;992;j
CN-UR;tptincj992;p0p100;2003;0;992;j
CN-UR;tptincj992;p0p100;2004;0;992;j
CN-UR;tptincj992;p0p100;2005;0;992;j
CN-UR;tptincj992;p0p100;2006;0;992;j
CN-UR;tptincj992;p0p100;2007;0;992;j
CN-UR;tptincj992;p0p100;2008;0;992;j
CN-UR;tptincj992;p0p100;2009;0;992;j
CN-UR;tptincj992;p0p100;2010;-2245.3;992;j
CN-UR;tptincj992;p0p100;2011;-6618.4;992;j
CN-UR;tptincj992;p0p100;2012;-6294.4;992;j
CN-UR;tptincj992;p0p100;2013;-6427;992;j
CN-UR;tptincj992;p0p100;2014;-6615.1;992;j
CN-UR;tptincj992;p0p100;2015;-6732.2;992;j
CN-UR;tptincj992;p0p50;1978;0;992;j
CN-UR;tptincj992;p0p50;1979;0;992;j
CN-UR;tptincj992;p0p50;1980;0;992;j
CN-UR;tptincj992;p0p50;1981;0;992;j
CN-UR;tptincj992;p0p50;1982;0;992;j
CN-UR;tptincj992;p0p50;1983;0;992;j
CN-UR;tptincj992;p0p50;1984;0;992;j
CN-UR;tptincj992;p0p50;1985;0;992;j
CN-UR;tptincj992;p0p50;1986;0;992;j
CN-UR;tptincj992;p0p50;1987;0;992;j
CN-UR;tptincj992;p0p50;1988;0;992;j
CN-UR;tptincj992;p0p50;1989;0;992;j
CN-UR;tptincj992;p0p50;1990;0;992;j
CN-UR;tptincj992;p0p50;1991;0;992;j
CN-UR;tptincj992;p0p50;1992;0;992;j
CN-UR;tptincj992;p0p50;1993;0;992;j
CN-UR;tptincj992;p0p50;1994;0;992;j
CN-UR;tptincj992;p0p50;1995;0;992;j
CN-UR;tptincj992;p0p50;1996;0;992;j
CN-UR;tptincj992;p0p50;1997;0;992;j
CN-UR;tptincj992;p0p50;1998;0;992;j
CN-UR;tptincj992;p0p50;1999;0;992;j
CN-UR;tptincj992;p0p50;2000;0;992;j
CN-UR;tptincj992;p0p50;2001;0;992;j
CN-UR;tptincj992;p0p50;2002;0;992;j
CN-UR;tptincj992;p0p50;2003;0;992;j
CN-UR;tptincj992;p0p50;2004;0;992;j
CN-UR;tptincj992;p0p50;2005;0;992;j
CN-UR;tptincj992;p0p50;2006;0;992;j
CN-UR;tptincj992;p0p50;2007;0;992;j
CN-UR;tptincj992;p0p50;2008;0;992;j
CN-UR;tptincj992;p0p50;2009;0;992;j
CN-UR;tptincj992;p0p50;2010;-2245.3;992;j
CN-UR;tptincj992;p0p50;2011;-6618.4;992;j
CN-UR;tptincj992;p0p50;2012;-6294.4;992;j
CN-UR;tptincj992;p0p50;2013;-6427;992;j
CN-UR;tptincj992;p0p50;2014;-6615.1;992;j
CN-UR;tptincj992;p0p50;2015;-6732.2;992;j
CN-UR;tptincj992;p0p90;1978;0;992;j
CN-UR;tptincj992;p0p90;1979;0;992;j
CN-UR;tptincj992;p0p90;1980;0;992;j
CN-UR;tptincj992;p0p90;1981;0;992;j
CN-UR;tptincj992;p0p90;1982;0;992;j
CN-UR;tptincj992;p0p90;1983;0;992;j
CN-UR;tptincj992;p0p90;1984;0;992;j
CN-UR;tptincj992;p0p90;1985;0;992;j
CN-UR;tptincj992;p0p90;1986;0;992;j
CN-UR;tptincj992;p0p90;1987;0;992;j
CN-UR;tptincj992;p0p90;1988;0;992;j
CN-UR;tptincj992;p0p90;1989;0;992;j
CN-UR;tptincj992;p0p90;1990;0;992;j
CN-UR;tptincj992;p0p90;1991;0;992;j
CN-UR;tptincj992;p0p90;1992;0;992;j
CN-UR;tptincj992;p0p90;1993;0;992;j
CN-UR;tptincj992;p0p90;1994;0;992;j
CN-UR;tptincj992;p0p90;1995;0;992;j
CN-UR;tptincj992;p0p90;1996;0;992;j
CN-UR;tptincj992;p0p90;1997;0;992;j
CN-UR;tptincj992;p0p90;1998;0;992;j
CN-UR;tptincj992;p0p90;1999;0;992;j
CN-UR;tptincj992;p0p90;2000;0;992;j
CN-UR;tptincj992;p0p90;2001;0;992;j
CN-UR;tptincj992;p0p90;2002;0;992;j
CN-UR;tptincj992;p0p90;2003;0;992;j
CN-UR;tptincj992;p0p90;2004;0;992;j
CN-UR;tptincj992;p0p90;2005;0;992;j
CN-UR;tptincj992;p0p90;2006;0;992;j
CN-UR;tptincj992;p0p90;2007;0;992;j
CN-UR;tptincj992;p0p90;2008;0;992;j
CN-UR;tptincj992;p0p90;2009;0;992;j
CN-UR;tptincj992;p0p90;2010;-2245.3;992;j
CN-UR;tptincj992;p0p90;2011;-6618.4;992;j
CN-UR;tptincj992;p0p90;2012;-6294.4;992;j
CN-UR;tptincj992;p0p90;2013;-6427;992;j
CN-UR;tptincj992;p0p90;2014;-6615.1;992;j
CN-UR;tptincj992;p0p90;2015;-6732.2;992;j
CN-UR;tptincj992;p0p99;1978;0;992;j
CN-UR;tptincj992;p0p99;1979;0;992;j
CN-UR;tptincj992;p0p99;1980;0;992;j
CN-UR;tptincj992;p0p99;1981;0;992;j
CN-UR;tptincj992;p0p99;1982;0;992;j
CN-UR;tptincj992;p0p99;1983;0;992;j
CN-UR;tptincj992;p0p99;1984;0;992;j
CN-UR;tptincj992;p0p99;1985;0;992;j
CN-UR;tptincj992;p0p99;1986;0;992;j
CN-UR;tptincj992;p0p99;1987;0;992;j
CN-UR;tptincj992;p0p99;1988;0;992;j
CN-UR;tptincj992;p0p99;1989;0;992;j
CN-UR;tptincj992;p0p99;1990;0;992;j
CN-UR;tptincj992;p0p99;1991;0;992;j
CN-UR;tptincj992;p0p99;1992;0;992;j
CN-UR;tptincj992;p0p99;1993;0;992;j
CN-UR;tptincj992;p0p99;1994;0;992;j
CN-UR;tptincj992;p0p99;1995;0;992;j
CN-UR;tptincj992;p0p99;1996;0;992;j
CN-UR;tptincj992;p0p99;1997;0;992;j
CN-UR;tptincj992;p0p99;1998;0;992;j
CN-UR;tptincj992;p0p99;1999;0;992;j
CN-UR;tptincj992;p0p99;2000;0;992;j
CN-UR;tptincj992;p0p99;2001;0;992;j
CN-UR;tptincj992;p0p99;2002;0;992;j
CN-UR;tptincj992;p0p99;2003;0;992;j
CN-UR;tptincj992;p0p99;2004;0;992;j
CN-UR;tptincj992;p0p99;2005;0;992;j
CN-UR;tptincj992;p0p99;2006;0;992;j
CN-UR;tptincj992;p0p99;2007;0;992;j
CN-UR;tptincj992;p0p99;2008;0;992;j
CN-UR;tptincj992;p0p99;2009;0;992;j
CN-UR;tptincj992;p0p99;2010;-2245.3;992;j
CN-UR;tptincj992;p0p99;2011;-6618.4;992;j
CN-UR;tptincj992;p0p99;2012;-6294.4;992;j
CN-UR;tptincj992;p0p99;2013;-6427;992;j
CN-UR;tptincj992;p0p99;2014;-6615.1;992;j
CN-UR;tptincj992;p0p99;2015;-6732.2;992;j
CN-UR;tptincj992;p10p100;1978;11665.4;992;j
CN-UR;tptincj992;p10p100;1979;12042.8;992;j
CN-UR;tptincj992;p10p100;1980;12324.5;992;j
CN-UR;tptincj992;p10p100;1981;12508.4;992;j
CN-UR;tptincj992;p10p100;1982;13606.7;992;j
CN-UR;tptincj992;p10p100;1983;13274.5;992;j
CN-UR;tptincj992;p10p100;1984;13768.7;992;j
CN-UR;tptincj992;p10p100;1985;12438.3;992;j
CN-UR;tptincj992;p10p100;1986;15559.8;992;j
CN-UR;tptincj992;p10p100;1987;17015.3;992;j
CN-UR;tptincj992;p10p100;1988;16819.2;992;j
CN-UR;tptincj992;p10p100;1989;16712.2;992;j
CN-UR;tptincj992;p10p100;1990;15853.4;992;j
CN-UR;tptincj992;p10p100;1991;17473.8;992;j
CN-UR;tptincj992;p10p100;1992;18076.9;992;j
CN-UR;tptincj992;p10p100;1993;18336.2;992;j
CN-UR;tptincj992;p10p100;1994;18504;992;j
CN-UR;tptincj992;p10p100;1995;19240.2;992;j
CN-UR;tptincj992;p10p100;1996;18313.1;992;j
CN-UR;tptincj992;p10p100;1997;17138.1;992;j
CN-UR;tptincj992;p10p100;1998;15898.9;992;j
CN-UR;tptincj992;p10p100;1999;15931.7;992;j
CN-UR;tptincj992;p10p100;2000;15782.1;992;j
CN-UR;tptincj992;p10p100;2001;15747.7;992;j
CN-UR;tptincj992;p10p100;2002;13367.3;992;j
CN-UR;tptincj992;p10p100;2003;14081.7;992;j
CN-UR;tptincj992;p10p100;2004;14782.4;992;j
CN-UR;tptincj992;p10p100;2005;15203.2;992;j
CN-UR;tptincj992;p10p100;2006;17032.7;992;j
CN-UR;tptincj992;p10p100;2007;18684.4;992;j
CN-UR;tptincj992;p10p100;2008;18574.4;992;j
CN-UR;tptincj992;p10p100;2009;19765.2;992;j
CN-UR;tptincj992;p10p100;2010;20214.3;992;j
CN-UR;tptincj992;p10p100;2011;21347.3;992;j
CN-UR;tptincj992;p10p100;2012;23793.6;992;j
CN-UR;tptincj992;p10p100;2013;21985.7;992;j
CN-UR;tptincj992;p10p100;2014;24694.3;992;j
CN-UR;tptincj992;p10p100;2015;25610.9;992;j
CN-UR;tptincj992;p10p11;1978;11665.4;992;j
CN-UR;tptincj992;p10p11;1979;12042.8;992;j
CN-UR;tptincj992;p10p11;1980;12324.5;992;j
CN-UR;tptincj992;p10p11;1981;12508.4;992;j
CN-UR;tptincj992;p10p11;1982;13606.7;992;j
CN-UR;tptincj992;p10p11;1983;13274.5;992;j
CN-UR;tptincj992;p10p11;1984;13768.7;992;j
CN-UR;tptincj992;p10p11;1985;12438.3;992;j
CN-UR;tptincj992;p10p11;1986;15559.8;992;j
CN-UR;tptincj992;p10p11;1987;17015.3;992;j
CN-UR;tptincj992;p10p11;1988;16819.2;992;j
CN-UR;tptincj992;p10p11;1989;16712.2;992;j
CN-UR;tptincj992;p10p11;1990;15853.4;992;j
CN-UR;tptincj992;p10p11;1991;17473.8;992;j
CN-UR;tptincj992;p10p11;1992;18076.9;992;j
CN-UR;tptincj992;p10p11;1993;18336.2;992;j
CN-UR;tptincj992;p10p11;1994;18504;992;j
CN-UR;tptincj992;p10p11;1995;19240.2;992;j
CN-UR;tptincj992;p10p11;1996;18313.1;992;j
CN-UR;tptincj992;p10p11;1997;17138.1;992;j
CN-UR;tptincj992;p10p11;1998;15898.9;992;j
CN-UR;tptincj992;p10p11;1999;15931.7;992;j
CN-UR;tptincj992;p10p11;2000;15782.1;992;j
CN-UR;tptincj992;p10p11;2001;15747.7;992;j
CN-UR;tptincj992;p10p11;2002;13367.3;992;j
CN-UR;tptincj992;p10p11;2003;14081.7;992;j
CN-UR;tptincj992;p10p11;2004;14782.4;992;j
CN-UR;tptincj992;p10p11;2005;15203.2;992;j
CN-UR;tptincj992;p10p11;2006;17032.7;992;j
CN-UR;tptincj992;p10p11;2007;18684.4;992;j
CN-UR;tptincj992;p10p11;2008;18574.4;992;j
