country;variable;percentile;year;value;age;pop
GQ;afdinxi992;p0p100;1987;0;992;i
GQ;afdinxi992;p0p100;1988;0;992;i
GQ;afdipxi992;p0p100;1987;0;992;i
GQ;afdipxi992;p0p100;1988;0;992;i
GQ;afdirxi992;p0p100;1987;0;992;i
GQ;afdirxi992;p0p100;1988;0;992;i
GQ;aflcini999;p0p100;1987;-17580.7;999;i
GQ;aflcini999;p0p100;1988;-19322.1;999;i
GQ;aflcini999;p0p100;1989;-21155.2;999;i
GQ;aflcini999;p0p100;1990;-19561.4;999;i
GQ;aflcini999;p0p100;1991;-16339.3;999;i
GQ;aflcini999;p0p100;1992;-6344.3;999;i
GQ;aflcini999;p0p100;1993;-19462.8;999;i
GQ;aflcini999;p0p100;1994;-24111.8;999;i
GQ;aflcini999;p0p100;1995;-63677.2;999;i
GQ;aflcini999;p0p100;1996;-119238.8;999;i
GQ;afinpxi992;p0p100;1987;36804;992;i
GQ;afinpxi992;p0p100;1988;40426.2;992;i
GQ;afinpxi992;p0p100;1989;45030.3;992;i
GQ;afinpxi992;p0p100;1990;41692.2;992;i
GQ;afinpxi992;p0p100;1991;35508.5;992;i
GQ;afinpxi992;p0p100;1992;21080;992;i
GQ;afinpxi992;p0p100;1993;43173;992;i
GQ;afinpxi992;p0p100;1994;55440.2;992;i
GQ;afinpxi992;p0p100;1995;137602.2;992;i
GQ;afinpxi992;p0p100;1996;252405.4;992;i
GQ;aflcipi999;p0p100;1987;18265.1;999;i
GQ;aflcipi999;p0p100;1988;20022.4;999;i
GQ;aflcipi999;p0p100;1989;22232.6;999;i
GQ;aflcipi999;p0p100;1990;20505.4;999;i
GQ;aflcipi999;p0p100;1991;17391.7;999;i
GQ;aflcipi999;p0p100;1992;10281.6;999;i
GQ;aflcipi999;p0p100;1993;20973.6;999;i
GQ;aflcipi999;p0p100;1994;26843.8;999;i
GQ;aflcipi999;p0p100;1995;66467.9;999;i
GQ;aflcipi999;p0p100;1996;121735.1;999;i
GQ;afsubxi992;p0p100;1987;0;992;i
GQ;afsubxi992;p0p100;1988;0;992;i
GQ;afsubxi992;p0p100;1989;0;992;i
GQ;afsubxi992;p0p100;1990;0;992;i
GQ;afsubxi992;p0p100;1991;0;992;i
GQ;afsubxi992;p0p100;1992;0;992;i
GQ;afsubxi992;p0p100;1993;0;992;i
GQ;afsubxi992;p0p100;1994;0;992;i
GQ;afsubxi992;p0p100;1995;0;992;i
GQ;afsubxi992;p0p100;1996;0;992;i
GQ;aptfopi992;p0p100;1987;36683.1;992;i
GQ;aptfopi992;p0p100;1988;40299.6;992;i
GQ;mpinnxi999;p0p100;1987;-7291929088;999;i
GQ;mpinnxi999;p0p100;1988;-8339163648;999;i
GQ;mpinnxi999;p0p100;1989;-9486428160;999;i
GQ;mpinnxi999;p0p100;1990;-9106811904;999;i
GQ;mpinnxi999;p0p100;1991;-7894182912;999;i
GQ;mpinnxi999;p0p100;1992;-4549740032;999;i
GQ;mpinnxi999;p0p100;1993;-10125263872;999;i
GQ;mpinnxi999;p0p100;1994;-12473556992;999;i
GQ;mpinnxi999;p0p100;1995;-35855224832;999;i
GQ;mpinnxi999;p0p100;1996;-69722587136;999;i
GQ;mfinrxi999;p0p100;1987;283882080;999;i
GQ;mfinrxi999;p0p100;1988;302259648;999;i
GQ;mfinrxi999;p0p100;1989;483103936;999;i
GQ;mfinrxi999;p0p100;1990;439446816;999;i
GQ;mfinrxi999;p0p100;1991;508465888;999;i
GQ;mfinrxi999;p0p100;1992;1973941248;999;i
GQ;mfinrxi999;p0p100;1993;785973824;999;i
GQ;mfinrxi999;p0p100;1994;1475265408;999;i
GQ;mfinrxi999;p0p100;1995;1564837632;999;i
GQ;mfinrxi999;p0p100;1996;1454286592;999;i
GQ;mflcipi999;p0p100;1987;7575811072;999;i
GQ;mflcipi999;p0p100;1988;8641423360;999;i
GQ;mflcipi999;p0p100;1989;9969531904;999;i
GQ;mflcipi999;p0p100;1990;9546259456;999;i
GQ;mflcipi999;p0p100;1991;8402649088;999;i
GQ;mflcipi999;p0p100;1992;5154536448;999;i
GQ;mflcipi999;p0p100;1993;10911238144;999;i
GQ;mflcipi999;p0p100;1994;14495443968;999;i
GQ;mflcipi999;p0p100;1995;37271216128;999;i
GQ;mflcipi999;p0p100;1996;70919602176;999;i
GQ;mtaxnxi999;p0p100;1987;0;999;i
GQ;mtaxnxi999;p0p100;1988;0;999;i
GQ;mtaxnxi999;p0p100;1989;0;999;i
GQ;mtaxnxi999;p0p100;1990;0;999;i
GQ;mtaxnxi999;p0p100;1991;0;999;i
GQ;mtaxnxi999;p0p100;1992;0;999;i
GQ;mtaxnxi999;p0p100;1993;0;999;i
GQ;mtaxnxi999;p0p100;1994;0;999;i
GQ;mtaxnxi999;p0p100;1995;0;999;i
GQ;mtaxnxi999;p0p100;1996;0;999;i
GQ;adiincj992;p99.98p99.99;2018;536256651.9;992;j
GQ;adiincj992;p99.98p99.99;2019;481798424.8;992;j
GQ;adiincj992;p99.98p99.99;2020;427593281.7;992;j
GQ;adiincj992;p99.98p99.99;2021;422765783.1;992;j
GQ;adiincj992;p99.991p100;2018;1256652393.9;992;j
GQ;adiincj992;p99.991p100;2019;1129050995.7;992;j
GQ;adiincj992;p99.991p100;2020;1002053557.2;992;j
GQ;adiincj992;p99.991p100;2021;990956345.7;992;j
GQ;adiincj992;p99.991p99.992;2018;688417140.9;992;j
GQ;adiincj992;p99.991p99.992;2019;618508501.5;992;j
GQ;adiincj992;p99.991p99.992;2020;548925471.4;992;j
GQ;adiincj992;p99.991p99.992;2021;542754556.3;992;j
GQ;adiincj992;p99.992p100;2018;1327681800.5;992;j
GQ;adiincj992;p99.992p100;2019;1192868807.4;992;j
GQ;adiincj992;p99.992p100;2020;1058694567.9;992;j
GQ;adiincj992;p99.992p100;2021;1046981569.4;992;j
GQ;adiincj992;p99.98p100;2018;866425644.7;992;j
GQ;adiincj992;p99.98p100;2019;778444674.5;992;j
GQ;adiincj992;p99.98p100;2020;690877593.3;992;j
GQ;adiincj992;p99.98p100;2021;683175732.9;992;j
GQ;bdiincj992;p99.998p100;2018;1.86501204967499;992;j
GQ;bdiincj992;p99.998p100;2019;1.86503064632416;992;j
GQ;bdiincj992;p99.998p100;2020;1.86506998538971;992;j
GQ;bdiincj992;p99.998p100;2021;1.86538314819336;992;j
GQ;gdiincj992;p0p100;2018;0.606911929741667;992;j
GQ;gdiincj992;p0p100;2019;0.606330573232498;992;j
GQ;gdiincj992;p0p100;2020;0.606297222841892;992;j
GQ;gdiincj992;p0p100;2021;0.606298092182854;992;j
GQ;sdiincj992;p99.9p100;2018;0.0475;992;j
GQ;sdiincj992;p99.9p100;2019;0.0475;992;j
GQ;sdiincj992;p99.9p100;2020;0.0475;992;j
GQ;sdiincj992;p99.9p100;2021;0.0475;992;j
GQ;acomnxi992;p0p100;1987;0;992;i
GQ;acomnxi992;p0p100;1988;0;992;i
GQ;acomnxi992;p0p100;1989;0;992;i
GQ;acomnxi992;p0p100;1990;0;992;i
GQ;acomnxi992;p0p100;1991;0;992;i
GQ;acomnxi992;p0p100;1992;5599.2;992;i
GQ;acomnxi992;p0p100;1993;0;992;i
GQ;acomnxi992;p0p100;1994;-2090.6;992;i
GQ;acomnxi992;p0p100;1995;549.5;992;i
GQ;acomnxi992;p0p100;1996;915.6;992;i
GQ;acompxi992;p0p100;1987;0;992;i
GQ;acompxi992;p0p100;1988;0;992;i
GQ;acompxi992;p0p100;1989;0;992;i
GQ;acompxi992;p0p100;1990;0;992;i
GQ;acompxi992;p0p100;1991;0;992;i
GQ;acompxi992;p0p100;1992;0;992;i
GQ;acompxi992;p0p100;1993;0;992;i
GQ;acompxi992;p0p100;1994;2090.6;992;i
