country;variable;percentile;year;value;age;pop
KS;afdipxi992;p0p100;2004;16.4;992;i
KS;afdipxi992;p0p100;2005;23.9;992;i
KS;afdipxi992;p0p100;2006;25.7;992;i
KS;afdipxi992;p0p100;2007;42.4;992;i
KS;afdipxi992;p0p100;2008;54.7;992;i
KS;afdipxi992;p0p100;2009;86.2;992;i
KS;afdipxi992;p0p100;2010;77.9;992;i
KS;afdipxi992;p0p100;2011;80.8;992;i
KS;afdipxi992;p0p100;2012;40.7;992;i
KS;afdipxi992;p0p100;2013;59.5;992;i
KS;afdipxi992;p0p100;2014;60.6;992;i
KS;afdipxi992;p0p100;2015;87.7;992;i
KS;afdipxi992;p0p100;2016;97.7;992;i
KS;afdipxi992;p0p100;2017;59.4;992;i
KS;afdipxi992;p0p100;2018;98.9;992;i
KS;afdinxi999;p0p100;2004;-12.8;999;i
KS;afdinxi999;p0p100;2005;-18.8;999;i
KS;afdinxi999;p0p100;2006;-20.2;999;i
KS;afdinxi999;p0p100;2007;-33.6;999;i
KS;afdinxi999;p0p100;2008;-43.5;999;i
KS;afdinxi999;p0p100;2009;-68.7;999;i
KS;afdinxi999;p0p100;2010;-62.3;999;i
KS;afdinxi999;p0p100;2011;-64.7;999;i
KS;afdinxi999;p0p100;2012;-32.7;999;i
KS;afdinxi999;p0p100;2013;-47.8;999;i
KS;afdinxi999;p0p100;2014;-48.4;999;i
KS;afdinxi999;p0p100;2015;-68.6;999;i
KS;afdinxi999;p0p100;2016;-77.4;999;i
KS;afdinxi999;p0p100;2017;-47.8;999;i
KS;afdinxi999;p0p100;2018;-78.5;999;i
KS;aflciri992;p0p100;2004;183.6;992;i
KS;aflciri992;p0p100;2005;193.9;992;i
KS;aflciri992;p0p100;2006;207.5;992;i
KS;aflciri992;p0p100;2007;245.4;992;i
KS;aflciri992;p0p100;2008;219.1;992;i
KS;aflciri992;p0p100;2009;171.3;992;i
KS;aflciri992;p0p100;2010;173.5;992;i
KS;aflciri992;p0p100;2011;215.1;992;i
KS;aflciri992;p0p100;2012;196.7;992;i
KS;aflciri992;p0p100;2013;197.2;992;i
KS;aflciri992;p0p100;2014;189.4;992;i
KS;aflciri992;p0p100;2015;196.4;992;i
KS;aflciri992;p0p100;2016;191.9;992;i
KS;aflciri992;p0p100;2017;203.7;992;i
KS;aflciri992;p0p100;2018;232.1;992;i
KS;afinpxi999;p0p100;2004;17.6;999;i
KS;afinpxi999;p0p100;2005;26.7;999;i
KS;afinpxi999;p0p100;2006;24.1;999;i
KS;afinpxi999;p0p100;2007;39;999;i
KS;afinpxi999;p0p100;2008;50.9;999;i
KS;afinpxi999;p0p100;2009;89;999;i
KS;afinpxi999;p0p100;2010;83.7;999;i
KS;afinpxi999;p0p100;2011;87.5;999;i
KS;afinpxi999;p0p100;2012;49.3;999;i
KS;afinpxi999;p0p100;2013;69.4;999;i
KS;afinpxi999;p0p100;2014;67;999;i
KS;afinpxi999;p0p100;2015;87.4;999;i
KS;afinpxi999;p0p100;2016;94.9;999;i
KS;afinpxi999;p0p100;2017;68.3;999;i
KS;afinpxi999;p0p100;2018;102.7;999;i
