country;variable;percentile;year;value;age;pop
OB-MER;adiincj992;p0p1;2018;1.6;992;j
OB-MER;adiincj992;p0p1;2019;2.3;992;j
OB-MER;adiincj992;p0p1;2020;3;992;j
OB-MER;adiincj992;p0p1;2021;2.9;992;j
OB-MER;adiincj992;p0p100;2018;20300.4;992;j
OB-MER;adiincj992;p0p100;2019;20740.7;992;j
OB-MER;adiincj992;p0p100;2020;20859.5;992;j
OB-MER;adiincj992;p0p100;2021;21594.9;992;j
OB-MER;adiincj992;p0p50;2018;4283.9;992;j
OB-MER;adiincj992;p0p50;2019;4392.5;992;j
OB-MER;adiincj992;p0p50;2020;4404.5;992;j
OB-MER;adiincj992;p0p50;2021;5168.7;992;j
OB-MER;adiincj992;p10p100;2018;22553.1;992;j
OB-MER;adiincj992;p10p100;2019;23042.4;992;j
OB-MER;adiincj992;p10p100;2020;23173.8;992;j
OB-MER;adiincj992;p10p100;2021;23991.2;992;j
OB-MER;adiincj992;p10p11;2018;52.4;992;j
OB-MER;adiincj992;p10p11;2019;52.2;992;j
OB-MER;adiincj992;p10p11;2020;54;992;j
OB-MER;adiincj992;p10p11;2021;51.2;992;j
OB-MER;adiincj992;p11p100;2018;22805.9;992;j
OB-MER;adiincj992;p11p100;2019;23300.7;992;j
OB-MER;adiincj992;p11p100;2020;23433.6;992;j
OB-MER;adiincj992;p11p100;2021;24260.2;992;j
OB-MER;adiincj992;p11p12;2018;57.5;992;j
OB-MER;adiincj992;p11p12;2019;57.2;992;j
OB-MER;adiincj992;p11p12;2020;58.3;992;j
OB-MER;adiincj992;p11p12;2021;54.8;992;j
OB-MER;adiincj992;p12p100;2018;23064.4;992;j
OB-MER;adiincj992;p12p100;2019;23564.8;992;j
OB-MER;adiincj992;p12p100;2020;23699.2;992;j
OB-MER;adiincj992;p12p100;2021;24535.2;992;j
OB-MER;adiincj992;p12p13;2018;63.4;992;j
OB-MER;adiincj992;p12p13;2019;63.1;992;j
OB-MER;adiincj992;p12p13;2020;63.4;992;j
OB-MER;adiincj992;p12p13;2021;59.5;992;j
OB-MER;adiincj992;p13p100;2018;23328.8;992;j
OB-MER;adiincj992;p13p100;2019;23834.9;992;j
OB-MER;adiincj992;p13p100;2020;23970.9;992;j
OB-MER;adiincj992;p13p100;2021;24816.6;992;j
