country;variable;percentile;year;value;age;pop
OB;ehfcari999;p0p100;1990;87.6842644290551;999;i
OB;ehfcari999;p0p100;1991;91.4967821164632;999;i
OB;ehfcari999;p0p100;1992;108.301618956486;999;i
OB;ehfcari999;p0p100;1993;100.934779845932;999;i
OB;ehfcari999;p0p100;1994;115.23423285397;999;i
OB;ehfcari999;p0p100;1995;119.902865490334;999;i
OB;ehfcari999;p0p100;1996;115.546667299122;999;i
OB;ehfcari999;p0p100;1997;131.863333272147;999;i
OB;ehfcari999;p0p100;1998;116.342665276478;999;i
OB;ehfcari999;p0p100;1999;111.447168139911;999;i
OB;ehfcari999;p0p100;2000;121.221942812263;999;i
OB;ehfcari999;p0p100;2001;115.233497922383;999;i
OB;ehfcari999;p0p100;2002;113.203233267532;999;i
OB;ehfcari999;p0p100;2003;110.409787316102;999;i
OB;ehfcari999;p0p100;2004;111.33779877067;999;i
OB;ehfcari999;p0p100;2005;114.85807986735;999;i
OB;ehfcari999;p0p100;2006;115.535788474714;999;i
OB;ehfcari999;p0p100;2007;114.04987678228;999;i
OB;ehfcari999;p0p100;2008;114.717537309082;999;i
OB;ehfcari999;p0p100;2009;103.09620190188;999;i
OB;ehfcari999;p0p100;2010;116.234919210646;999;i
OB;ehfcari999;p0p100;2011;114.293062665661;999;i
OB;ehfcari999;p0p100;2012;136.078410375056;999;i
OB;ehfcari999;p0p100;2013;142.480781956833;999;i
OB;ehfcari999;p0p100;2014;133.989434717082;999;i
OB;ehfcari999;p0p100;2015;126.539238481451;999;i
OB;ehfcari999;p0p100;2016;123.789537126971;999;i
OB;ehfcari999;p0p100;2017;130.386280918109;999;i
OB;ehfcari999;p0p100;2018;145.519854844734;999;i
OB;ehfcari999;p0p100;2019;142.264133853871;999;i
OB;ehfcari999;p0p100;2020;132.3056444841;999;i
OB;ehfghdi999;p0p100;1990;11.8990592114053;999;i
OB;ehfghdi999;p0p100;1991;12.9978273385287;999;i
OB;ehfghdi999;p0p100;1992;13.7925923267279;999;i
OB;ehfghdi999;p0p100;1993;14.7103730611103;999;i
OB;ehfghdi999;p0p100;1994;14.7778615859654;999;i
OB;ehfghdi999;p0p100;1995;15.3792217199103;999;i
OB;ehfghdi999;p0p100;1996;15.8677804725479;999;i
OB;ehfghdi999;p0p100;1997;16.9345003896964;999;i
OB;ehfghdi999;p0p100;1998;18.2581271338844;999;i
OB;ehfghdi999;p0p100;1999;19.0439766788161;999;i
OB;ehfghdi999;p0p100;2000;20.1697677424602;999;i
OB;ehfghdi999;p0p100;2001;20.2235489744617;999;i
OB;ehfghdi999;p0p100;2002;21.2319739141207;999;i
OB;ehfghdi999;p0p100;2003;21.9059872485162;999;i
OB;ehfghdi999;p0p100;2004;22.5276231112;999;i
OB;ehfghdi999;p0p100;2005;22.2175962800001;999;i
OB;ehfghdi999;p0p100;2006;21.9437618080273;999;i
OB;ehfghdi999;p0p100;2007;21.70984964;999;i
OB;ehfghdi999;p0p100;2008;21.6236665842128;999;i
OB;ehfghdi999;p0p100;2009;21.5478918172534;999;i
