country;variable;percentile;year;value;age;pop
OC;ehfcari999;p0p100;1990;359.851734248905;999;i
OC;ehfcari999;p0p100;1991;371.614191096303;999;i
OC;ehfcari999;p0p100;1992;431.785049962184;999;i
OC;ehfcari999;p0p100;1993;396.147074785321;999;i
OC;ehfcari999;p0p100;1994;389.110839729912;999;i
OC;ehfcari999;p0p100;1995;398.714772038401;999;i
OC;ehfcari999;p0p100;1996;409.036085171632;999;i
OC;ehfcari999;p0p100;1997;414.64843637376;999;i
OC;ehfcari999;p0p100;1998;430.775340231642;999;i
OC;ehfcari999;p0p100;1999;396.705420923931;999;i
OC;ehfcari999;p0p100;2000;411.458176538733;999;i
OC;ehfcari999;p0p100;2001;396.553726709644;999;i
OC;ehfcari999;p0p100;2002;407.381396356724;999;i
OC;ehfcari999;p0p100;2003;425.626543876043;999;i
OC;ehfcari999;p0p100;2004;445.839917763824;999;i
OC;ehfcari999;p0p100;2005;452.054659476831;999;i
OC;ehfcari999;p0p100;2006;480.075993307474;999;i
OC;ehfcari999;p0p100;2007;460.881928623336;999;i
OC;ehfcari999;p0p100;2008;442.453514667517;999;i
OC;ehfcari999;p0p100;2009;398.536697977485;999;i
OC;ehfcari999;p0p100;2010;406.390225850614;999;i
OC;ehfcari999;p0p100;2011;400.368180568631;999;i
OC;ehfcari999;p0p100;2012;372.505626449077;999;i
OC;ehfcari999;p0p100;2013;377.425179785186;999;i
OC;ehfcari999;p0p100;2014;369.047069815146;999;i
OC;ehfcari999;p0p100;2015;361.682172731332;999;i
OC;ehfcari999;p0p100;2016;355.45022725047;999;i
OC;ehfcari999;p0p100;2017;359.653085764865;999;i
OC;ehfcari999;p0p100;2018;364.09268339929;999;i
OC;ehfcari999;p0p100;2019;355.88769022141;999;i
OC;ehfcari999;p0p100;2020;320.298921199268;999;i
OC;ehfghdi999;p0p100;1990;132.753846128411;999;i
OC;ehfghdi999;p0p100;1991;138.148404502981;999;i
OC;ehfghdi999;p0p100;1992;136.659547116877;999;i
OC;ehfghdi999;p0p100;1993;136.088186329809;999;i
OC;ehfghdi999;p0p100;1994;138.373700198311;999;i
OC;ehfghdi999;p0p100;1995;139.227993408727;999;i
OC;ehfghdi999;p0p100;1996;145.725688586189;999;i
OC;ehfghdi999;p0p100;1997;142.765271769836;999;i
OC;ehfghdi999;p0p100;1998;145.539045926193;999;i
OC;ehfghdi999;p0p100;1999;144.223615811364;999;i
OC;ehfghdi999;p0p100;2000;145.311476599736;999;i
OC;ehfghdi999;p0p100;2001;149.401000286554;999;i
OC;ehfghdi999;p0p100;2002;149.68048525055;999;i
OC;ehfghdi999;p0p100;2003;153.923539022;999;i
OC;ehfghdi999;p0p100;2004;154.4581085484;999;i
OC;ehfghdi999;p0p100;2005;149.635176271431;999;i
OC;ehfghdi999;p0p100;2006;145.058592147958;999;i
OC;ehfghdi999;p0p100;2007;140.7161720986;999;i
OC;ehfghdi999;p0p100;2008;141.865765664;999;i
OC;ehfghdi999;p0p100;2009;143.481659872493;999;i
OC;ehfghdi999;p0p100;2010;145.623980174425;999;i
OC;ehfghdi999;p0p100;2011;148.3617099468;999;i
OC;ehfghdi999;p0p100;2012;136.248675681789;999;i
OC;ehfghdi999;p0p100;2013;126.398967537785;999;i
OC;ehfghdi999;p0p100;2014;118.2820339777;999;i
OC;ehfghdi999;p0p100;2015;120.010200243336;999;i
OC;ehfghdi999;p0p100;2016;119.839260598363;999;i
OC;ehfghdi999;p0p100;2017;120.020440972161;999;i
OC;ehfghdi999;p0p100;2018;117.682032851485;999;i
OC;ehfghdi999;p0p100;2019;114.829762889124;999;i
OC;ehfghdi999;p0p100;2020;103.346786600211;999;i
OC;ehfghgi999;p0p100;1980;632.567449665576;999;i
OC;ehfghgi999;p0p100;1981;585.433291885833;999;i
OC;ehfghgi999;p0p100;1982;553.048162284006;999;i
OC;ehfghgi999;p0p100;1983;542.993166753574;999;i
OC;ehfghgi999;p0p100;1984;545.44513536865;999;i
OC;ehfghgi999;p0p100;1985;563.434170297025;999;i
OC;ehfghgi999;p0p100;1986;589.388844043423;999;i
OC;ehfghgi999;p0p100;1987;611.811358066227;999;i
OC;ehfghgi999;p0p100;1988;606.125770934185;999;i
OC;ehfghgi999;p0p100;1989;615.403181061727;999;i
OC;ehfghgi999;p0p100;1990;631.77382113437;999;i
OC;ehfghgi999;p0p100;1991;648.582788736493;999;i
OC;ehfghgi999;p0p100;1992;709.389469776398;999;i
OC;ehfghgi999;p0p100;1993;671.329845939414;999;i
OC;ehfghgi999;p0p100;1994;672.754452683281;999;i
OC;ehfghgi999;p0p100;1995;687.418354936386;999;i
OC;ehfghgi999;p0p100;1996;705.537320172048;999;i
OC;ehfghgi999;p0p100;1997;702.320530158064;999;i
OC;ehfghgi999;p0p100;1998;728.84827758437;999;i
OC;ehfghgi999;p0p100;1999;691.242032518037;999;i
OC;ehfghgi999;p0p100;2000;707.887139543411;999;i
OC;ehfghgi999;p0p100;2001;691.828885475868;999;i
OC;ehfghgi999;p0p100;2002;701.309350615587;999;i
OC;ehfghgi999;p0p100;2003;727.494488715889;999;i
OC;ehfghgi999;p0p100;2004;751.360955105561;999;i
OC;ehfghgi999;p0p100;2005;751.220612285126;999;i
OC;ehfghgi999;p0p100;2006;772.527923406396;999;i
OC;ehfghgi999;p0p100;2007;750.011019527505;999;i
OC;ehfghgi999;p0p100;2008;732.55322326962;999;i
OC;ehfghgi999;p0p100;2009;682.195321032222;999;i
OC;ehfghgi999;p0p100;2010;689.405566640133;999;i
OC;ehfghgi999;p0p100;2011;683.430759078297;999;i
OC;ehfghgi999;p0p100;2012;638.710327785139;999;i
OC;ehfghgi999;p0p100;2013;634.075181852639;999;i
OC;ehfghgi999;p0p100;2014;617.050453927661;999;i
OC;ehfghgi999;p0p100;2015;611.334312197626;999;i
OC;ehfghgi999;p0p100;2016;603.527155574845;999;i
OC;ehfghgi999;p0p100;2017;609.070296812688;999;i
OC;ehfghgi999;p0p100;2018;610.893396261284;999;i
OC;ehfghgi999;p0p100;2019;596.137711407796;999;i
OC;ehfghgi999;p0p100;2020;536.523940267016;999;i
OC;ehfghni999;p0p100;1990;495.250728876459;999;i
OC;ehfghni999;p0p100;1991;506.658522157843;999;i
OC;ehfghni999;p0p100;1992;568.881620220412;999;i
OC;ehfghni999;p0p100;1993;531.326692583305;999;i
OC;ehfghni999;p0p100;1994;530.469834698163;999;i
OC;ehfghni999;p0p100;1995;544.201739484674;999;i
OC;ehfghni999;p0p100;1996;555.822165992983;999;i
OC;ehfghni999;p0p100;1997;555.466239778986;999;i
OC;ehfghni999;p0p100;1998;579.20021029415;999;i
OC;ehfghni999;p0p100;1999;542.860594447809;999;i
OC;ehfghni999;p0p100;2000;558.358849099621;999;i
OC;ehfghni999;p0p100;2001;538.205955489669;999;i
OC;ehfghni999;p0p100;2002;547.377203110145;999;i
OC;ehfghni999;p0p100;2003;569.333811532122;999;i
OC;ehfghni999;p0p100;2004;592.680454839283;999;i
OC;ehfghni999;p0p100;2005;597.377288140882;999;i
OC;ehfghni999;p0p100;2006;623.311328027793;999;i
OC;ehfghni999;p0p100;2007;605.064869828129;999;i
OC;ehfghni999;p0p100;2008;586.34989342195;999;i
OC;ehfghni999;p0p100;2009;534.288988628689;999;i
OC;ehfghni999;p0p100;2010;539.386687177429;999;i
OC;ehfghni999;p0p100;2011;530.74332939843;999;i
OC;ehfghni999;p0p100;2012;498.114667724753;999;i
OC;ehfghni999;p0p100;2013;503.300101477323;999;i
OC;ehfghni999;p0p100;2014;494.353023365564;999;i
OC;ehfghni999;p0p100;2015;486.835585439916;999;i
OC;ehfghni999;p0p100;2016;479.163193825531;999;i
OC;ehfghni999;p0p100;2017;484.488980052998;999;i
OC;ehfghni999;p0p100;2018;488.614312985692;999;i
OC;ehfghni999;p0p100;2019;476.674723457986;999;i
OC;ehfghni999;p0p100;2020;429.007251112188;999;i
OC;ehfghoi999;p0p100;1990;136.481854218863;999;i
OC;ehfghoi999;p0p100;1991;136.1316765915;999;i
OC;ehfghoi999;p0p100;1992;138.183814976983;999;i
OC;ehfghoi999;p0p100;1993;136.271452668276;999;i
OC;ehfghoi999;p0p100;1994;142.430515306694;999;i
OC;ehfghoi999;p0p100;1995;146.57847601489;999;i
