country;variable;percentile;year;value;age;pop
OD-MER;adiincj992;p0p1;2018;234.5;992;j
OD-MER;adiincj992;p0p1;2019;227;992;j
OD-MER;adiincj992;p0p1;2020;203.6;992;j
OD-MER;adiincj992;p0p1;2021;197.9;992;j
OD-MER;adiincj992;p0p100;2018;9027.5;992;j
OD-MER;adiincj992;p0p100;2019;8558.6;992;j
OD-MER;adiincj992;p0p100;2020;7507.1;992;j
OD-MER;adiincj992;p0p100;2021;8062.8;992;j
OD-MER;adiincj992;p0p50;2018;2121.3;992;j
OD-MER;adiincj992;p0p50;2019;2055.3;992;j
OD-MER;adiincj992;p0p50;2020;1642.8;992;j
OD-MER;adiincj992;p0p50;2021;1780.5;992;j
OD-MER;adiincj992;p10p100;2018;9972.9;992;j
OD-MER;adiincj992;p10p100;2019;9454.2;992;j
OD-MER;adiincj992;p10p100;2020;8299.2;992;j
OD-MER;adiincj992;p10p100;2021;8914.4;992;j
OD-MER;adiincj992;p10p11;2018;921.7;992;j
OD-MER;adiincj992;p10p11;2019;873.2;992;j
OD-MER;adiincj992;p10p11;2020;641.6;992;j
OD-MER;adiincj992;p10p11;2021;688.5;992;j
OD-MER;adiincj992;p11p100;2018;10074.6;992;j
OD-MER;adiincj992;p11p100;2019;9550.6;992;j
OD-MER;adiincj992;p11p100;2020;8385.2;992;j
OD-MER;adiincj992;p11p100;2021;9006.8;992;j
OD-MER;adiincj992;p11p12;2018;986.1;992;j
OD-MER;adiincj992;p11p12;2019;927.4;992;j
OD-MER;adiincj992;p11p12;2020;698.7;992;j
OD-MER;adiincj992;p11p12;2021;758.7;992;j
OD-MER;adiincj992;p12p100;2018;10177.9;992;j
OD-MER;adiincj992;p12p100;2019;9648.6;992;j
OD-MER;adiincj992;p12p100;2020;8472.6;992;j
OD-MER;adiincj992;p12p100;2021;9100.6;992;j
OD-MER;adiincj992;p12p13;2018;1028.5;992;j
OD-MER;adiincj992;p12p13;2019;974.8;992;j
OD-MER;adiincj992;p12p13;2020;767.6;992;j
OD-MER;adiincj992;p12p13;2021;826.2;992;j
OD-MER;adiincj992;p13p100;2018;10283;992;j
OD-MER;adiincj992;p13p100;2019;9748.3;992;j
OD-MER;adiincj992;p13p100;2020;8561.1;992;j
OD-MER;adiincj992;p13p100;2021;9195.7;992;j
OD-MER;adiincj992;p13p14;2018;1088.6;992;j
OD-MER;adiincj992;p13p14;2019;1043.6;992;j
OD-MER;adiincj992;p13p14;2020;805.5;992;j
OD-MER;adiincj992;p13p14;2021;862.5;992;j
OD-MER;adiincj992;p14p100;2018;10389.9;992;j
OD-MER;adiincj992;p14p100;2019;9849.5;992;j
OD-MER;adiincj992;p14p100;2020;8651.3;992;j
OD-MER;adiincj992;p14p100;2021;9292.6;992;j
OD-MER;adiincj992;p14p15;2018;1155.6;992;j
OD-MER;adiincj992;p14p15;2019;1116.5;992;j
OD-MER;adiincj992;p14p15;2020;851.4;992;j
OD-MER;adiincj992;p14p15;2021;912.7;992;j
OD-MER;adiincj992;p15p100;2018;10498.6;992;j
OD-MER;adiincj992;p15p100;2019;9952.2;992;j
OD-MER;adiincj992;p15p100;2020;8743.1;992;j
OD-MER;adiincj992;p15p100;2021;9391.1;992;j
OD-MER;adiincj992;p15p16;2018;1228.3;992;j
OD-MER;adiincj992;p15p16;2019;1165.1;992;j
OD-MER;adiincj992;p15p16;2020;907.6;992;j
OD-MER;adiincj992;p15p16;2021;974.8;992;j
OD-MER;adiincj992;p16p100;2018;10608.9;992;j
OD-MER;adiincj992;p16p100;2019;10056.8;992;j
OD-MER;adiincj992;p16p100;2020;8836.4;992;j
OD-MER;adiincj992;p16p100;2021;9491.3;992;j
OD-MER;adiincj992;p16p17;2018;1285.8;992;j
OD-MER;adiincj992;p16p17;2019;1219.7;992;j
OD-MER;adiincj992;p16p17;2020;972.5;992;j
OD-MER;adiincj992;p16p17;2021;1044;992;j
OD-MER;adiincj992;p17p100;2018;10721.3;992;j
OD-MER;adiincj992;p17p100;2019;10163.3;992;j
OD-MER;adiincj992;p17p100;2020;8931.1;992;j
OD-MER;adiincj992;p17p100;2021;9593.1;992;j
OD-MER;adiincj992;p17p18;2018;1337.4;992;j
OD-MER;adiincj992;p17p18;2019;1295.7;992;j
OD-MER;adiincj992;p17p18;2020;1018.9;992;j
OD-MER;adiincj992;p17p18;2021;1084.4;992;j
OD-MER;adiincj992;p18p100;2018;10835.7;992;j
OD-MER;adiincj992;p18p100;2019;10271.5;992;j
OD-MER;adiincj992;p18p100;2020;9027.6;992;j
OD-MER;adiincj992;p18p100;2021;9696.9;992;j
OD-MER;adiincj992;p18p19;2018;1424.2;992;j
OD-MER;adiincj992;p18p19;2019;1367;992;j
OD-MER;adiincj992;p18p19;2020;1057.9;992;j
OD-MER;adiincj992;p18p19;2021;1122.1;992;j
OD-MER;adiincj992;p19p100;2018;10951.9;992;j
OD-MER;adiincj992;p19p100;2019;10381.4;992;j
OD-MER;adiincj992;p19p100;2020;9126;992;j
OD-MER;adiincj992;p19p100;2021;9802.7;992;j
OD-MER;adiincj992;p19p20;2018;1500.1;992;j
OD-MER;adiincj992;p19p20;2019;1461.3;992;j
OD-MER;adiincj992;p19p20;2020;1126.8;992;j
OD-MER;adiincj992;p19p20;2021;1192.3;992;j
OD-MER;adiincj992;p1p100;2018;9116.3;992;j
OD-MER;adiincj992;p1p100;2019;8642.8;992;j
OD-MER;adiincj992;p1p100;2020;7580.9;992;j
OD-MER;adiincj992;p1p100;2021;8142.3;992;j
OD-MER;adiincj992;p1p2;2018;314.4;992;j
OD-MER;adiincj992;p1p2;2019;306.2;992;j
OD-MER;adiincj992;p1p2;2020;261.9;992;j
OD-MER;adiincj992;p1p2;2021;256.9;992;j
OD-MER;adiincj992;p20p100;2018;11070;992;j
OD-MER;adiincj992;p20p100;2019;10492.9;992;j
OD-MER;adiincj992;p20p100;2020;9226;992;j
OD-MER;adiincj992;p20p100;2021;9910.4;992;j
OD-MER;adiincj992;p20p21;2018;1581.5;992;j
OD-MER;adiincj992;p20p21;2019;1545.7;992;j
OD-MER;adiincj992;p20p21;2020;1185.3;992;j
OD-MER;adiincj992;p20p21;2021;1252.1;992;j
OD-MER;adiincj992;p21p100;2018;11190.1;992;j
OD-MER;adiincj992;p21p100;2019;10606.1;992;j
OD-MER;adiincj992;p21p100;2020;9327.8;992;j
OD-MER;adiincj992;p21p100;2021;10020;992;j
OD-MER;adiincj992;p21p22;2018;1667.1;992;j
OD-MER;adiincj992;p21p22;2019;1627.7;992;j
OD-MER;adiincj992;p21p22;2020;1254.1;992;j
OD-MER;adiincj992;p21p22;2021;1325.1;992;j
OD-MER;adiincj992;p22p100;2018;11312.2;992;j
OD-MER;adiincj992;p22p100;2019;10721.3;992;j
OD-MER;adiincj992;p22p100;2020;9431.3;992;j
OD-MER;adiincj992;p22p100;2021;10131.4;992;j
OD-MER;adiincj992;p22p23;2018;1751;992;j
OD-MER;adiincj992;p22p23;2019;1721;992;j
OD-MER;adiincj992;p22p23;2020;1334.3;992;j
OD-MER;adiincj992;p22p23;2021;1405.5;992;j
OD-MER;adiincj992;p23p100;2018;11436.4;992;j
OD-MER;adiincj992;p23p100;2019;10838.1;992;j
OD-MER;adiincj992;p23p100;2020;9536.4;992;j
OD-MER;adiincj992;p23p100;2021;10244.8;992;j
OD-MER;adiincj992;p23p24;2018;1836.5;992;j
OD-MER;adiincj992;p23p24;2019;1795.2;992;j
OD-MER;adiincj992;p23p24;2020;1397.7;992;j
OD-MER;adiincj992;p23p24;2021;1472.3;992;j
OD-MER;adiincj992;p24p100;2018;11562.7;992;j
OD-MER;adiincj992;p24p100;2019;10957.1;992;j
OD-MER;adiincj992;p24p100;2020;9643.5;992;j
OD-MER;adiincj992;p24p100;2021;10360.2;992;j
OD-MER;adiincj992;p24p25;2018;1930.3;992;j
