country;variable;percentile;year;value;age;pop
OD;ehfcari999;p0p100;1990;99.4541639511712;999;i
OD;ehfcari999;p0p100;1991;102.945199886478;999;i
OD;ehfcari999;p0p100;1992;107.176346014121;999;i
OD;ehfcari999;p0p100;1993;117.125635867293;999;i
OD;ehfcari999;p0p100;1994;115.849881703887;999;i
OD;ehfcari999;p0p100;1995;127.637192261872;999;i
OD;ehfcari999;p0p100;1996;119.371549323779;999;i
OD;ehfcari999;p0p100;1997;134.618794977517;999;i
OD;ehfcari999;p0p100;1998;162.035387957333;999;i
OD;ehfcari999;p0p100;1999;142.258448527072;999;i
OD;ehfcari999;p0p100;2000;127.594335090437;999;i
OD;ehfcari999;p0p100;2001;147.163234420806;999;i
OD;ehfcari999;p0p100;2002;142.837222522835;999;i
OD;ehfcari999;p0p100;2003;157.436159891031;999;i
OD;ehfcari999;p0p100;2004;148.839016200543;999;i
OD;ehfcari999;p0p100;2005;162.054645769311;999;i
OD;ehfcari999;p0p100;2006;154.194759558759;999;i
OD;ehfcari999;p0p100;2007;165.419984799229;999;i
OD;ehfcari999;p0p100;2008;180.838067856291;999;i
OD;ehfcari999;p0p100;2009;196.730889738199;999;i
OD;ehfcari999;p0p100;2010;203.147580347909;999;i
OD;ehfcari999;p0p100;2011;198.110610043749;999;i
OD;ehfcari999;p0p100;2012;221.950189129049;999;i
OD;ehfcari999;p0p100;2013;210.834545510611;999;i
OD;ehfcari999;p0p100;2014;221.775041718974;999;i
OD;ehfcari999;p0p100;2015;224.243313156719;999;i
OD;ehfcari999;p0p100;2016;220.377286685474;999;i
OD;ehfcari999;p0p100;2017;214.742004757186;999;i
OD;ehfcari999;p0p100;2018;216.34037856962;999;i
OD;ehfcari999;p0p100;2019;212.198846710334;999;i
OD;ehfcari999;p0p100;2020;201.588904374818;999;i
OD;ehfghdi999;p0p100;1990;34.0721036426535;999;i
OD;ehfghdi999;p0p100;1991;33.6515800476042;999;i
OD;ehfghdi999;p0p100;1992;34.6780249986599;999;i
OD;ehfghdi999;p0p100;1993;38.5761190473502;999;i
OD;ehfghdi999;p0p100;1994;38.853242757578;999;i
OD;ehfghdi999;p0p100;1995;42.3269069980286;999;i
OD;ehfghdi999;p0p100;1996;41.4724823089413;999;i
OD;ehfghdi999;p0p100;1997;43.8527159255873;999;i
OD;ehfghdi999;p0p100;1998;50.4767569761864;999;i
OD;ehfghdi999;p0p100;1999;51.6608569328733;999;i
OD;ehfghdi999;p0p100;2000;49.0002755345273;999;i
OD;ehfghdi999;p0p100;2001;52.0532398966577;999;i
OD;ehfghdi999;p0p100;2002;55.9896091679882;999;i
OD;ehfghdi999;p0p100;2003;56.7150757112597;999;i
OD;ehfghdi999;p0p100;2004;51.9775759142;999;i
OD;ehfghdi999;p0p100;2005;53.1646678994842;999;i
OD;ehfghdi999;p0p100;2006;54.4155937865368;999;i
OD;ehfghdi999;p0p100;2007;55.7345763284;999;i
OD;ehfghdi999;p0p100;2008;57.2674860587294;999;i
OD;ehfghdi999;p0p100;2009;59.0863954680464;999;i
OD;ehfghdi999;p0p100;2010;61.2237617640953;999;i
OD;ehfghdi999;p0p100;2011;63.7197001181;999;i
OD;ehfghdi999;p0p100;2012;64.7993358107065;999;i
OD;ehfghdi999;p0p100;2013;66.1320871710894;999;i
OD;ehfghdi999;p0p100;2014;67.7063013278;999;i
OD;ehfghdi999;p0p100;2015;66.5145968519684;999;i
OD;ehfghdi999;p0p100;2016;66.5835283023489;999;i
OD;ehfghdi999;p0p100;2017;65.1213837068066;999;i
OD;ehfghdi999;p0p100;2018;64.4836412079006;999;i
OD;ehfghdi999;p0p100;2019;63.5229790331887;999;i
OD;ehfghdi999;p0p100;2020;60.3468300815293;999;i
OD;ehfghgi999;p0p100;1980;300.500008127732;999;i
OD;ehfghgi999;p0p100;1981;303.633813758424;999;i
OD;ehfghgi999;p0p100;1982;299.103371723839;999;i
