country;variable;percentile;year;value;age;pop
OE;ehfcari999;p0p100;1990;184.938606880502;999;i
OE;ehfcari999;p0p100;1991;198.152907782344;999;i
OE;ehfcari999;p0p100;1992;223.717850169158;999;i
OE;ehfcari999;p0p100;1993;236.372527994832;999;i
OE;ehfcari999;p0p100;1994;245.231678766188;999;i
OE;ehfcari999;p0p100;1995;228.22844509742;999;i
OE;ehfcari999;p0p100;1996;233.071898638522;999;i
OE;ehfcari999;p0p100;1997;236.386887804032;999;i
OE;ehfcari999;p0p100;1998;260.319532364392;999;i
OE;ehfcari999;p0p100;1999;228.412987351883;999;i
OE;ehfcari999;p0p100;2000;227.409551536949;999;i
OE;ehfcari999;p0p100;2001;249.946390035362;999;i
OE;ehfcari999;p0p100;2002;258.753417386661;999;i
OE;ehfcari999;p0p100;2003;319.049430715047;999;i
OE;ehfcari999;p0p100;2004;335.108768777855;999;i
OE;ehfcari999;p0p100;2005;338.815734786003;999;i
OE;ehfcari999;p0p100;2006;377.755528622387;999;i
OE;ehfcari999;p0p100;2007;374.050448489206;999;i
OE;ehfcari999;p0p100;2008;405.716398865805;999;i
OE;ehfcari999;p0p100;2009;419.971214642019;999;i
OE;ehfcari999;p0p100;2010;455.084792354464;999;i
OE;ehfcari999;p0p100;2011;446.936859800883;999;i
OE;ehfcari999;p0p100;2012;477.062711156162;999;i
OE;ehfcari999;p0p100;2013;465.771506285954;999;i
OE;ehfcari999;p0p100;2014;503.921862017737;999;i
OE;ehfcari999;p0p100;2015;535.833999547671;999;i
OE;ehfcari999;p0p100;2016;508.908944814833;999;i
OE;ehfcari999;p0p100;2017;524.248404409;999;i
OE;ehfcari999;p0p100;2018;533.552733111701;999;i
OE;ehfcari999;p0p100;2019;547.498574082934;999;i
OE;ehfcari999;p0p100;2020;525.861992945208;999;i
OE;ehfghdi999;p0p100;1990;90.1925795332224;999;i
OE;ehfghdi999;p0p100;1991;101.691508565115;999;i
OE;ehfghdi999;p0p100;1992;105.877672641664;999;i
OE;ehfghdi999;p0p100;1993;113.043751142719;999;i
OE;ehfghdi999;p0p100;1994;121.434484680125;999;i
OE;ehfghdi999;p0p100;1995;117.309392145928;999;i
OE;ehfghdi999;p0p100;1996;120.664732218917;999;i
OE;ehfghdi999;p0p100;1997;115.96220496642;999;i
OE;ehfghdi999;p0p100;1998;126.148778636662;999;i
OE;ehfghdi999;p0p100;1999;148.444560897209;999;i
OE;ehfghdi999;p0p100;2000;153.396016330111;999;i
OE;ehfghdi999;p0p100;2001;161.807120196071;999;i
OE;ehfghdi999;p0p100;2002;165.424575886625;999;i
OE;ehfghdi999;p0p100;2003;170.966253241846;999;i
OE;ehfghdi999;p0p100;2004;185.8222300165;999;i
OE;ehfghdi999;p0p100;2005;197.43426389728;999;i
OE;ehfghdi999;p0p100;2006;209.866804426083;999;i
OE;ehfghdi999;p0p100;2007;223.184418522;999;i
OE;ehfghdi999;p0p100;2008;227.016449754448;999;i
OE;ehfghdi999;p0p100;2009;231.084332729742;999;i
OE;ehfghdi999;p0p100;2010;235.406606740453;999;i
OE;ehfghdi999;p0p100;2011;240.003578069;999;i
OE;ehfghdi999;p0p100;2012;245.959283901619;999;i
OE;ehfghdi999;p0p100;2013;252.251609411424;999;i
OE;ehfghdi999;p0p100;2014;258.902643791;999;i
OE;ehfghdi999;p0p100;2015;264.50821173883;999;i
