country;variable;percentile;year;value;age;pop
OH-MER;mgdproi999;p0p100;1960;838284224;999;i
OH-MER;mgdproi999;p0p100;1961;867772480;999;i
OH-MER;mgdproi999;p0p100;1962;899064256;999;i
OH-MER;mgdproi999;p0p100;1963;956234240;999;i
OH-MER;mgdproi999;p0p100;1964;1002872064;999;i
OH-MER;mgdproi999;p0p100;1965;975792384;999;i
OH-MER;mgdproi999;p0p100;1966;975791488;999;i
OH-MER;mgdproi999;p0p100;1967;1106079104;999;i
OH-MER;mgdproi999;p0p100;1968;1193638784;999;i
OH-MER;mgdproi999;p0p100;1969;1224629248;999;i
OH-MER;mgdproi999;p0p100;1970;3062162234;999;i
OH-MER;mgdproi999;p0p100;1971;3235462868;999;i
OH-MER;mgdproi999;p0p100;1972;3317255217;999;i
OH-MER;mgdproi999;p0p100;1973;3687150679;999;i
OH-MER;mgdproi999;p0p100;1974;3954007986;999;i
OH-MER;mgdproi999;p0p100;1975;3914544284;999;i
OH-MER;mgdproi999;p0p100;1976;3989275094;999;i
OH-MER;mgdproi999;p0p100;1977;4135792841;999;i
OH-MER;mgdproi999;p0p100;1978;4295575242;999;i
OH-MER;mgdproi999;p0p100;1979;4701800395;999;i
OH-MER;mgdproi999;p0p100;1980;4596408835;999;i
OH-MER;mgdproi999;p0p100;1981;4751344167;999;i
OH-MER;mgdproi999;p0p100;1982;4606014004;999;i
OH-MER;mgdproi999;p0p100;1983;4566301866;999;i
OH-MER;mgdproi999;p0p100;1984;4809045231;999;i
OH-MER;mgdproi999;p0p100;1985;4746947519;999;i
OH-MER;mgdproi999;p0p100;1986;4982811828;999;i
OH-MER;mgdproi999;p0p100;1987;4883370174;999;i
OH-MER;mgdproi999;p0p100;1988;4942422580;999;i
OH-MER;mgdproi999;p0p100;1989;5146962442;999;i
OH-MER;mgdproi999;p0p100;1990;5346010756;999;i
OH-MER;mgdproi999;p0p100;1991;5336602112;999;i
OH-MER;mgdproi999;p0p100;1992;5609345664;999;i
OH-MER;mgdproi999;p0p100;1993;5722452850;999;i
OH-MER;mgdproi999;p0p100;1994;6030370316;999;i
OH-MER;mgdproi999;p0p100;1995;6284907446;999;i
OH-MER;mgdproi999;p0p100;1996;6450526564;999;i
OH-MER;mgdproi999;p0p100;1997;6393710838;999;i
OH-MER;mgdproi999;p0p100;1998;6488788416;999;i
OH-MER;mgdproi999;p0p100;1999;6766504132;999;i
OH-MER;mgdproi999;p0p100;2000;6652916680;999;i
OH-MER;mgdproi999;p0p100;2001;6706005980;999;i
OH-MER;mgdproi999;p0p100;2002;6824522216;999;i
OH-MER;mgdproi999;p0p100;2003;6953059368;999;i
OH-MER;mgdproi999;p0p100;2004;7247087540;999;i
OH-MER;mgdproi999;p0p100;2005;7419329868;999;i
OH-MER;mgdproi999;p0p100;2006;7584123196;999;i
OH-MER;mgdproi999;p0p100;2007;7629803852;999;i
OH-MER;mgdproi999;p0p100;2008;7750490264;999;i
OH-MER;mgdproi999;p0p100;2009;7766039096;999;i
OH-MER;mgdproi999;p0p100;2010;8071763928;999;i
OH-MER;mgdproi999;p0p100;2011;8335499600;999;i
OH-MER;mgdproi999;p0p100;2012;8428749156;999;i
OH-MER;mgdproi999;p0p100;2013;8717459368;999;i
OH-MER;mgdproi999;p0p100;2014;9040737540;999;i
OH-MER;mgdproi999;p0p100;2015;9388226832;999;i
OH-MER;mgdproi999;p0p100;2016;9686913452;999;i
OH-MER;mgdproi999;p0p100;2017;10056208492;999;i
OH-MER;mgdproi999;p0p100;2018;10361717448;999;i
OH-MER;mgdproi999;p0p100;2019;10419099676;999;i
OH-MER;mgdproi999;p0p100;2020;9361727636;999;i
OH-MER;mgdproi999;p0p100;2021;9038922936;999;i
OH-MER;mgdproi999;p0p100;2022;9550380804;999;i
OH-MER;mgweali999;p0p100;1995;94847805;999;i
OH-MER;mgweali999;p0p100;1996;237732575;999;i
OH-MER;mgweali999;p0p100;1997;275194001;999;i
OH-MER;mgweali999;p0p100;1998;441103288;999;i
OH-MER;mgweali999;p0p100;1999;669359383;999;i
OH-MER;mgweali999;p0p100;2000;670961837;999;i
OH-MER;mgweali999;p0p100;2001;684443720;999;i
OH-MER;mgweali999;p0p100;2002;646211305;999;i
OH-MER;mgweali999;p0p100;2003;678394501;999;i
OH-MER;mgweali999;p0p100;2004;788335951;999;i
OH-MER;mgweali999;p0p100;2005;960099083;999;i
OH-MER;mgweali999;p0p100;2006;1012678906;999;i
OH-MER;mgweali999;p0p100;2007;1063144546;999;i
OH-MER;mgweali999;p0p100;2008;1140570006;999;i
OH-MER;mgweali999;p0p100;2009;1096215588;999;i
OH-MER;mgweali999;p0p100;2010;1141771276;999;i
OH-MER;mgweali999;p0p100;2011;1125712263;999;i
OH-MER;mgweali999;p0p100;2012;1050095932;999;i
OH-MER;mgweali999;p0p100;2013;1118259704;999;i
OH-MER;mgweali999;p0p100;2014;1206655072;999;i
OH-MER;mgweali999;p0p100;2015;1178528600;999;i
OH-MER;mgweali999;p0p100;2016;1050659424;999;i
OH-MER;mgweali999;p0p100;2017;986959926;999;i
OH-MER;mgweali999;p0p100;2018;862900226;999;i
OH-MER;mgweali999;p0p100;2019;773831139;999;i
OH-MER;mgweali999;p0p100;2020;562281594;999;i
OH-MER;mgweali999;p0p100;2021;482427557;999;i
OH-MER;mhweali999;p0p100;1995;5701967902;999;i
OH-MER;mhweali999;p0p100;1996;6057290706;999;i
OH-MER;mhweali999;p0p100;1997;6273165862;999;i
OH-MER;mhweali999;p0p100;1998;6437319276;999;i
OH-MER;mhweali999;p0p100;1999;6656085810;999;i
OH-MER;mhweali999;p0p100;2000;6916057254;999;i
OH-MER;mhweali999;p0p100;2001;7247156972;999;i
OH-MER;mhweali999;p0p100;2002;7564886858;999;i
OH-MER;mhweali999;p0p100;2003;8018110628;999;i
OH-MER;mhweali999;p0p100;2004;8590975408;999;i
OH-MER;mhweali999;p0p100;2005;8896581172;999;i
OH-MER;mhweali999;p0p100;2006;9240114956;999;i
OH-MER;mhweali999;p0p100;2007;9540441164;999;i
OH-MER;mhweali999;p0p100;2008;9829270248;999;i
OH-MER;mhweali999;p0p100;2009;10051495984;999;i
OH-MER;mhweali999;p0p100;2010;10553283568;999;i
OH-MER;mhweali999;p0p100;2011;10836052808;999;i
OH-MER;mhweali999;p0p100;2012;11124070088;999;i
OH-MER;mhweali999;p0p100;2013;11988508480;999;i
OH-MER;mhweali999;p0p100;2014;12475102920;999;i
OH-MER;mhweali999;p0p100;2015;13310027696;999;i
OH-MER;mhweali999;p0p100;2016;14036200544;999;i
OH-MER;mhweali999;p0p100;2017;14796941472;999;i
OH-MER;mhweali999;p0p100;2018;15537368392;999;i
OH-MER;mhweali999;p0p100;2019;15928102352;999;i
OH-MER;mhweali999;p0p100;2020;14950410560;999;i
OH-MER;mhweali999;p0p100;2021;15114494128;999;i
OH-MER;mndproi999;p0p100;1960;767784256;999;i
OH-MER;mndproi999;p0p100;1961;795231232;999;i
OH-MER;mndproi999;p0p100;1962;824526592;999;i
OH-MER;mndproi999;p0p100;1963;879833152;999;i
OH-MER;mndproi999;p0p100;1964;924869760;999;i
OH-MER;mndproi999;p0p100;1965;896232640;999;i
OH-MER;mndproi999;p0p100;1966;893856000;999;i
OH-MER;mndproi999;p0p100;1967;1020318400;999;i
OH-MER;mndproi999;p0p100;1968;1102957440;999;i
OH-MER;mndproi999;p0p100;1969;1128249600;999;i
OH-MER;mndproi999;p0p100;1970;2801452084;999;i
OH-MER;mndproi999;p0p100;1971;2958898494;999;i
OH-MER;mndproi999;p0p100;1972;3024911842;999;i
OH-MER;mndproi999;p0p100;1973;3380950661;999;i
OH-MER;mndproi999;p0p100;1974;3634108525;999;i
OH-MER;mndproi999;p0p100;1975;3579713417;999;i
OH-MER;mndproi999;p0p100;1976;3643033697;999;i
OH-MER;mndproi999;p0p100;1977;3780624687;999;i
OH-MER;mndproi999;p0p100;1978;3915230248;999;i
OH-MER;mndproi999;p0p100;1979;4281593207;999;i
OH-MER;mndproi999;p0p100;1980;4157403719;999;i
OH-MER;mndproi999;p0p100;1981;4274975094;999;i
OH-MER;mndproi999;p0p100;1982;4128093231;999;i
OH-MER;mndproi999;p0p100;1983;4115025557;999;i
OH-MER;mndproi999;p0p100;1984;4384968507;999;i
OH-MER;mndproi999;p0p100;1985;4318266269;999;i
OH-MER;mndproi999;p0p100;1986;4531418633;999;i
OH-MER;mndproi999;p0p100;1987;4430842774;999;i
OH-MER;mndproi999;p0p100;1988;4483512628;999;i
OH-MER;mndproi999;p0p100;1989;4666560818;999;i
OH-MER;mndproi999;p0p100;1990;4835056174;999;i
OH-MER;mndproi999;p0p100;1991;4813275932;999;i
OH-MER;mndproi999;p0p100;1992;5066367306;999;i
OH-MER;mndproi999;p0p100;1993;5180105938;999;i
OH-MER;mndproi999;p0p100;1994;5472194126;999;i
OH-MER;mndproi999;p0p100;1995;5706817870;999;i
OH-MER;mndproi999;p0p100;1996;5851275832;999;i
OH-MER;mndproi999;p0p100;1997;5755761388;999;i
OH-MER;mndproi999;p0p100;1998;5850447530;999;i
OH-MER;mndproi999;p0p100;1999;6083779908;999;i
OH-MER;mndproi999;p0p100;2000;5965555746;999;i
OH-MER;mndproi999;p0p100;2001;6046526916;999;i
OH-MER;mndproi999;p0p100;2002;6210591884;999;i
OH-MER;mndproi999;p0p100;2003;6300349688;999;i
OH-MER;mndproi999;p0p100;2004;6606729834;999;i
OH-MER;mndproi999;p0p100;2005;6752858890;999;i
OH-MER;mndproi999;p0p100;2006;6903246978;999;i
OH-MER;mndproi999;p0p100;2007;6958769896;999;i
OH-MER;mndproi999;p0p100;2008;7098160464;999;i
OH-MER;mndproi999;p0p100;2009;7096623204;999;i
OH-MER;mndproi999;p0p100;2010;7398217860;999;i
OH-MER;mndproi999;p0p100;2011;7502511916;999;i
OH-MER;mndproi999;p0p100;2012;7579517676;999;i
OH-MER;mndproi999;p0p100;2013;7856647736;999;i
OH-MER;mndproi999;p0p100;2014;8082846152;999;i
OH-MER;mndproi999;p0p100;2015;8385060788;999;i
OH-MER;mndproi999;p0p100;2016;8678811484;999;i
OH-MER;mndproi999;p0p100;2017;9022142684;999;i
OH-MER;mndproi999;p0p100;2018;9284385808;999;i
OH-MER;mndproi999;p0p100;2019;9347325628;999;i
OH-MER;mndproi999;p0p100;2020;8325604444;999;i
OH-MER;mndproi999;p0p100;2021;8038035816;999;i
OH-MER;mndproi999;p0p100;2022;8578343656;999;i
OH-MER;mnninci999;p0p100;1960;767784256;999;i
OH-MER;mnninci999;p0p100;1961;795231232;999;i
OH-MER;mnninci999;p0p100;1962;824526592;999;i
OH-MER;mnninci999;p0p100;1963;879833152;999;i
OH-MER;mnninci999;p0p100;1964;924869760;999;i
OH-MER;mnninci999;p0p100;1965;896232640;999;i
OH-MER;mnninci999;p0p100;1966;893856000;999;i
OH-MER;mnninci999;p0p100;1967;1020318400;999;i
OH-MER;mnninci999;p0p100;1968;1102957440;999;i
OH-MER;mnninci999;p0p100;1969;1128249600;999;i
OH-MER;mnninci999;p0p100;1970;2762718036;999;i
OH-MER;mnninci999;p0p100;1971;2910543294;999;i
OH-MER;mnninci999;p0p100;1972;2939502086;999;i
OH-MER;mnninci999;p0p100;1973;3279420565;999;i
OH-MER;mnninci999;p0p100;1974;3496102325;999;i
OH-MER;mnninci999;p0p100;1975;3426429145;999;i
OH-MER;mnninci999;p0p100;1976;3507045457;999;i
OH-MER;mnninci999;p0p100;1977;3685655799;999;i
OH-MER;mnninci999;p0p100;1978;3833328024;999;i
OH-MER;mnninci999;p0p100;1979;4245258823;999;i
OH-MER;mnninci999;p0p100;1980;4092834391;999;i
OH-MER;mnninci999;p0p100;1981;4267060838;999;i
OH-MER;mnninci999;p0p100;1982;3992948399;999;i
OH-MER;mnninci999;p0p100;1983;3989674581;999;i
OH-MER;mnninci999;p0p100;1984;4275060899;999;i
OH-MER;mnninci999;p0p100;1985;4277060557;999;i
OH-MER;mnninci999;p0p100;1986;4513377985;999;i
OH-MER;mnninci999;p0p100;1987;4379118270;999;i
OH-MER;mnninci999;p0p100;1988;4437077124;999;i
OH-MER;mnninci999;p0p100;1989;4634462314;999;i
OH-MER;mnninci999;p0p100;1990;4842563142;999;i
OH-MER;mnninci999;p0p100;1991;4768518820;999;i
OH-MER;mnninci999;p0p100;1992;4990249826;999;i
OH-MER;mnninci999;p0p100;1993;5108422994;999;i
OH-MER;mnninci999;p0p100;1994;5341817766;999;i
OH-MER;mnninci999;p0p100;1995;5654700134;999;i
OH-MER;mnninci999;p0p100;1996;5787115192;999;i
OH-MER;mnninci999;p0p100;1997;5741743748;999;i
OH-MER;mnninci999;p0p100;1998;5855568314;999;i
OH-MER;mnninci999;p0p100;1999;6096828260;999;i
OH-MER;mnninci999;p0p100;2000;6054736818;999;i
OH-MER;mnninci999;p0p100;2001;6152207880;999;i
OH-MER;mnninci999;p0p100;2002;6295414824;999;i
OH-MER;mnninci999;p0p100;2003;6329502436;999;i
OH-MER;mnninci999;p0p100;2004;6629341896;999;i
OH-MER;mnninci999;p0p100;2005;6724719136;999;i
OH-MER;mnninci999;p0p100;2006;6828796964;999;i
OH-MER;mnninci999;p0p100;2007;6897377592;999;i
OH-MER;mnninci999;p0p100;2008;7042398540;999;i
OH-MER;mnninci999;p0p100;2009;7109325300;999;i
OH-MER;mnninci999;p0p100;2010;7313633084;999;i
OH-MER;mnninci999;p0p100;2011;7359530352;999;i
OH-MER;mnninci999;p0p100;2012;7416259608;999;i
OH-MER;mnninci999;p0p100;2013;7932552728;999;i
OH-MER;mnninci999;p0p100;2014;8101045480;999;i
OH-MER;mnninci999;p0p100;2015;8453424968;999;i
OH-MER;mnninci999;p0p100;2016;8643759520;999;i
OH-MER;mnninci999;p0p100;2017;8925888672;999;i
OH-MER;mnninci999;p0p100;2018;9224692136;999;i
OH-MER;mnninci999;p0p100;2019;9086937104;999;i
OH-MER;mnninci999;p0p100;2020;8167170736;999;i
OH-MER;mnninci999;p0p100;2021;7905139760;999;i
OH-MER;mnninci999;p0p100;2022;8391904792;999;i
OH-MER;mnweali999;p0p100;1995;9079686420;999;i
OH-MER;mnweali999;p0p100;1996;9630726904;999;i
OH-MER;mnweali999;p0p100;1997;9889875476;999;i
OH-MER;mnweali999;p0p100;1998;10291038956;999;i
OH-MER;mnweali999;p0p100;1999;10805414384;999;i
OH-MER;mnweali999;p0p100;2000;11027485372;999;i
OH-MER;mnweali999;p0p100;2001;11386549996;999;i
OH-MER;mnweali999;p0p100;2002;11670186228;999;i
OH-MER;mnweali999;p0p100;2003;12238648136;999;i
OH-MER;mnweali999;p0p100;2004;13093189476;999;i
OH-MER;mnweali999;p0p100;2005;13640616708;999;i
OH-MER;mnweali999;p0p100;2006;14122772208;999;i
OH-MER;mnweali999;p0p100;2007;14517848340;999;i
OH-MER;mnweali999;p0p100;2008;14964308304;999;i
OH-MER;mnweali999;p0p100;2009;15146863704;999;i
OH-MER;mnweali999;p0p100;2010;15842159856;999;i
OH-MER;mnweali999;p0p100;2011;16179314648;999;i
OH-MER;mnweali999;p0p100;2012;16425941192;999;i
OH-MER;mnweali999;p0p100;2013;17650707056;999;i
OH-MER;mnweali999;p0p100;2014;18271925536;999;i
OH-MER;mnweali999;p0p100;2015;19215777792;999;i
OH-MER;mnweali999;p0p100;2016;19908894800;999;i
OH-MER;mnweali999;p0p100;2017;20742628400;999;i
OH-MER;mnweali999;p0p100;2018;21454615056;999;i
OH-MER;mnweali999;p0p100;2019;21725300720;999;i
OH-MER;mnweali999;p0p100;2020;20115184096;999;i
OH-MER;mnweali999;p0p100;2021;20073530000;999;i
OH-MER;mpweali999;p0p100;1995;8984839728;999;i
OH-MER;mpweali999;p0p100;1996;9392994512;999;i
OH-MER;mpweali999;p0p100;1997;9614682116;999;i
OH-MER;mpweali999;p0p100;1998;9849935756;999;i
OH-MER;mpweali999;p0p100;1999;10136054832;999;i
OH-MER;mpweali999;p0p100;2000;10356523792;999;i
OH-MER;mpweali999;p0p100;2001;10702106528;999;i
OH-MER;mpweali999;p0p100;2002;11023975036;999;i
OH-MER;mpweali999;p0p100;2003;11560253640;999;i
OH-MER;mpweali999;p0p100;2004;12304853612;999;i
OH-MER;mpweali999;p0p100;2005;12680517532;999;i
OH-MER;mpweali999;p0p100;2006;13110093364;999;i
OH-MER;mpweali999;p0p100;2007;13454704040;999;i
OH-MER;mpweali999;p0p100;2008;13823738348;999;i
OH-MER;mpweali999;p0p100;2009;14050648112;999;i
OH-MER;mpweali999;p0p100;2010;14700388632;999;i
OH-MER;mpweali999;p0p100;2011;15053602560;999;i
OH-MER;mpweali999;p0p100;2012;15375844920;999;i
OH-MER;mpweali999;p0p100;2013;16532446808;999;i
OH-MER;mpweali999;p0p100;2014;17065270128;999;i
OH-MER;mpweali999;p0p100;2015;18037249216;999;i
OH-MER;mpweali999;p0p100;2016;18858235424;999;i
OH-MER;mpweali999;p0p100;2017;19755668592;999;i
OH-MER;mpweali999;p0p100;2018;20591714336;999;i
OH-MER;mpweali999;p0p100;2019;20951469296;999;i
OH-MER;mpweali999;p0p100;2020;19552901568;999;i
OH-MER;mpweali999;p0p100;2021;19591101968;999;i
OH-MER;wwealgi999;p0p100;1995;0.0167732685804367;999;i
OH-MER;wwealgi999;p0p100;1996;0.0410796329379082;999;i
OH-MER;wwealgi999;p0p100;1997;0.0479286462068558;999;i
OH-MER;wwealgi999;p0p100;1998;0.0753305703401566;999;i
OH-MER;wwealgi999;p0p100;1999;0.109788134694099;999;i
OH-MER;wwealgi999;p0p100;2000;0.110816016793251;999;i
OH-MER;wwealgi999;p0p100;2001;0.111251719295979;999;i
OH-MER;wwealgi999;p0p100;2002;0.102647930383682;999;i
OH-MER;wwealgi999;p0p100;2003;0.107179753482342;999;i
OH-MER;wwealgi999;p0p100;2004;0.118916168808937;999;i
OH-MER;wwealgi999;p0p100;2005;0.142771631479263;999;i
OH-MER;wwealgi999;p0p100;2006;0.148295357823372;999;i
OH-MER;wwealgi999;p0p100;2007;0.154137507081032;999;i
OH-MER;wwealgi999;p0p100;2008;0.161957606673241;999;i
OH-MER;wwealgi999;p0p100;2009;0.154194042086601;999;i
OH-MER;wwealgi999;p0p100;2010;0.156115472316742;999;i
OH-MER;wwealgi999;p0p100;2011;0.152959793806076;999;i
OH-MER;wwealgi999;p0p100;2012;0.141593739390373;999;i
OH-MER;wwealgi999;p0p100;2013;0.140970975160599;999;i
OH-MER;wwealgi999;p0p100;2014;0.148950532078743;999;i
OH-MER;wwealgi999;p0p100;2015;0.139414325356483;999;i
OH-MER;wwealgi999;p0p100;2016;0.12155120819807;999;i
OH-MER;wwealgi999;p0p100;2017;0.11057273298502;999;i
OH-MER;wwealgi999;p0p100;2018;0.0935424417257309;999;i
OH-MER;wwealgi999;p0p100;2019;0.0851586312055588;999;i
OH-MER;wwealgi999;p0p100;2020;0.0688465610146523;999;i
OH-MER;wwealgi999;p0p100;2021;0.0610270760953426;999;i
OH-MER;wwealpi999;p0p100;1995;1.58891534805298;999;i
OH-MER;wwealpi999;p0p100;1996;1.62308752536774;999;i
OH-MER;wwealpi999;p0p100;1997;1.67452299594879;999;i
OH-MER;wwealpi999;p0p100;1998;1.68214857578278;999;i
OH-MER;wwealpi999;p0p100;1999;1.66251277923584;999;i
OH-MER;wwealpi999;p0p100;2000;1.71048295497894;999;i
OH-MER;wwealpi999;p0p100;2001;1.73955535888672;999;i
OH-MER;wwealpi999;p0p100;2002;1.75111174583435;999;i
OH-MER;wwealpi999;p0p100;2003;1.82640790939331;999;i
OH-MER;wwealpi999;p0p100;2004;1.85611987113953;999;i
OH-MER;wwealpi999;p0p100;2005;1.88565754890442;999;i
OH-MER;wwealpi999;p0p100;2006;1.91982471942902;999;i
OH-MER;wwealpi999;p0p100;2007;1.95069849491119;999;i
