country;variable;percentile;year;value;age;pop
OI;ehfcari999;p0p100;1990;229.462390806064;999;i
OI;ehfcari999;p0p100;1991;228.325084138963;999;i
OI;ehfcari999;p0p100;1992;259.75932559753;999;i
OI;ehfcari999;p0p100;1993;257.461190770919;999;i
OI;ehfcari999;p0p100;1994;268.943434909978;999;i
OI;ehfcari999;p0p100;1995;287.539120422029;999;i
OI;ehfcari999;p0p100;1996;300.769070853092;999;i
OI;ehfcari999;p0p100;1997;556.956977594693;999;i
OI;ehfcari999;p0p100;1998;289.397566895855;999;i
OI;ehfcari999;p0p100;1999;325.076736736597;999;i
OI;ehfcari999;p0p100;2000;358.658176222566;999;i
OI;ehfcari999;p0p100;2001;356.652020785318;999;i
OI;ehfcari999;p0p100;2002;366.511237804182;999;i
OI;ehfcari999;p0p100;2003;401.270479172577;999;i
OI;ehfcari999;p0p100;2004;430.617053046275;999;i
OI;ehfcari999;p0p100;2005;495.062437900162;999;i
OI;ehfcari999;p0p100;2006;482.620795509428;999;i
OI;ehfcari999;p0p100;2007;469.693016725334;999;i
OI;ehfcari999;p0p100;2008;504.183182620919;999;i
OI;ehfcari999;p0p100;2009;510.131383488609;999;i
OI;ehfcari999;p0p100;2010;549.12525002177;999;i
OI;ehfcari999;p0p100;2011;563.474790654274;999;i
OI;ehfcari999;p0p100;2012;591.292504052889;999;i
OI;ehfcari999;p0p100;2013;620.081968539342;999;i
OI;ehfcari999;p0p100;2014;641.18535764818;999;i
OI;ehfcari999;p0p100;2015;657.964751536058;999;i
OI;ehfcari999;p0p100;2016;677.275651324159;999;i
OI;ehfcari999;p0p100;2017;709.03660361286;999;i
OI;ehfcari999;p0p100;2018;747.401598614487;999;i
OI;ehfcari999;p0p100;2019;784.371150218885;999;i
OI;ehfcari999;p0p100;2020;729.465169703563;999;i
OI;ehfghdi999;p0p100;1990;38.0738204200825;999;i
OI;ehfghdi999;p0p100;1991;40.4133134355714;999;i
OI;ehfghdi999;p0p100;1992;43.756202041152;999;i
OI;ehfghdi999;p0p100;1993;47.5884360161562;999;i
OI;ehfghdi999;p0p100;1994;52.2623974023981;999;i
OI;ehfghdi999;p0p100;1995;57.6164130252856;999;i
OI;ehfghdi999;p0p100;1996;62.2203307303497;999;i
OI;ehfghdi999;p0p100;1997;67.0861089894306;999;i
OI;ehfghdi999;p0p100;1998;64.5964832373502;999;i
OI;ehfghdi999;p0p100;1999;66.0722800579436;999;i
OI;ehfghdi999;p0p100;2000;70.8662721001638;999;i
OI;ehfghdi999;p0p100;2001;74.6703269881502;999;i
OI;ehfghdi999;p0p100;2002;77.5991345145495;999;i
OI;ehfghdi999;p0p100;2003;82.6043952217206;999;i
OI;ehfghdi999;p0p100;2004;89.4722692371;999;i
OI;ehfghdi999;p0p100;2005;91.3135681054121;999;i
OI;ehfghdi999;p0p100;2006;93.3148399573594;999;i
OI;ehfghdi999;p0p100;2007;95.4832726021;999;i
OI;ehfghdi999;p0p100;2008;98.5317800715834;999;i
OI;ehfghdi999;p0p100;2009;101.807363717656;999;i
OI;ehfghdi999;p0p100;2010;105.327661647755;999;i
OI;ehfghdi999;p0p100;2011;109.1124820018;999;i
OI;ehfghdi999;p0p100;2012;111.928461878061;999;i
OI;ehfghdi999;p0p100;2013;115.038617373794;999;i
OI;ehfghdi999;p0p100;2014;118.4887911449;999;i
OI;ehfghdi999;p0p100;2015;127.506419352335;999;i
OI;ehfghdi999;p0p100;2016;138.00436815165;999;i
OI;ehfghdi999;p0p100;2017;146.998803890111;999;i
OI;ehfghdi999;p0p100;2018;159.879088403986;999;i
OI;ehfghdi999;p0p100;2019;167.72832580147;999;i
OI;ehfghdi999;p0p100;2020;155.987342995367;999;i
OI;ehfghgi999;p0p100;1980;420.61187102717;999;i
OI;ehfghgi999;p0p100;1981;423.991588748015;999;i
OI;ehfghgi999;p0p100;1982;437.295461056315;999;i
OI;ehfghgi999;p0p100;1983;465.199510041027;999;i
OI;ehfghgi999;p0p100;1984;466.739832223761;999;i
OI;ehfghgi999;p0p100;1985;483.389831330419;999;i
OI;ehfghgi999;p0p100;1986;503.081840623931;999;i
OI;ehfghgi999;p0p100;1987;514.969552018221;999;i
OI;ehfghgi999;p0p100;1988;540.074801892076;999;i
OI;ehfghgi999;p0p100;1989;545.596757035677;999;i
OI;ehfghgi999;p0p100;1990;573.104612109155;999;i
OI;ehfghgi999;p0p100;1991;576.180813033231;999;i
OI;ehfghgi999;p0p100;1992;618.21972865401;999;i
OI;ehfghgi999;p0p100;1993;631.227803466885;999;i
OI;ehfghgi999;p0p100;1994;657.296423381761;999;i
OI;ehfghgi999;p0p100;1995;696.53800968838;999;i
OI;ehfghgi999;p0p100;1996;729.325047121637;999;i
OI;ehfghgi999;p0p100;1997;909.354367220947;999;i
OI;ehfghgi999;p0p100;1998;715.453298559876;999;i
OI;ehfghgi999;p0p100;1999;770.383071167021;999;i
OI;ehfghgi999;p0p100;2000;812.33695399186;999;i
OI;ehfghgi999;p0p100;2001;819.614793972159;999;i
OI;ehfghgi999;p0p100;2002;839.6698894273;999;i
OI;ehfghgi999;p0p100;2003;901.055419186234;999;i
OI;ehfghgi999;p0p100;2004;950.110687183256;999;i
OI;ehfghgi999;p0p100;2005;1034.5470922524;999;i
OI;ehfghgi999;p0p100;2006;1033.45051489025;999;i
OI;ehfghgi999;p0p100;2007;1033.21538991157;999;i
OI;ehfghgi999;p0p100;2008;1079.77771169539;999;i
OI;ehfghgi999;p0p100;2009;1116.93452365305;999;i
OI;ehfghgi999;p0p100;2010;1170.83870034345;999;i
OI;ehfghgi999;p0p100;2011;1201.19542486278;999;i
OI;ehfghgi999;p0p100;2012;1233.71710198175;999;i
OI;ehfghgi999;p0p100;2013;1276.43225024143;999;i
OI;ehfghgi999;p0p100;2014;1313.90011911713;999;i
OI;ehfghgi999;p0p100;2015;1351.06180214165;999;i
OI;ehfghgi999;p0p100;2016;1420.38372264236;999;i
OI;ehfghgi999;p0p100;2017;1498.63583253081;999;i
OI;ehfghgi999;p0p100;2018;1605.85157855486;999;i
OI;ehfghgi999;p0p100;2019;1702.98539296972;999;i
OI;ehfghgi999;p0p100;2020;1583.77641546184;999;i
OI;ehfghni999;p0p100;1990;480.058249111476;999;i
OI;ehfghni999;p0p100;1991;480.894834889581;999;i
OI;ehfghni999;p0p100;1992;517.737583425683;999;i
OI;ehfghni999;p0p100;1993;524.912932048183;999;i
OI;ehfghni999;p0p100;1994;543.890125316686;999;i
OI;ehfghni999;p0p100;1995;574.331469923002;999;i
OI;ehfghni999;p0p100;1996;600.635149012482;999;i
OI;ehfghni999;p0p100;1997;779.564079897425;999;i
OI;ehfghni999;p0p100;1998;589.890233071599;999;i
OI;ehfghni999;p0p100;1999;640.063148115329;999;i
OI;ehfghni999;p0p100;2000;683.378246320577;999;i
OI;ehfghni999;p0p100;2001;683.293302953078;999;i
OI;ehfghni999;p0p100;2002;696.551704020105;999;i
OI;ehfghni999;p0p100;2003;740.866246456195;999;i
OI;ehfghni999;p0p100;2004;777.703541868086;999;i
OI;ehfghni999;p0p100;2005;858.07703005814;999;i
OI;ehfghni999;p0p100;2006;851.573283329859;999;i
OI;ehfghni999;p0p100;2007;844.832679774231;999;i
OI;ehfghni999;p0p100;2008;887.306970594263;999;i
OI;ehfghni999;p0p100;2009;915.780463792766;999;i
OI;ehfghni999;p0p100;2010;960.490025102612;999;i
OI;ehfghni999;p0p100;2011;982.320212894447;999;i
OI;ehfghni999;p0p100;2012;1016.44810645618;999;i
OI;ehfghni999;p0p100;2013;1056.2918476573;999;i
OI;ehfghni999;p0p100;2014;1080.9768528161;999;i
OI;ehfghni999;p0p100;2015;1106.82967809392;999;i
OI;ehfghni999;p0p100;2016;1160.01057147161;999;i
OI;ehfghni999;p0p100;2017;1227.78302304846;999;i
OI;ehfghni999;p0p100;2018;1308.02974434573;999;i
OI;ehfghni999;p0p100;2019;1372.81996761584;999;i
OI;ehfghni999;p0p100;2020;1276.72256988273;999;i
OI;ehfghoi999;p0p100;1990;298.27987787168;999;i
OI;ehfghoi999;p0p100;1991;300.50062530671;999;i
OI;ehfghoi999;p0p100;1992;308.132793498749;999;i
OI;ehfghoi999;p0p100;1993;319.335271435742;999;i
OI;ehfghoi999;p0p100;1994;328.581836234349;999;i
OI;ehfghoi999;p0p100;1995;343.124744120061;999;i
OI;ehfghoi999;p0p100;1996;357.67881491645;999;i
OI;ehfghoi999;p0p100;1997;277.107453495263;999;i
OI;ehfghoi999;p0p100;1998;353.220683032359;999;i
OI;ehfghoi999;p0p100;1999;370.557839016221;999;i
OI;ehfghoi999;p0p100;2000;374.141546623967;999;i
OI;ehfghoi999;p0p100;2001;379.931096841392;999;i
OI;ehfghoi999;p0p100;2002;386.462387655765;999;i
OI;ehfghoi999;p0p100;2003;406.068423006166;999;i
OI;ehfghoi999;p0p100;2004;416.98351376318;999;i
OI;ehfghoi999;p0p100;2005;435.311475812165;999;i
OI;ehfghoi999;p0p100;2006;443.476770518183;999;i
OI;ehfghoi999;p0p100;2007;453.189814286738;999;i
OI;ehfghoi999;p0p100;2008;463.303270097679;999;i
OI;ehfghoi999;p0p100;2009;488.469220527485;999;i
OI;ehfghoi999;p0p100;2010;496.205327941202;999;i
OI;ehfghoi999;p0p100;2011;503.210064241212;999;i
OI;ehfghoi999;p0p100;2012;509.104796263268;999;i
OI;ehfghoi999;p0p100;2013;519.634711949228;999;i
OI;ehfghoi999;p0p100;2014;524.721765764973;999;i
OI;ehfghoi999;p0p100;2015;535.041955038097;999;i
OI;ehfghoi999;p0p100;2016;571.13830706571;999;i
OI;ehfghoi999;p0p100;2017;607.662530878647;999;i
OI;ehfghoi999;p0p100;2018;650.357595657578;999;i
OI;ehfghoi999;p0p100;2019;694.234680776684;999;i
OI;ehfghoi999;p0p100;2020;645.638253122316;999;i
OI;enfcari999;p0p100;1990;463.153834593058;999;i
OI;enfcari999;p0p100;1991;474.610380285464;999;i
OI;enfcari999;p0p100;1992;549.424619891265;999;i
OI;enfcari999;p0p100;1993;556.483959398801;999;i
OI;enfcari999;p0p100;1994;585.847745376425;999;i
OI;enfcari999;p0p100;1995;624.417480855933;999;i
OI;enfcari999;p0p100;1996;664.606806997799;999;i
OI;enfcari999;p0p100;1997;691.079604292643;999;i
OI;enfcari999;p0p100;1998;593.427029201168;999;i
OI;enfcari999;p0p100;1999;650.89712893612;999;i
OI;enfcari999;p0p100;2000;714.134498917243;999;i
OI;enfcari999;p0p100;2001;715.586000720712;999;i
OI;enfcari999;p0p100;2002;742.111630685485;999;i
OI;enfcari999;p0p100;2003;815.291565913414;999;i
OI;enfcari999;p0p100;2004;878.641586224341;999;i
OI;enfcari999;p0p100;2005;949.208545000457;999;i
OI;enfcari999;p0p100;2006;988.8922697318;999;i
OI;enfcari999;p0p100;2007;966.266020615747;999;i
OI;enfcari999;p0p100;2008;1036.17796658617;999;i
OI;enfcari999;p0p100;2009;1031.91632518055;999;i
OI;enfcari999;p0p100;2010;1121.47990242978;999;i
OI;enfcari999;p0p100;2011;1156.47797692358;999;i
OI;enfcari999;p0p100;2012;1210.96554855415;999;i
OI;enfcari999;p0p100;2013;1287.28139735772;999;i
OI;enfcari999;p0p100;2014;1320.27451145491;999;i
OI;enfcari999;p0p100;2015;1346.55617031992;999;i
OI;enfcari999;p0p100;2016;1382.97760650245;999;i
OI;enfcari999;p0p100;2017;1439.45739392397;999;i
OI;enfcari999;p0p100;2018;1533.83811802496;999;i
OI;enfcari999;p0p100;2019;1610.52734009792;999;i
OI;enfcari999;p0p100;2020;1497.79042629107;999;i
OI;enfghgi999;p0p100;1980;608.449133957581;999;i
OI;enfghgi999;p0p100;1981;617.443804980147;999;i
OI;enfghgi999;p0p100;1982;636.606621353477;999;i
OI;enfghgi999;p0p100;1983;678.750894735411;999;i
OI;enfghgi999;p0p100;1984;678.832028353278;999;i
OI;enfghgi999;p0p100;1985;694.934815276104;999;i
OI;enfghgi999;p0p100;1986;718.676298400997;999;i
OI;enfghgi999;p0p100;1987;743.973833039955;999;i
OI;enfghgi999;p0p100;1988;792.359079344813;999;i
OI;enfghgi999;p0p100;1989;820.300820482339;999;i
OI;enfghgi999;p0p100;1990;873.9543300267;999;i
OI;enfghgi999;p0p100;1991;890.730178433944;999;i
OI;enfghgi999;p0p100;1992;979.965974242661;999;i
OI;enfghgi999;p0p100;1993;1008.49535718218;999;i
OI;enfghgi999;p0p100;1994;1054.76331807352;999;i
OI;enfghgi999;p0p100;1995;1109.25934394907;999;i
OI;enfghgi999;p0p100;1996;1172.64435949658;999;i
OI;enfghgi999;p0p100;1997;1174.79195778898;999;i
OI;enfghgi999;p0p100;1998;1076.66997792178;999;i
OI;enfghgi999;p0p100;1999;1156.57227144507;999;i
OI;enfghgi999;p0p100;2000;1228.7484726135;999;i
OI;enfghgi999;p0p100;2001;1238.11430971067;999;i
OI;enfghgi999;p0p100;2002;1275.07873343996;999;i
OI;enfghgi999;p0p100;2003;1371.03191815885;999;i
OI;enfghgi999;p0p100;2004;1449.26833611742;999;i
OI;enfghgi999;p0p100;2005;1532.27298442528;999;i
OI;enfghgi999;p0p100;2006;1597.66097179729;999;i
OI;enfghgi999;p0p100;2007;1597.19746781009;999;i
OI;enfghgi999;p0p100;2008;1684.46093588851;999;i
OI;enfghgi999;p0p100;2009;1708.03936979153;999;i
OI;enfghgi999;p0p100;2010;1814.55356682453;999;i
OI;enfghgi999;p0p100;2011;1855.97718644497;999;i
OI;enfghgi999;p0p100;2012;1921.98250822385;999;i
OI;enfghgi999;p0p100;2013;2020.46310562976;999;i
OI;enfghgi999;p0p100;2014;2056.84160941866;999;i
OI;enfghgi999;p0p100;2015;2097.06913565159;999;i
OI;enfghgi999;p0p100;2016;2173.94388887492;999;i
OI;enfghgi999;p0p100;2017;2274.69768085227;999;i
OI;enfghgi999;p0p100;2018;2424.36080577113;999;i
OI;enfghgi999;p0p100;2019;2558.60337175222;999;i
OI;enfghgi999;p0p100;2020;2379.50113572957;999;i
OI;enfghoi999;p0p100;1990;410.800495433642;999;i
OI;enfghoi999;p0p100;1991;416.11979814848;999;i
OI;enfghoi999;p0p100;1992;430.541354351396;999;i
OI;enfghoi999;p0p100;1993;452.011397783383;999;i
OI;enfghoi999;p0p100;1994;468.915572697097;999;i
OI;enfghoi999;p0p100;1995;484.841863093135;999;i
OI;enfghoi999;p0p100;1996;508.037552498777;999;i
OI;enfghoi999;p0p100;1997;483.712353496335;999;i
OI;enfghoi999;p0p100;1998;483.242948720608;999;i
OI;enfghoi999;p0p100;1999;505.675142508947;999;i
OI;enfghoi999;p0p100;2000;514.613973696257;999;i
OI;enfghoi999;p0p100;2001;522.528308989958;999;i
OI;enfghoi999;p0p100;2002;532.967102754473;999;i
OI;enfghoi999;p0p100;2003;555.740352245438;999;i
OI;enfghoi999;p0p100;2004;570.626749893084;999;i
OI;enfghoi999;p0p100;2005;583.064439424828;999;i
OI;enfghoi999;p0p100;2006;608.768702065491;999;i
OI;enfghoi999;p0p100;2007;630.931447194341;999;i
OI;enfghoi999;p0p100;2008;648.282969302338;999;i
OI;enfghoi999;p0p100;2009;676.123044610986;999;i
OI;enfghoi999;p0p100;2010;693.073664394748;999;i
OI;enfghoi999;p0p100;2011;699.499209521391;999;i
