country;variable;percentile;year;value;age;pop
PS;aflcipi992;p0p100;1995;87.8;992;i
PS;aflcipi992;p0p100;1996;77.6;992;i
PS;aflcipi992;p0p100;1997;104.5;992;i
PS;aflcipi992;p0p100;1998;110.1;992;i
PS;aflcipi992;p0p100;1999;106;992;i
PS;aflcipi992;p0p100;2000;117.9;992;i
PS;aflcipi992;p0p100;2001;83.9;992;i
PS;aflcipi992;p0p100;2002;69.6;992;i
PS;aflcipi992;p0p100;2003;69.6;992;i
PS;aflcipi992;p0p100;2004;106;992;i
PS;aflcipi992;p0p100;2005;121.4;992;i
PS;aflcipi992;p0p100;2006;85.6;992;i
PS;aflcipi992;p0p100;2007;82.2;992;i
PS;aflcipi992;p0p100;2008;66.7;992;i
PS;aflcipi992;p0p100;2009;142.9;992;i
PS;aflcipi992;p0p100;2010;163;992;i
PS;aflcipi992;p0p100;2011;156;992;i
PS;aflcipi992;p0p100;2012;157.4;992;i
PS;aflcipi992;p0p100;2013;130.7;992;i
PS;aflcipi992;p0p100;2014;151.2;992;i
PS;aflcipi992;p0p100;2015;121;992;i
PS;aflcipi992;p0p100;2016;120.6;992;i
PS;aflcipi992;p0p100;2017;160.2;992;i
PS;aflcipi992;p0p100;2018;156.9;992;i
PS;aflciri992;p0p100;1995;1153.8;992;i
PS;aflciri992;p0p100;1996;1021.7;992;i
PS;aflciri992;p0p100;1997;1159.1;992;i
PS;aflciri992;p0p100;1998;1600;992;i
PS;aflciri992;p0p100;1999;1639.7;992;i
PS;aflciri992;p0p100;2000;818;992;i
PS;aflciri992;p0p100;2001;480.2;992;i
PS;aflciri992;p0p100;2002;314.2;992;i
PS;aflciri992;p0p100;2003;340;992;i
PS;aflciri992;p0p100;2004;388.4;992;i
PS;aflciri992;p0p100;2005;562.9;992;i
PS;aflciri992;p0p100;2006;576.3;992;i
PS;aflciri992;p0p100;2007;687.7;992;i
PS;aflciri992;p0p100;2008;672.6;992;i
PS;aflciri992;p0p100;2009;568;992;i
PS;aflciri992;p0p100;2010;572.6;992;i
PS;aflciri992;p0p100;2011;620.7;992;i
PS;aflciri992;p0p100;2012;649.8;992;i
PS;aflciri992;p0p100;2013;784.6;992;i
PS;aflciri992;p0p100;2014;936.8;992;i
PS;aflciri992;p0p100;2015;1043.3;992;i
PS;aflciri992;p0p100;2016;1117;992;i
PS;aflciri992;p0p100;2017;1212.8;992;i
PS;aflciri992;p0p100;2018;1502.7;992;i
PS;mcompxi999;p0p100;1995;1725074;999;i
PS;mcompxi999;p0p100;1996;1494316;999;i
PS;mcompxi999;p0p100;1997;1641297;999;i
PS;mcompxi999;p0p100;1998;1772420;999;i
PS;mcompxi999;p0p100;1999;1812956;999;i
PS;mcompxi999;p0p100;2000;1612461;999;i
PS;mcompxi999;p0p100;2001;1573101;999;i
PS;mcompxi999;p0p100;2002;1549326;999;i
PS;mcompxi999;p0p100;2003;1584944;999;i
PS;mcompxi999;p0p100;2004;1770764;999;i
PS;mcompxi999;p0p100;2005;2036303;999;i
PS;mcompxi999;p0p100;2006;1681867;999;i
PS;mcompxi999;p0p100;2007;1610096;999;i
PS;mcompxi999;p0p100;2008;1379460;999;i
PS;mcompxi999;p0p100;2009;1356608;999;i
PS;mcompxi999;p0p100;2010;1187917;999;i
PS;mcompxi999;p0p100;2011;1132281;999;i
PS;mcompxi999;p0p100;2012;1094850;999;i
PS;mcompxi999;p0p100;2013;1035980;999;i
PS;mcompxi999;p0p100;2014;999283;999;i
PS;mcompxi999;p0p100;2015;1037752;999;i
PS;mcompxi999;p0p100;2016;1024658;999;i
PS;mcompxi999;p0p100;2017;992667;999;i
PS;mcompxi999;p0p100;2018;995647;999;i
PS;mftaxxi999;p0p100;1994;0;999;i
PS;mftaxxi999;p0p100;1995;0;999;i
PS;mftaxxi999;p0p100;1996;0;999;i
PS;mftaxxi999;p0p100;1997;0;999;i
PS;mftaxxi999;p0p100;1998;0;999;i
PS;mftaxxi999;p0p100;1999;0;999;i
PS;mftaxxi999;p0p100;2000;0;999;i
PS;mftaxxi999;p0p100;2001;0;999;i
PS;mftaxxi999;p0p100;2002;0;999;i
PS;mftaxxi999;p0p100;2003;0;999;i
PS;mftaxxi999;p0p100;2004;0;999;i
PS;mftaxxi999;p0p100;2005;0;999;i
PS;mftaxxi999;p0p100;2006;0;999;i
PS;mftaxxi999;p0p100;2007;0;999;i
PS;mftaxxi999;p0p100;2008;0;999;i
PS;mftaxxi999;p0p100;2009;0;999;i
PS;mftaxxi999;p0p100;2010;0;999;i
PS;mftaxxi999;p0p100;2011;0;999;i
PS;mftaxxi999;p0p100;2012;0;999;i
PS;mftaxxi999;p0p100;2013;0;999;i
PS;mftaxxi999;p0p100;2014;0;999;i
PS;mftaxxi999;p0p100;2015;0;999;i
PS;mftaxxi999;p0p100;2016;0;999;i
PS;mftaxxi999;p0p100;2017;0;999;i
PS;mftaxxi999;p0p100;2018;0;999;i
PS;mftaxxi999;p0p100;2019;0;999;i
PS;mftaxxi999;p0p100;2020;0;999;i
PS;mptfnxi999;p0p100;1995;111063496;999;i
PS;mptfnxi999;p0p100;1996;121819008;999;i
PS;mptfnxi999;p0p100;1997;129858336;999;i
PS;mptfnxi999;p0p100;1998;46064528;999;i
PS;mptfnxi999;p0p100;1999;46962504;999;i
PS;mptfnxi999;p0p100;2000;43250400;999;i
PS;mptfnxi999;p0p100;2001;109830464;999;i
PS;mptfnxi999;p0p100;2002;20815064;999;i
PS;mptfnxi999;p0p100;2003;7288399;999;i
PS;mptfnxi999;p0p100;2004;-15790887;999;i
PS;mptfnxi999;p0p100;2005;70158016;999;i
PS;mptfnxi999;p0p100;2006;147301920;999;i
PS;mptfnxi999;p0p100;2008;208876368;999;i
PS;mptfnxi999;p0p100;2009;74543432;999;i
PS;mptfnxi999;p0p100;2010;61956816;999;i
PS;mptfnxi999;p0p100;2011;292916;999;i
PS;mptfnxi999;p0p100;2012;-17839800;999;i
PS;mptfnxi999;p0p100;2013;35280988;999;i
PS;mptfnxi999;p0p100;2014;70365808;999;i
PS;mptfnxi999;p0p100;2015;35005132;999;i
PS;mptfnxi999;p0p100;2016;38334600;999;i
PS;mptfnxi999;p0p100;2017;70538008;999;i
PS;mptfnxi999;p0p100;2018;171705296;999;i
PS;adiincj992;p99.993p99.994;2018;812478.5;992;j
PS;adiincj992;p99.993p99.994;2019;809800.7;992;j
PS;adiincj992;p99.993p99.994;2020;688776.8;992;j
PS;adiincj992;p99.993p99.994;2021;719739.7;992;j
PS;adiincj992;p99.994p100;2018;1787249.9;992;j
PS;adiincj992;p99.994p100;2019;1781359.3;992;j
PS;adiincj992;p99.994p100;2020;1515139;992;j
PS;adiincj992;p99.994p100;2021;1583248.5;992;j
PS;adiincj992;p0p1;2018;131.8;992;j
PS;adiincj992;p0p1;2019;196.1;992;j
PS;adiincj992;p0p1;2020;167;992;j
PS;adiincj992;p0p1;2021;174.3;992;j
PS;adiincj992;p99.9p99.91;2018;234780.9;992;j
PS;adiincj992;p99.9p99.91;2019;234006.8;992;j
PS;adiincj992;p99.9p99.91;2020;199035;992;j
PS;adiincj992;p99.9p99.91;2021;207981.9;992;j
PS;adiincj992;p9p10;2018;733.8;992;j
PS;adiincj992;p9p10;2019;731.4;992;j
PS;adiincj992;p9p10;2020;622;992;j
PS;adiincj992;p9p10;2021;650;992;j
PS;bdiincj992;p99.2p100;2018;1.78337585926056;992;j
PS;bdiincj992;p99.2p100;2019;1.78337669372559;992;j
PS;bdiincj992;p99.2p100;2020;1.78337562084198;992;j
PS;bdiincj992;p99.2p100;2021;1.78337585926056;992;j
PS;sdiincj992;p99.993p99.994;2018;0.0009;992;j
PS;sdiincj992;p99.993p99.994;2019;0.0009;992;j
PS;sdiincj992;p99.993p99.994;2020;0.0009;992;j
PS;sdiincj992;p99.993p99.994;2021;0.0009;992;j
PS;tdiincj992;p99.998p99.999;2018;1505217.1;992;j
PS;tdiincj992;p99.998p99.999;2019;1500256;992;j
PS;tdiincj992;p99.998p99.999;2020;1276046;992;j
PS;tdiincj992;p99.998p99.999;2021;1333407.3;992;j
PS;acomnxi992;p0p100;1994;662.5;992;i
PS;acomnxi992;p0p100;1995;959;992;i
PS;acomnxi992;p0p100;1996;829.7;992;i
PS;acomnxi992;p0p100;1997;941.3;992;i
PS;acomnxi992;p0p100;1998;1466.3;992;i
PS;acomnxi992;p0p100;1999;1503.6;992;i
PS;acomnxi992;p0p100;2000;673.1;992;i
PS;acomnxi992;p0p100;2001;268.1;992;i
PS;acomnxi992;p0p100;2002;180.7;992;i
PS;acomnxi992;p0p100;2003;257.4;992;i
PS;acomnxi992;p0p100;2004;289.2;992;i
PS;acomnxi992;p0p100;2005;360.9;992;i
PS;acomnxi992;p0p100;2006;392.4;992;i
PS;acomnxi992;p0p100;2007;449.5;992;i
PS;acomnxi992;p0p100;2008;479.1;992;i
PS;acomnxi992;p0p100;2009;443.3;992;i
PS;acomnxi992;p0p100;2010;448.4;992;i
PS;acomnxi992;p0p100;2011;522.5;992;i
PS;acomnxi992;p0p100;2012;547.4;992;i
PS;acomnxi992;p0p100;2013;692.5;992;i
PS;acomnxi992;p0p100;2014;820.3;992;i
PS;acomnxi992;p0p100;2015;945.5;992;i
PS;acomnxi992;p0p100;2016;1028.3;992;i
PS;acomnxi992;p0p100;2017;1087.5;992;i
PS;acomnxi992;p0p100;2018;1327.9;992;i
PS;acomnxi992;p0p100;2019;1440.6;992;i
PS;acomnxi992;p0p100;2020;1144.9;992;i
PS;acomnxi999;p0p100;1994;265.2;999;i
PS;acomnxi999;p0p100;1995;385.3;999;i
