country;variable;percentile;year;value;age;pop
QB-MER;adiincj992;p0p1;2018;22.9;992;j
QB-MER;adiincj992;p0p1;2019;31.3;992;j
QB-MER;adiincj992;p0p1;2020;29.9;992;j
QB-MER;adiincj992;p0p1;2021;29.7;992;j
QB-MER;adiincj992;p0p100;2018;5142.8;992;j
QB-MER;adiincj992;p0p100;2019;4991.3;992;j
QB-MER;adiincj992;p0p100;2020;4710.3;992;j
QB-MER;adiincj992;p0p100;2021;4775.2;992;j
QB-MER;adiincj992;p0p50;2018;694;992;j
QB-MER;adiincj992;p0p50;2019;699.3;992;j
QB-MER;adiincj992;p0p50;2020;672.6;992;j
QB-MER;adiincj992;p0p50;2021;675.3;992;j
QB-MER;adiincj992;p10p100;2018;5700.7;992;j
QB-MER;adiincj992;p10p100;2019;5531.6;992;j
QB-MER;adiincj992;p10p100;2020;5220;992;j
QB-MER;adiincj992;p10p100;2021;5292.1;992;j
QB-MER;adiincj992;p10p11;2018;275.7;992;j
QB-MER;adiincj992;p10p11;2019;281.7;992;j
QB-MER;adiincj992;p10p11;2020;266.9;992;j
QB-MER;adiincj992;p10p11;2021;269.3;992;j
QB-MER;adiincj992;p11p100;2018;5761.7;992;j
QB-MER;adiincj992;p11p100;2019;5590.6;992;j
QB-MER;adiincj992;p11p100;2020;5275.7;992;j
QB-MER;adiincj992;p11p100;2021;5348.5;992;j
QB-MER;adiincj992;p11p12;2018;304.8;992;j
QB-MER;adiincj992;p11p12;2019;307.5;992;j
QB-MER;adiincj992;p11p12;2020;293.8;992;j
QB-MER;adiincj992;p11p12;2021;294.2;992;j
QB-MER;adiincj992;p12p100;2018;5823.7;992;j
QB-MER;adiincj992;p12p100;2019;5650.7;992;j
QB-MER;adiincj992;p12p100;2020;5332.3;992;j
QB-MER;adiincj992;p12p100;2021;5406;992;j
QB-MER;adiincj992;p12p13;2018;331;992;j
QB-MER;adiincj992;p12p13;2019;334.1;992;j
QB-MER;adiincj992;p12p13;2020;317.8;992;j
QB-MER;adiincj992;p12p13;2021;317.9;992;j
QB-MER;adiincj992;p13p100;2018;5886.8;992;j
QB-MER;adiincj992;p13p100;2019;5711.8;992;j
QB-MER;adiincj992;p13p100;2020;5389.9;992;j
QB-MER;adiincj992;p13p100;2021;5464.5;992;j
QB-MER;adiincj992;p13p14;2018;359.5;992;j
QB-MER;adiincj992;p13p14;2019;361.7;992;j
QB-MER;adiincj992;p13p14;2020;344.6;992;j
QB-MER;adiincj992;p13p14;2021;343.4;992;j
