country;variable;percentile;year;value;age;pop
QB;ehfcari999;p0p100;1990;249.359991882218;999;i
QB;ehfcari999;p0p100;1991;261.827988398653;999;i
QB;ehfcari999;p0p100;1992;271.033215617075;999;i
QB;ehfcari999;p0p100;1993;277.316675686688;999;i
QB;ehfcari999;p0p100;1994;287.32076056424;999;i
QB;ehfcari999;p0p100;1995;300.278899411682;999;i
QB;ehfcari999;p0p100;1996;295.254997250265;999;i
QB;ehfcari999;p0p100;1997;327.258920255594;999;i
QB;ehfcari999;p0p100;1998;331.973491934033;999;i
QB;ehfcari999;p0p100;1999;349.511375782986;999;i
QB;ehfcari999;p0p100;2000;351.553992731094;999;i
QB;ehfcari999;p0p100;2001;339.864747862789;999;i
QB;ehfcari999;p0p100;2002;337.882903371853;999;i
QB;ehfcari999;p0p100;2003;369.713897126789;999;i
QB;ehfcari999;p0p100;2004;392.760124266936;999;i
QB;ehfcari999;p0p100;2005;412.563556824846;999;i
QB;ehfcari999;p0p100;2006;421.160476262588;999;i
QB;ehfcari999;p0p100;2007;443.178264111358;999;i
QB;ehfcari999;p0p100;2008;459.910092221206;999;i
QB;ehfcari999;p0p100;2009;474.727599348629;999;i
QB;ehfcari999;p0p100;2010;477.326965855436;999;i
QB;ehfcari999;p0p100;2011;491.890230215412;999;i
QB;ehfcari999;p0p100;2012;502.104201613635;999;i
QB;ehfcari999;p0p100;2013;529.644445946941;999;i
QB;ehfcari999;p0p100;2014;555.802830940562;999;i
QB;ehfcari999;p0p100;2015;548.322202988386;999;i
QB;ehfcari999;p0p100;2016;562.383205380518;999;i
QB;ehfcari999;p0p100;2017;574.762361955244;999;i
QB;ehfcari999;p0p100;2018;577.333372775781;999;i
QB;ehfcari999;p0p100;2019;582.757225531905;999;i
QB;ehfcari999;p0p100;2020;568.188294893607;999;i
QB;ehfghdi999;p0p100;1990;49.6053993039087;999;i
QB;ehfghdi999;p0p100;1991;51.6450600486164;999;i
QB;ehfghdi999;p0p100;1992;52.3022326618014;999;i
QB;ehfghdi999;p0p100;1993;56.5037870068839;999;i
QB;ehfghdi999;p0p100;1994;55.916594395556;999;i
QB;ehfghdi999;p0p100;1995;59.3654252455124;999;i
QB;ehfghdi999;p0p100;1996;60.9405264357196;999;i
QB;ehfghdi999;p0p100;1997;64.9796094189462;999;i
QB;ehfghdi999;p0p100;1998;66.9198229326867;999;i
QB;ehfghdi999;p0p100;1999;68.0382863434496;999;i
QB;ehfghdi999;p0p100;2000;77.3101420416717;999;i
QB;ehfghdi999;p0p100;2001;77.0890918375678;999;i
QB;ehfghdi999;p0p100;2002;77.6643582626842;999;i
QB;ehfghdi999;p0p100;2003;84.8694998511482;999;i
QB;ehfghdi999;p0p100;2004;89.685995333;999;i
QB;ehfghdi999;p0p100;2005;91.2464403483266;999;i
QB;ehfghdi999;p0p100;2006;93.1174311982942;999;i
QB;ehfghdi999;p0p100;2007;95.2974324602;999;i
QB;ehfghdi999;p0p100;2008;97.7775493870948;999;i
QB;ehfghdi999;p0p100;2009;100.510617159097;999;i
QB;ehfghdi999;p0p100;2010;103.511706897251;999;i
QB;ehfghdi999;p0p100;2011;106.7972116371;999;i
QB;ehfghdi999;p0p100;2012;108.476387729262;999;i
QB;ehfghdi999;p0p100;2013;110.695448047148;999;i
QB;ehfghdi999;p0p100;2014;113.500582556;999;i
QB;ehfghdi999;p0p100;2015;112.593481977208;999;i
QB;ehfghdi999;p0p100;2016;117.262188728892;999;i
QB;ehfghdi999;p0p100;2017;122.166693437036;999;i
QB;ehfghdi999;p0p100;2018;124.903814402383;999;i
QB;ehfghdi999;p0p100;2019;126.758561301435;999;i
QB;ehfghdi999;p0p100;2020;123.589597268899;999;i
QB;ehfghgi999;p0p100;1980;922.99096601972;999;i
QB;ehfghgi999;p0p100;1981;855.057877634022;999;i
QB;ehfghgi999;p0p100;1982;858.441917008405;999;i
QB;ehfghgi999;p0p100;1983;862.285272692238;999;i
QB;ehfghgi999;p0p100;1984;886.305469948119;999;i
QB;ehfghgi999;p0p100;1985;906.92533002021;999;i
QB;ehfghgi999;p0p100;1986;933.468061266849;999;i
QB;ehfghgi999;p0p100;1987;937.885512222247;999;i
QB;ehfghgi999;p0p100;1988;950.990010566576;999;i
QB;ehfghgi999;p0p100;1989;943.952477081901;999;i
