country;variable;percentile;year;value;age;pop
QF-MER;adiincj992;p0p1;2018;89.8;992;j
QF-MER;adiincj992;p0p1;2019;118.9;992;j
QF-MER;adiincj992;p0p1;2020;112.1;992;j
QF-MER;adiincj992;p0p1;2021;113.3;992;j
QF-MER;adiincj992;p0p100;2018;44498.5;992;j
QF-MER;adiincj992;p0p100;2019;44217.4;992;j
QF-MER;adiincj992;p0p100;2020;21626.6;992;j
QF-MER;adiincj992;p0p100;2021;22002.6;992;j
QF-MER;adiincj992;p0p50;2018;19697.4;992;j
QF-MER;adiincj992;p0p50;2019;19492.5;992;j
QF-MER;adiincj992;p0p50;2020;2416.9;992;j
QF-MER;adiincj992;p0p50;2021;2414.4;992;j
QF-MER;adiincj992;p10p100;2018;49282.1;992;j
QF-MER;adiincj992;p10p100;2019;48968.6;992;j
QF-MER;adiincj992;p10p100;2020;23986.2;992;j
QF-MER;adiincj992;p10p100;2021;24403.5;992;j
QF-MER;adiincj992;p10p11;2018;3067;992;j
QF-MER;adiincj992;p10p11;2019;3048;992;j
QF-MER;adiincj992;p10p11;2020;980.4;992;j
QF-MER;adiincj992;p10p11;2021;958.2;992;j
QF-MER;adiincj992;p11p100;2018;49801.4;992;j
QF-MER;adiincj992;p11p100;2019;49484.6;992;j
QF-MER;adiincj992;p11p100;2020;24244.7;992;j
QF-MER;adiincj992;p11p100;2021;24666.9;992;j
QF-MER;adiincj992;p11p12;2018;3428.8;992;j
QF-MER;adiincj992;p11p12;2019;3403.5;992;j
QF-MER;adiincj992;p11p12;2020;1045.5;992;j
QF-MER;adiincj992;p11p12;2021;1040.1;992;j
QF-MER;adiincj992;p12p100;2018;50328.3;992;j
QF-MER;adiincj992;p12p100;2019;50008.2;992;j
QF-MER;adiincj992;p12p100;2020;24508.3;992;j
QF-MER;adiincj992;p12p100;2021;24935.4;992;j
QF-MER;adiincj992;p12p13;2018;3965.8;992;j
QF-MER;adiincj992;p12p13;2019;3978.5;992;j
QF-MER;adiincj992;p12p13;2020;1099.2;992;j
QF-MER;adiincj992;p12p13;2021;1110.9;992;j
QF-MER;adiincj992;p13p100;2018;50861.3;992;j
QF-MER;adiincj992;p13p100;2019;50537.3;992;j
QF-MER;adiincj992;p13p100;2020;24777.4;992;j
QF-MER;adiincj992;p13p100;2021;25209.2;992;j
QF-MER;adiincj992;p13p14;2018;4642.9;992;j
QF-MER;adiincj992;p13p14;2019;4650.7;992;j
QF-MER;adiincj992;p13p14;2020;1171.9;992;j
QF-MER;adiincj992;p13p14;2021;1184.4;992;j
QF-MER;adiincj992;p14p100;2018;51398.7;992;j
QF-MER;adiincj992;p14p100;2019;51070.9;992;j
QF-MER;adiincj992;p14p100;2020;25051.9;992;j
QF-MER;adiincj992;p14p100;2021;25488.6;992;j
QF-MER;adiincj992;p14p15;2018;5569.1;992;j
QF-MER;adiincj992;p14p15;2019;5484.2;992;j
QF-MER;adiincj992;p14p15;2020;1253.3;992;j
QF-MER;adiincj992;p14p15;2021;1249.7;992;j
QF-MER;adiincj992;p15p100;2018;51937.8;992;j
QF-MER;adiincj992;p15p100;2019;51607.2;992;j
QF-MER;adiincj992;p15p100;2020;25331.9;992;j
QF-MER;adiincj992;p15p100;2021;25773.8;992;j
QF-MER;adiincj992;p15p16;2018;6855.5;992;j
QF-MER;adiincj992;p15p16;2019;6718.1;992;j
QF-MER;adiincj992;p15p16;2020;1312.5;992;j
