country;variable;percentile;year;value;age;pop
QG-MER;mgdproi999;p0p100;1950;174840227840;999;i
QG-MER;mgdproi999;p0p100;1951;178320732160;999;i
QG-MER;mgdproi999;p0p100;1952;180999485440;999;i
QG-MER;mgdproi999;p0p100;1953;186742724608;999;i
QG-MER;mgdproi999;p0p100;1954;200873148416;999;i
QG-MER;mgdproi999;p0p100;1955;210477776896;999;i
QG-MER;mgdproi999;p0p100;1956;218395463680;999;i
QG-MER;mgdproi999;p0p100;1957;223117348864;999;i
QG-MER;mgdproi999;p0p100;1958;233467006976;999;i
QG-MER;mgdproi999;p0p100;1959;248259538944;999;i
QG-MER;mgdproi999;p0p100;1960;256710930432;999;i
QG-MER;mgdproi999;p0p100;1961;262208012288;999;i
QG-MER;mgdproi999;p0p100;1962;267921104896;999;i
QG-MER;mgdproi999;p0p100;1963;281721630720;999;i
QG-MER;mgdproi999;p0p100;1964;301906288640;999;i
QG-MER;mgdproi999;p0p100;1965;320784138240;999;i
QG-MER;mgdproi999;p0p100;1966;326381273088;999;i
QG-MER;mgdproi999;p0p100;1967;339624861696;999;i
QG-MER;mgdproi999;p0p100;1968;354069630976;999;i
QG-MER;mgdproi999;p0p100;1969;377125302272;999;i
QG-MER;mgdproi999;p0p100;1970;401837576192;999;i
QG-MER;mgdproi999;p0p100;1971;417522212864;999;i
QG-MER;mgdproi999;p0p100;1972;439247970304;999;i
QG-MER;mgdproi999;p0p100;1973;455859167232;999;i
QG-MER;mgdproi999;p0p100;1974;464991461376;999;i
QG-MER;mgdproi999;p0p100;1975;471735042048;999;i
QG-MER;mgdproi999;p0p100;1976;485629247488;999;i
QG-MER;mgdproi999;p0p100;1977;494874116096;999;i
QG-MER;mgdproi999;p0p100;1978;498905333760;999;i
QG-MER;mgdproi999;p0p100;1979;516938539008;999;i
QG-MER;mgdproi999;p0p100;1980;531832725504;999;i
QG-MER;mgdproi999;p0p100;1981;555057782784;999;i
QG-MER;mgdproi999;p0p100;1982;559886008320;999;i
QG-MER;mgdproi999;p0p100;1983;559373631488;999;i
QG-MER;mgdproi999;p0p100;1984;586323697664;999;i
QG-MER;mgdproi999;p0p100;1985;614071353344;999;i
QG-MER;mgdproi999;p0p100;1986;634934910976;999;i
QG-MER;mgdproi999;p0p100;1987;652349112320;999;i
QG-MER;mgdproi999;p0p100;1988;687822077952;999;i
QG-MER;mgdproi999;p0p100;1989;708050632704;999;i
QG-MER;mgdproi999;p0p100;1990;726928875520;999;i
QG-MER;mgdproi999;p0p100;1991;719633170432;999;i
QG-MER;mgdproi999;p0p100;1992;719880830976;999;i
QG-MER;mgdproi999;p0p100;1993;755892002816;999;i
QG-MER;mgdproi999;p0p100;1994;788879384576;999;i
QG-MER;mgdproi999;p0p100;1995;815488638976;999;i
QG-MER;mgdproi999;p0p100;1996;845619167232;999;i
QG-MER;mgdproi999;p0p100;1997;876526673920;999;i
QG-MER;mgdproi999;p0p100;1998;913616609280;999;i
QG-MER;mgdproi999;p0p100;1999;959416434688;999;i
QG-MER;mgdproi999;p0p100;2000;995291480064;999;i
QG-MER;mgdproi999;p0p100;2001;1017781657600;999;i
QG-MER;mgdproi999;p0p100;2002;1054891024384;999;i
QG-MER;mgdproi999;p0p100;2003;1088900022272;999;i
QG-MER;mgdproi999;p0p100;2004;1132057968640;999;i
QG-MER;mgdproi999;p0p100;2005;1168143630336;999;i
QG-MER;mgdproi999;p0p100;2006;1200307437568;999;i
QG-MER;mgdproi999;p0p100;2007;1247886229504;999;i
QG-MER;mgdproi999;p0p100;2008;1287118028800;999;i
QG-MER;mgdproi999;p0p100;2009;1303734779904;999;i
QG-MER;mgdproi999;p0p100;2010;1330926551040;999;i
QG-MER;mgdproi999;p0p100;2011;1354806558720;999;i
QG-MER;mgdproi999;p0p100;2012;1381425610752;999;i
QG-MER;mgdproi999;p0p100;2013;1433333202944;999;i
QG-MER;mgdproi999;p0p100;2014;1454997372928;999;i
QG-MER;mgdproi999;p0p100;2015;1465743720448;999;i
QG-MER;mgdproi999;p0p100;2016;1508253548544;999;i
QG-MER;mgdproi999;p0p100;2017;1552809672704;999;i
QG-MER;mgdproi999;p0p100;2018;1593751437312;999;i
QG-MER;mgdproi999;p0p100;2019;1612617564160;999;i
QG-MER;mgdproi999;p0p100;2020;1625400082432;999;i
QG-MER;mgdproi999;p0p100;2021;1675421581312;999;i
QG-MER;mgdproi999;p0p100;2022;1772156960768;999;i
QG-MER;mgweali999;p0p100;1995;473571622912;999;i
QG-MER;mgweali999;p0p100;1996;472688189440;999;i
QG-MER;mgweali999;p0p100;1997;475963170816;999;i
QG-MER;mgweali999;p0p100;1998;499272253440;999;i
QG-MER;mgweali999;p0p100;1999;589726457856;999;i
QG-MER;mgweali999;p0p100;2000;654059749376;999;i
QG-MER;mgweali999;p0p100;2001;683184177152;999;i
QG-MER;mgweali999;p0p100;2002;706584035328;999;i
QG-MER;mgweali999;p0p100;2003;736734945280;999;i
QG-MER;mgweali999;p0p100;2004;790279397376;999;i
QG-MER;mgweali999;p0p100;2005;870986162176;999;i
QG-MER;mgweali999;p0p100;2006;938002898944;999;i
QG-MER;mgweali999;p0p100;2007;1030394290176;999;i
QG-MER;mgweali999;p0p100;2008;1148208463872;999;i
QG-MER;mgweali999;p0p100;2009;1247947784192;999;i
QG-MER;mgweali999;p0p100;2010;1288586084352;999;i
QG-MER;mgweali999;p0p100;2011;1244975808512;999;i
QG-MER;mgweali999;p0p100;2012;1171611303936;999;i
QG-MER;mgweali999;p0p100;2013;1170563186688;999;i
QG-MER;mgweali999;p0p100;2014;1241893257216;999;i
