country;variable;percentile;year;value;age;pop
QH-MER;mgdproi999;p0p100;1950;24639670784;999;i
QH-MER;mgdproi999;p0p100;1951;25824414464;999;i
QH-MER;mgdproi999;p0p100;1952;27392804864;999;i
QH-MER;mgdproi999;p0p100;1953;28074599168;999;i
QH-MER;mgdproi999;p0p100;1954;29759867648;999;i
QH-MER;mgdproi999;p0p100;1955;30996801280;999;i
QH-MER;mgdproi999;p0p100;1956;33906883328;999;i
QH-MER;mgdproi999;p0p100;1957;35299449344;999;i
QH-MER;mgdproi999;p0p100;1958;36927903232;999;i
QH-MER;mgdproi999;p0p100;1959;38440949504;999;i
QH-MER;mgdproi999;p0p100;1960;43694149488;999;i
QH-MER;mgdproi999;p0p100;1961;45819484032;999;i
QH-MER;mgdproi999;p0p100;1962;49270078320;999;i
QH-MER;mgdproi999;p0p100;1963;51938200912;999;i
QH-MER;mgdproi999;p0p100;1964;55270085488;999;i
QH-MER;mgdproi999;p0p100;1965;57369382704;999;i
QH-MER;mgdproi999;p0p100;1966;61165536464;999;i
QH-MER;mgdproi999;p0p100;1967;63551537040;999;i
QH-MER;mgdproi999;p0p100;1968;67201105168;999;i
QH-MER;mgdproi999;p0p100;1969;72095806480;999;i
QH-MER;mgdproi999;p0p100;1970;82156903376;999;i
QH-MER;mgdproi999;p0p100;1971;86713967832;999;i
QH-MER;mgdproi999;p0p100;1972;92816996906;999;i
QH-MER;mgdproi999;p0p100;1973;96668711908;999;i
QH-MER;mgdproi999;p0p100;1974;97219728912;999;i
QH-MER;mgdproi999;p0p100;1975;98958873596;999;i
QH-MER;mgdproi999;p0p100;1976;103818199756;999;i
QH-MER;mgdproi999;p0p100;1977;109525618284;999;i
QH-MER;mgdproi999;p0p100;1978;116539930492;999;i
QH-MER;mgdproi999;p0p100;1979;123659999824;999;i
QH-MER;mgdproi999;p0p100;1980;128452209016;999;i
QH-MER;mgdproi999;p0p100;1981;128901258304;999;i
QH-MER;mgdproi999;p0p100;1982;128746230288;999;i
QH-MER;mgdproi999;p0p100;1983;130228830408;999;i
QH-MER;mgdproi999;p0p100;1984;133842193384;999;i
