country;variable;percentile;year;value;age;pop
QL-MER;adiincj992;p0p1;2018;40.4;992;j
QL-MER;adiincj992;p0p1;2019;40.3;992;j
QL-MER;adiincj992;p0p1;2020;43.1;992;j
QL-MER;adiincj992;p0p1;2021;40.8;992;j
QL-MER;adiincj992;p0p100;2018;13035.2;992;j
QL-MER;adiincj992;p0p100;2019;13497.8;992;j
QL-MER;adiincj992;p0p100;2020;13438.1;992;j
QL-MER;adiincj992;p0p100;2021;14342.3;992;j
QL-MER;adiincj992;p0p50;2018;3794.5;992;j
QL-MER;adiincj992;p0p50;2019;3983.1;992;j
QL-MER;adiincj992;p0p50;2020;3974.9;992;j
QL-MER;adiincj992;p0p50;2021;4285.7;992;j
QL-MER;adiincj992;p10p100;2018;14395;992;j
QL-MER;adiincj992;p10p100;2019;14902.2;992;j
QL-MER;adiincj992;p10p100;2020;14835.7;992;j
QL-MER;adiincj992;p10p100;2021;15833.1;992;j
QL-MER;adiincj992;p10p11;2018;1470.5;992;j
QL-MER;adiincj992;p10p11;2019;1543.9;992;j
QL-MER;adiincj992;p10p11;2020;1546.1;992;j
QL-MER;adiincj992;p10p11;2021;1665.3;992;j
QL-MER;adiincj992;p11p100;2018;14540.2;992;j
QL-MER;adiincj992;p11p100;2019;15052.2;992;j
QL-MER;adiincj992;p11p100;2020;14985;992;j
QL-MER;adiincj992;p11p100;2021;15992.3;992;j
QL-MER;adiincj992;p11p12;2018;1663.1;992;j
QL-MER;adiincj992;p11p12;2019;1746.5;992;j
QL-MER;adiincj992;p11p12;2020;1748.3;992;j
QL-MER;adiincj992;p11p12;2021;1883.7;992;j
QL-MER;adiincj992;p12p100;2018;14686.5;992;j
QL-MER;adiincj992;p12p100;2019;15203.5;992;j
QL-MER;adiincj992;p12p100;2020;15135.4;992;j
QL-MER;adiincj992;p12p100;2021;16152.6;992;j
QL-MER;adiincj992;p12p13;2018;1792.6;992;j
QL-MER;adiincj992;p12p13;2019;1882.1;992;j
QL-MER;adiincj992;p12p13;2020;1884.9;992;j
QL-MER;adiincj992;p12p13;2021;2030.2;992;j
QL-MER;adiincj992;p13p100;2018;14834.7;992;j
QL-MER;adiincj992;p13p100;2019;15356.6;992;j
QL-MER;adiincj992;p13p100;2020;15287.7;992;j
QL-MER;adiincj992;p13p100;2021;16314.9;992;j
QL-MER;adiincj992;p13p14;2018;1921.5;992;j
QL-MER;adiincj992;p13p14;2019;2019.5;992;j
QL-MER;adiincj992;p13p14;2020;2020;992;j
QL-MER;adiincj992;p13p14;2021;2178.3;992;j
QL-MER;adiincj992;p14p100;2018;14984.9;992;j
QL-MER;adiincj992;p14p100;2019;15511.7;992;j
QL-MER;adiincj992;p14p100;2020;15442;992;j
QL-MER;adiincj992;p14p100;2021;16479.3;992;j
QL-MER;adiincj992;p14p15;2018;2054.1;992;j
QL-MER;adiincj992;p14p15;2019;2156.7;992;j
QL-MER;adiincj992;p14p15;2020;2159.7;992;j
QL-MER;adiincj992;p14p15;2021;2326.3;992;j
QL-MER;adiincj992;p15p100;2018;15137;992;j
QL-MER;adiincj992;p15p100;2019;15668.8;992;j
QL-MER;adiincj992;p15p100;2020;15598.3;992;j
QL-MER;adiincj992;p15p100;2021;16645.8;992;j
QL-MER;adiincj992;p15p16;2018;2184;992;j
QL-MER;adiincj992;p15p16;2019;2295.2;992;j
QL-MER;adiincj992;p15p16;2020;2296.2;992;j
QL-MER;adiincj992;p15p16;2021;2475.7;992;j
QL-MER;adiincj992;p16p100;2018;15291.2;992;j
QL-MER;adiincj992;p16p100;2019;15828;992;j
QL-MER;adiincj992;p16p100;2020;15756.6;992;j
QL-MER;adiincj992;p16p100;2021;16814.5;992;j
QL-MER;adiincj992;p16p17;2018;2383.7;992;j
QL-MER;adiincj992;p16p17;2019;2502.7;992;j
QL-MER;adiincj992;p16p17;2020;2438;992;j
QL-MER;adiincj992;p16p17;2021;2625.1;992;j
QL-MER;adiincj992;p17p100;2018;15446.7;992;j
QL-MER;adiincj992;p17p100;2019;15988.5;992;j
QL-MER;adiincj992;p17p100;2020;15917.1;992;j
QL-MER;adiincj992;p17p100;2021;16985.5;992;j
QL-MER;adiincj992;p17p18;2018;2551.8;992;j
QL-MER;adiincj992;p17p18;2019;2679.8;992;j
QL-MER;adiincj992;p17p18;2020;2629.6;992;j
QL-MER;adiincj992;p17p18;2021;2832.7;992;j
QL-MER;adiincj992;p18p100;2018;15604;992;j
QL-MER;adiincj992;p18p100;2019;16150.8;992;j
QL-MER;adiincj992;p18p100;2020;16079.1;992;j
QL-MER;adiincj992;p18p100;2021;17158;992;j
QL-MER;adiincj992;p18p19;2018;2582.6;992;j
QL-MER;adiincj992;p18p19;2019;2712;992;j
QL-MER;adiincj992;p18p19;2020;2715.3;992;j
QL-MER;adiincj992;p18p19;2021;2925.4;992;j
QL-MER;adiincj992;p19p100;2018;15764.7;992;j
QL-MER;adiincj992;p19p100;2019;16316.7;992;j
QL-MER;adiincj992;p19p100;2020;16244.1;992;j
QL-MER;adiincj992;p19p100;2021;17333.8;992;j
QL-MER;adiincj992;p19p20;2018;2675.8;992;j
QL-MER;adiincj992;p19p20;2019;2809;992;j
QL-MER;adiincj992;p19p20;2020;2813.5;992;j
QL-MER;adiincj992;p19p20;2021;3029.7;992;j
QL-MER;adiincj992;p1p100;2018;13166.5;992;j
QL-MER;adiincj992;p1p100;2019;13633.7;992;j
QL-MER;adiincj992;p1p100;2020;13573.4;992;j
QL-MER;adiincj992;p1p100;2021;14486.7;992;j
QL-MER;adiincj992;p1p2;2018;549;992;j
QL-MER;adiincj992;p1p2;2019;617.2;992;j
QL-MER;adiincj992;p1p2;2020;614;992;j
QL-MER;adiincj992;p1p2;2021;653;992;j
QL-MER;adiincj992;p20p100;2018;15928.3;992;j
QL-MER;adiincj992;p20p100;2019;16485.6;992;j
QL-MER;adiincj992;p20p100;2020;16412;992;j
QL-MER;adiincj992;p20p100;2021;17512.6;992;j
QL-MER;adiincj992;p20p21;2018;2800.7;992;j
QL-MER;adiincj992;p20p21;2019;2942.6;992;j
QL-MER;adiincj992;p20p21;2020;2944.3;992;j
QL-MER;adiincj992;p20p21;2021;3174.4;992;j
QL-MER;adiincj992;p21p100;2018;16094.5;992;j
QL-MER;adiincj992;p21p100;2019;16657;992;j
QL-MER;adiincj992;p21p100;2020;16582.5;992;j
QL-MER;adiincj992;p21p100;2021;17694.1;992;j
QL-MER;adiincj992;p21p22;2018;2931.5;992;j
QL-MER;adiincj992;p21p22;2019;3078.3;992;j
QL-MER;adiincj992;p21p22;2020;3082.1;992;j
QL-MER;adiincj992;p21p22;2021;3320;992;j
QL-MER;adiincj992;p22p100;2018;16263.3;992;j
QL-MER;adiincj992;p22p100;2019;16831.1;992;j
QL-MER;adiincj992;p22p100;2020;16755.6;992;j
QL-MER;adiincj992;p22p100;2021;17878.3;992;j
QL-MER;adiincj992;p22p23;2018;3129.2;992;j
QL-MER;adiincj992;p22p23;2019;3217.1;992;j
QL-MER;adiincj992;p22p23;2020;3219.4;992;j
QL-MER;adiincj992;p22p23;2021;3469.7;992;j
QL-MER;adiincj992;p23p100;2018;16433.8;992;j
QL-MER;adiincj992;p23p100;2019;17007.9;992;j
QL-MER;adiincj992;p23p100;2020;16931.4;992;j
QL-MER;adiincj992;p23p100;2021;18065.5;992;j
QL-MER;adiincj992;p23p24;2018;3333.6;992;j
QL-MER;adiincj992;p23p24;2019;3429.3;992;j
QL-MER;adiincj992;p23p24;2020;3433.9;992;j
QL-MER;adiincj992;p23p24;2021;3698.5;992;j
QL-MER;adiincj992;p24p100;2018;16606.2;992;j
QL-MER;adiincj992;p24p100;2019;17186.6;992;j
QL-MER;adiincj992;p24p100;2020;17109;992;j
QL-MER;adiincj992;p24p100;2021;18254.5;992;j
QL-MER;adiincj992;p24p25;2018;3473.5;992;j
QL-MER;adiincj992;p24p25;2019;3647.8;992;j
QL-MER;adiincj992;p24p25;2020;3652.1;992;j
QL-MER;adiincj992;p24p25;2021;3934.8;992;j
QL-MER;adiincj992;p25p100;2018;16781.3;992;j
QL-MER;adiincj992;p25p100;2019;17367.1;992;j
QL-MER;adiincj992;p25p100;2020;17288.4;992;j
QL-MER;adiincj992;p25p100;2021;18445.4;992;j
QL-MER;adiincj992;p25p26;2018;3616.7;992;j
QL-MER;adiincj992;p25p26;2019;3796.3;992;j
QL-MER;adiincj992;p25p26;2020;3802.3;992;j
QL-MER;adiincj992;p25p26;2021;4094.2;992;j
QL-MER;adiincj992;p26p100;2018;16959.2;992;j
QL-MER;adiincj992;p26p100;2019;17550.5;992;j
QL-MER;adiincj992;p26p100;2020;17470.6;992;j
QL-MER;adiincj992;p26p100;2021;18639.4;992;j
QL-MER;adiincj992;p26p27;2018;3760.5;992;j
QL-MER;adiincj992;p26p27;2019;3951.7;992;j
QL-MER;adiincj992;p26p27;2020;3956.5;992;j
QL-MER;adiincj992;p26p27;2021;4262.6;992;j
QL-MER;adiincj992;p27p100;2018;17140;992;j
QL-MER;adiincj992;p27p100;2019;17736.8;992;j
QL-MER;adiincj992;p27p100;2020;17655.7;992;j
QL-MER;adiincj992;p27p100;2021;18836.3;992;j
QL-MER;adiincj992;p27p28;2018;3911.6;992;j
QL-MER;adiincj992;p27p28;2019;4106;992;j
QL-MER;adiincj992;p27p28;2020;4112.5;992;j
QL-MER;adiincj992;p27p28;2021;4428;992;j
QL-MER;adiincj992;p28p100;2018;17323.8;992;j
QL-MER;adiincj992;p28p100;2019;17926.1;992;j
QL-MER;adiincj992;p28p100;2020;17843.8;992;j
QL-MER;adiincj992;p28p100;2021;19036.4;992;j
QL-MER;adiincj992;p28p29;2018;4061.5;992;j
QL-MER;adiincj992;p28p29;2019;4267.8;992;j
QL-MER;adiincj992;p28p29;2020;4272.6;992;j
QL-MER;adiincj992;p28p29;2021;4603.3;992;j
QL-MER;adiincj992;p29p100;2018;17510.6;992;j
QL-MER;adiincj992;p29p100;2019;18118.5;992;j
QL-MER;adiincj992;p29p100;2020;18035;992;j
QL-MER;adiincj992;p29p100;2021;19239.7;992;j
QL-MER;adiincj992;p29p30;2018;4224.3;992;j
QL-MER;adiincj992;p29p30;2019;4512.6;992;j
QL-MER;adiincj992;p29p30;2020;4518.8;992;j
QL-MER;adiincj992;p29p30;2021;4867.8;992;j
QL-MER;adiincj992;p2p100;2018;13295.2;992;j
QL-MER;adiincj992;p2p100;2019;13766.6;992;j
QL-MER;adiincj992;p2p100;2020;13705.6;992;j
QL-MER;adiincj992;p2p100;2021;14627.9;992;j
QL-MER;adiincj992;p2p3;2018;707.8;992;j
QL-MER;adiincj992;p2p3;2019;834.8;992;j
QL-MER;adiincj992;p2p3;2020;836.1;992;j
QL-MER;adiincj992;p2p3;2021;900.7;992;j
QL-MER;adiincj992;p30p100;2018;17700.4;992;j
QL-MER;adiincj992;p30p100;2019;18312.8;992;j
QL-MER;adiincj992;p30p100;2020;18228.1;992;j
QL-MER;adiincj992;p30p100;2021;19445;992;j
QL-MER;adiincj992;p30p31;2018;4460.2;992;j
QL-MER;adiincj992;p30p31;2019;4737.9;992;j
QL-MER;adiincj992;p30p31;2020;4743.3;992;j
QL-MER;adiincj992;p30p31;2021;5140.8;992;j
QL-MER;adiincj992;p31p100;2018;17892.2;992;j
QL-MER;adiincj992;p31p100;2019;18509.6;992;j
QL-MER;adiincj992;p31p100;2020;18423.5;992;j
QL-MER;adiincj992;p31p100;2021;19652.3;992;j
QL-MER;adiincj992;p31p32;2018;4700.9;992;j
QL-MER;adiincj992;p31p32;2019;4936.8;992;j
QL-MER;adiincj992;p31p32;2020;4942.5;992;j
QL-MER;adiincj992;p31p32;2021;5323.2;992;j
QL-MER;adiincj992;p32p100;2018;18086.2;992;j
QL-MER;adiincj992;p32p100;2019;18709.2;992;j
QL-MER;adiincj992;p32p100;2020;18621.8;992;j
QL-MER;adiincj992;p32p100;2021;19863.1;992;j
QL-MER;adiincj992;p32p33;2018;4863.7;992;j
QL-MER;adiincj992;p32p33;2019;5102.4;992;j
QL-MER;adiincj992;p32p33;2020;5112.2;992;j
QL-MER;adiincj992;p32p33;2021;5508;992;j
QL-MER;adiincj992;p33p100;2018;18283.6;992;j
QL-MER;adiincj992;p33p100;2019;18912.2;992;j
QL-MER;adiincj992;p33p100;2020;18823.4;992;j
QL-MER;adiincj992;p33p100;2021;20077.3;992;j
QL-MER;adiincj992;p33p34;2018;5028.8;992;j
QL-MER;adiincj992;p33p34;2019;5278.6;992;j
QL-MER;adiincj992;p33p34;2020;5282.7;992;j
QL-MER;adiincj992;p33p34;2021;5694.2;992;j
QL-MER;adiincj992;p34p100;2018;18484.4;992;j
QL-MER;adiincj992;p34p100;2019;19118.8;992;j
QL-MER;adiincj992;p34p100;2020;19028.6;992;j
QL-MER;adiincj992;p34p100;2021;20295.2;992;j
QL-MER;adiincj992;p34p35;2018;5191.1;992;j
QL-MER;adiincj992;p34p35;2019;5453.6;992;j
QL-MER;adiincj992;p34p35;2020;5459.7;992;j
QL-MER;adiincj992;p34p35;2021;5883.6;992;j
QL-MER;adiincj992;p35p100;2018;18688.9;992;j
QL-MER;adiincj992;p35p100;2019;19329;992;j
QL-MER;adiincj992;p35p100;2020;19237.3;992;j
QL-MER;adiincj992;p35p100;2021;20516.9;992;j
QL-MER;adiincj992;p35p36;2018;5361.6;992;j
QL-MER;adiincj992;p35p36;2019;5629;992;j
QL-MER;adiincj992;p35p36;2020;5636.7;992;j
QL-MER;adiincj992;p35p36;2021;6070;992;j
QL-MER;adiincj992;p36p100;2018;18897.2;992;j
QL-MER;adiincj992;p36p100;2019;19543.1;992;j
QL-MER;adiincj992;p36p100;2020;19449.8;992;j
QL-MER;adiincj992;p36p100;2021;20742.7;992;j
QL-MER;adiincj992;p36p37;2018;5466.4;992;j
QL-MER;adiincj992;p36p37;2019;5742.9;992;j
QL-MER;adiincj992;p36p37;2020;5747.9;992;j
QL-MER;adiincj992;p36p37;2021;6181.8;992;j
QL-MER;adiincj992;p37p100;2018;19110.4;992;j
QL-MER;adiincj992;p37p100;2019;19762.2;992;j
QL-MER;adiincj992;p37p100;2020;19667.3;992;j
QL-MER;adiincj992;p37p100;2021;20973.8;992;j
QL-MER;adiincj992;p37p38;2018;5726;992;j
QL-MER;adiincj992;p37p38;2019;6008.8;992;j
QL-MER;adiincj992;p37p38;2020;6015.6;992;j
QL-MER;adiincj992;p37p38;2021;6484;992;j
QL-MER;adiincj992;p38p100;2018;19326.2;992;j
QL-MER;adiincj992;p38p100;2019;19984;992;j
QL-MER;adiincj992;p38p100;2020;19887.5;992;j
QL-MER;adiincj992;p38p100;2021;21207.5;992;j
QL-MER;adiincj992;p38p39;2018;5986.6;992;j
QL-MER;adiincj992;p38p39;2019;6284.7;992;j
QL-MER;adiincj992;p38p39;2020;6293.4;992;j
QL-MER;adiincj992;p38p39;2021;6779.7;992;j
