country;variable;percentile;year;value;age;pop
QL;ehfcari999;p0p100;1990;1615.73385051476;999;i
QL;ehfcari999;p0p100;1991;1601.28338127963;999;i
QL;ehfcari999;p0p100;1992;1750.02077267615;999;i
QL;ehfcari999;p0p100;1993;1696.49638023178;999;i
QL;ehfcari999;p0p100;1994;1750.1176439667;999;i
QL;ehfcari999;p0p100;1995;1873.07665966714;999;i
QL;ehfcari999;p0p100;1996;1930.63902798269;999;i
QL;ehfcari999;p0p100;1997;1927.46519661489;999;i
QL;ehfcari999;p0p100;1998;1802.22565638582;999;i
QL;ehfcari999;p0p100;1999;1864.4039976322;999;i
QL;ehfcari999;p0p100;2000;1954.16509157332;999;i
QL;ehfcari999;p0p100;2001;1936.22512755831;999;i
QL;ehfcari999;p0p100;2002;2002.36752618472;999;i
QL;ehfcari999;p0p100;2003;2094.20454123471;999;i
QL;ehfcari999;p0p100;2004;2263.58106258277;999;i
QL;ehfcari999;p0p100;2005;2409.14927874355;999;i
QL;ehfcari999;p0p100;2006;2500.0998113015;999;i
QL;ehfcari999;p0p100;2007;2590.38858792559;999;i
QL;ehfcari999;p0p100;2008;2702.01014541149;999;i
QL;ehfcari999;p0p100;2009;2809.1921698337;999;i
QL;ehfcari999;p0p100;2010;3020.49011219939;999;i
QL;ehfcari999;p0p100;2011;3306.36299508711;999;i
QL;ehfcari999;p0p100;2012;3466.3910721402;999;i
QL;ehfcari999;p0p100;2013;3449.3632174185;999;i
QL;ehfcari999;p0p100;2014;3395.35171161331;999;i
QL;ehfcari999;p0p100;2015;3237.51041834865;999;i
QL;ehfcari999;p0p100;2016;3248.2866128145;999;i
QL;ehfcari999;p0p100;2017;3294.42937907798;999;i
QL;ehfcari999;p0p100;2018;3366.46640428601;999;i
QL;ehfcari999;p0p100;2019;3402.6052447984;999;i
QL;ehfcari999;p0p100;2020;3381.61872176149;999;i
QL;ehfghdi999;p0p100;1990;311.895821232924;999;i
QL;ehfghdi999;p0p100;1991;322.288094347118;999;i
QL;ehfghdi999;p0p100;1992;332.000305685334;999;i
QL;ehfghdi999;p0p100;1993;344.414182697143;999;i
QL;ehfghdi999;p0p100;1994;362.734791722744;999;i
QL;ehfghdi999;p0p100;1995;382.001537942715;999;i
QL;ehfghdi999;p0p100;1996;393.574031282559;999;i
QL;ehfghdi999;p0p100;1997;394.263535801232;999;i
QL;ehfghdi999;p0p100;1998;380.870494686713;999;i
QL;ehfghdi999;p0p100;1999;385.444794193835;999;i
QL;ehfghdi999;p0p100;2000;395.417268573667;999;i
QL;ehfghdi999;p0p100;2001;398.936503784518;999;i
QL;ehfghdi999;p0p100;2002;427.453035095736;999;i
QL;ehfghdi999;p0p100;2003;474.331218884829;999;i
QL;ehfghdi999;p0p100;2004;519.8805930112;999;i
QL;ehfghdi999;p0p100;2005;530.323272819165;999;i
QL;ehfghdi999;p0p100;2006;541.387805328643;999;i
QL;ehfghdi999;p0p100;2007;553.09783184;999;i
QL;ehfghdi999;p0p100;2008;578.103860062627;999;i
QL;ehfghdi999;p0p100;2009;604.9870705292;999;i
QL;ehfghdi999;p0p100;2010;633.874978530605;999;i
QL;ehfghdi999;p0p100;2011;664.903907975;999;i
QL;ehfghdi999;p0p100;2012;677.14239992189;999;i
QL;ehfghdi999;p0p100;2013;689.905160286134;999;i
QL;ehfghdi999;p0p100;2014;703.208290677;999;i
QL;ehfghdi999;p0p100;2015;690.474663740129;999;i
QL;ehfghdi999;p0p100;2016;681.84318114367;999;i
QL;ehfghdi999;p0p100;2017;692.490737279105;999;i
QL;ehfghdi999;p0p100;2018;701.083291611493;999;i
QL;ehfghdi999;p0p100;2019;709.77896731185;999;i
QL;ehfghdi999;p0p100;2020;707.06742742149;999;i
QL;ehfghgi999;p0p100;1980;2109.95150218997;999;i
QL;ehfghgi999;p0p100;1981;2082.0991401461;999;i
QL;ehfghgi999;p0p100;1982;2125.86436657012;999;i
QL;ehfghgi999;p0p100;1983;2197.75378910756;999;i
QL;ehfghgi999;p0p100;1984;2311.11226439349;999;i
QL;ehfghgi999;p0p100;1985;2387.97009229112;999;i
QL;ehfghgi999;p0p100;1986;2462.92751562907;999;i
QL;ehfghgi999;p0p100;1987;2589.52313261692;999;i
QL;ehfghgi999;p0p100;1988;2836.67599453425;999;i
QL;ehfghgi999;p0p100;1989;2961.20865696099;999;i
QL;ehfghgi999;p0p100;1990;2822.94142756756;999;i
QL;ehfghgi999;p0p100;1991;2807.42904875599;999;i
QL;ehfghgi999;p0p100;1992;2985.04391500207;999;i
QL;ehfghgi999;p0p100;1993;2931.16753727885;999;i
QL;ehfghgi999;p0p100;1994;3001.34307025226;999;i
QL;ehfghgi999;p0p100;1995;3216.69880396492;999;i
QL;ehfghgi999;p0p100;1996;3458.83197865166;999;i
QL;ehfghgi999;p0p100;1997;3008.04160431704;999;i
QL;ehfghgi999;p0p100;1998;3072.3670190614;999;i
QL;ehfghgi999;p0p100;1999;3204.63282793644;999;i
QL;ehfghgi999;p0p100;2000;3346.06059038487;999;i
QL;ehfghgi999;p0p100;2001;3306.92800460306;999;i
QL;ehfghgi999;p0p100;2002;3438.18805378779;999;i
QL;ehfghgi999;p0p100;2003;3657.59307934901;999;i
QL;ehfghgi999;p0p100;2004;3872.5274096065;999;i
QL;ehfghgi999;p0p100;2005;4075.16585305823;999;i
QL;ehfghgi999;p0p100;2006;4176.38397072328;999;i
QL;ehfghgi999;p0p100;2007;4259.83949258962;999;i
QL;ehfghgi999;p0p100;2008;4419.81179721384;999;i
QL;ehfghgi999;p0p100;2009;4550.7870990862;999;i
QL;ehfghgi999;p0p100;2010;4836.83392727748;999;i
QL;ehfghgi999;p0p100;2011;5197.23973298522;999;i
QL;ehfghgi999;p0p100;2012;5415.28559583207;999;i
QL;ehfghgi999;p0p100;2013;5397.5825446001;999;i
QL;ehfghgi999;p0p100;2014;5361.36573147166;999;i
QL;ehfghgi999;p0p100;2015;5201.6743083821;999;i
QL;ehfghgi999;p0p100;2016;5210.62477689618;999;i
QL;ehfghgi999;p0p100;2017;5289.41414649185;999;i
QL;ehfghgi999;p0p100;2018;5411.9833926976;999;i
QL;ehfghgi999;p0p100;2019;5460.55276942255;999;i
QL;ehfghgi999;p0p100;2020;5402.16238747982;999;i
QL;ehfghni999;p0p100;1990;2186.22462638435;999;i
QL;ehfghni999;p0p100;1991;2170.06444846958;999;i
QL;ehfghni999;p0p100;1992;2329.62545457118;999;i
QL;ehfghni999;p0p100;1993;2254.46366315724;999;i
QL;ehfghni999;p0p100;1994;2328.38315758295;999;i
QL;ehfghni999;p0p100;1995;2511.50730588327;999;i
QL;ehfghni999;p0p100;1996;2592.33749838413;999;i
QL;ehfghni999;p0p100;1997;2562.90159824488;999;i
QL;ehfghni999;p0p100;1998;2424.41006928776;999;i
QL;ehfghni999;p0p100;1999;2510.69547607653;999;i
QL;ehfghni999;p0p100;2000;2598.44833724054;999;i
QL;ehfghni999;p0p100;2001;2579.35116223819;999;i
QL;ehfghni999;p0p100;2002;2650.42086904405;999;i
QL;ehfghni999;p0p100;2003;2749.55695076768;999;i
QL;ehfghni999;p0p100;2004;2948.1352936618;999;i
QL;ehfghni999;p0p100;2005;3106.36326159319;999;i
QL;ehfghni999;p0p100;2006;3214.65645895902;999;i
QL;ehfghni999;p0p100;2007;3295.01171479345;999;i
QL;ehfghni999;p0p100;2008;3435.69482797571;999;i
QL;ehfghni999;p0p100;2009;3572.91134341459;999;i
QL;ehfghni999;p0p100;2010;3804.8315096895;999;i
QL;ehfghni999;p0p100;2011;4136.13810443217;999;i
QL;ehfghni999;p0p100;2012;4350.0384058141;999;i
QL;ehfghni999;p0p100;2013;4324.11890181031;999;i
QL;ehfghni999;p0p100;2014;4271.4683308702;999;i
QL;ehfghni999;p0p100;2015;4123.08182931638;999;i
QL;ehfghni999;p0p100;2016;4133.3446680096;999;i
QL;ehfghni999;p0p100;2017;4194.36293254646;999;i
QL;ehfghni999;p0p100;2018;4290.42695697179;999;i
QL;ehfghni999;p0p100;2019;4337.58222769345;999;i
QL;ehfghni999;p0p100;2020;4310.82679585029;999;i
QL;ehfghoi999;p0p100;1990;623.389376848716;999;i
QL;ehfghoi999;p0p100;1991;620.735796169031;999;i
QL;ehfghoi999;p0p100;1992;632.085549561765;999;i
QL;ehfghoi999;p0p100;1993;611.55852171071;999;i
QL;ehfghoi999;p0p100;1994;631.019396752827;999;i
QL;ehfghoi999;p0p100;1995;693.878777858554;999;i
QL;ehfghoi999;p0p100;1996;733.297232411134;999;i
QL;ehfghoi999;p0p100;1997;645.196318286095;999;i
QL;ehfghoi999;p0p100;1998;674.289668029899;999;i
QL;ehfghoi999;p0p100;1999;704.471640495304;999;i
QL;ehfghoi999;p0p100;2000;706.757465052606;999;i
QL;ehfghoi999;p0p100;2001;702.337585668355;999;i
QL;ehfghoi999;p0p100;2002;709.251334008805;999;i
QL;ehfghoi999;p0p100;2003;722.878541384982;999;i
QL;ehfghoi999;p0p100;2004;750.244204399308;999;i
QL;ehfghoi999;p0p100;2005;767.463948555552;999;i
QL;ehfghoi999;p0p100;2006;780.247122558173;999;i
QL;ehfghoi999;p0p100;2007;765.387043251492;999;i
QL;ehfghoi999;p0p100;2008;791.920206809586;999;i
QL;ehfghoi999;p0p100;2009;818.278119094763;999;i
QL;ehfghoi999;p0p100;2010;841.341779294426;999;i
QL;ehfghoi999;p0p100;2011;885.872971626331;999;i
