country;variable;percentile;year;value;age;pop
QM-MER;adiincj992;p0p1;2018;462.9;992;j
QM-MER;adiincj992;p0p1;2019;478.2;992;j
QM-MER;adiincj992;p0p1;2020;481;992;j
QM-MER;adiincj992;p0p1;2021;505.7;992;j
QM-MER;adiincj992;p0p100;2018;13116.1;992;j
QM-MER;adiincj992;p0p100;2019;13756.7;992;j
QM-MER;adiincj992;p0p100;2020;13143.5;992;j
QM-MER;adiincj992;p0p100;2021;13761.7;992;j
QM-MER;adiincj992;p0p50;2018;5273.8;992;j
QM-MER;adiincj992;p0p50;2019;5452.2;992;j
QM-MER;adiincj992;p0p50;2020;5238.8;992;j
QM-MER;adiincj992;p0p50;2021;5498.9;992;j
QM-MER;adiincj992;p10p100;2018;14413.2;992;j
QM-MER;adiincj992;p10p100;2019;15124.2;992;j
QM-MER;adiincj992;p10p100;2020;14447.1;992;j
QM-MER;adiincj992;p10p100;2021;15125.8;992;j
QM-MER;adiincj992;p10p11;2018;2570;992;j
QM-MER;adiincj992;p10p11;2019;2474.8;992;j
QM-MER;adiincj992;p10p11;2020;2369.3;992;j
QM-MER;adiincj992;p10p11;2021;2508.4;992;j
QM-MER;adiincj992;p11p100;2018;14546.3;992;j
QM-MER;adiincj992;p11p100;2019;15266.4;992;j
QM-MER;adiincj992;p11p100;2020;14582.8;992;j
QM-MER;adiincj992;p11p100;2021;15267.6;992;j
QM-MER;adiincj992;p11p12;2018;2744.7;992;j
QM-MER;adiincj992;p11p12;2019;2766.8;992;j
QM-MER;adiincj992;p11p12;2020;2641.1;992;j
QM-MER;adiincj992;p11p12;2021;2808.5;992;j
QM-MER;adiincj992;p12p100;2018;14680.4;992;j
QM-MER;adiincj992;p12p100;2019;15408.4;992;j
QM-MER;adiincj992;p12p100;2020;14718.5;992;j
QM-MER;adiincj992;p12p100;2021;15409.2;992;j
QM-MER;adiincj992;p12p13;2018;2980.5;992;j
QM-MER;adiincj992;p12p13;2019;2957.4;992;j
QM-MER;adiincj992;p12p13;2020;2843.4;992;j
QM-MER;adiincj992;p12p13;2021;2997;992;j
QM-MER;adiincj992;p13p100;2018;14814.9;992;j
QM-MER;adiincj992;p13p100;2019;15551.5;992;j
QM-MER;adiincj992;p13p100;2020;14855;992;j
QM-MER;adiincj992;p13p100;2021;15551.8;992;j
QM-MER;adiincj992;p13p14;2018;3190.5;992;j
QM-MER;adiincj992;p13p14;2019;3197.4;992;j
QM-MER;adiincj992;p13p14;2020;3065.8;992;j
QM-MER;adiincj992;p13p14;2021;3232.3;992;j
QM-MER;adiincj992;p14p100;2018;14950.1;992;j
QM-MER;adiincj992;p14p100;2019;15695.2;992;j
QM-MER;adiincj992;p14p100;2020;14992.1;992;j
QM-MER;adiincj992;p14p100;2021;15695.1;992;j
QM-MER;adiincj992;p14p15;2018;3400.5;992;j
QM-MER;adiincj992;p14p15;2019;3439.7;992;j
QM-MER;adiincj992;p14p15;2020;3299.9;992;j
QM-MER;adiincj992;p14p15;2021;3467.8;992;j
QM-MER;adiincj992;p15p100;2018;15086;992;j
QM-MER;adiincj992;p15p100;2019;15839.3;992;j
QM-MER;adiincj992;p15p100;2020;15129.7;992;j
QM-MER;adiincj992;p15p100;2021;15838.9;992;j
QM-MER;adiincj992;p15p16;2018;3534.2;992;j
QM-MER;adiincj992;p15p16;2019;3644.8;992;j
QM-MER;adiincj992;p15p16;2020;3509.9;992;j
QM-MER;adiincj992;p15p16;2021;3660.1;992;j
QM-MER;adiincj992;p16p100;2018;15223.5;992;j
QM-MER;adiincj992;p16p100;2019;15984.5;992;j
QM-MER;adiincj992;p16p100;2020;15268;992;j
QM-MER;adiincj992;p16p100;2021;15983.9;992;j
QM-MER;adiincj992;p16p17;2018;3716.6;992;j
QM-MER;adiincj992;p16p17;2019;3791.6;992;j
QM-MER;adiincj992;p16p17;2020;3647.1;992;j
QM-MER;adiincj992;p16p17;2021;3819.5;992;j
QM-MER;adiincj992;p17p100;2018;15362.1;992;j
QM-MER;adiincj992;p17p100;2019;16131.4;992;j
QM-MER;adiincj992;p17p100;2020;15408;992;j
QM-MER;adiincj992;p17p100;2021;16130.5;992;j
QM-MER;adiincj992;p17p18;2018;3901.6;992;j
QM-MER;adiincj992;p17p18;2019;3973.8;992;j
QM-MER;adiincj992;p17p18;2020;3814.8;992;j
QM-MER;adiincj992;p17p18;2021;4003;992;j
QM-MER;adiincj992;p18p100;2018;15501.9;992;j
QM-MER;adiincj992;p18p100;2019;16279.7;992;j
QM-MER;adiincj992;p18p100;2020;15549.4;992;j
QM-MER;adiincj992;p18p100;2021;16278.4;992;j
QM-MER;adiincj992;p18p19;2018;4077.3;992;j
QM-MER;adiincj992;p18p19;2019;4166.3;992;j
QM-MER;adiincj992;p18p19;2020;4010.9;992;j
QM-MER;adiincj992;p18p19;2021;4200.3;992;j
QM-MER;adiincj992;p19p100;2018;15642.9;992;j
QM-MER;adiincj992;p19p100;2019;16429.2;992;j
QM-MER;adiincj992;p19p100;2020;15691.8;992;j
QM-MER;adiincj992;p19p100;2021;16427.5;992;j
QM-MER;adiincj992;p19p20;2018;4324.5;992;j
QM-MER;adiincj992;p19p20;2019;4330.2;992;j
QM-MER;adiincj992;p19p20;2020;4165.7;992;j
QM-MER;adiincj992;p19p20;2021;4380.6;992;j
QM-MER;adiincj992;p1p100;2018;13243.9;992;j
QM-MER;adiincj992;p1p100;2019;13890.8;992;j
QM-MER;adiincj992;p1p100;2020;13271.4;992;j
QM-MER;adiincj992;p1p100;2021;13895.6;992;j
QM-MER;adiincj992;p1p2;2018;762.1;992;j
QM-MER;adiincj992;p1p2;2019;850.4;992;j
QM-MER;adiincj992;p1p2;2020;823.6;992;j
QM-MER;adiincj992;p1p2;2021;874.2;992;j
QM-MER;adiincj992;p20p100;2018;15784.4;992;j
QM-MER;adiincj992;p20p100;2019;16580.5;992;j
QM-MER;adiincj992;p20p100;2020;15835.9;992;j
QM-MER;adiincj992;p20p100;2021;16578.1;992;j
