country;variable;percentile;year;value;age;pop
QN-MER;adiincj992;p0p1;2018;11.1;992;j
QN-MER;adiincj992;p0p1;2019;26.3;992;j
QN-MER;adiincj992;p0p1;2020;25.7;992;j
QN-MER;adiincj992;p0p1;2021;25.8;992;j
QN-MER;adiincj992;p0p100;2018;2203.7;992;j
QN-MER;adiincj992;p0p100;2019;2157.3;992;j
QN-MER;adiincj992;p0p100;2020;2047.6;992;j
QN-MER;adiincj992;p0p100;2021;2036.2;992;j
QN-MER;adiincj992;p0p50;2018;394.7;992;j
QN-MER;adiincj992;p0p50;2019;395.2;992;j
QN-MER;adiincj992;p0p50;2020;383.5;992;j
QN-MER;adiincj992;p0p50;2021;382.7;992;j
QN-MER;adiincj992;p10p100;2018;2441.1;992;j
QN-MER;adiincj992;p10p100;2019;2389.1;992;j
QN-MER;adiincj992;p10p100;2020;2267.4;992;j
QN-MER;adiincj992;p10p100;2021;2254.7;992;j
QN-MER;adiincj992;p10p11;2018;174;992;j
QN-MER;adiincj992;p10p11;2019;178.2;992;j
QN-MER;adiincj992;p10p11;2020;175.3;992;j
QN-MER;adiincj992;p10p11;2021;175.5;992;j
QN-MER;adiincj992;p11p100;2018;2466.6;992;j
QN-MER;adiincj992;p11p100;2019;2414;992;j
QN-MER;adiincj992;p11p100;2020;2290.9;992;j
QN-MER;adiincj992;p11p100;2021;2278;992;j
QN-MER;adiincj992;p11p12;2018;199.8;992;j
QN-MER;adiincj992;p11p12;2019;201.6;992;j
QN-MER;adiincj992;p11p12;2020;198.1;992;j
QN-MER;adiincj992;p11p12;2021;195.4;992;j
QN-MER;adiincj992;p12p100;2018;2492.3;992;j
QN-MER;adiincj992;p12p100;2019;2439.1;992;j
QN-MER;adiincj992;p12p100;2020;2314.7;992;j
QN-MER;adiincj992;p12p100;2021;2301.7;992;j
QN-MER;adiincj992;p12p13;2018;223.7;992;j
QN-MER;adiincj992;p12p13;2019;224.5;992;j
QN-MER;adiincj992;p12p13;2020;211.3;992;j
QN-MER;adiincj992;p12p13;2021;206.7;992;j
QN-MER;adiincj992;p13p100;2018;2518.4;992;j
QN-MER;adiincj992;p13p100;2019;2464.6;992;j
QN-MER;adiincj992;p13p100;2020;2338.9;992;j
QN-MER;adiincj992;p13p100;2021;2325.8;992;j
QN-MER;adiincj992;p13p14;2018;225.5;992;j
QN-MER;adiincj992;p13p14;2019;231.5;992;j
QN-MER;adiincj992;p13p14;2020;218.5;992;j
QN-MER;adiincj992;p13p14;2021;221.3;992;j
QN-MER;adiincj992;p14p100;2018;2545.1;992;j
QN-MER;adiincj992;p14p100;2019;2490.5;992;j
QN-MER;adiincj992;p14p100;2020;2363.6;992;j
QN-MER;adiincj992;p14p100;2021;2350.3;992;j
QN-MER;adiincj992;p14p15;2018;246.3;992;j
QN-MER;adiincj992;p14p15;2019;246.6;992;j
QN-MER;adiincj992;p14p15;2020;239.3;992;j
QN-MER;adiincj992;p14p15;2021;238.3;992;j
QN-MER;adiincj992;p15p100;2018;2572.1;992;j
QN-MER;adiincj992;p15p100;2019;2516.9;992;j
QN-MER;adiincj992;p15p100;2020;2388.5;992;j
QN-MER;adiincj992;p15p100;2021;2375.1;992;j
QN-MER;adiincj992;p15p16;2018;258.1;992;j
QN-MER;adiincj992;p15p16;2019;259.3;992;j
QN-MER;adiincj992;p15p16;2020;253.6;992;j
QN-MER;adiincj992;p15p16;2021;253.8;992;j
QN-MER;adiincj992;p16p100;2018;2599.6;992;j
QN-MER;adiincj992;p16p100;2019;2543.8;992;j
QN-MER;adiincj992;p16p100;2020;2414;992;j
QN-MER;adiincj992;p16p100;2021;2400.4;992;j
QN-MER;adiincj992;p16p17;2018;266.6;992;j
QN-MER;adiincj992;p16p17;2019;267.8;992;j
QN-MER;adiincj992;p16p17;2020;265;992;j
QN-MER;adiincj992;p16p17;2021;263.1;992;j
QN-MER;adiincj992;p17p100;2018;2627.8;992;j
QN-MER;adiincj992;p17p100;2019;2571.2;992;j
QN-MER;adiincj992;p17p100;2020;2439.8;992;j
QN-MER;adiincj992;p17p100;2021;2426.1;992;j
QN-MER;adiincj992;p17p18;2018;280.5;992;j
QN-MER;adiincj992;p17p18;2019;282.9;992;j
QN-MER;adiincj992;p17p18;2020;277;992;j
QN-MER;adiincj992;p17p18;2021;274.5;992;j
QN-MER;adiincj992;p18p100;2018;2656.4;992;j
