country;variable;percentile;year;value;age;pop
QN;ehfcari999;p0p100;1990;0.731279055123767;999;i
QN;ehfcari999;p0p100;1991;0.579531800213757;999;i
QN;ehfcari999;p0p100;1992;1.47503201034526;999;i
QN;ehfcari999;p0p100;1993;1.57834458487402;999;i
QN;ehfcari999;p0p100;1994;1.62604166105732;999;i
QN;ehfcari999;p0p100;1995;1.74670484811298;999;i
QN;ehfcari999;p0p100;1996;1.83785264368227;999;i
QN;ehfcari999;p0p100;1997;2.06523717559295;999;i
QN;ehfcari999;p0p100;1998;2.04286765800529;999;i
QN;ehfcari999;p0p100;1999;1.53339556004488;999;i
QN;ehfcari999;p0p100;2000;1.97650269916348;999;i
QN;ehfcari999;p0p100;2001;2.36804081981489;999;i
QN;ehfcari999;p0p100;2002;2.36170261225666;999;i
QN;ehfcari999;p0p100;2003;2.77342913304117;999;i
QN;ehfcari999;p0p100;2004;2.58836755800572;999;i
QN;ehfcari999;p0p100;2005;2.71908681671073;999;i
QN;ehfcari999;p0p100;2006;2.83043863840968;999;i
QN;ehfcari999;p0p100;2007;3.47635501658392;999;i
QN;ehfcari999;p0p100;2008;3.84608210234261;999;i
QN;ehfcari999;p0p100;2009;4.66418087469091;999;i
QN;ehfcari999;p0p100;2010;4.69899710008313;999;i
QN;ehfcari999;p0p100;2011;4.89946182547144;999;i
QN;ehfcari999;p0p100;2012;5.11779324241821;999;i
QN;ehfcari999;p0p100;2013;5.03294649205356;999;i
QN;ehfcari999;p0p100;2014;6.03039138902351;999;i
QN;ehfcari999;p0p100;2015;5.88215722214696;999;i
QN;ehfcari999;p0p100;2016;6.04207871790503;999;i
QN;ehfcari999;p0p100;2017;6.12473077427561;999;i
QN;ehfcari999;p0p100;2018;6.39960770236285;999;i
QN;ehfcari999;p0p100;2019;6.42155666228382;999;i
QN;ehfcari999;p0p100;2020;6.26101774572672;999;i
QN;ehfghdi999;p0p100;1990;0.206259602160816;999;i
QN;ehfghdi999;p0p100;1991;0.0185752315024843;999;i
QN;ehfghdi999;p0p100;1992;0.897272203969181;999;i
QN;ehfghdi999;p0p100;1993;0.947811981358034;999;i
QN;ehfghdi999;p0p100;1994;0.934950906903905;999;i
QN;ehfghdi999;p0p100;1995;1.05445011567054;999;i
QN;ehfghdi999;p0p100;1996;1.18247231892023;999;i
QN;ehfghdi999;p0p100;1997;1.03895025362211;999;i
QN;ehfghdi999;p0p100;1998;1.03259328405649;999;i
QN;ehfghdi999;p0p100;1999;0.986840228770831;999;i
QN;ehfghdi999;p0p100;2000;1.10130547985071;999;i
QN;ehfghdi999;p0p100;2001;1.09444077281837;999;i
QN;ehfghdi999;p0p100;2002;1.09413082381849;999;i
QN;ehfghdi999;p0p100;2003;1.21737957126459;999;i
QN;ehfghdi999;p0p100;2004;1.267270506;999;i
QN;ehfghdi999;p0p100;2005;1.22615073897712;999;i
QN;ehfghdi999;p0p100;2006;1.18636520583091;999;i
QN;ehfghdi999;p0p100;2007;1.147870614;999;i
QN;ehfghdi999;p0p100;2008;1.1805834044863;999;i
QN;ehfghdi999;p0p100;2009;1.21422846612611;999;i
QN;ehfghdi999;p0p100;2010;1.24883236741117;999;i
QN;ehfghdi999;p0p100;2011;1.284422434;999;i
QN;ehfghdi999;p0p100;2012;1.34368509146783;999;i
QN;ehfghdi999;p0p100;2013;1.40568210056108;999;i
QN;ehfghdi999;p0p100;2014;1.470539623;999;i
QN;ehfghdi999;p0p100;2015;1.66235932986103;999;i
QN;ehfghdi999;p0p100;2016;1.77306713950277;999;i
