country;variable;percentile;year;value;age;pop
QQ-MER;mgdproi999;p0p100;1960;3724264896;999;i
QQ-MER;mgdproi999;p0p100;1961;3932139584;999;i
QQ-MER;mgdproi999;p0p100;1962;4158752448;999;i
QQ-MER;mgdproi999;p0p100;1963;4348679424;999;i
QQ-MER;mgdproi999;p0p100;1964;4686059776;999;i
QQ-MER;mgdproi999;p0p100;1965;5037184256;999;i
QQ-MER;mgdproi999;p0p100;1966;5273307008;999;i
QQ-MER;mgdproi999;p0p100;1967;5578523520;999;i
QQ-MER;mgdproi999;p0p100;1968;5861062528;999;i
QQ-MER;mgdproi999;p0p100;1969;6278204416;999;i
QQ-MER;mgdproi999;p0p100;1970;8663695162;999;i
QQ-MER;mgdproi999;p0p100;1971;9189615316;999;i
QQ-MER;mgdproi999;p0p100;1972;9607438385;999;i
QQ-MER;mgdproi999;p0p100;1973;10388038231;999;i
QQ-MER;mgdproi999;p0p100;1974;10829821874;999;i
QQ-MER;mgdproi999;p0p100;1975;10729855644;999;i
QQ-MER;mgdproi999;p0p100;1976;10573660118;999;i
QQ-MER;mgdproi999;p0p100;1977;10775140041;999;i
QQ-MER;mgdproi999;p0p100;1978;11502577354;999;i
QQ-MER;mgdproi999;p0p100;1979;12040862155;999;i
QQ-MER;mgdproi999;p0p100;1980;11766422019;999;i
QQ-MER;mgdproi999;p0p100;1981;11901643815;999;i
QQ-MER;mgdproi999;p0p100;1982;11781558324;999;i
QQ-MER;mgdproi999;p0p100;1983;11973121194;999;i
QQ-MER;mgdproi999;p0p100;1984;12189594863;999;i
QQ-MER;mgdproi999;p0p100;1985;12422731199;999;i
QQ-MER;mgdproi999;p0p100;1986;13018820788;999;i
QQ-MER;mgdproi999;p0p100;1987;13142019774;999;i
QQ-MER;mgdproi999;p0p100;1988;13441338932;999;i
QQ-MER;mgdproi999;p0p100;1989;13525220874;999;i
QQ-MER;mgdproi999;p0p100;1990;13471916676;999;i
QQ-MER;mgdproi999;p0p100;1991;14238273024;999;i
QQ-MER;mgdproi999;p0p100;1992;15743820416;999;i
QQ-MER;mgdproi999;p0p100;1993;17701634930;999;i
QQ-MER;mgdproi999;p0p100;1994;18721354252;999;i
QQ-MER;mgdproi999;p0p100;1995;18555518902;999;i
QQ-MER;mgdproi999;p0p100;1996;19670092132;999;i
QQ-MER;mgdproi999;p0p100;1997;19097137398;999;i
QQ-MER;mgdproi999;p0p100;1998;18713416128;999;i
QQ-MER;mgdproi999;p0p100;1999;19217959108;999;i
QQ-MER;mgdproi999;p0p100;2000;18793747400;999;i
QQ-MER;mgdproi999;p0p100;2001;18832100316;999;i
QQ-MER;mgdproi999;p0p100;2002;18931354088;999;i
QQ-MER;mgdproi999;p0p100;2003;19321886760;999;i
QQ-MER;mgdproi999;p0p100;2004;19952494516;999;i
QQ-MER;mgdproi999;p0p100;2005;20930861388;999;i
QQ-MER;mgdproi999;p0p100;2006;21826626876;999;i
QQ-MER;mgdproi999;p0p100;2007;22985384268;999;i
QQ-MER;mgdproi999;p0p100;2008;23060556952;999;i
QQ-MER;mgdproi999;p0p100;2009;24117254712;999;i
QQ-MER;mgdproi999;p0p100;2010;26079109080;999;i
QQ-MER;mgdproi999;p0p100;2011;26542256464;999;i
QQ-MER;mgdproi999;p0p100;2012;27483443556;999;i
QQ-MER;mgdproi999;p0p100;2013;28500977576;999;i
QQ-MER;mgdproi999;p0p100;2014;31503664388;999;i
QQ-MER;mgdproi999;p0p100;2015;33328855312;999;i
QQ-MER;mgdproi999;p0p100;2016;34941804972;999;i
QQ-MER;mgdproi999;p0p100;2017;36203737196;999;i
QQ-MER;mgdproi999;p0p100;2018;36436257480;999;i
QQ-MER;mgdproi999;p0p100;2019;37661888540;999;i
QQ-MER;mgdproi999;p0p100;2020;35741601940;999;i
QQ-MER;mgdproi999;p0p100;2021;35497948344;999;i
QQ-MER;mgdproi999;p0p100;2022;39287392004;999;i
QQ-MER;mgweali999;p0p100;1995;-1300674371;999;i
QQ-MER;mgweali999;p0p100;1996;-829763297;999;i
QQ-MER;mgweali999;p0p100;1997;-1086243183;999;i
QQ-MER;mgweali999;p0p100;1998;-1267192392;999;i
QQ-MER;mgweali999;p0p100;1999;-958916969;999;i
QQ-MER;mgweali999;p0p100;2000;-711339859;999;i
QQ-MER;mgweali999;p0p100;2001;-971274296;999;i
QQ-MER;mgweali999;p0p100;2002;-937118359;999;i
QQ-MER;mgweali999;p0p100;2003;-714968827;999;i
QQ-MER;mgweali999;p0p100;2004;-104267441;999;i
QQ-MER;mgweali999;p0p100;2005;1371959179;999;i
QQ-MER;mgweali999;p0p100;2006;3763286522;999;i
QQ-MER;mgweali999;p0p100;2007;4650997858;999;i
QQ-MER;mgweali999;p0p100;2008;5197400982;999;i
QQ-MER;mgweali999;p0p100;2009;5202207780;999;i
QQ-MER;mgweali999;p0p100;2010;6063400460;999;i
QQ-MER;mgweali999;p0p100;2011;5931910023;999;i
QQ-MER;mgweali999;p0p100;2012;4865290300;999;i
QQ-MER;mgweali999;p0p100;2013;3587969016;999;i
QQ-MER;mgweali999;p0p100;2014;3807542880;999;i
QQ-MER;mgweali999;p0p100;2015;3498179928;999;i
QQ-MER;mgweali999;p0p100;2016;2571530976;999;i
QQ-MER;mgweali999;p0p100;2017;1975300918;999;i
QQ-MER;mgweali999;p0p100;2018;1221935938;999;i
QQ-MER;mgweali999;p0p100;2019;136065891;999;i
QQ-MER;mgweali999;p0p100;2020;-459582278;999;i
QQ-MER;mgweali999;p0p100;2021;-949439323;999;i
QQ-MER;mhweali999;p0p100;1995;18126625822;999;i
QQ-MER;mhweali999;p0p100;1996;20141319122;999;i
QQ-MER;mhweali999;p0p100;1997;20658070054;999;i
QQ-MER;mhweali999;p0p100;1998;20101176940;999;i
QQ-MER;mhweali999;p0p100;1999;20452005682;999;i
QQ-MER;mhweali999;p0p100;2000;20587060390;999;i
QQ-MER;mhweali999;p0p100;2001;21155589868;999;i
QQ-MER;mhweali999;p0p100;2002;22201397066;999;i
QQ-MER;mhweali999;p0p100;2003;22888816804;999;i
QQ-MER;mhweali999;p0p100;2004;24362927536;999;i
QQ-MER;mhweali999;p0p100;2005;25935060532;999;i
QQ-MER;mhweali999;p0p100;2006;26203841292;999;i
QQ-MER;mhweali999;p0p100;2007;28065303628;999;i
QQ-MER;mhweali999;p0p100;2008;28907625192;999;i
QQ-MER;mhweali999;p0p100;2009;30644176944;999;i
QQ-MER;mhweali999;p0p100;2010;33226896368;999;i
QQ-MER;mhweali999;p0p100;2011;33155023688;999;i
QQ-MER;mhweali999;p0p100;2012;33206927048;999;i
QQ-MER;mhweali999;p0p100;2013;34482394944;999;i
QQ-MER;mhweali999;p0p100;2014;39999336136;999;i
QQ-MER;mhweali999;p0p100;2015;44863188912;999;i
QQ-MER;mhweali999;p0p100;2016;48719989856;999;i
QQ-MER;mhweali999;p0p100;2017;51479079072;999;i
QQ-MER;mhweali999;p0p100;2018;53073841480;999;i
QQ-MER;mhweali999;p0p100;2019;57059986896;999;i
QQ-MER;mhweali999;p0p100;2020;56535583040;999;i
QQ-MER;mhweali999;p0p100;2021;58447020208;999;i
QQ-MER;mndproi999;p0p100;1960;3491052096;999;i
QQ-MER;mndproi999;p0p100;1961;3688326144;999;i
QQ-MER;mndproi999;p0p100;1962;3904115200;999;i
