country;variable;percentile;year;value;age;pop
QS;ehfcari999;p0p100;1990;222.169670462793;999;i
QS;ehfcari999;p0p100;1991;226.886154044991;999;i
QS;ehfcari999;p0p100;1992;261.924388667288;999;i
QS;ehfcari999;p0p100;1993;259.68445273524;999;i
QS;ehfcari999;p0p100;1994;266.456951309558;999;i
QS;ehfcari999;p0p100;1995;285.967834772506;999;i
QS;ehfcari999;p0p100;1996;302.079485217528;999;i
QS;ehfcari999;p0p100;1997;563.985351114982;999;i
QS;ehfcari999;p0p100;1998;248.183745209555;999;i
QS;ehfcari999;p0p100;1999;313.824026594122;999;i
QS;ehfcari999;p0p100;2000;346.415075625187;999;i
QS;ehfcari999;p0p100;2001;347.071690431723;999;i
QS;ehfcari999;p0p100;2002;365.977526472595;999;i
QS;ehfcari999;p0p100;2003;398.465872154522;999;i
QS;ehfcari999;p0p100;2004;422.52599865268;999;i
QS;ehfcari999;p0p100;2005;481.761047702502;999;i
QS;ehfcari999;p0p100;2006;470.950513937445;999;i
QS;ehfcari999;p0p100;2007;470.694575602968;999;i
QS;ehfcari999;p0p100;2008;525.637078409237;999;i
QS;ehfcari999;p0p100;2009;537.942471844521;999;i
QS;ehfcari999;p0p100;2010;558.718480985466;999;i
QS;ehfcari999;p0p100;2011;605.453885113567;999;i
QS;ehfcari999;p0p100;2012;641.977465866235;999;i
QS;ehfcari999;p0p100;2013;612.163092369317;999;i
QS;ehfcari999;p0p100;2014;627.360939833685;999;i
QS;ehfcari999;p0p100;2015;656.94084008522;999;i
QS;ehfcari999;p0p100;2016;671.775954311443;999;i
QS;ehfcari999;p0p100;2017;667.541739882411;999;i
QS;ehfcari999;p0p100;2018;704.273087124449;999;i
QS;ehfcari999;p0p100;2019;740.582657069732;999;i
QS;ehfcari999;p0p100;2020;688.741871074851;999;i
QS;ehfghdi999;p0p100;1990;48.5896610548922;999;i
QS;ehfghdi999;p0p100;1991;55.4325002373031;999;i
QS;ehfghdi999;p0p100;1992;61.3169034367725;999;i
QS;ehfghdi999;p0p100;1993;66.8246319854638;999;i
QS;ehfghdi999;p0p100;1994;70.5423004620373;999;i
