country;variable;percentile;year;value;age;pop
QU;ehfcari999;p0p100;1990;425.386466687769;999;i
QU;ehfcari999;p0p100;1991;439.138695603017;999;i
QU;ehfcari999;p0p100;1992;473.696188628388;999;i
QU;ehfcari999;p0p100;1993;474.676866023315;999;i
QU;ehfcari999;p0p100;1994;497.485975131939;999;i
QU;ehfcari999;p0p100;1995;519.358374265197;999;i
QU;ehfcari999;p0p100;1996;571.497490024378;999;i
QU;ehfcari999;p0p100;1997;592.321819383817;999;i
QU;ehfcari999;p0p100;1998;617.107584107355;999;i
QU;ehfcari999;p0p100;1999;665.413935170458;999;i
QU;ehfcari999;p0p100;2000;670.30488617878;999;i
QU;ehfcari999;p0p100;2001;697.324868499587;999;i
QU;ehfcari999;p0p100;2002;705.685136822413;999;i
QU;ehfcari999;p0p100;2003;757.853557545113;999;i
QU;ehfcari999;p0p100;2004;789.098098786087;999;i
QU;ehfcari999;p0p100;2005;815.55576226211;999;i
QU;ehfcari999;p0p100;2006;865.850851664504;999;i
QU;ehfcari999;p0p100;2007;903.834841479123;999;i
QU;ehfcari999;p0p100;2008;946.491651186041;999;i
QU;ehfcari999;p0p100;2009;994.089734969566;999;i
QU;ehfcari999;p0p100;2010;1019.57439194708;999;i
QU;ehfcari999;p0p100;2011;1054.93058767206;999;i
QU;ehfcari999;p0p100;2012;1150.62431972618;999;i
QU;ehfcari999;p0p100;2013;1163.98722935686;999;i
QU;ehfcari999;p0p100;2014;1265.10072556589;999;i
QU;ehfcari999;p0p100;2015;1330.66412536926;999;i
QU;ehfcari999;p0p100;2016;1402.10228228379;999;i
QU;ehfcari999;p0p100;2017;1471.74195238762;999;i
QU;ehfcari999;p0p100;2018;1545.58686915148;999;i
QU;ehfcari999;p0p100;2019;1578.48410841806;999;i
QU;ehfcari999;p0p100;2020;1467.99022082879;999;i
QU;ehfghdi999;p0p100;1990;121.23387852385;999;i
QU;ehfghdi999;p0p100;1991;129.393123696249;999;i
QU;ehfghdi999;p0p100;1992;134.262567199254;999;i
QU;ehfghdi999;p0p100;1993;139.428944791629;999;i
QU;ehfghdi999;p0p100;1994;151.953063877474;999;i
QU;ehfghdi999;p0p100;1995;159.039293139862;999;i
QU;ehfghdi999;p0p100;1996;167.151433617224;999;i
QU;ehfghdi999;p0p100;1997;168.83080275414;999;i
QU;ehfghdi999;p0p100;1998;181.301488440142;999;i
QU;ehfghdi999;p0p100;1999;209.34519008238;999;i
QU;ehfghdi999;p0p100;2000;210.270189043819;999;i
QU;ehfghdi999;p0p100;2001;219.784691701363;999;i
QU;ehfghdi999;p0p100;2002;224.030419168537;999;i
QU;ehfghdi999;p0p100;2003;232.68110525119;999;i
QU;ehfghdi999;p0p100;2004;248.512421192;999;i
QU;ehfghdi999;p0p100;2005;261.121492267471;999;i
QU;ehfghdi999;p0p100;2006;274.430715543264;999;i
QU;ehfghdi999;p0p100;2007;288.479236615;999;i
QU;ehfghdi999;p0p100;2008;295.921759773581;999;i
QU;ehfghdi999;p0p100;2009;303.785101576019;999;i
QU;ehfghdi999;p0p100;2010;312.090729418178;999;i
QU;ehfghdi999;p0p100;2011;320.86142282;999;i
QU;ehfghdi999;p0p100;2012;328.081830427509;999;i
QU;ehfghdi999;p0p100;2013;335.512468232083;999;i
QU;ehfghdi999;p0p100;2014;343.160579081;999;i
QU;ehfghdi999;p0p100;2015;351.492299474755;999;i
QU;ehfghdi999;p0p100;2016;370.414806165332;999;i
QU;ehfghdi999;p0p100;2017;399.09756473753;999;i
QU;ehfghdi999;p0p100;2018;419.860464445172;999;i
QU;ehfghdi999;p0p100;2019;430.183807263033;999;i
QU;ehfghdi999;p0p100;2020;400.07094075462;999;i
QU;ehfghgi999;p0p100;1980;744.954448308537;999;i
QU;ehfghgi999;p0p100;1981;760.672833548052;999;i
QU;ehfghgi999;p0p100;1982;811.673259227501;999;i
QU;ehfghgi999;p0p100;1983;856.786881523006;999;i
QU;ehfghgi999;p0p100;1984;831.304311930535;999;i
QU;ehfghgi999;p0p100;1985;836.415919813251;999;i
QU;ehfghgi999;p0p100;1986;844.99778423732;999;i
QU;ehfghgi999;p0p100;1987;866.991383646391;999;i
QU;ehfghgi999;p0p100;1988;923.572860242894;999;i
QU;ehfghgi999;p0p100;1989;967.166959406747;999;i
QU;ehfghgi999;p0p100;1990;998.304652671064;999;i
QU;ehfghgi999;p0p100;1991;1019.10722017353;999;i
QU;ehfghgi999;p0p100;1992;1059.0192899332;999;i
QU;ehfghgi999;p0p100;1993;1063.82873382357;999;i
QU;ehfghgi999;p0p100;1994;1109.35294172762;999;i
QU;ehfghgi999;p0p100;1995;1141.10038230188;999;i
QU;ehfghgi999;p0p100;1996;1221.56069687719;999;i
QU;ehfghgi999;p0p100;1997;1247.43857899854;999;i
QU;ehfghgi999;p0p100;1998;1292.83394841365;999;i
QU;ehfghgi999;p0p100;1999;1377.7880870329;999;i
QU;ehfghgi999;p0p100;2000;1390.62560113728;999;i
QU;ehfghgi999;p0p100;2001;1431.39855036773;999;i
QU;ehfghgi999;p0p100;2002;1442.04812541437;999;i
QU;ehfghgi999;p0p100;2003;1518.84318389094;999;i
QU;ehfghgi999;p0p100;2004;1565.24922309461;999;i
QU;ehfghgi999;p0p100;2005;1617.65074046543;999;i
QU;ehfghgi999;p0p100;2006;1690.57205732199;999;i
QU;ehfghgi999;p0p100;2007;1747.15138288015;999;i
QU;ehfghgi999;p0p100;2008;1799.52858300077;999;i
QU;ehfghgi999;p0p100;2009;1880.49098206129;999;i
QU;ehfghgi999;p0p100;2010;1911.47221352478;999;i
QU;ehfghgi999;p0p100;2011;1970.61159758482;999;i
QU;ehfghgi999;p0p100;2012;2075.58037654259;999;i
QU;ehfghgi999;p0p100;2013;2107.50858705518;999;i
QU;ehfghgi999;p0p100;2014;2221.49981262269;999;i
QU;ehfghgi999;p0p100;2015;2303.68561975686;999;i
QU;ehfghgi999;p0p100;2016;2442.5021819229;999;i
QU;ehfghgi999;p0p100;2017;2588.86619318955;999;i
QU;ehfghgi999;p0p100;2018;2728.29853830265;999;i
QU;ehfghgi999;p0p100;2019;2796.98834439621;999;i
QU;ehfghgi999;p0p100;2020;2601.19916028848;999;i
QU;ehfghni999;p0p100;1990;866.10774258564;999;i
QU;ehfghni999;p0p100;1991;878.431491183123;999;i
QU;ehfghni999;p0p100;1992;914.127532610466;999;i
QU;ehfghni999;p0p100;1993;913.714494695297;999;i
QU;ehfghni999;p0p100;1994;946.765343503943;999;i
QU;ehfghni999;p0p100;1995;970.693791325656;999;i
QU;ehfghni999;p0p100;1996;1042.15438892434;999;i
QU;ehfghni999;p0p100;1997;1065.71752762652;999;i
QU;ehfghni999;p0p100;1998;1098.043745299;999;i
QU;ehfghni999;p0p100;1999;1154.25231872629;999;i
QU;ehfghni999;p0p100;2000;1167.78314124571;999;i
QU;ehfghni999;p0p100;2001;1199.49547171757;999;i
QU;ehfghni999;p0p100;2002;1203.9130848303;999;i
QU;ehfghni999;p0p100;2003;1270.81727289842;999;i
QU;ehfghni999;p0p100;2004;1301.62780748308;999;i
QU;ehfghni999;p0p100;2005;1340.67131743555;999;i
QU;ehfghni999;p0p100;2006;1400.01981410472;999;i
QU;ehfghni999;p0p100;2007;1441.64164812514;999;i
QU;ehfghni999;p0p100;2008;1484.2370044238;999;i
QU;ehfghni999;p0p100;2009;1554.84629656995;999;i
QU;ehfghni999;p0p100;2010;1574.05587498089;999;i
QU;ehfghni999;p0p100;2011;1620.32769306596;999;i
QU;ehfghni999;p0p100;2012;1719.38570714245;999;i
QU;ehfghni999;p0p100;2013;1744.6679037998;999;i
QU;ehfghni999;p0p100;2014;1849.77686079821;999;i
QU;ehfghni999;p0p100;2015;1923.84505203501;999;i
QU;ehfghni999;p0p100;2016;2042.54455786704;999;i
QU;ehfghni999;p0p100;2017;2159.77857801377;999;i
QU;ehfghni999;p0p100;2018;2274.29433059228;999;i
QU;ehfghni999;p0p100;2019;2326.9052395422;999;i
QU;ehfghni999;p0p100;2020;2164.02187277424;999;i
QU;ehfghoi999;p0p100;1990;448.65872266415;999;i
QU;ehfghoi999;p0p100;1991;447.637008991692;999;i
QU;ehfghoi999;p0p100;1992;448.879683022018;999;i
QU;ehfghoi999;p0p100;1993;447.627980667071;999;i
QU;ehfghoi999;p0p100;1994;457.949733855036;999;i
QU;ehfghoi999;p0p100;1995;460.637268172776;999;i
QU;ehfghoi999;p0p100;1996;480.824096853605;999;i
QU;ehfghoi999;p0p100;1997;484.346060504696;999;i
QU;ehfghoi999;p0p100;1998;492.422389692453;999;i
QU;ehfghoi999;p0p100;1999;501.140938309437;999;i
QU;ehfghoi999;p0p100;2000;508.051427531347;999;i
QU;ehfghoi999;p0p100;2001;512.16522695659;999;i
QU;ehfghoi999;p0p100;2002;509.964006397406;999;i
QU;ehfghoi999;p0p100;2003;525.542108838259;999;i
QU;ehfghoi999;p0p100;2004;525.067105668593;999;i
QU;ehfghoi999;p0p100;2005;537.957512746667;999;i
QU;ehfghoi999;p0p100;2006;546.973636910114;999;i
QU;ehfghoi999;p0p100;2007;550.906290558709;999;i
QU;ehfghoi999;p0p100;2008;551.802770277849;999;i
QU;ehfghoi999;p0p100;2009;575.112198892145;999;i
QU;ehfghoi999;p0p100;2010;570.478867328502;999;i
QU;ehfghoi999;p0p100;2011;581.841262693148;999;i
QU;ehfghoi999;p0p100;2012;585.073657331699;999;i
QU;ehfghoi999;p0p100;2013;596.908219770909;999;i
QU;ehfghoi999;p0p100;2014;601.257241725551;999;i
QU;ehfghoi999;p0p100;2015;609.082593269241;999;i
QU;ehfghoi999;p0p100;2016;656.4256723445;999;i
QU;ehfghoi999;p0p100;2017;704.043304601067;999;i
QU;ehfghoi999;p0p100;2018;743.710937684539;999;i
QU;ehfghoi999;p0p100;2019;765.990765634336;999;i
QU;ehfghoi999;p0p100;2020;712.371412039932;999;i
QU;enfcari999;p0p100;1990;916.916701602526;999;i
QU;enfcari999;p0p100;1991;955.99538968377;999;i
QU;enfcari999;p0p100;1992;1017.34164072016;999;i
QU;enfcari999;p0p100;1993;1023.75096678738;999;i
QU;enfcari999;p0p100;1994;1089.6369508284;999;i
QU;enfcari999;p0p100;1995;1145.11478122669;999;i
QU;enfcari999;p0p100;1996;1220.98276961832;999;i
QU;enfcari999;p0p100;1997;1263.66857509368;999;i
QU;enfcari999;p0p100;1998;1323.02112594451;999;i
QU;enfcari999;p0p100;1999;1446.99565173825;999;i
QU;enfcari999;p0p100;2000;1435.34171769486;999;i
QU;enfcari999;p0p100;2001;1497.26881037355;999;i
QU;enfcari999;p0p100;2002;1517.34347452657;999;i
QU;enfcari999;p0p100;2003;1643.63419721837;999;i
QU;enfcari999;p0p100;2004;1746.68588655685;999;i
QU;enfcari999;p0p100;2005;1815.59619653323;999;i
QU;enfcari999;p0p100;2006;1948.68537036532;999;i
QU;enfcari999;p0p100;2007;2094.9550694174;999;i
QU;enfcari999;p0p100;2008;2204.37010321888;999;i
QU;enfcari999;p0p100;2009;2317.52454568007;999;i
QU;enfcari999;p0p100;2010;2403.44706611696;999;i
QU;enfcari999;p0p100;2011;2490.91884715388;999;i
QU;enfcari999;p0p100;2012;2656.80993723087;999;i
QU;enfcari999;p0p100;2013;2673.11445776291;999;i
QU;enfcari999;p0p100;2014;2886.67473532483;999;i
QU;enfcari999;p0p100;2015;3001.55729520836;999;i
QU;enfcari999;p0p100;2016;3149.38667166977;999;i
QU;enfcari999;p0p100;2017;3315.91623071458;999;i
QU;enfcari999;p0p100;2018;3487.07643397214;999;i
QU;enfcari999;p0p100;2019;3561.06707991402;999;i
QU;enfcari999;p0p100;2020;3311.79238432004;999;i
QU;enfghgi999;p0p100;1980;1176.13052632904;999;i
QU;enfghgi999;p0p100;1981;1198.46875487426;999;i
QU;enfghgi999;p0p100;1982;1285.23242905595;999;i
QU;enfghgi999;p0p100;1983;1359.65109821502;999;i
QU;enfghgi999;p0p100;1984;1315.25405165062;999;i
QU;enfghgi999;p0p100;1985;1331.21989811978;999;i
QU;enfghgi999;p0p100;1986;1335.64050538549;999;i
QU;enfghgi999;p0p100;1987;1378.71937705651;999;i
QU;enfghgi999;p0p100;1988;1468.78735017899;999;i
QU;enfghgi999;p0p100;1989;1550.4682987888;999;i
QU;enfghgi999;p0p100;1990;1621.36699766091;999;i
QU;enfghgi999;p0p100;1991;1657.92034302572;999;i
QU;enfghgi999;p0p100;1992;1719.62965920368;999;i
QU;enfghgi999;p0p100;1993;1719.17163307634;999;i
QU;enfghgi999;p0p100;1994;1806.9515777346;999;i
QU;enfghgi999;p0p100;1995;1865.07583063293;999;i
QU;enfghgi999;p0p100;1996;1960.54025840222;999;i
QU;enfghgi999;p0p100;1997;2009.65430859938;999;i
QU;enfghgi999;p0p100;1998;2073.85983188662;999;i
QU;enfghgi999;p0p100;1999;2208.03406687001;999;i
QU;enfghgi999;p0p100;2000;2200.54975120113;999;i
QU;enfghgi999;p0p100;2001;2267.90354730004;999;i
QU;enfghgi999;p0p100;2002;2284.23734971916;999;i
QU;enfghgi999;p0p100;2003;2441.32620739747;999;i
QU;enfghgi999;p0p100;2004;2554.37549378232;999;i
QU;enfghgi999;p0p100;2005;2644.29862633633;999;i
QU;enfghgi999;p0p100;2006;2799.16672407804;999;i
QU;enfghgi999;p0p100;2007;2971.32571478866;999;i
QU;enfghgi999;p0p100;2008;3085.56436177696;999;i
QU;enfghgi999;p0p100;2009;3238.68063158704;999;i
QU;enfghgi999;p0p100;2010;3320.00727254742;999;i
QU;enfghgi999;p0p100;2011;3422.99240217967;999;i
QU;enfghgi999;p0p100;2012;3590.52050149189;999;i
QU;enfghgi999;p0p100;2013;3618.10006615148;999;i
QU;enfghgi999;p0p100;2014;3844.1169918266;999;i
QU;enfghgi999;p0p100;2015;3970.00580406642;999;i
QU;enfghgi999;p0p100;2016;4182.88722186646;999;i
QU;enfghgi999;p0p100;2017;4417.82467215887;999;i
QU;enfghgi999;p0p100;2018;4648.8290793993;999;i
QU;enfghgi999;p0p100;2019;4753.81335198911;999;i
QU;enfghgi999;p0p100;2020;4421.04641734987;999;i
QU;enfghoi999;p0p100;1990;704.450296058382;999;i
