country;variable;percentile;year;value;age;pop
QW-MER;adiincj992;p0p1;2018;384.4;992;j
QW-MER;adiincj992;p0p1;2019;406.2;992;j
QW-MER;adiincj992;p0p1;2020;361.8;992;j
QW-MER;adiincj992;p0p1;2021;360.7;992;j
QW-MER;adiincj992;p0p100;2018;15098.2;992;j
QW-MER;adiincj992;p0p100;2019;15119.1;992;j
QW-MER;adiincj992;p0p100;2020;14271.3;992;j
QW-MER;adiincj992;p0p100;2021;14578;992;j
QW-MER;adiincj992;p0p50;2018;4149.1;992;j
QW-MER;adiincj992;p0p50;2019;4209;992;j
QW-MER;adiincj992;p0p50;2020;3800.7;992;j
QW-MER;adiincj992;p0p50;2021;3883.8;992;j
QW-MER;adiincj992;p10p100;2018;16589.2;992;j
QW-MER;adiincj992;p10p100;2019;16607.8;992;j
QW-MER;adiincj992;p10p100;2020;15687.2;992;j
QW-MER;adiincj992;p10p100;2021;16027.5;992;j
QW-MER;adiincj992;p10p11;2018;2519.5;992;j
QW-MER;adiincj992;p10p11;2019;2600;992;j
QW-MER;adiincj992;p10p11;2020;2351.8;992;j
QW-MER;adiincj992;p10p11;2021;2450.8;992;j
QW-MER;adiincj992;p11p100;2018;16747.3;992;j
QW-MER;adiincj992;p11p100;2019;16765.2;992;j
QW-MER;adiincj992;p11p100;2020;15837;992;j
QW-MER;adiincj992;p11p100;2021;16180;992;j
QW-MER;adiincj992;p11p12;2018;2599.4;992;j
QW-MER;adiincj992;p11p12;2019;2662.1;992;j
QW-MER;adiincj992;p11p12;2020;2401.2;992;j
QW-MER;adiincj992;p11p12;2021;2450.8;992;j
QW-MER;adiincj992;p12p100;2018;16908.1;992;j
QW-MER;adiincj992;p12p100;2019;16925.5;992;j
QW-MER;adiincj992;p12p100;2020;15989.7;992;j
QW-MER;adiincj992;p12p100;2021;16336;992;j
QW-MER;adiincj992;p12p13;2018;2725;992;j
QW-MER;adiincj992;p12p13;2019;2768.3;992;j
QW-MER;adiincj992;p12p13;2020;2496.4;992;j
QW-MER;adiincj992;p12p13;2021;2530.4;992;j
QW-MER;adiincj992;p13p100;2018;17071.1;992;j
QW-MER;adiincj992;p13p100;2019;17088.2;992;j
QW-MER;adiincj992;p13p100;2020;16144.8;992;j
QW-MER;adiincj992;p13p100;2021;16494.7;992;j
QW-MER;adiincj992;p13p14;2018;2856.5;992;j
QW-MER;adiincj992;p13p14;2019;2921.6;992;j
QW-MER;adiincj992;p13p14;2020;2576.5;992;j
QW-MER;adiincj992;p13p14;2021;2637.9;992;j
QW-MER;adiincj992;p14p100;2018;17236.4;992;j
QW-MER;adiincj992;p14p100;2019;17252.9;992;j
