country;variable;percentile;year;value;age;pop
QW;ehfcari999;p0p100;1990;1218.33816711649;999;i
QW;ehfcari999;p0p100;1991;1230.96648036392;999;i
QW;ehfcari999;p0p100;1992;610.710833046467;999;i
QW;ehfcari999;p0p100;1993;773.765260510448;999;i
QW;ehfcari999;p0p100;1994;781.511016537578;999;i
QW;ehfcari999;p0p100;1995;765.331275590791;999;i
QW;ehfcari999;p0p100;1996;884.846187768064;999;i
QW;ehfcari999;p0p100;1997;888.209522907608;999;i
QW;ehfcari999;p0p100;1998;868.894283961678;999;i
QW;ehfcari999;p0p100;1999;809.264818566118;999;i
QW;ehfcari999;p0p100;2000;791.17014984132;999;i
QW;ehfcari999;p0p100;2001;845.545465555207;999;i
QW;ehfcari999;p0p100;2002;879.731855801173;999;i
QW;ehfcari999;p0p100;2003;942.617913193889;999;i
QW;ehfcari999;p0p100;2004;972.449986087702;999;i
QW;ehfcari999;p0p100;2005;1027.06534554092;999;i
QW;ehfcari999;p0p100;2006;1088.85662212917;999;i
QW;ehfcari999;p0p100;2007;1148.14015927548;999;i
QW;ehfcari999;p0p100;2008;1176.05914229275;999;i
QW;ehfcari999;p0p100;2009;1106.62949495926;999;i
QW;ehfcari999;p0p100;2010;1183.45651717024;999;i
QW;ehfcari999;p0p100;2011;1213.38056735363;999;i
QW;ehfcari999;p0p100;2012;1289.62115348714;999;i
QW;ehfcari999;p0p100;2013;1280.10692560765;999;i
QW;ehfcari999;p0p100;2014;1267.79765333863;999;i
QW;ehfcari999;p0p100;2015;1265.26245037228;999;i
QW;ehfcari999;p0p100;2016;1272.07532307048;999;i
QW;ehfcari999;p0p100;2017;1291.76160788758;999;i
QW;ehfcari999;p0p100;2018;1271.19403739073;999;i
QW;ehfcari999;p0p100;2019;1261.34493808996;999;i
QW;ehfcari999;p0p100;2020;1197.04070789015;999;i
QW;ehfghdi999;p0p100;1990;520.597459838767;999;i
QW;ehfghdi999;p0p100;1991;496.638441996792;999;i
QW;ehfghdi999;p0p100;1992;434.480373606164;999;i
QW;ehfghdi999;p0p100;1993;408.12846744247;999;i
QW;ehfghdi999;p0p100;1994;361.262992183433;999;i
QW;ehfghdi999;p0p100;1995;344.628194088202;999;i
QW;ehfghdi999;p0p100;1996;338.587496626525;999;i
QW;ehfghdi999;p0p100;1997;322.469233280076;999;i
QW;ehfghdi999;p0p100;1998;318.04953634667;999;i
QW;ehfghdi999;p0p100;1999;316.176307014228;999;i
QW;ehfghdi999;p0p100;2000;322.907792917953;999;i
QW;ehfghdi999;p0p100;2001;328.57667111575;999;i
QW;ehfghdi999;p0p100;2002;329.484634182946;999;i
QW;ehfghdi999;p0p100;2003;339.045569619111;999;i
QW;ehfghdi999;p0p100;2004;348.4315415655;999;i
QW;ehfghdi999;p0p100;2005;349.250956160448;999;i
QW;ehfghdi999;p0p100;2006;350.781487005083;999;i
QW;ehfghdi999;p0p100;2007;353.06802926;999;i
QW;ehfghdi999;p0p100;2008;361.572634311298;999;i
QW;ehfghdi999;p0p100;2009;370.966968693275;999;i
QW;ehfghdi999;p0p100;2010;381.323290877715;999;i
QW;ehfghdi999;p0p100;2011;392.72209046;999;i
QW;ehfghdi999;p0p100;2012;389.718630256071;999;i
QW;ehfghdi999;p0p100;2013;387.860280077994;999;i
QW;ehfghdi999;p0p100;2014;387.073704145;999;i
QW;ehfghdi999;p0p100;2015;389.792211328576;999;i
QW;ehfghdi999;p0p100;2016;384.498786661687;999;i
QW;ehfghdi999;p0p100;2017;391.654620521216;999;i
QW;ehfghdi999;p0p100;2018;398.193269091983;999;i
QW;ehfghdi999;p0p100;2019;395.693049591007;999;i
QW;ehfghdi999;p0p100;2020;374.444551650496;999;i
QW;ehfghgi999;p0p100;1980;2213.28848281214;999;i
QW;ehfghgi999;p0p100;1981;2136.31788572673;999;i
QW;ehfghgi999;p0p100;1982;2177.9033136018;999;i
QW;ehfghgi999;p0p100;1983;2192.00700853204;999;i
QW;ehfghgi999;p0p100;1984;2183.24984842753;999;i
QW;ehfghgi999;p0p100;1985;2289.3792953581;999;i
QW;ehfghgi999;p0p100;1986;2315.5225333047;999;i
QW;ehfghgi999;p0p100;1987;2392.62379418379;999;i
QW;ehfghgi999;p0p100;1988;2460.69565615826;999;i
QW;ehfghgi999;p0p100;1989;2483.88347862936;999;i
