country;variable;percentile;year;value;age;pop
QX-MER;adiincj992;p0p1;2018;-1099.9;992;j
QX-MER;adiincj992;p0p1;2019;-1313.8;992;j
QX-MER;adiincj992;p0p1;2020;-1843;992;j
QX-MER;adiincj992;p0p1;2021;-1856.1;992;j
QX-MER;adiincj992;p0p100;2018;39695.6;992;j
QX-MER;adiincj992;p0p100;2019;39472.1;992;j
QX-MER;adiincj992;p0p100;2020;36734;992;j
QX-MER;adiincj992;p0p100;2021;38665;992;j
QX-MER;adiincj992;p0p50;2018;19498.4;992;j
QX-MER;adiincj992;p0p50;2019;19542.1;992;j
QX-MER;adiincj992;p0p50;2020;18160.3;992;j
QX-MER;adiincj992;p0p50;2021;19173.3;992;j
QX-MER;adiincj992;p10p100;2018;43493;992;j
QX-MER;adiincj992;p10p100;2019;43242.5;992;j
QX-MER;adiincj992;p10p100;2020;40234;992;j
QX-MER;adiincj992;p10p100;2021;42345.7;992;j
QX-MER;adiincj992;p10p11;2018;12299.7;992;j
QX-MER;adiincj992;p10p11;2019;12352.1;992;j
QX-MER;adiincj992;p10p11;2020;11555.2;992;j
QX-MER;adiincj992;p10p11;2021;12199.3;992;j
QX-MER;adiincj992;p11p100;2018;43843.5;992;j
QX-MER;adiincj992;p11p100;2019;43589.6;992;j
QX-MER;adiincj992;p11p100;2020;40556.2;992;j
QX-MER;adiincj992;p11p100;2021;42684.4;992;j
QX-MER;adiincj992;p11p12;2018;13044.6;992;j
QX-MER;adiincj992;p11p12;2019;13178;992;j
QX-MER;adiincj992;p11p12;2020;12170.1;992;j
QX-MER;adiincj992;p11p12;2021;12878.1;992;j
QX-MER;adiincj992;p12p100;2018;44193.5;992;j
QX-MER;adiincj992;p12p100;2019;43935.2;992;j
QX-MER;adiincj992;p12p100;2020;40878.8;992;j
QX-MER;adiincj992;p12p100;2021;43023.1;992;j
QX-MER;adiincj992;p12p13;2018;13757.1;992;j
QX-MER;adiincj992;p12p13;2019;13975.2;992;j
QX-MER;adiincj992;p12p13;2020;13020.4;992;j
QX-MER;adiincj992;p12p13;2021;13728.3;992;j
QX-MER;adiincj992;p13p100;2018;44543.3;992;j
QX-MER;adiincj992;p13p100;2019;44279.6;992;j
QX-MER;adiincj992;p13p100;2020;41199;992;j
QX-MER;adiincj992;p13p100;2021;43359.9;992;j
QX-MER;adiincj992;p13p14;2018;14550.7;992;j
QX-MER;adiincj992;p13p14;2019;14652.2;992;j
QX-MER;adiincj992;p13p14;2020;13648.6;992;j
QX-MER;adiincj992;p13p14;2021;14410.3;992;j
QX-MER;adiincj992;p14p100;2018;44892.1;992;j
QX-MER;adiincj992;p14p100;2019;44624.1;992;j
QX-MER;adiincj992;p14p100;2020;41519.3;992;j
QX-MER;adiincj992;p14p100;2021;43696.5;992;j
QX-MER;adiincj992;p14p15;2018;15125;992;j
QX-MER;adiincj992;p14p15;2019;15310.1;992;j
QX-MER;adiincj992;p14p15;2020;14198.1;992;j
QX-MER;adiincj992;p14p15;2021;14966.4;992;j
QX-MER;adiincj992;p15p100;2018;45242.3;992;j
QX-MER;adiincj992;p15p100;2019;44968.9;992;j
QX-MER;adiincj992;p15p100;2020;41840.8;992;j
QX-MER;adiincj992;p15p100;2021;44034.5;992;j
QX-MER;adiincj992;p15p16;2018;15828.7;992;j
QX-MER;adiincj992;p15p16;2019;15942.1;992;j
QX-MER;adiincj992;p15p16;2020;14812.5;992;j
QX-MER;adiincj992;p15p16;2021;15640.2;992;j
QX-MER;adiincj992;p16p100;2018;45592.4;992;j
QX-MER;adiincj992;p16p100;2019;45314.5;992;j
QX-MER;adiincj992;p16p100;2020;42162.5;992;j
QX-MER;adiincj992;p16p100;2021;44372.5;992;j
QX-MER;adiincj992;p16p17;2018;16556.8;992;j
QX-MER;adiincj992;p16p17;2019;16623.2;992;j
QX-MER;adiincj992;p16p17;2020;15356.3;992;j
QX-MER;adiincj992;p16p17;2021;16265.1;992;j
QX-MER;adiincj992;p17p100;2018;45942.2;992;j
QX-MER;adiincj992;p17p100;2019;45660.2;992;j
QX-MER;adiincj992;p17p100;2020;42485.5;992;j
QX-MER;adiincj992;p17p100;2021;44711.2;992;j
QX-MER;adiincj992;p17p18;2018;17102.8;992;j
QX-MER;adiincj992;p17p18;2019;17245;992;j
QX-MER;adiincj992;p17p18;2020;15944.6;992;j
QX-MER;adiincj992;p17p18;2021;16819.3;992;j
QX-MER;adiincj992;p18p100;2018;46293.9;992;j
QX-MER;adiincj992;p18p100;2019;46006.7;992;j
QX-MER;adiincj992;p18p100;2020;42809.2;992;j
QX-MER;adiincj992;p18p100;2021;45051.3;992;j
QX-MER;adiincj992;p18p19;2018;17820.2;992;j
QX-MER;adiincj992;p18p19;2019;17929.2;992;j
QX-MER;adiincj992;p18p19;2020;16552.2;992;j
QX-MER;adiincj992;p18p19;2021;17556.7;992;j
QX-MER;adiincj992;p19p100;2018;46645.5;992;j
QX-MER;adiincj992;p19p100;2019;46353.3;992;j
QX-MER;adiincj992;p19p100;2020;43133.3;992;j
QX-MER;adiincj992;p19p100;2021;45390.7;992;j
QX-MER;adiincj992;p19p20;2018;18390.8;992;j
QX-MER;adiincj992;p19p20;2019;18538.3;992;j
QX-MER;adiincj992;p19p20;2020;17121.4;992;j
