country;variable;percentile;year;value;age;pop
QX;ehfcari999;p0p100;1990;1675.15049029336;999;i
QX;ehfcari999;p0p100;1991;1680.64392951495;999;i
QX;ehfcari999;p0p100;1992;1882.58937670557;999;i
QX;ehfcari999;p0p100;1993;1750.7584455187;999;i
QX;ehfcari999;p0p100;1994;1717.28101965661;999;i
QX;ehfcari999;p0p100;1995;1743.93004436503;999;i
QX;ehfcari999;p0p100;1996;1742.84815535457;999;i
QX;ehfcari999;p0p100;1997;1743.90885684084;999;i
QX;ehfcari999;p0p100;1998;1802.85970941828;999;i
QX;ehfcari999;p0p100;1999;1791.08663877162;999;i
QX;ehfcari999;p0p100;2000;1837.17774614529;999;i
QX;ehfcari999;p0p100;2001;1808.58554826113;999;i
QX;ehfcari999;p0p100;2002;1827.65882853127;999;i
QX;ehfcari999;p0p100;2003;1852.32628782066;999;i
QX;ehfcari999;p0p100;2004;1942.12418769718;999;i
QX;ehfcari999;p0p100;2005;1965.71479624734;999;i
QX;ehfcari999;p0p100;2006;2049.86535614976;999;i
QX;ehfcari999;p0p100;2007;2026.23758412928;999;i
QX;ehfcari999;p0p100;2008;1961.53446182482;999;i
QX;ehfcari999;p0p100;2009;1747.71241127753;999;i
QX;ehfcari999;p0p100;2010;1829.57302306395;999;i
QX;ehfcari999;p0p100;2011;1814.59034181632;999;i
QX;ehfcari999;p0p100;2012;1673.21915080313;999;i
QX;ehfcari999;p0p100;2013;1630.62276468172;999;i
QX;ehfcari999;p0p100;2014;1562.06130619498;999;i
QX;ehfcari999;p0p100;2015;1532.90485733608;999;i
QX;ehfcari999;p0p100;2016;1499.61067111214;999;i
QX;ehfcari999;p0p100;2017;1518.48097123838;999;i
QX;ehfcari999;p0p100;2018;1535.53860398734;999;i
QX;ehfcari999;p0p100;2019;1475.65681897001;999;i
QX;ehfcari999;p0p100;2020;1325.19339380162;999;i
QX;ehfghdi999;p0p100;1990;690.098795806664;999;i
QX;ehfghdi999;p0p100;1991;697.595296311212;999;i
QX;ehfghdi999;p0p100;1992;682.153265300757;999;i
QX;ehfghdi999;p0p100;1993;668.89884938276;999;i
QX;ehfghdi999;p0p100;1994;667.252095642324;999;i
QX;ehfghdi999;p0p100;1995;674.090377423812;999;i
QX;ehfghdi999;p0p100;1996;690.824815502547;999;i
QX;ehfghdi999;p0p100;1997;676.974939692126;999;i
QX;ehfghdi999;p0p100;1998;687.656671277312;999;i
QX;ehfghdi999;p0p100;1999;682.291109099898;999;i
QX;ehfghdi999;p0p100;2000;686.529716846624;999;i
QX;ehfghdi999;p0p100;2001;697.277311991739;999;i
QX;ehfghdi999;p0p100;2002;694.053343687926;999;i
QX;ehfghdi999;p0p100;2003;706.899250339062;999;i
QX;ehfghdi999;p0p100;2004;708.6555855504;999;i
QX;ehfghdi999;p0p100;2005;680.184509979321;999;i
QX;ehfghdi999;p0p100;2006;653.118645468005;999;i
QX;ehfghdi999;p0p100;2007;627.3842978026;999;i
QX;ehfghdi999;p0p100;2008;618.913209417546;999;i
QX;ehfghdi999;p0p100;2009;611.150185679139;999;i
QX;ehfghdi999;p0p100;2010;604.148195345339;999;i
QX;ehfghdi999;p0p100;2011;597.9692998158;999;i
QX;ehfghdi999;p0p100;2012;577.09590872981;999;i
QX;ehfghdi999;p0p100;2013;558.751004153791;999;i
QX;ehfghdi999;p0p100;2014;542.3939629037;999;i
QX;ehfghdi999;p0p100;2015;546.356375857815;999;i
QX;ehfghdi999;p0p100;2016;539.465503530355;999;i
QX;ehfghdi999;p0p100;2017;536.653736158371;999;i
QX;ehfghdi999;p0p100;2018;522.621004594225;999;i
QX;ehfghdi999;p0p100;2019;502.440996587187;999;i
QX;ehfghdi999;p0p100;2020;450.757115351384;999;i
QX;ehfghgi999;p0p100;1980;3057.5725508478;999;i
QX;ehfghgi999;p0p100;1981;2843.68860206961;999;i
