country;variable;percentile;year;value;age;pop
QY;ehfcari999;p0p100;1990;1799.88053305814;999;i
QY;ehfcari999;p0p100;1991;1765.65320976333;999;i
QY;ehfcari999;p0p100;1992;1964.19359226131;999;i
QY;ehfcari999;p0p100;1993;1833.63963819108;999;i
QY;ehfcari999;p0p100;1994;1779.60846833251;999;i
QY;ehfcari999;p0p100;1995;1804.72752287094;999;i
QY;ehfcari999;p0p100;1996;1775.30823294059;999;i
QY;ehfcari999;p0p100;1997;1764.88690920591;999;i
QY;ehfcari999;p0p100;1998;1786.10170477861;999;i
QY;ehfcari999;p0p100;1999;1782.50085413291;999;i
QY;ehfcari999;p0p100;2000;1817.65046444424;999;i
QY;ehfcari999;p0p100;2001;1798.38372286034;999;i
QY;ehfcari999;p0p100;2002;1822.56845640526;999;i
QY;ehfcari999;p0p100;2003;1838.2340720939;999;i
QY;ehfcari999;p0p100;2004;1914.74542188127;999;i
QY;ehfcari999;p0p100;2005;1943.72907034398;999;i
QY;ehfcari999;p0p100;2006;2044.8408399605;999;i
QY;ehfcari999;p0p100;2007;2011.13158181672;999;i
QY;ehfcari999;p0p100;2008;1968.37181318783;999;i
QY;ehfcari999;p0p100;2009;1741.32738331467;999;i
QY;ehfcari999;p0p100;2010;1815.06644420272;999;i
QY;ehfcari999;p0p100;2011;1826.48453014657;999;i
QY;ehfcari999;p0p100;2012;1664.32314222255;999;i
QY;ehfcari999;p0p100;2013;1609.30086782825;999;i
QY;ehfcari999;p0p100;2014;1552.54196566506;999;i
QY;ehfcari999;p0p100;2015;1530.83543210151;999;i
QY;ehfcari999;p0p100;2016;1506.26649944413;999;i
QY;ehfcari999;p0p100;2017;1530.49331473384;999;i
QY;ehfcari999;p0p100;2018;1545.94428199758;999;i
QY;ehfcari999;p0p100;2019;1482.0278503836;999;i
QY;ehfcari999;p0p100;2020;1335.54818311692;999;i
QY;ehfghdi999;p0p100;1990;663.267105111345;999;i
QY;ehfghdi999;p0p100;1991;658.601252729346;999;i
QY;ehfghdi999;p0p100;1992;638.301422864235;999;i
QY;ehfghdi999;p0p100;1993;626.490875985912;999;i
QY;ehfghdi999;p0p100;1994;623.232241547422;999;i
QY;ehfghdi999;p0p100;1995;632.419469233339;999;i
QY;ehfghdi999;p0p100;1996;646.920115979779;999;i
QY;ehfghdi999;p0p100;1997;636.321714906911;999;i
QY;ehfghdi999;p0p100;1998;639.103435839565;999;i
