country;variable;percentile;year;value;age;pop
WO-MER;adiincj992;p0p1;2018;-890.8;992;j
WO-MER;adiincj992;p0p1;2019;-912.3;992;j
WO-MER;adiincj992;p0p1;2020;-949.4;992;j
WO-MER;adiincj992;p0p1;2021;-1048;992;j
WO-MER;adiincj992;p0p100;2018;13084.2;992;j
WO-MER;adiincj992;p0p100;2019;13145.7;992;j
WO-MER;adiincj992;p0p100;2020;12382.9;992;j
WO-MER;adiincj992;p0p100;2021;13027.3;992;j
WO-MER;adiincj992;p0p50;2018;1507.6;992;j
WO-MER;adiincj992;p0p50;2019;1533.9;992;j
WO-MER;adiincj992;p0p50;2020;1447.3;992;j
WO-MER;adiincj992;p0p50;2021;1512;992;j
WO-MER;adiincj992;p10p100;2018;14510.3;992;j
WO-MER;adiincj992;p10p100;2019;14578.1;992;j
WO-MER;adiincj992;p10p100;2020;13733.5;992;j
WO-MER;adiincj992;p10p100;2021;14449.4;992;j
WO-MER;adiincj992;p10p11;2018;709.8;992;j
WO-MER;adiincj992;p10p11;2019;717.2;992;j
WO-MER;adiincj992;p10p11;2020;670.6;992;j
WO-MER;adiincj992;p10p11;2021;699.5;992;j
WO-MER;adiincj992;p11p100;2018;14665.4;992;j
WO-MER;adiincj992;p11p100;2019;14733.8;992;j
WO-MER;adiincj992;p11p100;2020;13880.2;992;j
WO-MER;adiincj992;p11p100;2021;14603.9;992;j
WO-MER;adiincj992;p11p12;2018;738.7;992;j
WO-MER;adiincj992;p11p12;2019;759.1;992;j
WO-MER;adiincj992;p11p12;2020;709.5;992;j
WO-MER;adiincj992;p11p12;2021;755.8;992;j
WO-MER;adiincj992;p12p100;2018;14823.6;992;j
WO-MER;adiincj992;p12p100;2019;14892.6;992;j
WO-MER;adiincj992;p12p100;2020;14029.9;992;j
WO-MER;adiincj992;p12p100;2021;14761.3;992;j
WO-MER;adiincj992;p12p13;2018;752.1;992;j
WO-MER;adiincj992;p12p13;2019;808.5;992;j
WO-MER;adiincj992;p12p13;2020;754.6;992;j
WO-MER;adiincj992;p12p13;2021;800.7;992;j
WO-MER;adiincj992;p13p100;2018;14985.4;992;j
WO-MER;adiincj992;p13p100;2019;15054.5;992;j
WO-MER;adiincj992;p13p100;2020;14182.5;992;j
WO-MER;adiincj992;p13p100;2021;14921.7;992;j
WO-MER;adiincj992;p13p14;2018;790.6;992;j
WO-MER;adiincj992;p13p14;2019;834.7;992;j
WO-MER;adiincj992;p13p14;2020;799.1;992;j
WO-MER;adiincj992;p13p14;2021;847.1;992;j
WO-MER;adiincj992;p14p100;2018;15150.4;992;j
WO-MER;adiincj992;p14p100;2019;15219.9;992;j
WO-MER;adiincj992;p14p100;2020;14338.1;992;j
WO-MER;adiincj992;p14p100;2021;15085.4;992;j
WO-MER;adiincj992;p14p15;2018;825.1;992;j
WO-MER;adiincj992;p14p15;2019;844.3;992;j
WO-MER;adiincj992;p14p15;2020;833.4;992;j
WO-MER;adiincj992;p14p15;2021;891.1;992;j
WO-MER;adiincj992;p15p100;2018;15319;992;j
WO-MER;adiincj992;p15p100;2019;15389;992;j
WO-MER;adiincj992;p15p100;2020;14497;992;j
WO-MER;adiincj992;p15p100;2021;15252.4;992;j
WO-MER;adiincj992;p15p16;2018;871.8;992;j
WO-MER;adiincj992;p15p16;2019;885.4;992;j
WO-MER;adiincj992;p15p16;2020;838.3;992;j
WO-MER;adiincj992;p15p16;2021;900.8;992;j
WO-MER;adiincj992;p16p100;2018;15490.9;992;j
WO-MER;adiincj992;p16p100;2019;15561.6;992;j
WO-MER;adiincj992;p16p100;2020;14659.6;992;j
WO-MER;adiincj992;p16p100;2021;15423.2;992;j
WO-MER;adiincj992;p16p17;2018;910.8;992;j
WO-MER;adiincj992;p16p17;2019;928.6;992;j
WO-MER;adiincj992;p16p17;2020;872.4;992;j
WO-MER;adiincj992;p16p17;2021;923.9;992;j
WO-MER;adiincj992;p17p100;2018;15666.6;992;j
WO-MER;adiincj992;p17p100;2019;15737.9;992;j
WO-MER;adiincj992;p17p100;2020;14825.7;992;j
WO-MER;adiincj992;p17p100;2021;15597.9;992;j
WO-MER;adiincj992;p17p18;2018;952.4;992;j
WO-MER;adiincj992;p17p18;2019;968.7;992;j
WO-MER;adiincj992;p17p18;2020;915.7;992;j
WO-MER;adiincj992;p17p18;2021;969.4;992;j
WO-MER;adiincj992;p18p100;2018;15846;992;j
WO-MER;adiincj992;p18p100;2019;15918.1;992;j
WO-MER;adiincj992;p18p100;2020;14995.3;992;j
WO-MER;adiincj992;p18p100;2021;15776.3;992;j
WO-MER;adiincj992;p18p19;2018;998.1;992;j
WO-MER;adiincj992;p18p19;2019;1010.9;992;j
WO-MER;adiincj992;p18p19;2020;951.8;992;j
WO-MER;adiincj992;p18p19;2021;1017.2;992;j
WO-MER;adiincj992;p19p100;2018;16029.4;992;j
WO-MER;adiincj992;p19p100;2019;16102.1;992;j
WO-MER;adiincj992;p19p100;2020;15168.7;992;j
WO-MER;adiincj992;p19p100;2021;15958.5;992;j
WO-MER;adiincj992;p19p20;2018;1038.2;992;j
