country;variable;percentile;year;value;age;pop
WO;ehfcari999;p0p100;1990;9055.10739298118;999;i
WO;ehfcari999;p0p100;1991;9009.7758902354;999;i
WO;ehfcari999;p0p100;1992;8905.74334019608;999;i
WO;ehfcari999;p0p100;1993;8900.93057660283;999;i
WO;ehfcari999;p0p100;1994;8964.99325304724;999;i
WO;ehfcari999;p0p100;1995;9182.15580487578;999;i
WO;ehfcari999;p0p100;1996;9529.46663981541;999;i
WO;ehfcari999;p0p100;1997;9835.18142894735;999;i
WO;ehfcari999;p0p100;1998;9604.07465380647;999;i
WO;ehfcari999;p0p100;1999;9769.05267293485;999;i
WO;ehfcari999;p0p100;2000;10090.5670707375;999;i
WO;ehfcari999;p0p100;2001;10053.4023758907;999;i
WO;ehfcari999;p0p100;2002;10263.6604521834;999;i
WO;ehfcari999;p0p100;2003;10511.1424022892;999;i
WO;ehfcari999;p0p100;2004;10898.487834714;999;i
WO;ehfcari999;p0p100;2005;11333.4921950634;999;i
WO;ehfcari999;p0p100;2006;11623.0908533309;999;i
WO;ehfcari999;p0p100;2007;11827.9881364497;999;i
WO;ehfcari999;p0p100;2008;11920.3422029335;999;i
WO;ehfcari999;p0p100;2009;11540.8899307101;999;i
WO;ehfcari999;p0p100;2010;12140.5079942492;999;i
WO;ehfcari999;p0p100;2011;12519.7253762847;999;i
WO;ehfcari999;p0p100;2012;12690.471368188;999;i
WO;ehfcari999;p0p100;2013;12657.9222838597;999;i
WO;ehfcari999;p0p100;2014;12711.8425098687;999;i
WO;ehfcari999;p0p100;2015;12542.6125651394;999;i
WO;ehfcari999;p0p100;2016;12536.7851612997;999;i
WO;ehfcari999;p0p100;2017;12699.1076659632;999;i
WO;ehfcari999;p0p100;2018;12937.7577105632;999;i
WO;ehfcari999;p0p100;2019;12894.8480414335;999;i
WO;ehfcari999;p0p100;2020;12141.2535741598;999;i
WO;ehfghdi999;p0p100;1990;3008.62130713052;999;i
WO;ehfghdi999;p0p100;1991;3003.3586775403;999;i
WO;ehfghdi999;p0p100;1992;2960.57083591114;999;i
WO;ehfghdi999;p0p100;1993;2968.3721260926;999;i
WO;ehfghdi999;p0p100;1994;2974.89884961683;999;i
WO;ehfghdi999;p0p100;1995;3016.6602040969;999;i
WO;ehfghdi999;p0p100;1996;3102.30502296682;999;i
WO;ehfghdi999;p0p100;1997;3111.40392188736;999;i
WO;ehfghdi999;p0p100;1998;3122.54739689228;999;i
WO;ehfghdi999;p0p100;1999;3168.07054240491;999;i
WO;ehfghdi999;p0p100;2000;3236.37659379483;999;i
WO;ehfghdi999;p0p100;2001;3262.28334158922;999;i
WO;ehfghdi999;p0p100;2002;3306.56692232901;999;i
WO;ehfghdi999;p0p100;2003;3418.81742156646;999;i
WO;ehfghdi999;p0p100;2004;3527.58275385759;999;i
WO;ehfghdi999;p0p100;2005;3526.36724693752;999;i
WO;ehfghdi999;p0p100;2006;3529.48662492811;999;i
WO;ehfghdi999;p0p100;2007;3536.9995973795;999;i
WO;ehfghdi999;p0p100;2008;3575.16432310714;999;i
WO;ehfghdi999;p0p100;2009;3619.68693608643;999;i
WO;ehfghdi999;p0p100;2010;3671.40669463296;999;i
WO;ehfghdi999;p0p100;2011;3731.4112979422;999;i
WO;ehfghdi999;p0p100;2012;3757.73684584407;999;i
WO;ehfghdi999;p0p100;2013;3790.64840400228;999;i
WO;ehfghdi999;p0p100;2014;3829.6810902358;999;i
WO;ehfghdi999;p0p100;2015;3821.05795970592;999;i
WO;ehfghdi999;p0p100;2016;3814.86990529351;999;i
WO;ehfghdi999;p0p100;2017;3853.54050670093;999;i
WO;ehfghdi999;p0p100;2018;3923.78673410878;999;i
WO;ehfghdi999;p0p100;2019;3898.81136391539;999;i
WO;ehfghdi999;p0p100;2020;3637.05268621485;999;i
WO;ehfghgi999;p0p100;1980;16193.3102845311;999;i
WO;ehfghgi999;p0p100;1981;15702.0550550689;999;i
WO;ehfghgi999;p0p100;1982;15608.1114493094;999;i
WO;ehfghgi999;p0p100;1983;15728.7392730596;999;i
WO;ehfghgi999;p0p100;1984;16026.125627555;999;i
WO;ehfghgi999;p0p100;1985;16394.1665347511;999;i
WO;ehfghgi999;p0p100;1986;16506.6281815708;999;i
WO;ehfghgi999;p0p100;1987;17063.1403860852;999;i
WO;ehfghgi999;p0p100;1988;17716.6870125702;999;i
WO;ehfghgi999;p0p100;1989;18030.0579666185;999;i
WO;ehfghgi999;p0p100;1990;17608.4650931471;999;i
WO;ehfghgi999;p0p100;1991;17501.7729081256;999;i
WO;ehfghgi999;p0p100;1992;17341.2256764707;999;i
WO;ehfghgi999;p0p100;1993;17343.3673984627;999;i
WO;ehfghgi999;p0p100;1994;17423.6347744556;999;i
WO;ehfghgi999;p0p100;1995;17804.1043326521;999;i
WO;ehfghgi999;p0p100;1996;18505.9513123596;999;i
WO;ehfghgi999;p0p100;1997;18263.4959907127;999;i
WO;ehfghgi999;p0p100;1998;18447.2689146392;999;i
WO;ehfghgi999;p0p100;1999;18678.05420523;999;i
WO;ehfghgi999;p0p100;2000;19173.1962150837;999;i
WO;ehfghgi999;p0p100;2001;19114.9813981198;999;i
WO;ehfghgi999;p0p100;2002;19392.431092323;999;i
WO;ehfghgi999;p0p100;2003;19974.0758026442;999;i
WO;ehfghgi999;p0p100;2004;20558.8535940194;999;i
WO;ehfghgi999;p0p100;2005;21139.5772131732;999;i
WO;ehfghgi999;p0p100;2006;21449.5881820026;999;i
WO;ehfghgi999;p0p100;2007;21714.3998070812;999;i
WO;ehfghgi999;p0p100;2008;21959.0366592196;999;i
WO;ehfghgi999;p0p100;2009;21550.6879448953;999;i
WO;ehfghgi999;p0p100;2010;22291.8161157871;999;i
WO;ehfghgi999;p0p100;2011;22843.6308704854;999;i
WO;ehfghgi999;p0p100;2012;23090.9026373972;999;i
WO;ehfghgi999;p0p100;2013;23129.8901637465;999;i
WO;ehfghgi999;p0p100;2014;23243.3223222922;999;i
WO;ehfghgi999;p0p100;2015;23150.7925006262;999;i
WO;ehfghgi999;p0p100;2016;23196.5242261854;999;i
WO;ehfghgi999;p0p100;2017;23493.6470099754;999;i
WO;ehfghgi999;p0p100;2018;23970.5507827038;999;i
WO;ehfghgi999;p0p100;2019;23951.4188453093;999;i
WO;ehfghgi999;p0p100;2020;22526.3662628324;999;i
WO;ehfghni999;p0p100;1990;13503.9764047653;999;i
WO;ehfghni999;p0p100;1991;13431.9598540621;999;i
WO;ehfghni999;p0p100;1992;13321.7347579991;999;i
WO;ehfghni999;p0p100;1993;13258.9649556573;999;i
WO;ehfghni999;p0p100;1994;13362.7558343517;999;i
WO;ehfghni999;p0p100;1995;13704.8432366268;999;i
WO;ehfghni999;p0p100;1996;14161.9359547508;999;i
WO;ehfghni999;p0p100;1997;14352.6513813578;999;i
WO;ehfghni999;p0p100;1998;14262.9608359311;999;i
WO;ehfghni999;p0p100;1999;14432.0086339786;999;i
WO;ehfghni999;p0p100;2000;14792.8786520714;999;i
WO;ehfghni999;p0p100;2001;14717.8963547356;999;i
WO;ehfghni999;p0p100;2002;14913.3338861298;999;i
