country;variable;percentile;year;value;age;pop
XA;ehfcari999;p0p100;1990;2429.46762450852;999;i
XA;ehfcari999;p0p100;1991;2364.54921519063;999;i
XA;ehfcari999;p0p100;1992;2530.5049733509;999;i
XA;ehfcari999;p0p100;1993;2510.56752601655;999;i
XA;ehfcari999;p0p100;1994;2571.46492753642;999;i
XA;ehfcari999;p0p100;1995;2723.44587674248;999;i
XA;ehfcari999;p0p100;1996;2831.89971830398;999;i
XA;ehfcari999;p0p100;1997;3098.826134539;999;i
XA;ehfcari999;p0p100;1998;2671.75203014887;999;i
XA;ehfcari999;p0p100;1999;2845.26902840143;999;i
XA;ehfcari999;p0p100;2000;2977.37279600349;999;i
XA;ehfcari999;p0p100;2001;2979.85678527309;999;i
XA;ehfcari999;p0p100;2002;3082.21025100793;999;i
XA;ehfcari999;p0p100;2003;3238.54984930291;999;i
XA;ehfcari999;p0p100;2004;3465.25756676039;999;i
XA;ehfcari999;p0p100;2005;3708.04026260089;999;i
XA;ehfcari999;p0p100;2006;3844.45665554321;999;i
XA;ehfcari999;p0p100;2007;3965.04942942004;999;i
XA;ehfcari999;p0p100;2008;4166.0032661177;999;i
XA;ehfcari999;p0p100;2009;4325.30439499112;999;i
XA;ehfcari999;p0p100;2010;4562.44106637183;999;i
XA;ehfcari999;p0p100;2011;4914.24240564259;999;i
XA;ehfcari999;p0p100;2012;5218.15406198666;999;i
XA;ehfcari999;p0p100;2013;5199.8119230575;999;i
XA;ehfcari999;p0p100;2014;5253.23530842337;999;i
XA;ehfcari999;p0p100;2015;5203.56684566076;999;i
XA;ehfcari999;p0p100;2016;5297.68696961751;999;i
XA;ehfcari999;p0p100;2017;5399.77283064447;999;i
XA;ehfcari999;p0p100;2018;5569.04420874834;999;i
XA;ehfcari999;p0p100;2019;5667.88412012544;999;i
XA;ehfcari999;p0p100;2020;5488.32807581564;999;i
XA;ehfghdi999;p0p100;1990;434.264683359588;999;i
XA;ehfghdi999;p0p100;1991;454.497666741034;999;i
XA;ehfghdi999;p0p100;1992;473.075582687881;999;i
XA;ehfghdi999;p0p100;1993;492.741437226187;999;i
XA;ehfghdi999;p0p100;1994;518.380640302753;999;i
XA;ehfghdi999;p0p100;1995;547.088337498962;999;i
XA;ehfghdi999;p0p100;1996;573.092221958877;999;i
XA;ehfghdi999;p0p100;1997;585.453200511895;999;i
XA;ehfghdi999;p0p100;1998;560.77232559154;999;i
XA;ehfghdi999;p0p100;1999;576.892804969501;999;i
XA;ehfghdi999;p0p100;2000;598.040697439843;999;i
XA;ehfghdi999;p0p100;2001;611.390372760419;999;i
XA;ehfghdi999;p0p100;2002;647.609417854965;999;i
XA;ehfghdi999;p0p100;2003;704.662451449247;999;i
XA;ehfghdi999;p0p100;2004;766.80238177649;999;i
XA;ehfghdi999;p0p100;2005;782.28882641678;999;i
XA;ehfghdi999;p0p100;2006;798.777415944226;999;i
XA;ehfghdi999;p0p100;2007;816.3131809625;999;i
XA;ehfghdi999;p0p100;2008;854.76019927485;999;i
XA;ehfghdi999;p0p100;2009;896.776788515702;999;i
XA;ehfghdi999;p0p100;2010;942.997382509785;999;i
XA;ehfghdi999;p0p100;2011;994.2760504157;999;i
XA;ehfghdi999;p0p100;2012;1017.61084146475;999;i
XA;ehfghdi999;p0p100;2013;1042.16063053698;999;i
XA;ehfghdi999;p0p100;2014;1068.0339574493;999;i
XA;ehfghdi999;p0p100;2015;1084.6333098806;999;i
XA;ehfghdi999;p0p100;2016;1105.8663481272;999;i
XA;ehfghdi999;p0p100;2017;1125.5215384052;999;i
XA;ehfghdi999;p0p100;2018;1164.99709541249;999;i
XA;ehfghdi999;p0p100;2019;1189.74340586311;999;i
XA;ehfghdi999;p0p100;2020;1153.43435527417;999;i
XA;ehfghgi999;p0p100;1980;3377.09762852586;999;i
XA;ehfghgi999;p0p100;1981;3369.43261192669;999;i
