country;variable;percentile;year;value;age;pop
XB;ehfcari999;p0p100;1990;2578.39340126131;999;i
XB;ehfcari999;p0p100;1991;2573.23135976163;999;i
XB;ehfcari999;p0p100;1992;2677.63547854003;999;i
XB;ehfcari999;p0p100;1993;2668.10064319957;999;i
XB;ehfcari999;p0p100;1994;2693.14968017577;999;i
XB;ehfcari999;p0p100;1995;2723.90835410908;999;i
XB;ehfcari999;p0p100;1996;2820.38626630139;999;i
XB;ehfcari999;p0p100;1997;2774.83820251205;999;i
XB;ehfcari999;p0p100;1998;2857.4962709664;999;i
XB;ehfcari999;p0p100;1999;2948.36522064359;999;i
XB;ehfcari999;p0p100;2000;3114.10747785663;999;i
XB;ehfcari999;p0p100;2001;3035.02927381708;999;i
XB;ehfcari999;p0p100;2002;3132.41920273478;999;i
XB;ehfcari999;p0p100;2003;3044.13658071901;999;i
XB;ehfcari999;p0p100;2004;3067.23840939121;999;i
XB;ehfcari999;p0p100;2005;3100.110648954;999;i
XB;ehfcari999;p0p100;2006;3052.63166085678;999;i
XB;ehfcari999;p0p100;2007;3056.84972572734;999;i
XB;ehfcari999;p0p100;2008;2904.03705012818;999;i
XB;ehfcari999;p0p100;2009;2718.11833789668;999;i
XB;ehfcari999;p0p100;2010;2843.03687408852;999;i
XB;ehfcari999;p0p100;2011;2809.45746150595;999;i
XB;ehfcari999;p0p100;2012;2667.51687937085;999;i
XB;ehfcari999;p0p100;2013;2680.86876804161;999;i
XB;ehfcari999;p0p100;2014;2706.67526346921;999;i
XB;ehfcari999;p0p100;2015;2649.45343788644;999;i
XB;ehfcari999;p0p100;2016;2590.66470330664;999;i
XB;ehfcari999;p0p100;2017;2593.0043393265;999;i
XB;ehfcari999;p0p100;2018;2662.61838215112;999;i
XB;ehfcari999;p0p100;2019;2598.49286380861;999;i
XB;ehfcari999;p0p100;2020;2338.64357742775;999;i
XB;ehfghdi999;p0p100;1990;967.131089490109;999;i
XB;ehfghdi999;p0p100;1991;957.475562303804;999;i
XB;ehfghdi999;p0p100;1992;978.08263257312;999;i
XB;ehfghdi999;p0p100;1993;995.385404330446;999;i
XB;ehfghdi999;p0p100;1994;1014.06478822719;999;i
XB;ehfghdi999;p0p100;1995;1027.61346234965;999;i
XB;ehfghdi999;p0p100;1996;1062.62859731731;999;i
XB;ehfghdi999;p0p100;1997;1078.94132325904;999;i
XB;ehfghdi999;p0p100;1998;1089.45536640165;999;i
XB;ehfghdi999;p0p100;1999;1106.51800379454;999;i
XB;ehfghdi999;p0p100;2000;1139.12216341442;999;i
XB;ehfghdi999;p0p100;2001;1122.5722637414;999;i
XB;ehfghdi999;p0p100;2002;1131.09001038778;999;i
XB;ehfghdi999;p0p100;2003;1143.04445641559;999;i
XB;ehfghdi999;p0p100;2004;1163.404883298;999;i
XB;ehfghdi999;p0p100;2005;1159.98177726268;999;i
XB;ehfghdi999;p0p100;2006;1156.58752712118;999;i
XB;ehfghdi999;p0p100;2007;1153.222142843;999;i
XB;ehfghdi999;p0p100;2008;1141.53259728291;999;i
XB;ehfghdi999;p0p100;2009;1130.00233798351;999;i
XB;ehfghdi999;p0p100;2010;1118.62951658771;999;i
XB;ehfghdi999;p0p100;2011;1107.412308374;999;i
XB;ehfghdi999;p0p100;2012;1130.97398123021;999;i
XB;ehfghdi999;p0p100;2013;1155.14313270168;999;i
XB;ehfghdi999;p0p100;2014;1179.934686874;999;i
XB;ehfghdi999;p0p100;2015;1152.88019536106;999;i
XB;ehfghdi999;p0p100;2016;1129.05739047737;999;i
XB;ehfghdi999;p0p100;2017;1124.07958912694;999;i
XB;ehfghdi999;p0p100;2018;1158.30175148513;999;i
XB;ehfghdi999;p0p100;2019;1130.21758348473;999;i
XB;ehfghdi999;p0p100;2020;1017.19582513626;999;i
XB;ehfghgi999;p0p100;1980;4304.75094281471;999;i
XB;ehfghgi999;p0p100;1981;4194.77571166756;999;i
XB;ehfghgi999;p0p100;1982;4049.84641490124;999;i
XB;ehfghgi999;p0p100;1983;4094.43326947167;999;i
XB;ehfghgi999;p0p100;1984;4269.51866995352;999;i
XB;ehfghgi999;p0p100;1985;4306.14024023119;999;i
XB;ehfghgi999;p0p100;1986;4179.36760768994;999;i
XB;ehfghgi999;p0p100;1987;4351.34406531608;999;i
XB;ehfghgi999;p0p100;1988;4535.06320661917;999;i
XB;ehfghgi999;p0p100;1989;4674.22496690802;999;i
XB;ehfghgi999;p0p100;1990;4493.84866176716;999;i
XB;ehfghgi999;p0p100;1991;4478.73342222878;999;i
XB;ehfghgi999;p0p100;1992;4607.40288534081;999;i
XB;ehfghgi999;p0p100;1993;4615.60911131155;999;i
XB;ehfghgi999;p0p100;1994;4673.09363887572;999;i
XB;ehfghgi999;p0p100;1995;4732.53754311877;999;i
XB;ehfghgi999;p0p100;1996;4892.23112763142;999;i
XB;ehfghgi999;p0p100;1997;4850.991973245;999;i
XB;ehfghgi999;p0p100;1998;4995.284421811;999;i
XB;ehfghgi999;p0p100;1999;5098.51453671402;999;i
XB;ehfghgi999;p0p100;2000;5331.65509674569;999;i
XB;ehfghgi999;p0p100;2001;5197.36197167433;999;i
XB;ehfghgi999;p0p100;2002;5304.58433692884;999;i
XB;ehfghgi999;p0p100;2003;5196.30088752553;999;i
XB;ehfghgi999;p0p100;2004;5261.27162452618;999;i
XB;ehfghgi999;p0p100;2005;5291.55809437406;999;i
XB;ehfghgi999;p0p100;2006;5233.17974846666;999;i
XB;ehfghgi999;p0p100;2007;5217.71597606905;999;i
XB;ehfghgi999;p0p100;2008;5026.24513352643;999;i
XB;ehfghgi999;p0p100;2009;4799.3207723048;999;i
XB;ehfghgi999;p0p100;2010;4922.40397073515;999;i
XB;ehfghgi999;p0p100;2011;4872.62123088479;999;i
XB;ehfghgi999;p0p100;2012;4729.97805095345;999;i
XB;ehfghgi999;p0p100;2013;4768.61740826407;999;i
XB;ehfghgi999;p0p100;2014;4820.78478104007;999;i
XB;ehfghgi999;p0p100;2015;4742.39901665837;999;i
XB;ehfghgi999;p0p100;2016;4639.31531637397;999;i
XB;ehfghgi999;p0p100;2017;4636.68061326485;999;i
XB;ehfghgi999;p0p100;2018;4765.05759814414;999;i
XB;ehfghgi999;p0p100;2019;4651.13540288615;999;i
XB;ehfghgi999;p0p100;2020;4186.11657220905;999;i
XB;ehfghni999;p0p100;1990;3524.61885022725;999;i
XB;ehfghni999;p0p100;1991;3519.10487892805;999;i
XB;ehfghni999;p0p100;1992;3627.09401694509;999;i
XB;ehfghni999;p0p100;1993;3617.93457404813;999;i
XB;ehfghni999;p0p100;1994;3656.70597603446;999;i
XB;ehfghni999;p0p100;1995;3702.53745660835;999;i
XB;ehfghni999;p0p100;1996;3827.16163160097;999;i
XB;ehfghni999;p0p100;1997;3769.52050380137;999;i
XB;ehfghni999;p0p100;1998;3903.2340287028;999;i
XB;ehfghni999;p0p100;1999;3989.37951351526;999;i
XB;ehfghni999;p0p100;2000;4189.83446876187;999;i
XB;ehfghni999;p0p100;2001;4072.09639261472;999;i
XB;ehfghni999;p0p100;2002;4170.80685051707;999;i
XB;ehfghni999;p0p100;2003;4050.54278127665;999;i
XB;ehfghni999;p0p100;2004;4095.09353479556;999;i
XB;ehfghni999;p0p100;2005;4128.7961378244;999;i
XB;ehfghni999;p0p100;2006;4073.79563250097;999;i
XB;ehfghni999;p0p100;2007;4061.64506791029;999;i
XB;ehfghni999;p0p100;2008;3881.89180764341;999;i
XB;ehfghni999;p0p100;2009;3666.4655497847;999;i
XB;ehfghni999;p0p100;2010;3800.86260812817;999;i
XB;ehfghni999;p0p100;2011;3762.31260047209;999;i
XB;ehfghni999;p0p100;2012;3596.11215680527;999;i
XB;ehfghni999;p0p100;2013;3610.55803513106;999;i
XB;ehfghni999;p0p100;2014;3637.87165325359;999;i
XB;ehfghni999;p0p100;2015;3586.48328772545;999;i
XB;ehfghni999;p0p100;2016;3507.19202895511;999;i
XB;ehfghni999;p0p100;2017;3509.50476382681;999;i
XB;ehfghni999;p0p100;2018;3603.6292229783;999;i
XB;ehfghni999;p0p100;2019;3517.76083235111;999;i
XB;ehfghni999;p0p100;2020;3165.984749116;999;i
XB;ehfghoi999;p0p100;1990;947.322751252999;999;i
XB;ehfghoi999;p0p100;1991;947.007806129837;999;i
XB;ehfghoi999;p0p100;1992;950.624991330433;999;i
XB;ehfghoi999;p0p100;1993;951.034259662994;999;i
XB;ehfghoi999;p0p100;1994;964.765351267261;999;i
XB;ehfghoi999;p0p100;1995;979.870493373376;999;i
XB;ehfghoi999;p0p100;1996;1008.03802734734;999;i
XB;ehfghoi999;p0p100;1997;995.989123564576;999;i
XB;ehfghoi999;p0p100;1998;1047.07799163001;999;i
XB;ehfghoi999;p0p100;1999;1042.36221755791;999;i
XB;ehfghoi999;p0p100;2000;1077.10919639001;999;i
XB;ehfghoi999;p0p100;2001;1038.4327954804;999;i
