country;variable;percentile;year;value;age;pop
XF-MER;adiincj992;p0p1;2018;21.3;992;j
XF-MER;adiincj992;p0p1;2019;29.8;992;j
XF-MER;adiincj992;p0p1;2020;28.6;992;j
XF-MER;adiincj992;p0p1;2021;28.2;992;j
XF-MER;adiincj992;p0p100;2018;5236.5;992;j
XF-MER;adiincj992;p0p100;2019;5055.4;992;j
XF-MER;adiincj992;p0p100;2020;4736.5;992;j
XF-MER;adiincj992;p0p100;2021;4781.9;992;j
XF-MER;adiincj992;p0p50;2018;568.3;992;j
XF-MER;adiincj992;p0p50;2019;573.6;992;j
XF-MER;adiincj992;p0p50;2020;555.3;992;j
XF-MER;adiincj992;p0p50;2021;554.9;992;j
XF-MER;adiincj992;p10p100;2018;5807.9;992;j
XF-MER;adiincj992;p10p100;2019;5605.7;992;j
XF-MER;adiincj992;p10p100;2020;5251.8;992;j
XF-MER;adiincj992;p10p100;2021;5302.3;992;j
XF-MER;adiincj992;p10p11;2018;224.9;992;j
XF-MER;adiincj992;p10p11;2019;228.2;992;j
XF-MER;adiincj992;p10p11;2020;217.3;992;j
XF-MER;adiincj992;p10p11;2021;216.2;992;j
XF-MER;adiincj992;p11p100;2018;5870.6;992;j
XF-MER;adiincj992;p11p100;2019;5666.1;992;j
XF-MER;adiincj992;p11p100;2020;5308.4;992;j
XF-MER;adiincj992;p11p100;2021;5359.4;992;j
XF-MER;adiincj992;p11p12;2018;247.9;992;j
XF-MER;adiincj992;p11p12;2019;250.8;992;j
XF-MER;adiincj992;p11p12;2020;239.4;992;j
XF-MER;adiincj992;p11p12;2021;238.4;992;j
XF-MER;adiincj992;p12p100;2018;5934.5;992;j
XF-MER;adiincj992;p12p100;2019;5727.7;992;j
XF-MER;adiincj992;p12p100;2020;5366;992;j
XF-MER;adiincj992;p12p100;2021;5417.6;992;j
XF-MER;adiincj992;p12p13;2018;270.8;992;j
XF-MER;adiincj992;p12p13;2019;273.4;992;j
XF-MER;adiincj992;p12p13;2020;262.1;992;j
XF-MER;adiincj992;p12p13;2021;261.7;992;j
XF-MER;adiincj992;p13p100;2018;5999.6;992;j
XF-MER;adiincj992;p13p100;2019;5790.4;992;j
XF-MER;adiincj992;p13p100;2020;5424.6;992;j
XF-MER;adiincj992;p13p100;2021;5476.9;992;j
XF-MER;adiincj992;p13p14;2018;297.8;992;j
XF-MER;adiincj992;p13p14;2019;300.6;992;j
XF-MER;adiincj992;p13p14;2020;287.7;992;j
XF-MER;adiincj992;p13p14;2021;286.6;992;j
XF-MER;adiincj992;p14p100;2018;6065.9;992;j
XF-MER;adiincj992;p14p100;2019;5854.2;992;j
XF-MER;adiincj992;p14p100;2020;5484.4;992;j
XF-MER;adiincj992;p14p100;2021;5537.2;992;j
XF-MER;adiincj992;p14p15;2018;319.1;992;j
XF-MER;adiincj992;p14p15;2019;321.2;992;j
XF-MER;adiincj992;p14p15;2020;307.8;992;j
XF-MER;adiincj992;p14p15;2021;307.7;992;j
XF-MER;adiincj992;p15p100;2018;6133.5;992;j
XF-MER;adiincj992;p15p100;2019;5919.3;992;j
XF-MER;adiincj992;p15p100;2020;5545.3;992;j
XF-MER;adiincj992;p15p100;2021;5598.7;992;j
XF-MER;adiincj992;p15p16;2018;342.9;992;j
XF-MER;adiincj992;p15p16;2019;345;992;j
XF-MER;adiincj992;p15p16;2020;330.5;992;j
XF-MER;adiincj992;p15p16;2021;329.8;992;j
XF-MER;adiincj992;p16p100;2018;6202.5;992;j
XF-MER;adiincj992;p16p100;2019;5985.6;992;j
XF-MER;adiincj992;p16p100;2020;5607.3;992;j
XF-MER;adiincj992;p16p100;2021;5661.5;992;j
XF-MER;adiincj992;p16p17;2018;365.8;992;j
XF-MER;adiincj992;p16p17;2019;367.8;992;j
XF-MER;adiincj992;p16p17;2020;353;992;j
XF-MER;adiincj992;p16p17;2021;351.6;992;j
XF-MER;adiincj992;p17p100;2018;6272.8;992;j
XF-MER;adiincj992;p17p100;2019;6053.3;992;j
XF-MER;adiincj992;p17p100;2020;5670.6;992;j
