country;variable;percentile;year;value;age;pop
XR-MER;adiincj992;p0p1;2018;118;992;j
XR-MER;adiincj992;p0p1;2019;130.8;992;j
XR-MER;adiincj992;p0p1;2020;128.8;992;j
XR-MER;adiincj992;p0p1;2021;132;992;j
XR-MER;adiincj992;p0p100;2018;7444.9;992;j
XR-MER;adiincj992;p0p100;2019;7607.8;992;j
XR-MER;adiincj992;p0p100;2020;7381.3;992;j
XR-MER;adiincj992;p0p100;2021;7651.9;992;j
XR-MER;adiincj992;p0p50;2018;2650.5;992;j
XR-MER;adiincj992;p0p50;2019;2717.9;992;j
XR-MER;adiincj992;p0p50;2020;2553.4;992;j
XR-MER;adiincj992;p0p50;2021;2638.5;992;j
XR-MER;adiincj992;p10p100;2018;8198.5;992;j
XR-MER;adiincj992;p10p100;2019;8377;992;j
XR-MER;adiincj992;p10p100;2020;8128.4;992;j
XR-MER;adiincj992;p10p100;2021;8427.2;992;j
XR-MER;adiincj992;p10p11;2018;1203.7;992;j
XR-MER;adiincj992;p10p11;2019;1217.1;992;j
XR-MER;adiincj992;p10p11;2020;1172.4;992;j
XR-MER;adiincj992;p10p11;2021;1192.1;992;j
XR-MER;adiincj992;p11p100;2018;8277.1;992;j
XR-MER;adiincj992;p11p100;2019;8457.4;992;j
XR-MER;adiincj992;p11p100;2020;8206.6;992;j
XR-MER;adiincj992;p11p100;2021;8508.5;992;j
XR-MER;adiincj992;p11p12;2018;1317.4;992;j
XR-MER;adiincj992;p11p12;2019;1345.2;992;j
XR-MER;adiincj992;p11p12;2020;1291.7;992;j
XR-MER;adiincj992;p11p12;2021;1307.9;992;j
XR-MER;adiincj992;p12p100;2018;8356.1;992;j
XR-MER;adiincj992;p12p100;2019;8538.2;992;j
XR-MER;adiincj992;p12p100;2020;8285.1;992;j
XR-MER;adiincj992;p12p100;2021;8590.3;992;j
XR-MER;adiincj992;p12p13;2018;1444.7;992;j
XR-MER;adiincj992;p12p13;2019;1473.4;992;j
XR-MER;adiincj992;p12p13;2020;1418.6;992;j
XR-MER;adiincj992;p12p13;2021;1442.2;992;j
XR-MER;adiincj992;p13p100;2018;8435.6;992;j
XR-MER;adiincj992;p13p100;2019;8619.4;992;j
XR-MER;adiincj992;p13p100;2020;8364.1;992;j
XR-MER;adiincj992;p13p100;2021;8672.5;992;j
XR-MER;adiincj992;p13p14;2018;1593.9;992;j
XR-MER;adiincj992;p13p14;2019;1622.5;992;j
XR-MER;adiincj992;p13p14;2020;1546.2;992;j
XR-MER;adiincj992;p13p14;2021;1580.8;992;j
XR-MER;adiincj992;p14p100;2018;8515.1;992;j
XR-MER;adiincj992;p14p100;2019;8700.8;992;j
XR-MER;adiincj992;p14p100;2020;8443.3;992;j
XR-MER;adiincj992;p14p100;2021;8754.9;992;j
XR-MER;adiincj992;p14p15;2018;1751.7;992;j
XR-MER;adiincj992;p14p15;2019;1789.6;992;j
XR-MER;adiincj992;p14p15;2020;1701.1;992;j
XR-MER;adiincj992;p14p15;2021;1730.2;992;j
XR-MER;adiincj992;p15p100;2018;8594.7;992;j
XR-MER;adiincj992;p15p100;2019;8782.1;992;j
XR-MER;adiincj992;p15p100;2020;8522.7;992;j
XR-MER;adiincj992;p15p100;2021;8837.6;992;j
XR-MER;adiincj992;p15p16;2018;1902.6;992;j
XR-MER;adiincj992;p15p16;2019;1947.1;992;j
XR-MER;adiincj992;p15p16;2020;1856.7;992;j
XR-MER;adiincj992;p15p16;2021;1892.3;992;j
XR-MER;adiincj992;p16p100;2018;8674.4;992;j
XR-MER;adiincj992;p16p100;2019;8863.5;992;j
XR-MER;adiincj992;p16p100;2020;8602;992;j
XR-MER;adiincj992;p16p100;2021;8920.3;992;j
XR-MER;adiincj992;p16p17;2018;2077.2;992;j
XR-MER;adiincj992;p16p17;2019;2123.6;992;j
XR-MER;adiincj992;p16p17;2020;2020.3;992;j
XR-MER;adiincj992;p16p17;2021;2059.6;992;j
XR-MER;adiincj992;p17p100;2018;8753.9;992;j
XR-MER;adiincj992;p17p100;2019;8944.7;992;j
XR-MER;adiincj992;p17p100;2020;8681.3;992;j
XR-MER;adiincj992;p17p100;2021;9002.9;992;j
XR-MER;adiincj992;p17p18;2018;2194.7;992;j
XR-MER;adiincj992;p17p18;2019;2245.9;992;j
XR-MER;adiincj992;p17p18;2020;2146.3;992;j
XR-MER;adiincj992;p17p18;2021;2211.2;992;j
XR-MER;adiincj992;p18p100;2018;8833.9;992;j
XR-MER;adiincj992;p18p100;2019;9026.4;992;j
XR-MER;adiincj992;p18p100;2020;8761;992;j
XR-MER;adiincj992;p18p100;2021;9085.7;992;j
XR-MER;adiincj992;p18p19;2018;2303;992;j
XR-MER;adiincj992;p18p19;2019;2362.5;992;j
XR-MER;adiincj992;p18p19;2020;2256.8;992;j
XR-MER;adiincj992;p18p19;2021;2318.4;992;j
XR-MER;adiincj992;p19p100;2018;8914.5;992;j
XR-MER;adiincj992;p19p100;2019;9108.7;992;j
XR-MER;adiincj992;p19p100;2020;8841.3;992;j
XR-MER;adiincj992;p19p100;2021;9169.3;992;j
XR-MER;adiincj992;p19p20;2018;2407.8;992;j
XR-MER;adiincj992;p19p20;2019;2486;992;j
XR-MER;adiincj992;p19p20;2020;2341.6;992;j
XR-MER;adiincj992;p19p20;2021;2424.3;992;j
XR-MER;adiincj992;p1p100;2018;7518.9;992;j
XR-MER;adiincj992;p1p100;2019;7683.3;992;j
XR-MER;adiincj992;p1p100;2020;7454.6;992;j
XR-MER;adiincj992;p1p100;2021;7727.8;992;j
XR-MER;adiincj992;p1p2;2018;265.6;992;j
XR-MER;adiincj992;p1p2;2019;287.6;992;j
XR-MER;adiincj992;p1p2;2020;271.4;992;j
XR-MER;adiincj992;p1p2;2021;276;992;j
XR-MER;adiincj992;p20p100;2018;8995.8;992;j
XR-MER;adiincj992;p20p100;2019;9191.4;992;j
XR-MER;adiincj992;p20p100;2020;8922.6;992;j
XR-MER;adiincj992;p20p100;2021;9253.6;992;j
XR-MER;adiincj992;p20p21;2018;2480.6;992;j
XR-MER;adiincj992;p20p21;2019;2570.5;992;j
XR-MER;adiincj992;p20p21;2020;2346.5;992;j
XR-MER;adiincj992;p20p21;2021;2450.4;992;j
XR-MER;adiincj992;p21p100;2018;9078.3;992;j
XR-MER;adiincj992;p21p100;2019;9275.2;992;j
XR-MER;adiincj992;p21p100;2020;9005.8;992;j
XR-MER;adiincj992;p21p100;2021;9339.7;992;j
XR-MER;adiincj992;p21p22;2018;2481.7;992;j
XR-MER;adiincj992;p21p22;2019;2572.4;992;j
XR-MER;adiincj992;p21p22;2020;2351.3;992;j
XR-MER;adiincj992;p21p22;2021;2451.1;992;j
XR-MER;adiincj992;p22p100;2018;9162.9;992;j
XR-MER;adiincj992;p22p100;2019;9361.2;992;j
XR-MER;adiincj992;p22p100;2020;9091.1;992;j
XR-MER;adiincj992;p22p100;2021;9428;992;j
XR-MER;adiincj992;p22p23;2018;2485;992;j
XR-MER;adiincj992;p22p23;2019;2574.3;992;j
XR-MER;adiincj992;p22p23;2020;2365.9;992;j
XR-MER;adiincj992;p22p23;2021;2451.8;992;j
XR-MER;adiincj992;p23p100;2018;9249.6;992;j
XR-MER;adiincj992;p23p100;2019;9449.3;992;j
XR-MER;adiincj992;p23p100;2020;9178.5;992;j
XR-MER;adiincj992;p23p100;2021;9518.6;992;j
XR-MER;adiincj992;p23p24;2018;2525.8;992;j
XR-MER;adiincj992;p23p24;2019;2605;992;j
XR-MER;adiincj992;p23p24;2020;2441.7;992;j
XR-MER;adiincj992;p23p24;2021;2529.9;992;j
XR-MER;adiincj992;p24p100;2018;9338.1;992;j
XR-MER;adiincj992;p24p100;2019;9539.4;992;j
XR-MER;adiincj992;p24p100;2020;9267.1;992;j
XR-MER;adiincj992;p24p100;2021;9610.6;992;j
XR-MER;adiincj992;p24p25;2018;2607.1;992;j
XR-MER;adiincj992;p24p25;2019;2673.3;992;j
XR-MER;adiincj992;p24p25;2020;2504.3;992;j
XR-MER;adiincj992;p24p25;2021;2600.6;992;j
XR-MER;adiincj992;p25p100;2018;9427.8;992;j
XR-MER;adiincj992;p25p100;2019;9630.9;992;j
XR-MER;adiincj992;p25p100;2020;9357.3;992;j
XR-MER;adiincj992;p25p100;2021;9704.1;992;j
XR-MER;adiincj992;p25p26;2018;2692.7;992;j
XR-MER;adiincj992;p25p26;2019;2752.3;992;j
XR-MER;adiincj992;p25p26;2020;2577.9;992;j
XR-MER;adiincj992;p25p26;2021;2680.6;992;j
XR-MER;adiincj992;p26p100;2018;9518.8;992;j
XR-MER;adiincj992;p26p100;2019;9723.9;992;j
XR-MER;adiincj992;p26p100;2020;9448.9;992;j
XR-MER;adiincj992;p26p100;2021;9799;992;j
XR-MER;adiincj992;p26p27;2018;2750.9;992;j
XR-MER;adiincj992;p26p27;2019;2814.3;992;j
XR-MER;adiincj992;p26p27;2020;2675.4;992;j
XR-MER;adiincj992;p26p27;2021;2759;992;j
XR-MER;adiincj992;p27p100;2018;9611.5;992;j
XR-MER;adiincj992;p27p100;2019;9818.5;992;j
XR-MER;adiincj992;p27p100;2020;9541.7;992;j
XR-MER;adiincj992;p27p100;2021;9895.4;992;j
XR-MER;adiincj992;p27p28;2018;2814.7;992;j
XR-MER;adiincj992;p27p28;2019;2886.2;992;j
XR-MER;adiincj992;p27p28;2020;2717.7;992;j
XR-MER;adiincj992;p27p28;2021;2822.1;992;j
XR-MER;adiincj992;p28p100;2018;9705.9;992;j
XR-MER;adiincj992;p28p100;2019;9914.8;992;j
XR-MER;adiincj992;p28p100;2020;9636.4;992;j
XR-MER;adiincj992;p28p100;2021;9993.6;992;j
XR-MER;adiincj992;p28p29;2018;2910.8;992;j
XR-MER;adiincj992;p28p29;2019;2971.2;992;j
XR-MER;adiincj992;p28p29;2020;2807.9;992;j
XR-MER;adiincj992;p28p29;2021;2904.2;992;j
