country;variable;percentile;year;value;age;pop
XS-MER;adiincj992;p0p1;2018;65.8;992;j
XS-MER;adiincj992;p0p1;2019;89.1;992;j
XS-MER;adiincj992;p0p1;2020;94.6;992;j
XS-MER;adiincj992;p0p1;2021;83.4;992;j
XS-MER;adiincj992;p0p100;2018;2974.3;992;j
XS-MER;adiincj992;p0p100;2019;3060;992;j
XS-MER;adiincj992;p0p100;2020;2906.2;992;j
XS-MER;adiincj992;p0p100;2021;3084.2;992;j
XS-MER;adiincj992;p0p50;2018;766.9;992;j
XS-MER;adiincj992;p0p50;2019;792.9;992;j
XS-MER;adiincj992;p0p50;2020;749.8;992;j
XS-MER;adiincj992;p0p50;2021;806.2;992;j
XS-MER;adiincj992;p10p100;2018;3285;992;j
XS-MER;adiincj992;p10p100;2019;3377.7;992;j
XS-MER;adiincj992;p10p100;2020;3207.8;992;j
XS-MER;adiincj992;p10p100;2021;3404.7;992;j
XS-MER;adiincj992;p10p11;2018;376.1;992;j
XS-MER;adiincj992;p10p11;2019;399.7;992;j
XS-MER;adiincj992;p10p11;2020;383.4;992;j
XS-MER;adiincj992;p10p11;2021;394.9;992;j
XS-MER;adiincj992;p11p100;2018;3317.7;992;j
XS-MER;adiincj992;p11p100;2019;3411.1;992;j
XS-MER;adiincj992;p11p100;2020;3239.5;992;j
XS-MER;adiincj992;p11p100;2021;3438.5;992;j
XS-MER;adiincj992;p11p12;2018;432.3;992;j
XS-MER;adiincj992;p11p12;2019;443.9;992;j
XS-MER;adiincj992;p11p12;2020;425.6;992;j
XS-MER;adiincj992;p11p12;2021;437.4;992;j
XS-MER;adiincj992;p12p100;2018;3350.4;992;j
XS-MER;adiincj992;p12p100;2019;3444.9;992;j
XS-MER;adiincj992;p12p100;2020;3271.5;992;j
XS-MER;adiincj992;p12p100;2021;3472.6;992;j
XS-MER;adiincj992;p12p13;2018;477.4;992;j
XS-MER;adiincj992;p12p13;2019;502.7;992;j
XS-MER;adiincj992;p12p13;2020;469.2;992;j
XS-MER;adiincj992;p12p13;2021;483;992;j
XS-MER;adiincj992;p13p100;2018;3383.5;992;j
XS-MER;adiincj992;p13p100;2019;3478.7;992;j
XS-MER;adiincj992;p13p100;2020;3303.7;992;j
XS-MER;adiincj992;p13p100;2021;3507;992;j
XS-MER;adiincj992;p13p14;2018;516;992;j
XS-MER;adiincj992;p13p14;2019;544.5;992;j
XS-MER;adiincj992;p13p14;2020;507.5;992;j
XS-MER;adiincj992;p13p14;2021;529.2;992;j
XS-MER;adiincj992;p14p100;2018;3416.8;992;j
XS-MER;adiincj992;p14p100;2019;3512.8;992;j
XS-MER;adiincj992;p14p100;2020;3336.2;992;j
XS-MER;adiincj992;p14p100;2021;3541.6;992;j
XS-MER;adiincj992;p14p15;2018;569.6;992;j
XS-MER;adiincj992;p14p15;2019;587.5;992;j
XS-MER;adiincj992;p14p15;2020;546;992;j
XS-MER;adiincj992;p14p15;2021;572.4;992;j
XS-MER;adiincj992;p15p100;2018;3450.3;992;j
XS-MER;adiincj992;p15p100;2019;3547.2;992;j
XS-MER;adiincj992;p15p100;2020;3369;992;j
