country;variable;percentile;year;value;age;pop
CN-RU;tptincj992;p81p82;1978;11213.2;992;j
CN-RU;tptincj992;p81p82;1979;11690.6;992;j
CN-RU;tptincj992;p81p82;1980;11928.1;992;j
CN-RU;tptincj992;p81p82;1981;12338.7;992;j
CN-RU;tptincj992;p81p82;1982;12905.6;992;j
CN-RU;tptincj992;p81p82;1983;13682.7;992;j
CN-RU;tptincj992;p81p82;1984;14615.5;992;j
CN-RU;tptincj992;p81p82;1985;15287.7;992;j
CN-RU;tptincj992;p81p82;1986;14863.9;992;j
CN-RU;tptincj992;p81p82;1987;15226.1;992;j
CN-RU;tptincj992;p81p82;1988;15554.4;992;j
CN-RU;tptincj992;p81p82;1989;14977.8;992;j
CN-RU;tptincj992;p81p82;1990;14737.7;992;j
CN-RU;tptincj992;p81p82;1991;14572.6;992;j
CN-RU;tptincj992;p81p82;1992;14957.6;992;j
CN-RU;tptincj992;p81p82;1993;15332;992;j
CN-RU;tptincj992;p81p82;1994;15954.7;992;j
CN-RU;tptincj992;p81p82;1995;17693;992;j
CN-RU;tptincj992;p81p82;1996;18203.7;992;j
CN-RU;tptincj992;p81p82;1997;18928.5;992;j
CN-RU;tptincj992;p81p82;1998;17898.5;992;j
CN-RU;tptincj992;p81p82;1999;17687.6;992;j
CN-RU;tptincj992;p81p82;2000;17583.7;992;j
CN-RU;tptincj992;p81p82;2001;17691.5;992;j
CN-RU;tptincj992;p81p82;2002;18015.2;992;j
CN-RU;tptincj992;p81p82;2003;18513.6;992;j
CN-RU;tptincj992;p81p82;2004;19751.4;992;j
CN-RU;tptincj992;p81p82;2005;20294.1;992;j
CN-RU;tptincj992;p81p82;2006;21828.9;992;j
CN-RU;tptincj992;p81p82;2007;23390.2;992;j
CN-RU;tptincj992;p81p82;2008;24109.4;992;j
CN-RU;tptincj992;p81p82;2009;24421.7;992;j
CN-RU;tptincj992;p81p82;2010;26342.6;992;j
CN-RU;tptincj992;p81p82;2011;27883.4;992;j
CN-RU;tptincj992;p81p82;2012;29616.6;992;j
CN-RU;tptincj992;p81p82;2013;31414.5;992;j
CN-RU;tptincj992;p81p82;2014;33831.2;992;j
CN-RU;tptincj992;p81p82;2015;35041.3;992;j
CN-RU;tptincj992;p82p100;1978;11495.2;992;j
CN-RU;tptincj992;p82p100;1979;11984.9;992;j
CN-RU;tptincj992;p82p100;1980;12228.1;992;j
CN-RU;tptincj992;p82p100;1981;12653.4;992;j
CN-RU;tptincj992;p82p100;1982;13238.8;992;j
CN-RU;tptincj992;p82p100;1983;14037.6;992;j
CN-RU;tptincj992;p82p100;1984;14997.8;992;j
CN-RU;tptincj992;p82p100;1985;15689;992;j
CN-RU;tptincj992;p82p100;1986;15265.7;992;j
CN-RU;tptincj992;p82p100;1987;15646.9;992;j
CN-RU;tptincj992;p82p100;1988;15992.6;992;j
CN-RU;tptincj992;p82p100;1989;15404.4;992;j
CN-RU;tptincj992;p82p100;1990;15163.1;992;j
CN-RU;tptincj992;p82p100;1991;15005.2;992;j
CN-RU;tptincj992;p82p100;1992;15408.7;992;j
CN-RU;tptincj992;p82p100;1993;15799;992;j
CN-RU;tptincj992;p82p100;1994;16443.7;992;j
CN-RU;tptincj992;p82p100;1995;18241.4;992;j
CN-RU;tptincj992;p82p100;1996;18763.8;992;j
CN-RU;tptincj992;p82p100;1997;19523.5;992;j
CN-RU;tptincj992;p82p100;1998;18443.8;992;j
CN-RU;tptincj992;p82p100;1999;18239.2;992;j
CN-RU;tptincj992;p82p100;2000;18147.9;992;j
CN-RU;tptincj992;p82p100;2001;18270.8;992;j
CN-RU;tptincj992;p82p100;2002;18615.2;992;j
CN-RU;tptincj992;p82p100;2003;19139;992;j
CN-RU;tptincj992;p82p100;2004;20404.1;992;j
CN-RU;tptincj992;p82p100;2005;20974.6;992;j
CN-RU;tptincj992;p82p100;2006;22567.5;992;j
CN-RU;tptincj992;p82p100;2007;24185.8;992;j
CN-RU;tptincj992;p82p100;2008;24939.7;992;j
