country;variable;percentile;year;value;age;pop
KM;aflcini992;p0p100;1980;2857.4;992;i
KM;aflcini992;p0p100;1981;1198.2;992;i
KM;aflcini992;p0p100;1982;3252.7;992;i
KM;aflcini992;p0p100;1983;-3100.4;992;i
KM;aflcini992;p0p100;1984;-4036.2;992;i
KM;aflcini992;p0p100;1985;-8872.2;992;i
KM;aflcini992;p0p100;1986;-7354.1;992;i
KM;aflcini992;p0p100;1987;-4298.4;992;i
KM;aflcini992;p0p100;1988;-7685.4;992;i
KM;aflcini992;p0p100;1989;4186.1;992;i
KM;aflcini992;p0p100;1990;-2723.7;992;i
KM;aflcini992;p0p100;1991;-2684.2;992;i
KM;aflcini992;p0p100;1992;9516.8;992;i
KM;aflcini992;p0p100;1993;4766.1;992;i
KM;aflcini992;p0p100;1994;-595.7;992;i
KM;aflcini992;p0p100;1995;2302.1;992;i
KM;aflcini999;p0p100;1980;1286.5;999;i
KM;aflcini999;p0p100;1981;536.8;999;i
KM;aflcini999;p0p100;1982;1449.3;999;i
KM;aflcini999;p0p100;1983;-1374;999;i
KM;aflcini999;p0p100;1984;-1779;999;i
KM;aflcini999;p0p100;1985;-3889.5;999;i
KM;aflcini999;p0p100;1986;-3207.5;999;i
KM;aflcini999;p0p100;1987;-1866.1;999;i
KM;aflcini999;p0p100;1988;-3323.1;999;i
KM;aflcini999;p0p100;1989;1804.3;999;i
KM;aflcini999;p0p100;1990;-1171.6;999;i
KM;aflcini999;p0p100;1991;-1154.1;999;i
KM;aflcini999;p0p100;1992;4087.9;999;i
KM;aflcini999;p0p100;1993;2044;999;i
KM;aflcini999;p0p100;1994;-255.3;999;i
KM;aflcini999;p0p100;1995;986.8;999;i
KM;aflcipi999;p0p100;1980;190.2;999;i
KM;aflcipi999;p0p100;1981;1523.7;999;i
KM;aflcipi999;p0p100;1982;2103;999;i
KM;aflcipi999;p0p100;1983;4863.6;999;i
KM;aflcipi999;p0p100;1984;4773.9;999;i
KM;aflcipi999;p0p100;1985;5440.6;999;i
KM;aflcipi999;p0p100;1986;6048.1;999;i
KM;aflcipi999;p0p100;1987;4650.9;999;i
KM;aflcipi999;p0p100;1988;5909.4;999;i
KM;aflcipi999;p0p100;1989;4374.3;999;i
KM;aflcipi999;p0p100;1990;5196.7;999;i
KM;aflcipi999;p0p100;1991;4257;999;i
KM;aflcipi999;p0p100;1992;-308.2;999;i
KM;aflcipi999;p0p100;1993;1599.6;999;i
KM;aflcipi999;p0p100;1994;4092.7;999;i
KM;aflcipi999;p0p100;1995;3038.5;999;i
KM;acomnxi992;p0p100;1980;0;992;i
KM;acomnxi992;p0p100;1981;0;992;i
KM;acomnxi992;p0p100;1982;0;992;i
KM;acomnxi992;p0p100;1983;0;992;i
KM;acomnxi992;p0p100;1984;0;992;i
KM;acomnxi992;p0p100;1985;0;992;i
KM;acomnxi992;p0p100;1986;0;992;i
KM;acomnxi992;p0p100;1987;0;992;i
KM;acomnxi992;p0p100;1988;0;992;i
KM;acomnxi992;p0p100;1989;0;992;i
KM;acomnxi992;p0p100;1990;0;992;i
KM;acomnxi992;p0p100;1991;0;992;i
KM;acomnxi992;p0p100;1992;0;992;i
KM;acomnxi992;p0p100;1993;0;992;i
KM;acomnxi992;p0p100;1994;0;992;i
KM;acomnxi992;p0p100;1995;0;992;i
KM;acomnxi999;p0p100;1980;0;999;i
KM;acomnxi999;p0p100;1981;0;999;i
KM;acomnxi999;p0p100;1982;0;999;i
KM;acomnxi999;p0p100;1983;0;999;i
KM;acomnxi999;p0p100;1984;0;999;i
KM;acomnxi999;p0p100;1985;0;999;i
KM;acomnxi999;p0p100;1986;0;999;i
KM;acomnxi999;p0p100;1987;0;999;i
KM;acomnxi999;p0p100;1988;0;999;i
KM;acomnxi999;p0p100;1989;0;999;i
KM;acomnxi999;p0p100;1990;0;999;i
KM;acomnxi999;p0p100;1991;0;999;i
KM;acomnxi999;p0p100;1992;0;999;i
KM;acomnxi999;p0p100;1993;0;999;i
KM;acomnxi999;p0p100;1994;0;999;i
KM;acomnxi999;p0p100;1995;0;999;i
KM;acomrxi999;p0p100;1980;0;999;i
KM;acomrxi999;p0p100;1981;0;999;i
KM;acomrxi999;p0p100;1982;0;999;i
KM;acomrxi999;p0p100;1983;0;999;i
KM;acomrxi999;p0p100;1984;0;999;i
KM;acomrxi999;p0p100;1985;0;999;i
KM;acomrxi999;p0p100;1986;0;999;i
KM;acomrxi999;p0p100;1987;0;999;i
KM;acomrxi999;p0p100;1988;0;999;i
KM;acomrxi999;p0p100;1989;0;999;i
KM;acomrxi999;p0p100;1990;0;999;i
KM;acomrxi999;p0p100;1991;0;999;i
KM;acomrxi999;p0p100;1992;0;999;i
KM;acomrxi999;p0p100;1993;0;999;i
KM;acomrxi999;p0p100;1994;0;999;i
KM;acomrxi999;p0p100;1995;0;999;i
KM;acomrxi999;p0p100;2014;1733.3;999;i
KM;acomrxi999;p0p100;2015;1731.8;999;i
KM;acomrxi999;p0p100;2016;2492.3;999;i
KM;acomrxi999;p0p100;2017;2228;999;i
KM;acomrxi999;p0p100;2018;2280.7;999;i
KM;aconfci992;p0p100;1950;35882.8;992;i
KM;aconfci992;p0p100;1951;36840.3;992;i
KM;aconfci992;p0p100;1952;37914.1;992;i
KM;aconfci992;p0p100;1953;39043.2;992;i
KM;aconfci992;p0p100;1954;40284.4;992;i
KM;aconfci992;p0p100;1955;41603.2;992;i
KM;aconfci992;p0p100;1956;43051.4;992;i
KM;aconfci992;p0p100;1957;44604.7;992;i
KM;aconfci992;p0p100;1958;46382.7;992;i
KM;aconfci992;p0p100;1959;48654.1;992;i
KM;aconfci992;p0p100;1960;51606.2;992;i
KM;aconfci992;p0p100;1961;55441.8;992;i
KM;aconfci992;p0p100;1962;60475.8;992;i
KM;aconfci992;p0p100;1963;66461.7;992;i
KM;aconfci992;p0p100;1964;72310.6;992;i
KM;aconfci992;p0p100;1965;77380.8;992;i
KM;aconfci992;p0p100;1966;81699.2;992;i
KM;aconfci992;p0p100;1967;84981.3;992;i
KM;aconfci992;p0p100;1968;87346.3;992;i
KM;aconfci992;p0p100;1969;89432.5;992;i
KM;aconfci992;p0p100;1970;91560.8;992;i
KM;aconfci992;p0p100;1971;93599.7;992;i
KM;aconfci992;p0p100;1972;95563.5;992;i
KM;aconfci992;p0p100;1973;97446.6;992;i
KM;aconfci992;p0p100;1974;98993.5;992;i
KM;aconfci992;p0p100;1975;100272.8;992;i
KM;aconfci992;p0p100;1976;101313.2;992;i
KM;aconfci992;p0p100;1977;102678.1;992;i
KM;aconfci992;p0p100;1978;104852.9;992;i
KM;aconfci992;p0p100;1979;108052.5;992;i
KM;aconfci992;p0p100;1980;112028.6;992;i
KM;aconfci992;p0p100;1981;116489;992;i
KM;aconfci992;p0p100;1982;120966.9;992;i
KM;aconfci992;p0p100;1983;124684.8;992;i
KM;aconfci992;p0p100;1984;127156.8;992;i
KM;aconfci992;p0p100;1985;128212.1;992;i
KM;aconfci992;p0p100;1986;127976.1;992;i
KM;aconfci992;p0p100;1987;126683.5;992;i
KM;aconfci992;p0p100;1988;124578.2;992;i
KM;aconfci992;p0p100;1989;121902.8;992;i
KM;aconfci992;p0p100;1990;119330.4;992;i
KM;aconfci992;p0p100;1991;116949.1;992;i
KM;aconfci992;p0p100;1992;115342.5;992;i
KM;aconfci992;p0p100;1993;113775.6;992;i
KM;aconfci992;p0p100;1994;111800.4;992;i
KM;aconfci992;p0p100;1995;110070.4;992;i
KM;aconfci992;p0p100;1996;108836.5;992;i
KM;aconfci992;p0p100;1997;108519.6;992;i
KM;aconfci992;p0p100;1998;109116.9;992;i
KM;aconfci992;p0p100;1999;111086.9;992;i
KM;aconfci992;p0p100;2000;114267.5;992;i
KM;aconfci992;p0p100;2001;117283.5;992;i
KM;aconfci992;p0p100;2002;119738.8;992;i
KM;aconfci992;p0p100;2003;120900.8;992;i
KM;aconfci992;p0p100;2004;120268.4;992;i
KM;aconfci992;p0p100;2005;118885.7;992;i
KM;aconfci992;p0p100;2006;117631.3;992;i
KM;aconfci992;p0p100;2007;116693.3;992;i
KM;aconfci992;p0p100;2008;116349;992;i
KM;aconfci992;p0p100;2009;116543.2;992;i
KM;aconfci992;p0p100;2010;117143;992;i
KM;aconfci992;p0p100;2011;117922;992;i
KM;aconfci992;p0p100;2012;118616.6;992;i
KM;aconfci992;p0p100;2013;119056.4;992;i
KM;aconfci992;p0p100;2014;119100.5;992;i
KM;aconfci992;p0p100;2015;118902.7;992;i
KM;aconfci992;p0p100;2016;118704.2;992;i
KM;aconfci992;p0p100;2017;118445.1;992;i
KM;aconfci992;p0p100;2018;117973.8;992;i
KM;aconfci992;p0p100;2019;117238.5;992;i
KM;aconfci992;p0p100;2020;116477.3;992;i
KM;aconfci992;p0p100;2021;116123;992;i
KM;aconfci992;p0p100;2022;116204.6;992;i
KM;aconfci999;p0p100;1950;18651.9;999;i
KM;aconfci999;p0p100;1951;19163.4;999;i
KM;aconfci999;p0p100;1952;19700.1;999;i
KM;aconfci999;p0p100;1953;20218.6;999;i
KM;aconfci999;p0p100;1954;20756.7;999;i
KM;aconfci999;p0p100;1955;21295.9;999;i
KM;aconfci999;p0p100;1956;21865.5;999;i
KM;aconfci999;p0p100;1957;22475.7;999;i
KM;aconfci999;p0p100;1958;23196.1;999;i
KM;aconfci999;p0p100;1959;24202.2;999;i
KM;aconfci999;p0p100;1960;25582.8;999;i
KM;aconfci999;p0p100;1961;27370.7;999;i
KM;aconfci999;p0p100;1962;29711.9;999;i
KM;aconfci999;p0p100;1963;32474.7;999;i
KM;aconfci999;p0p100;1964;35118.5;999;i
KM;aconfci999;p0p100;1965;37323.6;999;i
KM;aconfci999;p0p100;1966;39100.1;999;i
KM;aconfci999;p0p100;1967;40266.3;999;i
KM;aconfci999;p0p100;1968;40902.6;999;i
KM;aconfci999;p0p100;1969;41408.8;999;i
KM;aconfci999;p0p100;1970;42027.1;999;i
KM;aconfci999;p0p100;1971;42701;999;i
KM;aconfci999;p0p100;1972;43395.6;999;i
KM;aconfci999;p0p100;1973;44119.8;999;i
KM;aconfci999;p0p100;1974;44747.6;999;i
KM;aconfci999;p0p100;1975;45300.7;999;i
KM;aconfci999;p0p100;1976;45770;999;i
KM;aconfci999;p0p100;1977;46393.7;999;i
KM;aconfci999;p0p100;1978;47375.1;999;i
KM;aconfci999;p0p100;1979;48785.2;999;i
KM;aconfci999;p0p100;1980;50441.7;999;i
KM;aconfci999;p0p100;1981;52188.9;999;i
KM;aconfci999;p0p100;1982;53897;999;i
KM;aconfci999;p0p100;1983;55256.1;999;i
KM;aconfci999;p0p100;1984;56044.6;999;i
KM;aconfci999;p0p100;1985;56206.5;999;i
KM;aconfci999;p0p100;1986;55817.6;999;i
KM;aconfci999;p0p100;1987;54997.9;999;i
KM;aconfci999;p0p100;1988;53867.2;999;i
KM;aconfci999;p0p100;1989;52542.5;999;i
KM;aconfci999;p0p100;1990;51332.2;999;i
KM;aconfci999;p0p100;1991;50280.9;999;i
KM;aconfci999;p0p100;1992;49544.9;999;i
KM;aconfci999;p0p100;1993;48794.6;999;i
KM;aconfci999;p0p100;1994;47914.2;999;i
KM;aconfci999;p0p100;1995;47179.7;999;i
KM;aconfci999;p0p100;1996;46691.4;999;i
KM;aconfci999;p0p100;1997;46629.5;999;i
KM;aconfci999;p0p100;1998;46999.9;999;i
KM;aconfci999;p0p100;1999;47882.9;999;i
KM;aconfci999;p0p100;2000;49120.1;999;i
KM;aconfci999;p0p100;2001;50170.1;999;i
KM;aconfci999;p0p100;2002;50908.9;999;i
KM;aconfci999;p0p100;2003;51408.2;999;i
KM;aconfci999;p0p100;2004;51748.5;999;i
KM;aconfci999;p0p100;2005;51988.1;999;i
KM;aconfci999;p0p100;2006;52218.6;999;i
KM;aconfci999;p0p100;2007;52552.9;999;i
KM;aconfci999;p0p100;2008;53114.9;999;i
KM;aconfci999;p0p100;2009;53880.4;999;i
KM;aconfci999;p0p100;2010;54792;999;i
KM;aconfci999;p0p100;2011;55752;999;i
KM;aconfci999;p0p100;2012;56650.9;999;i
KM;aconfci999;p0p100;2013;57418.3;999;i
KM;aconfci999;p0p100;2014;57982.1;999;i
KM;aconfci999;p0p100;2015;58414;999;i
KM;aconfci999;p0p100;2016;58831.6;999;i
KM;aconfci999;p0p100;2017;59309.3;999;i
KM;aconfci999;p0p100;2018;59755.5;999;i
KM;aconfci999;p0p100;2019;60019;999;i
KM;aconfci999;p0p100;2020;60148.7;999;i
KM;aconfci999;p0p100;2021;60370.5;999;i
KM;aconfci999;p0p100;2022;60781;999;i
KM;adiincj992;p0p1;2018;23390.1;992;j
KM;adiincj992;p0p1;2019;30680.5;992;j
KM;adiincj992;p0p1;2020;29841.4;992;j
KM;adiincj992;p0p1;2021;29692.8;992;j
KM;adiincj992;p0p10;2018;43202.5;992;j
KM;adiincj992;p0p10;2019;46449.9;992;j
KM;adiincj992;p0p10;2020;45178.8;992;j
KM;adiincj992;p0p10;2021;44953.7;992;j
KM;adiincj992;p0p100;2018;1239874.4;992;j
KM;adiincj992;p0p100;2019;1224389.6;992;j
KM;adiincj992;p0p100;2020;1190902.9;992;j
KM;adiincj992;p0p100;2021;1184971.4;992;j
KM;adiincj992;p0p50;2018;300521.8;992;j
KM;adiincj992;p0p50;2019;297436.7;992;j
KM;adiincj992;p0p50;2020;289301.7;992;j
KM;adiincj992;p0p50;2021;287860.9;992;j
KM;adiincj992;p0p90;2018;695997.9;992;j
KM;adiincj992;p0p90;2019;687514.5;992;j
KM;adiincj992;p0p90;2020;668711.2;992;j
KM;adiincj992;p0p90;2021;665380.6;992;j
KM;adiincj992;p0p99;2018;1077970.6;992;j
KM;adiincj992;p0p99;2019;1064561.3;992;j
KM;adiincj992;p0p99;2020;1035445.9;992;j
KM;adiincj992;p0p99;2021;1030288.6;992;j
KM;adiincj992;p10p100;2018;1372837.9;992;j
KM;adiincj992;p10p100;2019;1355271.7;992;j
KM;adiincj992;p10p100;2020;1318205.6;992;j
KM;adiincj992;p10p100;2021;1311640;992;j
KM;adiincj992;p10p11;2018;110742.6;992;j
KM;adiincj992;p10p11;2019;109323;992;j
KM;adiincj992;p10p11;2020;106340.1;992;j
KM;adiincj992;p10p11;2021;105810.5;992;j
KM;adiincj992;p10p20;2018;185353.5;992;j
KM;adiincj992;p10p20;2019;182981.8;992;j
KM;adiincj992;p10p20;2020;177978;992;j
KM;adiincj992;p10p20;2021;177091.5;992;j
KM;adiincj992;p11p100;2018;1387018.8;992;j
KM;adiincj992;p11p100;2019;1369271.2;992;j
KM;adiincj992;p11p100;2020;1331822;992;j
KM;adiincj992;p11p100;2021;1325188.6;992;j
KM;adiincj992;p11p12;2018;127244.9;992;j
KM;adiincj992;p11p12;2019;125626.6;992;j
KM;adiincj992;p11p12;2020;122190.7;992;j
KM;adiincj992;p11p12;2021;121582.1;992;j
KM;adiincj992;p12p100;2018;1401334.4;992;j
KM;adiincj992;p12p100;2019;1383403.5;992;j
KM;adiincj992;p12p100;2020;1345567.8;992;j
KM;adiincj992;p12p100;2021;1338866;992;j
KM;adiincj992;p12p13;2018;143806.4;992;j
KM;adiincj992;p12p13;2019;141959.4;992;j
KM;adiincj992;p12p13;2020;138076.8;992;j
KM;adiincj992;p12p13;2021;137389.1;992;j
KM;adiincj992;p13p100;2018;1415788.7;992;j
KM;adiincj992;p13p100;2019;1397673;992;j
KM;adiincj992;p13p100;2020;1359447;992;j
KM;adiincj992;p13p100;2021;1352676.1;992;j
KM;adiincj992;p13p14;2018;160375.3;992;j
KM;adiincj992;p13p14;2019;158328.6;992;j
KM;adiincj992;p13p14;2020;153998.4;992;j
KM;adiincj992;p13p14;2021;153231.3;992;j
KM;adiincj992;p14p100;2018;1430386.5;992;j
KM;adiincj992;p14p100;2019;1412083.9;992;j
KM;adiincj992;p14p100;2020;1373463.9;992;j
KM;adiincj992;p14p100;2021;1366623.1;992;j
KM;adiincj992;p14p15;2018;176988.6;992;j
KM;adiincj992;p14p15;2019;174719.8;992;j
KM;adiincj992;p14p15;2020;169934.1;992;j
KM;adiincj992;p14p15;2021;169101.9;992;j
KM;adiincj992;p15p100;2018;1445132.4;992;j
KM;adiincj992;p15p100;2019;1426641.2;992;j
KM;adiincj992;p15p100;2020;1387623.1;992;j
KM;adiincj992;p15p100;2021;1380711.6;992;j
KM;adiincj992;p15p16;2018;193601.8;992;j
KM;adiincj992;p15p16;2019;191125.5;992;j
KM;adiincj992;p15p16;2020;185898.3;992;j
KM;adiincj992;p15p16;2021;184972.4;992;j
KM;adiincj992;p16p100;2018;1460031.6;992;j
KM;adiincj992;p16p100;2019;1441349.7;992;j
KM;adiincj992;p16p100;2020;1401929.3;992;j
KM;adiincj992;p16p100;2021;1394946.6;992;j
KM;adiincj992;p16p17;2018;210237.2;992;j
KM;adiincj992;p16p17;2019;207545.9;992;j
KM;adiincj992;p16p17;2020;201876.6;992;j
