country;variable;percentile;year;value;age;pop
OA-MER;adiincj992;p0p1;2018;88.9;992;j
OA-MER;adiincj992;p0p1;2019;106.4;992;j
OA-MER;adiincj992;p0p1;2020;106.2;992;j
OA-MER;adiincj992;p0p1;2021;109.4;992;j
OA-MER;adiincj992;p0p100;2018;4319.7;992;j
OA-MER;adiincj992;p0p100;2019;4466.5;992;j
OA-MER;adiincj992;p0p100;2020;4288.6;992;j
OA-MER;adiincj992;p0p100;2021;4402.4;992;j
OA-MER;adiincj992;p0p50;2018;1436;992;j
OA-MER;adiincj992;p0p50;2019;1482.8;992;j
OA-MER;adiincj992;p0p50;2020;1421.3;992;j
OA-MER;adiincj992;p0p50;2021;1465;992;j
OA-MER;adiincj992;p10p100;2018;4754.5;992;j
OA-MER;adiincj992;p10p100;2019;4915.1;992;j
OA-MER;adiincj992;p10p100;2020;4719.3;992;j
OA-MER;adiincj992;p10p100;2021;4844.7;992;j
OA-MER;adiincj992;p10p11;2018;688.7;992;j
OA-MER;adiincj992;p10p11;2019;732.6;992;j
OA-MER;adiincj992;p10p11;2020;702.5;992;j
OA-MER;adiincj992;p10p11;2021;736.7;992;j
OA-MER;adiincj992;p11p100;2018;4800.2;992;j
OA-MER;adiincj992;p11p100;2019;4962.1;992;j
OA-MER;adiincj992;p11p100;2020;4764.4;992;j
OA-MER;adiincj992;p11p100;2021;4890.8;992;j
OA-MER;adiincj992;p11p12;2018;718.2;992;j
OA-MER;adiincj992;p11p12;2019;741.9;992;j
OA-MER;adiincj992;p11p12;2020;711;992;j
OA-MER;adiincj992;p11p12;2021;738.8;992;j
OA-MER;adiincj992;p12p100;2018;4846.6;992;j
OA-MER;adiincj992;p12p100;2019;5010;992;j
OA-MER;adiincj992;p12p100;2020;4810.5;992;j
OA-MER;adiincj992;p12p100;2021;4938;992;j
OA-MER;adiincj992;p12p13;2018;763.1;992;j
OA-MER;adiincj992;p12p13;2019;782.9;992;j
OA-MER;adiincj992;p12p13;2020;754.2;992;j
OA-MER;adiincj992;p12p13;2021;776.8;992;j
OA-MER;adiincj992;p13p100;2018;4893.5;992;j
OA-MER;adiincj992;p13p100;2019;5058.6;992;j
OA-MER;adiincj992;p13p100;2020;4857.1;992;j
OA-MER;adiincj992;p13p100;2021;4985.8;992;j
OA-MER;adiincj992;p13p14;2018;807.6;992;j
OA-MER;adiincj992;p13p14;2019;827.8;992;j
OA-MER;adiincj992;p13p14;2020;797.8;992;j
OA-MER;adiincj992;p13p14;2021;828.1;992;j
OA-MER;adiincj992;p14p100;2018;4941;992;j
OA-MER;adiincj992;p14p100;2019;5107.8;992;j
OA-MER;adiincj992;p14p100;2020;4904.3;992;j
OA-MER;adiincj992;p14p100;2021;5034.2;992;j
OA-MER;adiincj992;p14p15;2018;822.4;992;j
OA-MER;adiincj992;p14p15;2019;868;992;j
OA-MER;adiincj992;p14p15;2020;839;992;j
OA-MER;adiincj992;p14p15;2021;867;992;j
OA-MER;adiincj992;p15p100;2018;4989.5;992;j
OA-MER;adiincj992;p15p100;2019;5157.7;992;j
OA-MER;adiincj992;p15p100;2020;4952.1;992;j
OA-MER;adiincj992;p15p100;2021;5083.2;992;j
OA-MER;adiincj992;p15p16;2018;855.3;992;j
OA-MER;adiincj992;p15p16;2019;914.9;992;j
OA-MER;adiincj992;p15p16;2020;881.4;992;j
OA-MER;adiincj992;p15p16;2021;902.2;992;j
OA-MER;adiincj992;p16p100;2018;5038.7;992;j
OA-MER;adiincj992;p16p100;2019;5208.2;992;j
OA-MER;adiincj992;p16p100;2020;5000.6;992;j
OA-MER;adiincj992;p16p100;2021;5133;992;j
OA-MER;adiincj992;p16p17;2018;895.3;992;j
OA-MER;adiincj992;p16p17;2019;925.7;992;j
OA-MER;adiincj992;p16p17;2020;897.9;992;j
OA-MER;adiincj992;p16p17;2021;913.2;992;j
OA-MER;adiincj992;p17p100;2018;5088.6;992;j
OA-MER;adiincj992;p17p100;2019;5259.8;992;j
OA-MER;adiincj992;p17p100;2020;5050;992;j
OA-MER;adiincj992;p17p100;2021;5183.8;992;j
OA-MER;adiincj992;p17p18;2018;924;992;j
OA-MER;adiincj992;p17p18;2019;945.3;992;j
OA-MER;adiincj992;p17p18;2020;917.2;992;j
OA-MER;adiincj992;p17p18;2021;948.3;992;j
OA-MER;adiincj992;p18p100;2018;5139.4;992;j
OA-MER;adiincj992;p18p100;2019;5312.4;992;j
OA-MER;adiincj992;p18p100;2020;5100.4;992;j
OA-MER;adiincj992;p18p100;2021;5235.5;992;j
OA-MER;adiincj992;p18p19;2018;974.7;992;j
OA-MER;adiincj992;p18p19;2019;997.1;992;j
OA-MER;adiincj992;p18p19;2020;964.7;992;j
OA-MER;adiincj992;p18p19;2021;998;992;j
OA-MER;adiincj992;p19p100;2018;5190.8;992;j
OA-MER;adiincj992;p19p100;2019;5365.7;992;j
OA-MER;adiincj992;p19p100;2020;5151.5;992;j
OA-MER;adiincj992;p19p100;2021;5287.8;992;j
OA-MER;adiincj992;p19p20;2018;1024.8;992;j
OA-MER;adiincj992;p19p20;2019;1048.1;992;j
OA-MER;adiincj992;p19p20;2020;1012.8;992;j
OA-MER;adiincj992;p19p20;2021;1045.2;992;j
OA-MER;adiincj992;p1p100;2018;4362.4;992;j
OA-MER;adiincj992;p1p100;2019;4510.6;992;j
OA-MER;adiincj992;p1p100;2020;4330.9;992;j
OA-MER;adiincj992;p1p100;2021;4445.7;992;j
OA-MER;adiincj992;p1p2;2018;138;992;j
OA-MER;adiincj992;p1p2;2019;148.9;992;j
OA-MER;adiincj992;p1p2;2020;148.3;992;j
OA-MER;adiincj992;p1p2;2021;151.6;992;j
OA-MER;adiincj992;p20p100;2018;5242.9;992;j
OA-MER;adiincj992;p20p100;2019;5419.6;992;j
OA-MER;adiincj992;p20p100;2020;5203.2;992;j
OA-MER;adiincj992;p20p100;2021;5340.8;992;j
OA-MER;adiincj992;p20p21;2018;1076.3;992;j
OA-MER;adiincj992;p20p21;2019;1098.3;992;j
OA-MER;adiincj992;p20p21;2020;1057.2;992;j
OA-MER;adiincj992;p20p21;2021;1085.1;992;j
OA-MER;adiincj992;p21p100;2018;5295.6;992;j
OA-MER;adiincj992;p21p100;2019;5474.3;992;j
OA-MER;adiincj992;p21p100;2020;5255.7;992;j
OA-MER;adiincj992;p21p100;2021;5394.7;992;j
OA-MER;adiincj992;p21p22;2018;1132.1;992;j
OA-MER;adiincj992;p21p22;2019;1156.2;992;j
OA-MER;adiincj992;p21p22;2020;1114;992;j
OA-MER;adiincj992;p21p22;2021;1148.5;992;j
OA-MER;adiincj992;p22p100;2018;5349;992;j
OA-MER;adiincj992;p22p100;2019;5529.7;992;j
OA-MER;adiincj992;p22p100;2020;5308.8;992;j
OA-MER;adiincj992;p22p100;2021;5449.1;992;j
OA-MER;adiincj992;p22p23;2018;1188.8;992;j
OA-MER;adiincj992;p22p23;2019;1209.5;992;j
OA-MER;adiincj992;p22p23;2020;1170;992;j
OA-MER;adiincj992;p22p23;2021;1197.9;992;j
OA-MER;adiincj992;p23p100;2018;5403;992;j
OA-MER;adiincj992;p23p100;2019;5585.8;992;j
OA-MER;adiincj992;p23p100;2020;5362.5;992;j
OA-MER;adiincj992;p23p100;2021;5504.3;992;j
OA-MER;adiincj992;p23p24;2018;1245.6;992;j
OA-MER;adiincj992;p23p24;2019;1273.5;992;j
OA-MER;adiincj992;p23p24;2020;1223.5;992;j
OA-MER;adiincj992;p23p24;2021;1271.1;992;j
OA-MER;adiincj992;p24p100;2018;5457.7;992;j
OA-MER;adiincj992;p24p100;2019;5642.6;992;j
OA-MER;adiincj992;p24p100;2020;5417;992;j
OA-MER;adiincj992;p24p100;2021;5560;992;j
OA-MER;adiincj992;p24p25;2018;1294.5;992;j
OA-MER;adiincj992;p24p25;2019;1325.7;992;j
OA-MER;adiincj992;p24p25;2020;1279.1;992;j
OA-MER;adiincj992;p24p25;2021;1311.6;992;j
OA-MER;adiincj992;p25p100;2018;5513.3;992;j
OA-MER;adiincj992;p25p100;2019;5700.1;992;j
OA-MER;adiincj992;p25p100;2020;5472.2;992;j
OA-MER;adiincj992;p25p100;2021;5616.7;992;j
OA-MER;adiincj992;p25p26;2018;1361;992;j
OA-MER;adiincj992;p25p26;2019;1391;992;j
OA-MER;adiincj992;p25p26;2020;1342.9;992;j
OA-MER;adiincj992;p25p26;2021;1377.4;992;j
OA-MER;adiincj992;p26p100;2018;5569.4;992;j
OA-MER;adiincj992;p26p100;2019;5758.3;992;j
OA-MER;adiincj992;p26p100;2020;5528;992;j
OA-MER;adiincj992;p26p100;2021;5674;992;j
OA-MER;adiincj992;p26p27;2018;1429.5;992;j
OA-MER;adiincj992;p26p27;2019;1455.8;992;j
OA-MER;adiincj992;p26p27;2020;1422.7;992;j
OA-MER;adiincj992;p26p27;2021;1439.9;992;j
OA-MER;adiincj992;p27p100;2018;5626.1;992;j
OA-MER;adiincj992;p27p100;2019;5817.3;992;j
OA-MER;adiincj992;p27p100;2020;5584.2;992;j
OA-MER;adiincj992;p27p100;2021;5732;992;j
OA-MER;adiincj992;p27p28;2018;1482.2;992;j
OA-MER;adiincj992;p27p28;2019;1524.6;992;j
OA-MER;adiincj992;p27p28;2020;1467.4;992;j
OA-MER;adiincj992;p27p28;2021;1506;992;j
OA-MER;adiincj992;p28p100;2018;5683.6;992;j
OA-MER;adiincj992;p28p100;2019;5876.9;992;j
OA-MER;adiincj992;p28p100;2020;5641.4;992;j
OA-MER;adiincj992;p28p100;2021;5790.7;992;j
OA-MER;adiincj992;p28p29;2018;1561.8;992;j
OA-MER;adiincj992;p28p29;2019;1601.9;992;j
OA-MER;adiincj992;p28p29;2020;1536.9;992;j
OA-MER;adiincj992;p28p29;2021;1567.8;992;j
OA-MER;adiincj992;p29p100;2018;5741.7;992;j
OA-MER;adiincj992;p29p100;2019;5937.1;992;j
OA-MER;adiincj992;p29p100;2020;5699.2;992;j
OA-MER;adiincj992;p29p100;2021;5850.1;992;j
