country;variable;percentile;year;value;age;pop
OC-MER;adiincj992;p0p1;2018;-2917.4;992;j
OC-MER;adiincj992;p0p1;2019;-5311.5;992;j
OC-MER;adiincj992;p0p1;2020;-9515.2;992;j
OC-MER;adiincj992;p0p1;2021;-9449.6;992;j
OC-MER;adiincj992;p0p100;2018;46935.2;992;j
OC-MER;adiincj992;p0p100;2019;46381.1;992;j
OC-MER;adiincj992;p0p100;2020;45281.7;992;j
OC-MER;adiincj992;p0p100;2021;47006.8;992;j
OC-MER;adiincj992;p0p50;2018;20246.4;992;j
OC-MER;adiincj992;p0p50;2019;20320.8;992;j
OC-MER;adiincj992;p0p50;2020;19473.9;992;j
OC-MER;adiincj992;p0p50;2021;20287.1;992;j
OC-MER;adiincj992;p10p100;2018;51525.3;992;j
OC-MER;adiincj992;p10p100;2019;50923.6;992;j
OC-MER;adiincj992;p10p100;2020;49788.6;992;j
OC-MER;adiincj992;p10p100;2021;51673.9;992;j
OC-MER;adiincj992;p10p11;2018;11091.1;992;j
OC-MER;adiincj992;p10p11;2019;11239;992;j
OC-MER;adiincj992;p10p11;2020;10533;992;j
OC-MER;adiincj992;p10p11;2021;11017.4;992;j
OC-MER;adiincj992;p11p100;2018;51979.6;992;j
OC-MER;adiincj992;p11p100;2019;51369.5;992;j
OC-MER;adiincj992;p11p100;2020;50229.7;992;j
OC-MER;adiincj992;p11p100;2021;52130.7;992;j
OC-MER;adiincj992;p11p12;2018;11728.4;992;j
OC-MER;adiincj992;p11p12;2019;11950;992;j
OC-MER;adiincj992;p11p12;2020;11210.2;992;j
OC-MER;adiincj992;p11p12;2021;11693.3;992;j
OC-MER;adiincj992;p12p100;2018;52437;992;j
OC-MER;adiincj992;p12p100;2019;51817.5;992;j
OC-MER;adiincj992;p12p100;2020;50673.1;992;j
OC-MER;adiincj992;p12p100;2021;52590.3;992;j
OC-MER;adiincj992;p12p13;2018;12446.3;992;j
OC-MER;adiincj992;p12p13;2019;12728.2;992;j
OC-MER;adiincj992;p12p13;2020;11785.9;992;j
OC-MER;adiincj992;p12p13;2021;12367.4;992;j
OC-MER;adiincj992;p13p100;2018;52896.6;992;j
OC-MER;adiincj992;p13p100;2019;52266.8;992;j
OC-MER;adiincj992;p13p100;2020;51120.1;992;j
OC-MER;adiincj992;p13p100;2021;53052.6;992;j
