country;variable;percentile;year;value;age;pop
OE-MER;adiincj992;p0p1;2018;85;992;j
OE-MER;adiincj992;p0p1;2019;89.2;992;j
OE-MER;adiincj992;p0p1;2020;86.1;992;j
OE-MER;adiincj992;p0p1;2021;87.8;992;j
OE-MER;adiincj992;p0p100;2018;15232.8;992;j
OE-MER;adiincj992;p0p100;2019;14657.8;992;j
OE-MER;adiincj992;p0p100;2020;13839.1;992;j
OE-MER;adiincj992;p0p100;2021;13931.2;992;j
OE-MER;adiincj992;p0p50;2018;2687.8;992;j
OE-MER;adiincj992;p0p50;2019;2602.9;992;j
OE-MER;adiincj992;p0p50;2020;2386;992;j
OE-MER;adiincj992;p0p50;2021;2451.7;992;j
OE-MER;adiincj992;p10p100;2018;16879.4;992;j
OE-MER;adiincj992;p10p100;2019;16240.3;992;j
OE-MER;adiincj992;p10p100;2020;15333.6;992;j
OE-MER;adiincj992;p10p100;2021;15435.6;992;j
OE-MER;adiincj992;p10p11;2018;812.4;992;j
OE-MER;adiincj992;p10p11;2019;792.6;992;j
OE-MER;adiincj992;p10p11;2020;738.9;992;j
OE-MER;adiincj992;p10p11;2021;738.6;992;j
OE-MER;adiincj992;p11p100;2018;17060;992;j
OE-MER;adiincj992;p11p100;2019;16413.9;992;j
OE-MER;adiincj992;p11p100;2020;15497.5;992;j
OE-MER;adiincj992;p11p100;2021;15600.8;992;j
OE-MER;adiincj992;p11p12;2018;918.2;992;j
OE-MER;adiincj992;p11p12;2019;894.3;992;j
OE-MER;adiincj992;p11p12;2020;828.4;992;j
OE-MER;adiincj992;p11p12;2021;828.7;992;j
OE-MER;adiincj992;p12p100;2018;17243.4;992;j
OE-MER;adiincj992;p12p100;2019;16590.2;992;j
OE-MER;adiincj992;p12p100;2020;15664.2;992;j
OE-MER;adiincj992;p12p100;2021;15768.6;992;j
OE-MER;adiincj992;p12p13;2018;1024.8;992;j
OE-MER;adiincj992;p12p13;2019;1002.7;992;j
OE-MER;adiincj992;p12p13;2020;922.6;992;j
OE-MER;adiincj992;p12p13;2021;930.9;992;j
OE-MER;adiincj992;p13p100;2018;17429.8;992;j
OE-MER;adiincj992;p13p100;2019;16769.4;992;j
OE-MER;adiincj992;p13p100;2020;15833.7;992;j
OE-MER;adiincj992;p13p100;2021;15939.2;992;j
OE-MER;adiincj992;p13p14;2018;1146.1;992;j
OE-MER;adiincj992;p13p14;2019;1128.7;992;j
OE-MER;adiincj992;p13p14;2020;1017.1;992;j
OE-MER;adiincj992;p13p14;2021;1042.4;992;j
OE-MER;adiincj992;p14p100;2018;17619.2;992;j
OE-MER;adiincj992;p14p100;2019;16951.3;992;j
OE-MER;adiincj992;p14p100;2020;16006;992;j
OE-MER;adiincj992;p14p100;2021;16112.4;992;j
OE-MER;adiincj992;p14p15;2018;1285.7;992;j
OE-MER;adiincj992;p14p15;2019;1261.4;992;j
OE-MER;adiincj992;p14p15;2020;1122.4;992;j
OE-MER;adiincj992;p14p15;2021;1168.7;992;j
OE-MER;adiincj992;p15p100;2018;17811.3;992;j
OE-MER;adiincj992;p15p100;2019;17135.9;992;j
OE-MER;adiincj992;p15p100;2020;16181.1;992;j
OE-MER;adiincj992;p15p100;2021;16288.2;992;j
OE-MER;adiincj992;p15p16;2018;1394.9;992;j
OE-MER;adiincj992;p15p16;2019;1374.2;992;j
OE-MER;adiincj992;p15p16;2020;1231.8;992;j
OE-MER;adiincj992;p15p16;2021;1286.2;992;j
OE-MER;adiincj992;p16p100;2018;18006.8;992;j
OE-MER;adiincj992;p16p100;2019;17323.5;992;j
OE-MER;adiincj992;p16p100;2020;16359;992;j
OE-MER;adiincj992;p16p100;2021;16466.8;992;j
OE-MER;adiincj992;p16p17;2018;1502.6;992;j
OE-MER;adiincj992;p16p17;2019;1483.6;992;j
OE-MER;adiincj992;p16p17;2020;1327.2;992;j
OE-MER;adiincj992;p16p17;2021;1384.3;992;j
OE-MER;adiincj992;p17p100;2018;18205.6;992;j
OE-MER;adiincj992;p17p100;2019;17514.3;992;j
OE-MER;adiincj992;p17p100;2020;16540.1;992;j
OE-MER;adiincj992;p17p100;2021;16648.5;992;j
OE-MER;adiincj992;p17p18;2018;1608.6;992;j
OE-MER;adiincj992;p17p18;2019;1603.2;992;j
OE-MER;adiincj992;p17p18;2020;1427.4;992;j
OE-MER;adiincj992;p17p18;2021;1497.5;992;j
OE-MER;adiincj992;p18p100;2018;18408;992;j
OE-MER;adiincj992;p18p100;2019;17708.4;992;j
OE-MER;adiincj992;p18p100;2020;16724.4;992;j
OE-MER;adiincj992;p18p100;2021;16833.3;992;j
OE-MER;adiincj992;p18p19;2018;1669.1;992;j
OE-MER;adiincj992;p18p19;2019;1705;992;j
OE-MER;adiincj992;p18p19;2020;1527.8;992;j
OE-MER;adiincj992;p18p19;2021;1613;992;j
OE-MER;adiincj992;p19p100;2018;18614.7;992;j
OE-MER;adiincj992;p19p100;2019;17906;992;j
OE-MER;adiincj992;p19p100;2020;16912.1;992;j
OE-MER;adiincj992;p19p100;2021;17021.2;992;j
OE-MER;adiincj992;p19p20;2018;1784.4;992;j
OE-MER;adiincj992;p19p20;2019;1756;992;j
OE-MER;adiincj992;p19p20;2020;1615.6;992;j
OE-MER;adiincj992;p19p20;2021;1665.8;992;j
OE-MER;adiincj992;p1p100;2018;15385.8;992;j
OE-MER;adiincj992;p1p100;2019;14804.9;992;j
OE-MER;adiincj992;p1p100;2020;13978;992;j
OE-MER;adiincj992;p1p100;2021;14071;992;j
OE-MER;adiincj992;p1p2;2018;192.5;992;j
OE-MER;adiincj992;p1p2;2019;194;992;j
OE-MER;adiincj992;p1p2;2020;182.5;992;j
OE-MER;adiincj992;p1p2;2021;192.4;992;j
OE-MER;adiincj992;p20p100;2018;18825;992;j
OE-MER;adiincj992;p20p100;2019;18107.8;992;j
OE-MER;adiincj992;p20p100;2020;17103.3;992;j
OE-MER;adiincj992;p20p100;2021;17213.1;992;j
OE-MER;adiincj992;p20p21;2018;1907.9;992;j
OE-MER;adiincj992;p20p21;2019;1886.1;992;j
OE-MER;adiincj992;p20p21;2020;1669.4;992;j
OE-MER;adiincj992;p20p21;2021;1774.8;992;j
OE-MER;adiincj992;p21p100;2018;19039.2;992;j
OE-MER;adiincj992;p21p100;2019;18313.2;992;j
OE-MER;adiincj992;p21p100;2020;17298.6;992;j
OE-MER;adiincj992;p21p100;2021;17408.6;992;j
OE-MER;adiincj992;p21p22;2018;2040.7;992;j
OE-MER;adiincj992;p21p22;2019;2014.3;992;j
OE-MER;adiincj992;p21p22;2020;1785.1;992;j
OE-MER;adiincj992;p21p22;2021;1878.4;992;j
OE-MER;adiincj992;p22p100;2018;19257.1;992;j
OE-MER;adiincj992;p22p100;2019;18522.1;992;j
OE-MER;adiincj992;p22p100;2020;17497.5;992;j
OE-MER;adiincj992;p22p100;2021;17607.7;992;j
OE-MER;adiincj992;p22p23;2018;2156;992;j
OE-MER;adiincj992;p22p23;2019;2130;992;j
OE-MER;adiincj992;p22p23;2020;1887.1;992;j
OE-MER;adiincj992;p22p23;2021;1959.5;992;j
OE-MER;adiincj992;p23p100;2018;19479.2;992;j
OE-MER;adiincj992;p23p100;2019;18735;992;j
OE-MER;adiincj992;p23p100;2020;17700.3;992;j
OE-MER;adiincj992;p23p100;2021;17810.9;992;j
OE-MER;adiincj992;p23p24;2018;2281;992;j
OE-MER;adiincj992;p23p24;2019;2268;992;j
OE-MER;adiincj992;p23p24;2020;1968.4;992;j
OE-MER;adiincj992;p23p24;2021;2068.4;992;j
OE-MER;adiincj992;p24p100;2018;19705.5;992;j
OE-MER;adiincj992;p24p100;2019;18951.7;992;j
OE-MER;adiincj992;p24p100;2020;17907.2;992;j
OE-MER;adiincj992;p24p100;2021;18018;992;j
OE-MER;adiincj992;p24p25;2018;2393.9;992;j
OE-MER;adiincj992;p24p25;2019;2375.8;992;j
OE-MER;adiincj992;p24p25;2020;2076.6;992;j
OE-MER;adiincj992;p24p25;2021;2183.9;992;j
OE-MER;adiincj992;p25p100;2018;19936.3;992;j
OE-MER;adiincj992;p25p100;2019;19172.7;992;j
OE-MER;adiincj992;p25p100;2020;18118.3;992;j
OE-MER;adiincj992;p25p100;2021;18229.2;992;j
OE-MER;adiincj992;p25p26;2018;2502;992;j
OE-MER;adiincj992;p25p26;2019;2502.6;992;j
OE-MER;adiincj992;p25p26;2020;2188.6;992;j
OE-MER;adiincj992;p25p26;2021;2294.1;992;j
OE-MER;adiincj992;p26p100;2018;20171.9;992;j
OE-MER;adiincj992;p26p100;2019;19398;992;j
OE-MER;adiincj992;p26p100;2020;18333.6;992;j
OE-MER;adiincj992;p26p100;2021;18444.5;992;j
OE-MER;adiincj992;p26p27;2018;2649.4;992;j
OE-MER;adiincj992;p26p27;2019;2638.5;992;j
OE-MER;adiincj992;p26p27;2020;2306.3;992;j
OE-MER;adiincj992;p26p27;2021;2413.3;992;j
OE-MER;adiincj992;p27p100;2018;20411.9;992;j
OE-MER;adiincj992;p27p100;2019;19627.6;992;j
OE-MER;adiincj992;p27p100;2020;18553.1;992;j
OE-MER;adiincj992;p27p100;2021;18664.1;992;j
OE-MER;adiincj992;p27p28;2018;2793.1;992;j
OE-MER;adiincj992;p27p28;2019;2760.7;992;j
OE-MER;adiincj992;p27p28;2020;2430.1;992;j
OE-MER;adiincj992;p27p28;2021;2545.4;992;j
OE-MER;adiincj992;p28p100;2018;20656.7;992;j
OE-MER;adiincj992;p28p100;2019;19861.8;992;j
