country;variable;percentile;year;value;age;pop
OI-MER;adiincj992;p0p1;2018;39.1;992;j
OI-MER;adiincj992;p0p1;2019;57.5;992;j
OI-MER;adiincj992;p0p1;2020;56.6;992;j
OI-MER;adiincj992;p0p1;2021;54.7;992;j
OI-MER;adiincj992;p0p100;2018;4242.5;992;j
OI-MER;adiincj992;p0p100;2019;4307.3;992;j
OI-MER;adiincj992;p0p100;2020;4095.8;992;j
OI-MER;adiincj992;p0p100;2021;4206.2;992;j
OI-MER;adiincj992;p0p50;2018;972.9;992;j
OI-MER;adiincj992;p0p50;2019;998.1;992;j
OI-MER;adiincj992;p0p50;2020;967.9;992;j
OI-MER;adiincj992;p0p50;2021;966.4;992;j
OI-MER;adiincj992;p10p100;2018;4688.6;992;j
OI-MER;adiincj992;p10p100;2019;4758.5;992;j
OI-MER;adiincj992;p10p100;2020;4524.6;992;j
OI-MER;adiincj992;p10p100;2021;4647.1;992;j
OI-MER;adiincj992;p10p11;2018;471.5;992;j
OI-MER;adiincj992;p10p11;2019;490.5;992;j
OI-MER;adiincj992;p10p11;2020;467.3;992;j
OI-MER;adiincj992;p10p11;2021;468;992;j
OI-MER;adiincj992;p11p100;2018;4736;992;j
OI-MER;adiincj992;p11p100;2019;4806.5;992;j
OI-MER;adiincj992;p11p100;2020;4570.2;992;j
OI-MER;adiincj992;p11p100;2021;4694;992;j
OI-MER;adiincj992;p11p12;2018;504;992;j
OI-MER;adiincj992;p11p12;2019;534.7;992;j
OI-MER;adiincj992;p11p12;2020;525.3;992;j
OI-MER;adiincj992;p11p12;2021;511.5;992;j
OI-MER;adiincj992;p12p100;2018;4784.1;992;j
OI-MER;adiincj992;p12p100;2019;4855;992;j
OI-MER;adiincj992;p12p100;2020;4616.2;992;j
OI-MER;adiincj992;p12p100;2021;4741.5;992;j
OI-MER;adiincj992;p12p13;2018;555.1;992;j
OI-MER;adiincj992;p12p13;2019;584.8;992;j
OI-MER;adiincj992;p12p13;2020;570.6;992;j
OI-MER;adiincj992;p12p13;2021;558.4;992;j
OI-MER;adiincj992;p13p100;2018;4832.7;992;j
OI-MER;adiincj992;p13p100;2019;4904.1;992;j
OI-MER;adiincj992;p13p100;2020;4662.7;992;j
OI-MER;adiincj992;p13p100;2021;4789.6;992;j
OI-MER;adiincj992;p13p14;2018;599.2;992;j
OI-MER;adiincj992;p13p14;2019;623;992;j
OI-MER;adiincj992;p13p14;2020;606.3;992;j
OI-MER;adiincj992;p13p14;2021;603.5;992;j
OI-MER;adiincj992;p14p100;2018;4881.9;992;j
OI-MER;adiincj992;p14p100;2019;4953.9;992;j
OI-MER;adiincj992;p14p100;2020;4709.8;992;j
OI-MER;adiincj992;p14p100;2021;4838.3;992;j
OI-MER;adiincj992;p14p15;2018;648.4;992;j
OI-MER;adiincj992;p14p15;2019;668.6;992;j
OI-MER;adiincj992;p14p15;2020;650.2;992;j
OI-MER;adiincj992;p14p15;2021;636.4;992;j
OI-MER;adiincj992;p15p100;2018;4931.7;992;j
OI-MER;adiincj992;p15p100;2019;5004.3;992;j
OI-MER;adiincj992;p15p100;2020;4757.6;992;j
OI-MER;adiincj992;p15p100;2021;4887.7;992;j
OI-MER;adiincj992;p15p16;2018;686.2;992;j
OI-MER;adiincj992;p15p16;2019;705.6;992;j
OI-MER;adiincj992;p15p16;2020;689.5;992;j
OI-MER;adiincj992;p15p16;2021;673.8;992;j
OI-MER;adiincj992;p16p100;2018;4982.3;992;j
OI-MER;adiincj992;p16p100;2019;5055.5;992;j
OI-MER;adiincj992;p16p100;2020;4806;992;j
OI-MER;adiincj992;p16p100;2021;4937.9;992;j
OI-MER;adiincj992;p16p17;2018;737.3;992;j
OI-MER;adiincj992;p16p17;2019;759.1;992;j
OI-MER;adiincj992;p16p17;2020;737.3;992;j
OI-MER;adiincj992;p16p17;2021;719.7;992;j
OI-MER;adiincj992;p17p100;2018;5033.4;992;j
OI-MER;adiincj992;p17p100;2019;5107.2;992;j
OI-MER;adiincj992;p17p100;2020;4855.1;992;j
OI-MER;adiincj992;p17p100;2021;4988.7;992;j
OI-MER;adiincj992;p17p18;2018;777.3;992;j
OI-MER;adiincj992;p17p18;2019;800.4;992;j
OI-MER;adiincj992;p17p18;2020;776;992;j
OI-MER;adiincj992;p17p18;2021;764;992;j
OI-MER;adiincj992;p18p100;2018;5085.3;992;j
OI-MER;adiincj992;p18p100;2019;5159.7;992;j
OI-MER;adiincj992;p18p100;2020;4904.8;992;j
OI-MER;adiincj992;p18p100;2021;5040.2;992;j
OI-MER;adiincj992;p18p19;2018;817.7;992;j
OI-MER;adiincj992;p18p19;2019;827;992;j
OI-MER;adiincj992;p18p19;2020;802.6;992;j
OI-MER;adiincj992;p18p19;2021;791.5;992;j
OI-MER;adiincj992;p19p100;2018;5138;992;j
OI-MER;adiincj992;p19p100;2019;5213.2;992;j
OI-MER;adiincj992;p19p100;2020;4955.4;992;j
OI-MER;adiincj992;p19p100;2021;5092.7;992;j
OI-MER;adiincj992;p19p20;2018;846.9;992;j
OI-MER;adiincj992;p19p20;2019;861;992;j
OI-MER;adiincj992;p19p20;2020;837;992;j
OI-MER;adiincj992;p19p20;2021;822;992;j
OI-MER;adiincj992;p1p100;2018;4284.9;992;j
OI-MER;adiincj992;p1p100;2019;4350.2;992;j
OI-MER;adiincj992;p1p100;2020;4136.6;992;j
OI-MER;adiincj992;p1p100;2021;4248.1;992;j
OI-MER;adiincj992;p1p2;2018;63;992;j
OI-MER;adiincj992;p1p2;2019;86;992;j
OI-MER;adiincj992;p1p2;2020;83.2;992;j
OI-MER;adiincj992;p1p2;2021;82.1;992;j
OI-MER;adiincj992;p20p100;2018;5191.7;992;j
OI-MER;adiincj992;p20p100;2019;5267.6;992;j
OI-MER;adiincj992;p20p100;2020;5006.9;992;j
OI-MER;adiincj992;p20p100;2021;5146.1;992;j
OI-MER;adiincj992;p20p21;2018;870.2;992;j
OI-MER;adiincj992;p20p21;2019;889.6;992;j
OI-MER;adiincj992;p20p21;2020;867.1;992;j
OI-MER;adiincj992;p20p21;2021;856.4;992;j
OI-MER;adiincj992;p21p100;2018;5246.4;992;j
OI-MER;adiincj992;p21p100;2019;5323.1;992;j
OI-MER;adiincj992;p21p100;2020;5059.3;992;j
OI-MER;adiincj992;p21p100;2021;5200.4;992;j
OI-MER;adiincj992;p21p22;2018;899.3;992;j
OI-MER;adiincj992;p21p22;2019;917.7;992;j
OI-MER;adiincj992;p21p22;2020;897.5;992;j
OI-MER;adiincj992;p21p22;2021;881.6;992;j
OI-MER;adiincj992;p22p100;2018;5302.1;992;j
OI-MER;adiincj992;p22p100;2019;5379.5;992;j
OI-MER;adiincj992;p22p100;2020;5112.7;992;j
OI-MER;adiincj992;p22p100;2021;5255.8;992;j
OI-MER;adiincj992;p22p23;2018;924.4;992;j
OI-MER;adiincj992;p22p23;2019;949.6;992;j
OI-MER;adiincj992;p22p23;2020;933;992;j
OI-MER;adiincj992;p22p23;2021;908.9;992;j
OI-MER;adiincj992;p23p100;2018;5358.9;992;j
OI-MER;adiincj992;p23p100;2019;5437.1;992;j
OI-MER;adiincj992;p23p100;2020;5167;992;j
OI-MER;adiincj992;p23p100;2021;5312.2;992;j
OI-MER;adiincj992;p23p24;2018;949;992;j
OI-MER;adiincj992;p23p24;2019;973.1;992;j
OI-MER;adiincj992;p23p24;2020;953.3;992;j
OI-MER;adiincj992;p23p24;2021;941.7;992;j
OI-MER;adiincj992;p24p100;2018;5417;992;j
OI-MER;adiincj992;p24p100;2019;5495.8;992;j
OI-MER;adiincj992;p24p100;2020;5222.4;992;j
OI-MER;adiincj992;p24p100;2021;5369.7;992;j
OI-MER;adiincj992;p24p25;2018;973.1;992;j
OI-MER;adiincj992;p24p25;2019;1001.6;992;j
OI-MER;adiincj992;p24p25;2020;978.8;992;j
OI-MER;adiincj992;p24p25;2021;974.6;992;j
OI-MER;adiincj992;p25p100;2018;5476.2;992;j
OI-MER;adiincj992;p25p100;2019;5555.7;992;j
OI-MER;adiincj992;p25p100;2020;5279;992;j
OI-MER;adiincj992;p25p100;2021;5428.3;992;j
OI-MER;adiincj992;p25p26;2018;1005.4;992;j
OI-MER;adiincj992;p25p26;2019;1024.3;992;j
OI-MER;adiincj992;p25p26;2020;1002.8;992;j
OI-MER;adiincj992;p25p26;2021;996.2;992;j
OI-MER;adiincj992;p26p100;2018;5536.6;992;j
OI-MER;adiincj992;p26p100;2019;5617;992;j
OI-MER;adiincj992;p26p100;2020;5336.8;992;j
OI-MER;adiincj992;p26p100;2021;5488.2;992;j
OI-MER;adiincj992;p26p27;2018;1033.8;992;j
OI-MER;adiincj992;p26p27;2019;1052.7;992;j
OI-MER;adiincj992;p26p27;2020;1032.3;992;j
OI-MER;adiincj992;p26p27;2021;1026.7;992;j
OI-MER;adiincj992;p27p100;2018;5598.3;992;j
OI-MER;adiincj992;p27p100;2019;5679.5;992;j
OI-MER;adiincj992;p27p100;2020;5395.7;992;j
OI-MER;adiincj992;p27p100;2021;5549.3;992;j
OI-MER;adiincj992;p27p28;2018;1056.9;992;j
OI-MER;adiincj992;p27p28;2019;1081.1;992;j
OI-MER;adiincj992;p27p28;2020;1055.2;992;j
OI-MER;adiincj992;p27p28;2021;1054.2;992;j
OI-MER;adiincj992;p28p100;2018;5661.4;992;j
OI-MER;adiincj992;p28p100;2019;5743.4;992;j
OI-MER;adiincj992;p28p100;2020;5456;992;j
OI-MER;adiincj992;p28p100;2021;5611.8;992;j
OI-MER;adiincj992;p28p29;2018;1090.2;992;j
OI-MER;adiincj992;p28p29;2019;1113.2;992;j
OI-MER;adiincj992;p28p29;2020;1084.2;992;j
OI-MER;adiincj992;p28p29;2021;1079.8;992;j
OI-MER;adiincj992;p29p100;2018;5725.8;992;j
OI-MER;adiincj992;p29p100;2019;5808.6;992;j
OI-MER;adiincj992;p29p100;2020;5517.6;992;j
OI-MER;adiincj992;p29p100;2021;5675.6;992;j
OI-MER;adiincj992;p29p30;2018;1124.5;992;j
OI-MER;adiincj992;p29p30;2019;1142.9;992;j
OI-MER;adiincj992;p29p30;2020;1111.6;992;j
OI-MER;adiincj992;p29p30;2021;1105.2;992;j
OI-MER;adiincj992;p2p100;2018;4328;992;j
OI-MER;adiincj992;p2p100;2019;4393.7;992;j
OI-MER;adiincj992;p2p100;2020;4178;992;j
OI-MER;adiincj992;p2p100;2021;4290.6;992;j
OI-MER;adiincj992;p2p3;2018;97.1;992;j
OI-MER;adiincj992;p2p3;2019;109.1;992;j
OI-MER;adiincj992;p2p3;2020;104.7;992;j
OI-MER;adiincj992;p2p3;2021;102.5;992;j
OI-MER;adiincj992;p30p100;2018;5791.5;992;j
OI-MER;adiincj992;p30p100;2019;5875.2;992;j
OI-MER;adiincj992;p30p100;2020;5580.6;992;j
OI-MER;adiincj992;p30p100;2021;5740.9;992;j
OI-MER;adiincj992;p30p31;2018;1148.8;992;j
OI-MER;adiincj992;p30p31;2019;1170.5;992;j
OI-MER;adiincj992;p30p31;2020;1142.1;992;j
OI-MER;adiincj992;p30p31;2021;1138.6;992;j
OI-MER;adiincj992;p31p100;2018;5858.8;992;j
OI-MER;adiincj992;p31p100;2019;5943.4;992;j
OI-MER;adiincj992;p31p100;2020;5644.9;992;j
OI-MER;adiincj992;p31p100;2021;5807.6;992;j
OI-MER;adiincj992;p31p32;2018;1180.9;992;j
OI-MER;adiincj992;p31p32;2019;1202.7;992;j
OI-MER;adiincj992;p31p32;2020;1176.6;992;j
OI-MER;adiincj992;p31p32;2021;1168.9;992;j
OI-MER;adiincj992;p32p100;2018;5927.6;992;j
OI-MER;adiincj992;p32p100;2019;6013.1;992;j
OI-MER;adiincj992;p32p100;2020;5710.6;992;j
OI-MER;adiincj992;p32p100;2021;5875.8;992;j
OI-MER;adiincj992;p32p33;2018;1213.6;992;j
OI-MER;adiincj992;p32p33;2019;1238.1;992;j
