country;variable;percentile;year;value;age;pop
OJ-MER;adiincj992;p0p1;2018;20.7;992;j
OJ-MER;adiincj992;p0p1;2019;29.3;992;j
OJ-MER;adiincj992;p0p1;2020;28.1;992;j
OJ-MER;adiincj992;p0p1;2021;28;992;j
OJ-MER;adiincj992;p0p100;2018;4981.4;992;j
OJ-MER;adiincj992;p0p100;2019;4807.1;992;j
OJ-MER;adiincj992;p0p100;2020;4525.7;992;j
OJ-MER;adiincj992;p0p100;2021;4539.8;992;j
OJ-MER;adiincj992;p0p50;2018;519.8;992;j
OJ-MER;adiincj992;p0p50;2019;525.3;992;j
OJ-MER;adiincj992;p0p50;2020;509.3;992;j
OJ-MER;adiincj992;p0p50;2021;509.3;992;j
OJ-MER;adiincj992;p10p100;2018;5525.3;992;j
OJ-MER;adiincj992;p10p100;2019;5330.8;992;j
OJ-MER;adiincj992;p10p100;2020;5018.4;992;j
OJ-MER;adiincj992;p10p100;2021;5034;992;j
OJ-MER;adiincj992;p10p11;2018;208;992;j
OJ-MER;adiincj992;p10p11;2019;209.9;992;j
OJ-MER;adiincj992;p10p11;2020;201.8;992;j
OJ-MER;adiincj992;p10p11;2021;200.9;992;j
OJ-MER;adiincj992;p11p100;2018;5585.1;992;j
OJ-MER;adiincj992;p11p100;2019;5388.3;992;j
OJ-MER;adiincj992;p11p100;2020;5072.5;992;j
OJ-MER;adiincj992;p11p100;2021;5088.3;992;j
OJ-MER;adiincj992;p11p12;2018;228.3;992;j
OJ-MER;adiincj992;p11p12;2019;232;992;j
OJ-MER;adiincj992;p11p12;2020;221.3;992;j
OJ-MER;adiincj992;p11p12;2021;220.7;992;j
OJ-MER;adiincj992;p12p100;2018;5646;992;j
OJ-MER;adiincj992;p12p100;2019;5446.9;992;j
OJ-MER;adiincj992;p12p100;2020;5127.7;992;j
OJ-MER;adiincj992;p12p100;2021;5143.7;992;j
OJ-MER;adiincj992;p12p13;2018;250.2;992;j
OJ-MER;adiincj992;p12p13;2019;253.7;992;j
OJ-MER;adiincj992;p12p13;2020;242.9;992;j
OJ-MER;adiincj992;p12p13;2021;242.6;992;j
OJ-MER;adiincj992;p13p100;2018;5708;992;j
OJ-MER;adiincj992;p13p100;2019;5506.6;992;j
OJ-MER;adiincj992;p13p100;2020;5183.8;992;j
OJ-MER;adiincj992;p13p100;2021;5200;992;j
OJ-MER;adiincj992;p13p14;2018;271.7;992;j
OJ-MER;adiincj992;p13p14;2019;274.4;992;j
OJ-MER;adiincj992;p13p14;2020;263.4;992;j
OJ-MER;adiincj992;p13p14;2021;263.2;992;j
OJ-MER;adiincj992;p14p100;2018;5771.2;992;j
