country;variable;percentile;year;value;age;pop
OJ;ehfcari999;p0p100;1990;54.680710796407;999;i
OJ;ehfcari999;p0p100;1991;55.0882542679901;999;i
OJ;ehfcari999;p0p100;1992;58.0799933768905;999;i
OJ;ehfcari999;p0p100;1993;59.6889634965051;999;i
OJ;ehfcari999;p0p100;1994;56.8982605927367;999;i
OJ;ehfcari999;p0p100;1995;57.2471978506706;999;i
OJ;ehfcari999;p0p100;1996;58.8342790863029;999;i
OJ;ehfcari999;p0p100;1997;66.0862720258534;999;i
OJ;ehfcari999;p0p100;1998;71.2131415397961;999;i
OJ;ehfcari999;p0p100;1999;64.9652249984777;999;i
OJ;ehfcari999;p0p100;2000;65.2568882975605;999;i
OJ;ehfcari999;p0p100;2001;77.4193375488581;999;i
OJ;ehfcari999;p0p100;2002;79.9002890710571;999;i
OJ;ehfcari999;p0p100;2003;90.5391839608845;999;i
OJ;ehfcari999;p0p100;2004;94.4925308764993;999;i
OJ;ehfcari999;p0p100;2005;109.718709206547;999;i
OJ;ehfcari999;p0p100;2006;100.258915603892;999;i
OJ;ehfcari999;p0p100;2007;113.677765517121;999;i
OJ;ehfcari999;p0p100;2008;119.472122906101;999;i
OJ;ehfcari999;p0p100;2009;109.916441420404;999;i
OJ;ehfcari999;p0p100;2010;121.105500564529;999;i
OJ;ehfcari999;p0p100;2011;129.380932943914;999;i
OJ;ehfcari999;p0p100;2012;129.843196882334;999;i
OJ;ehfcari999;p0p100;2013;167.236937346018;999;i
OJ;ehfcari999;p0p100;2014;174.825067600125;999;i
OJ;ehfcari999;p0p100;2015;176.877841826638;999;i
OJ;ehfcari999;p0p100;2016;181.068224448342;999;i
OJ;ehfcari999;p0p100;2017;183.624237159095;999;i
OJ;ehfcari999;p0p100;2018;186.713739910251;999;i
OJ;ehfcari999;p0p100;2019;189.514477911064;999;i
OJ;ehfcari999;p0p100;2020;184.776615963287;999;i
OJ;ehfghdi999;p0p100;1990;13.8789978197654;999;i
OJ;ehfghdi999;p0p100;1991;14.2279339520871;999;i
OJ;ehfghdi999;p0p100;1992;15.9160304309116;999;i
OJ;ehfghdi999;p0p100;1993;16.592915169975;999;i
OJ;ehfghdi999;p0p100;1994;15.9104993097443;999;i
OJ;ehfghdi999;p0p100;1995;16.3752771866018;999;i
OJ;ehfghdi999;p0p100;1996;17.7384402292955;999;i
OJ;ehfghdi999;p0p100;1997;18.296346156599;999;i
OJ;ehfghdi999;p0p100;1998;18.3781662382088;999;i
OJ;ehfghdi999;p0p100;1999;18.9868182164948;999;i
OJ;ehfghdi999;p0p100;2000;25.2851551819445;999;i
OJ;ehfghdi999;p0p100;2001;27.1127598227949;999;i
OJ;ehfghdi999;p0p100;2002;28.2947917028642;999;i
OJ;ehfghdi999;p0p100;2003;29.5633496309753;999;i
OJ;ehfghdi999;p0p100;2004;30.186592644;999;i
OJ;ehfghdi999;p0p100;2005;29.1875211314548;999;i
OJ;ehfghdi999;p0p100;2006;28.3727251063692;999;i
OJ;ehfghdi999;p0p100;2007;27.7344402022;999;i
OJ;ehfghdi999;p0p100;2008;29.2602287869826;999;i
OJ;ehfghdi999;p0p100;2009;30.8891422244055;999;i
OJ;ehfghdi999;p0p100;2010;32.6293745071246;999;i
OJ;ehfghdi999;p0p100;2011;34.4898912551;999;i
OJ;ehfghdi999;p0p100;2012;35.4123882584286;999;i
OJ;ehfghdi999;p0p100;2013;36.6189414084526;999;i
OJ;ehfghdi999;p0p100;2014;38.146669849;999;i
OJ;ehfghdi999;p0p100;2015;39.0630155062484;999;i
OJ;ehfghdi999;p0p100;2016;41.4045405336601;999;i
OJ;ehfghdi999;p0p100;2017;43.1533838586616;999;i
OJ;ehfghdi999;p0p100;2018;44.9456650928448;999;i
OJ;ehfghdi999;p0p100;2019;45.6642602132228;999;i
OJ;ehfghdi999;p0p100;2020;44.5226537078923;999;i
OJ;ehfghgi999;p0p100;1980;558.857247803338;999;i
OJ;ehfghgi999;p0p100;1981;493.722339096051;999;i
OJ;ehfghgi999;p0p100;1982;495.739338229602;999;i
OJ;ehfghgi999;p0p100;1983;493.024156228447;999;i
OJ;ehfghgi999;p0p100;1984;487.506956657627;999;i
OJ;ehfghgi999;p0p100;1985;494.897116224255;999;i
OJ;ehfghgi999;p0p100;1986;493.748674138023;999;i
OJ;ehfghgi999;p0p100;1987;499.635556742952;999;i
OJ;ehfghgi999;p0p100;1988;495.307392726093;999;i
OJ;ehfghgi999;p0p100;1989;503.000333716788;999;i
OJ;ehfghgi999;p0p100;1990;522.767836796273;999;i
OJ;ehfghgi999;p0p100;1991;529.418240695181;999;i
OJ;ehfghgi999;p0p100;1992;538.727385746253;999;i
OJ;ehfghgi999;p0p100;1993;549.732077647938;999;i
OJ;ehfghgi999;p0p100;1994;539.519563826503;999;i
OJ;ehfghgi999;p0p100;1995;558.070025239501;999;i
OJ;ehfghgi999;p0p100;1996;574.85033839113;999;i
OJ;ehfghgi999;p0p100;1997;580.50384595459;999;i
OJ;ehfghgi999;p0p100;1998;594.644180826119;999;i
OJ;ehfghgi999;p0p100;1999;576.727213017877;999;i
OJ;ehfghgi999;p0p100;2000;569.991586874248;999;i
OJ;ehfghgi999;p0p100;2001;613.391770165015;999;i
OJ;ehfghgi999;p0p100;2002;616.525824839204;999;i
OJ;ehfghgi999;p0p100;2003;658.101932532399;999;i
OJ;ehfghgi999;p0p100;2004;665.341672818731;999;i
OJ;ehfghgi999;p0p100;2005;700.358652382826;999;i
OJ;ehfghgi999;p0p100;2006;662.293068419185;999;i
OJ;ehfghgi999;p0p100;2007;698.937786862165;999;i
OJ;ehfghgi999;p0p100;2008;740.91089272163;999;i
OJ;ehfghgi999;p0p100;2009;738.091949274341;999;i
OJ;ehfghgi999;p0p100;2010;775.070133079848;999;i
OJ;ehfghgi999;p0p100;2011;786.759277382742;999;i
OJ;ehfghgi999;p0p100;2012;803.478961955459;999;i
OJ;ehfghgi999;p0p100;2013;851.935613460791;999;i
OJ;ehfghgi999;p0p100;2014;860.731476677994;999;i
OJ;ehfghgi999;p0p100;2015;889.830686698706;999;i
OJ;ehfghgi999;p0p100;2016;914.92222660738;999;i
OJ;ehfghgi999;p0p100;2017;936.030867752362;999;i
OJ;ehfghgi999;p0p100;2018;953.117881024157;999;i
OJ;ehfghgi999;p0p100;2019;967.2387534357;999;i
OJ;ehfghgi999;p0p100;2020;943.057784599807;999;i
OJ;ehfghni999;p0p100;1990;363.46389793103;999;i
OJ;ehfghni999;p0p100;1991;369.761425260613;999;i
OJ;ehfghni999;p0p100;1992;378.169969339469;999;i
OJ;ehfghni999;p0p100;1993;385.77161417681;999;i
OJ;ehfghni999;p0p100;1994;377.264875374677;999;i
OJ;ehfghni999;p0p100;1995;394.55581981701;999;i
OJ;ehfghni999;p0p100;1996;410.02969721274;999;i
OJ;ehfghni999;p0p100;1997;411.235431039064;999;i
OJ;ehfghni999;p0p100;1998;414.538830949992;999;i
OJ;ehfghni999;p0p100;1999;402.838493241049;999;i
OJ;ehfghni999;p0p100;2000;379.742654630251;999;i
OJ;ehfghni999;p0p100;2001;414.839896735814;999;i
OJ;ehfghni999;p0p100;2002;412.413015014133;999;i
OJ;ehfghni999;p0p100;2003;440.214591579839;999;i
OJ;ehfghni999;p0p100;2004;435.112093482167;999;i
OJ;ehfghni999;p0p100;2005;467.537164944335;999;i
OJ;ehfghni999;p0p100;2006;444.86631993741;999;i
OJ;ehfghni999;p0p100;2007;474.812037477489;999;i
OJ;ehfghni999;p0p100;2008;493.20600019807;999;i
OJ;ehfghni999;p0p100;2009;480.01101612892;999;i
OJ;ehfghni999;p0p100;2010;512.598193278867;999;i
OJ;ehfghni999;p0p100;2011;521.733270115552;999;i
OJ;ehfghni999;p0p100;2012;532.407594955188;999;i
OJ;ehfghni999;p0p100;2013;570.974902761874;999;i
OJ;ehfghni999;p0p100;2014;578.558421205268;999;i
OJ;ehfghni999;p0p100;2015;585.041769113826;999;i
OJ;ehfghni999;p0p100;2016;600.229662909352;999;i
OJ;ehfghni999;p0p100;2017;616.23641736416;999;i
OJ;ehfghni999;p0p100;2018;630.844086829418;999;i
OJ;ehfghni999;p0p100;2019;641.074350208091;999;i
OJ;ehfghni999;p0p100;2020;625.047491452889;999;i
OJ;ehfghoi999;p0p100;1990;432.241515355756;999;i
OJ;ehfghoi999;p0p100;1991;439.126148339062;999;i
OJ;ehfghoi999;p0p100;1992;443.584084810748;999;i
OJ;ehfghoi999;p0p100;1993;452.295358460428;999;i
OJ;ehfghoi999;p0p100;1994;445.897690589954;999;i
OJ;ehfghoi999;p0p100;1995;462.069857182191;999;i
OJ;ehfghoi999;p0p100;1996;475.165866006048;999;i
OJ;ehfghoi999;p0p100;1997;474.266279225781;999;i
OJ;ehfghoi999;p0p100;1998;482.310032107136;999;i
OJ;ehfghoi999;p0p100;1999;470.416965463474;999;i
OJ;ehfghoi999;p0p100;2000;456.63001111598;999;i
OJ;ehfghoi999;p0p100;2001;485.710225805425;999;i
OJ;ehfghoi999;p0p100;2002;483.887092769334;999;i
OJ;ehfghoi999;p0p100;2003;513.693046296148;999;i
