country;variable;percentile;year;value;age;pop
QD-MER;adiincj992;p0p1;2018;56.5;992;j
QD-MER;adiincj992;p0p1;2019;70.1;992;j
QD-MER;adiincj992;p0p1;2020;76.4;992;j
QD-MER;adiincj992;p0p1;2021;67.1;992;j
QD-MER;adiincj992;p0p100;2018;7980.5;992;j
QD-MER;adiincj992;p0p100;2019;8128.2;992;j
QD-MER;adiincj992;p0p100;2020;7955.3;992;j
QD-MER;adiincj992;p0p100;2021;8413.1;992;j
QD-MER;adiincj992;p0p50;2018;1292.5;992;j
QD-MER;adiincj992;p0p50;2019;1335.3;992;j
QD-MER;adiincj992;p0p50;2020;1271.5;992;j
QD-MER;adiincj992;p0p50;2021;1350.2;992;j
QD-MER;adiincj992;p10p100;2018;8830.6;992;j
QD-MER;adiincj992;p10p100;2019;8993.1;992;j
QD-MER;adiincj992;p10p100;2020;8803.1;992;j
QD-MER;adiincj992;p10p100;2021;9309.8;992;j
QD-MER;adiincj992;p11p100;2018;8921.8;992;j
QD-MER;adiincj992;p11p100;2019;9085.9;992;j
QD-MER;adiincj992;p11p100;2020;8894.3;992;j
QD-MER;adiincj992;p11p100;2021;9405.9;992;j
QD-MER;adiincj992;p11p12;2018;739.2;992;j
QD-MER;adiincj992;p11p12;2019;773.6;992;j
QD-MER;adiincj992;p11p12;2020;724;992;j
QD-MER;adiincj992;p11p12;2021;786;992;j
QD-MER;adiincj992;p12p100;2018;9014.7;992;j
QD-MER;adiincj992;p12p100;2019;9180.3;992;j
QD-MER;adiincj992;p12p100;2020;8987.1;992;j
QD-MER;adiincj992;p12p100;2021;9503.9;992;j
QD-MER;adiincj992;p12p13;2018;740.1;992;j
QD-MER;adiincj992;p12p13;2019;814.7;992;j
QD-MER;adiincj992;p12p13;2020;762.7;992;j
QD-MER;adiincj992;p12p13;2021;822.1;992;j
QD-MER;adiincj992;p13p100;2018;9109.9;992;j
QD-MER;adiincj992;p13p100;2019;9276.5;992;j
QD-MER;adiincj992;p13p100;2020;9081.6;992;j
QD-MER;adiincj992;p13p100;2021;9603.7;992;j
QD-MER;adiincj992;p13p14;2018;767.4;992;j
QD-MER;adiincj992;p13p14;2019;834.8;992;j
QD-MER;adiincj992;p13p14;2020;801.1;992;j
QD-MER;adiincj992;p13p14;2021;863.5;992;j
QD-MER;adiincj992;p14p100;2018;9206.9;992;j
QD-MER;adiincj992;p14p100;2019;9374.6;992;j
QD-MER;adiincj992;p14p100;2020;9177.9;992;j
QD-MER;adiincj992;p14p100;2021;9705.3;992;j
QD-MER;adiincj992;p14p15;2018;799.4;992;j
QD-MER;adiincj992;p14p15;2019;834.8;992;j
QD-MER;adiincj992;p14p15;2020;833.6;992;j
QD-MER;adiincj992;p14p15;2021;898.3;992;j
QD-MER;adiincj992;p15p100;2018;9305.8;992;j
QD-MER;adiincj992;p15p100;2019;9475.1;992;j
QD-MER;adiincj992;p15p100;2020;9276.1;992;j
QD-MER;adiincj992;p15p100;2021;9808.9;992;j
QD-MER;adiincj992;p15p16;2018;835.8;992;j
QD-MER;adiincj992;p15p16;2019;859;992;j
QD-MER;adiincj992;p15p16;2020;836.1;992;j
QD-MER;adiincj992;p15p16;2021;900.8;992;j
QD-MER;adiincj992;p16p100;2018;9406.6;992;j
QD-MER;adiincj992;p16p100;2019;9577.7;992;j
QD-MER;adiincj992;p16p100;2020;9376.6;992;j
QD-MER;adiincj992;p16p100;2021;9915;992;j
QD-MER;adiincj992;p16p17;2018;871.7;992;j
QD-MER;adiincj992;p16p17;2019;892.8;992;j
QD-MER;adiincj992;p16p17;2020;844.1;992;j
QD-MER;adiincj992;p16p17;2021;911.6;992;j
QD-MER;adiincj992;p17p100;2018;9509.4;992;j
QD-MER;adiincj992;p17p100;2019;9682.3;992;j
QD-MER;adiincj992;p17p100;2020;9479.4;992;j
QD-MER;adiincj992;p17p100;2021;10023.5;992;j
QD-MER;adiincj992;p17p18;2018;902.8;992;j
QD-MER;adiincj992;p17p18;2019;927.9;992;j
QD-MER;adiincj992;p17p18;2020;878.7;992;j
QD-MER;adiincj992;p17p18;2021;943.8;992;j
QD-MER;adiincj992;p18p100;2018;9614.4;992;j
QD-MER;adiincj992;p18p100;2019;9789.1;992;j
