country;variable;percentile;year;value;age;pop
QD;ehfcari999;p0p100;1990;3694.75571152773;999;i
QD;ehfcari999;p0p100;1991;3639.4255551674;999;i
QD;ehfcari999;p0p100;1992;3186.19042208144;999;i
QD;ehfcari999;p0p100;1993;3324.09085100646;999;i
QD;ehfcari999;p0p100;1994;3395.67969983149;999;i
QD;ehfcari999;p0p100;1995;3535.03637275317;999;i
QD;ehfcari999;p0p100;1996;3769.31497268847;999;i
QD;ehfcari999;p0p100;1997;4046.26202507265;999;i
QD;ehfcari999;p0p100;1998;3615.22934571189;999;i
QD;ehfcari999;p0p100;1999;3719.8379206162;999;i
QD;ehfcari999;p0p100;2000;3831.1380642868;999;i
QD;ehfcari999;p0p100;2001;3898.06373723263;999;i
QD;ehfcari999;p0p100;2002;4030.35990790947;999;i
QD;ehfcari999;p0p100;2003;4275.80038314215;999;i
QD;ehfcari999;p0p100;2004;4533.60855151732;999;i
QD;ehfcari999;p0p100;2005;4828.49223667266;999;i
QD;ehfcari999;p0p100;2006;5036.11011778153;999;i
QD;ehfcari999;p0p100;2007;5222.93191109908;999;i
QD;ehfcari999;p0p100;2008;5454.95953805427;999;i
QD;ehfcari999;p0p100;2009;5544.31935387779;999;i
QD;ehfcari999;p0p100;2010;5867.54244480609;999;i
QD;ehfcari999;p0p100;2011;6254.05683017601;999;i
QD;ehfcari999;p0p100;2012;6639.69052880794;999;i
QD;ehfcari999;p0p100;2013;6607.54212102735;999;i
QD;ehfcari999;p0p100;2014;6666.98884893115;999;i
QD;ehfcari999;p0p100;2015;6621.50334759367;999;i
QD;ehfcari999;p0p100;2016;6718.34644179015;999;i
QD;ehfcari999;p0p100;2017;6851.18612225853;999;i
QD;ehfcari999;p0p100;2018;7011.4185128509;999;i
QD;ehfcari999;p0p100;2019;7105.87609789656;999;i
QD;ehfcari999;p0p100;2020;6849.65053060927;999;i
QD;ehfghdi999;p0p100;1990;1012.34710165232;999;i
QD;ehfghdi999;p0p100;1991;1013.21349010965;999;i
QD;ehfghdi999;p0p100;1992;969.908843319457;999;i
QD;ehfghdi999;p0p100;1993;965.590889883315;999;i
QD;ehfghdi999;p0p100;1994;952.041730128276;999;i
QD;ehfghdi999;p0p100;1995;966.210067498375;999;i
QD;ehfghdi999;p0p100;1996;986.959057436993;999;i
QD;ehfghdi999;p0p100;1997;981.303778146699;999;i
QD;ehfghdi999;p0p100;1998;962.89229153597;999;i
QD;ehfghdi999;p0p100;1999;997.365695342005;999;i
QD;ehfghdi999;p0p100;2000;1022.39785145328;999;i
QD;ehfghdi999;p0p100;2001;1048.46825127247;999;i
QD;ehfghdi999;p0p100;2002;1086.38291255433;999;i
QD;ehfghdi999;p0p100;2003;1157.44624574692;999;i
QD;ehfghdi999;p0p100;2004;1236.69114014199;999;i
QD;ehfghdi999;p0p100;2005;1260.43492605569;999;i
QD;ehfghdi999;p0p100;2006;1286.34746479895;999;i
QD;ehfghdi999;p0p100;2007;1314.5465760225;999;i
QD;ehfghdi999;p0p100;2008;1361.69093679738;999;i
QD;ehfghdi999;p0p100;2009;1413.29485373071;999;i
QD;ehfghdi999;p0p100;2010;1470.06501945875;999;i
QD;ehfghdi999;p0p100;2011;1532.9359930757;999;i
QD;ehfghdi999;p0p100;2012;1554.83875968111;999;i
QD;ehfghdi999;p0p100;2013;1579.11855530781;999;i
QD;ehfghdi999;p0p100;2014;1605.8107661943;999;i
QD;ehfghdi999;p0p100;2015;1624.86914749783;999;i
QD;ehfghdi999;p0p100;2016;1642.51073025323;999;i
QD;ehfghdi999;p0p100;2017;1687.28588753762;999;i
QD;ehfghdi999;p0p100;2018;1740.53658829234;999;i
QD;ehfghdi999;p0p100;2019;1768.44636677467;999;i
QD;ehfghdi999;p0p100;2020;1698.07812445277;999;i
QD;knfcari999;p0p100;1990;2.60584211349487;999;i
QD;knfcari999;p0p100;1991;2.81716656684875;999;i
QD;knfcari999;p0p100;1992;2.52634787559509;999;i
QD;knfcari999;p0p100;1993;2.62592339515686;999;i
QD;knfcari999;p0p100;1994;2.61382722854614;999;i
QD;knfcari999;p0p100;1995;2.64693307876587;999;i
QD;knfcari999;p0p100;1996;2.71579837799072;999;i
QD;knfcari999;p0p100;1997;2.64962100982666;999;i
QD;knfcari999;p0p100;1998;2.46348381042481;999;i
QD;knfcari999;p0p100;1999;2.50800681114197;999;i
QD;knfcari999;p0p100;2000;2.55493259429932;999;i
QD;knfcari999;p0p100;2001;2.60005331039429;999;i
QD;knfcari999;p0p100;2002;2.67478466033936;999;i
QD;knfcari999;p0p100;2003;2.85608506202698;999;i
QD;knfcari999;p0p100;2004;3.02174234390259;999;i
QD;knfcari999;p0p100;2005;3.1630289554596;999;i
QD;knfcari999;p0p100;2006;3.28246450424194;999;i
QD;knfcari999;p0p100;2007;3.4236946105957;999;i
QD;knfcari999;p0p100;2008;3.58719277381897;999;i
QD;knfcari999;p0p100;2009;3.66596627235413;999;i
QD;knfcari999;p0p100;2010;3.87061929702759;999;i
QD;knfcari999;p0p100;2011;4.08769035339355;999;i
QD;knfcari999;p0p100;2012;4.23575401306152;999;i
QD;knfcari999;p0p100;2013;4.23767805099487;999;i
QD;knfcari999;p0p100;2014;4.2559666633606;999;i
QD;knfcari999;p0p100;2015;4.25582122802734;999;i
QD;knfcari999;p0p100;2016;4.2625994682312;999;i
QD;knfcari999;p0p100;2017;4.30281400680542;999;i
QD;knfcari999;p0p100;2018;4.37737083435059;999;i
QD;knfcari999;p0p100;2019;4.40087938308716;999;i
QD;knfcari999;p0p100;2020;4.23122024536133;999;i
QD;ehfghgi999;p0p100;1980;5868.851205088;999;i
QD;ehfghgi999;p0p100;1981;5780.61627890341;999;i
QD;ehfghgi999;p0p100;1982;5935.01250800162;999;i
QD;ehfghgi999;p0p100;1983;6107.27062935223;999;i
QD;ehfghgi999;p0p100;1984;6201.25420663429;999;i
QD;ehfghgi999;p0p100;1985;6435.70956022996;999;i
QD;ehfghgi999;p0p100;1986;6571.60002677954;999;i
QD;ehfghgi999;p0p100;1987;6831.26776262369;999;i
QD;ehfghgi999;p0p100;1988;7261.13466301132;999;i
