country;variable;percentile;year;value;age;pop
QE-MER;aptincj992;p69p100;1980;45560.4;992;j
QE-MER;aptincj992;p69p100;1981;45356.5;992;j
QE-MER;aptincj992;p69p100;1982;45218.5;992;j
QE-MER;aptincj992;p69p100;1983;45631.1;992;j
QE-MER;aptincj992;p69p100;1984;46617.3;992;j
QE-MER;aptincj992;p69p100;1985;47563.6;992;j
QE-MER;aptincj992;p69p100;1986;48776.8;992;j
QE-MER;aptincj992;p69p100;1987;49672.6;992;j
QE-MER;aptincj992;p69p100;1988;51426.3;992;j
QE-MER;aptincj992;p69p100;1989;52954.5;992;j
QE-MER;aptincj992;p69p100;1990;53915.3;992;j
QE-MER;aptincj992;p69p100;1991;53572.7;992;j
QE-MER;aptincj992;p69p100;1992;53641.4;992;j
QE-MER;aptincj992;p69p100;1993;53241.9;992;j
QE-MER;aptincj992;p69p100;1994;54401.4;992;j
QE-MER;aptincj992;p69p100;1995;55935.4;992;j
QE-MER;aptincj992;p69p100;1996;56682.6;992;j
QE-MER;aptincj992;p69p100;1997;58382.5;992;j
QE-MER;aptincj992;p69p100;1998;60222.3;992;j
QE-MER;aptincj992;p69p100;1999;62253.5;992;j
QE-MER;aptincj992;p69p100;2000;63980.5;992;j
QE-MER;aptincj992;p69p100;2001;64820.4;992;j
QE-MER;aptincj992;p69p100;2002;64672.9;992;j
QE-MER;aptincj992;p69p100;2003;65115.8;992;j
QE-MER;aptincj992;p69p100;2004;66799.5;992;j
QE-MER;aptincj992;p69p100;2005;68196.8;992;j
QE-MER;aptincj992;p69p100;2006;70558.1;992;j
QE-MER;aptincj992;p69p100;2007;72082.9;992;j
QE-MER;aptincj992;p69p100;2008;71111.7;992;j
QE-MER;aptincj992;p69p100;2009;68379.3;992;j
QE-MER;aptincj992;p69p100;2010;68480.2;992;j
QE-MER;aptincj992;p69p100;2011;69170;992;j
QE-MER;aptincj992;p69p100;2012;68545.8;992;j
QE-MER;aptincj992;p69p100;2013;68979.9;992;j
QE-MER;aptincj992;p69p100;2014;69574;992;j
QE-MER;aptincj992;p69p100;2015;70470.6;992;j
QE-MER;aptincj992;p69p100;2016;71426.6;992;j
QE-MER;aptincj992;p69p100;2017;72956.8;992;j
QE-MER;aptincj992;p69p100;2018;73976.1;992;j
QE-MER;aptincj992;p69p100;2019;73704.9;992;j
QE-MER;aptincj992;p69p100;2020;68900.6;992;j
QE-MER;aptincj992;p69p100;2021;72568.1;992;j
QE-MER;aptincj992;p69p70;1980;25364.1;992;j
QE-MER;aptincj992;p69p70;1981;25487.4;992;j
QE-MER;aptincj992;p69p70;1982;25608.4;992;j
QE-MER;aptincj992;p69p70;1983;25675;992;j
QE-MER;aptincj992;p69p70;1984;26059.9;992;j
QE-MER;aptincj992;p69p70;1985;26519.8;992;j
QE-MER;aptincj992;p69p70;1986;26881.4;992;j
QE-MER;aptincj992;p69p70;1987;27174.8;992;j
QE-MER;aptincj992;p69p70;1988;27804.8;992;j
QE-MER;aptincj992;p69p70;1989;28419.6;992;j
QE-MER;aptincj992;p69p70;1990;28570.5;992;j
QE-MER;aptincj992;p69p70;1991;28312.2;992;j
QE-MER;aptincj992;p69p70;1992;28554.8;992;j
QE-MER;aptincj992;p69p70;1993;28142.2;992;j
QE-MER;aptincj992;p69p70;1994;28679.3;992;j
QE-MER;aptincj992;p69p70;1995;29474.1;992;j
QE-MER;aptincj992;p69p70;1996;29545.2;992;j
QE-MER;aptincj992;p69p70;1997;30019;992;j
QE-MER;aptincj992;p69p70;1998;30531.4;992;j
QE-MER;aptincj992;p69p70;1999;31456.7;992;j
QE-MER;aptincj992;p69p70;2000;32331.7;992;j
QE-MER;aptincj992;p69p70;2001;32810;992;j
QE-MER;aptincj992;p69p70;2002;32705.7;992;j
QE-MER;aptincj992;p69p70;2003;32824.8;992;j
QE-MER;aptincj992;p69p70;2004;33454.8;992;j
QE-MER;aptincj992;p69p70;2005;33484;992;j
QE-MER;aptincj992;p69p70;2006;34336.5;992;j
QE-MER;aptincj992;p69p70;2007;34564.8;992;j
QE-MER;aptincj992;p69p70;2008;34807.1;992;j
QE-MER;aptincj992;p69p70;2009;33344.8;992;j
QE-MER;aptincj992;p69p70;2010;33806.2;992;j
QE-MER;aptincj992;p69p70;2011;33885.3;992;j
QE-MER;aptincj992;p69p70;2012;33207.1;992;j
QE-MER;aptincj992;p69p70;2013;32994.5;992;j
QE-MER;aptincj992;p69p70;2014;33602.9;992;j
QE-MER;aptincj992;p69p70;2015;33982.8;992;j
QE-MER;aptincj992;p69p70;2016;34400.2;992;j
QE-MER;aptincj992;p69p70;2017;35131.4;992;j
