country;variable;percentile;year;value;age;pop
QE;ehfcari999;p0p100;1990;2092.98355277055;999;i
QE;ehfcari999;p0p100;1991;2072.26005006722;999;i
QE;ehfcari999;p0p100;1992;2293.13588060877;999;i
QE;ehfcari999;p0p100;1993;2140.8523195498;999;i
QE;ehfcari999;p0p100;1994;2084.20845008893;999;i
QE;ehfcari999;p0p100;1995;2112.64702959378;999;i
QE;ehfcari999;p0p100;1996;2112.58276730311;999;i
QE;ehfcari999;p0p100;1997;2101.68238167956;999;i
QE;ehfcari999;p0p100;1998;2155.87769402008;999;i
QE;ehfcari999;p0p100;1999;2141.66418839544;999;i
QE;ehfcari999;p0p100;2000;2186.96108293715;999;i
QE;ehfcari999;p0p100;2001;2160.92666212255;999;i
QE;ehfcari999;p0p100;2002;2181.49231000555;999;i
QE;ehfcari999;p0p100;2003;2211.68495298043;999;i
QE;ehfcari999;p0p100;2004;2301.31178049912;999;i
QE;ehfcari999;p0p100;2005;2332.24640249152;999;i
QE;ehfcari999;p0p100;2006;2442.36378575912;999;i
QE;ehfcari999;p0p100;2007;2419.70403300546;999;i
QE;ehfcari999;p0p100;2008;2357.77936991456;999;i
QE;ehfcari999;p0p100;2009;2095.60592248668;999;i
QE;ehfcari999;p0p100;2010;2188.08310076097;999;i
QE;ehfcari999;p0p100;2011;2181.66896983462;999;i
QE;ehfcari999;p0p100;2012;2019.23906623156;999;i
QE;ehfcari999;p0p100;2013;1959.69128061672;999;i
QE;ehfcari999;p0p100;2014;1883.67558669797;999;i
QE;ehfcari999;p0p100;2015;1854.65507156851;999;i
QE;ehfcari999;p0p100;2016;1816.94880455674;999;i
QE;ehfcari999;p0p100;2017;1842.59897873218;999;i
QE;ehfcari999;p0p100;2018;1862.95034705977;999;i
QE;ehfcari999;p0p100;2019;1793.33693971949;999;i
QE;ehfcari999;p0p100;2020;1611.10550247616;999;i
QE;ehfghdi999;p0p100;1990;823.930680079042;999;i
QE;ehfghdi999;p0p100;1991;821.48476742631;999;i
QE;ehfghdi999;p0p100;1992;797.282443861942;999;i
QE;ehfghdi999;p0p100;1993;781.34415588719;999;i
QE;ehfghdi999;p0p100;1994;776.960401281437;999;i
QE;ehfghdi999;p0p100;1995;784.645790565792;999;i
QE;ehfghdi999;p0p100;1996;804.703241478626;999;i
QE;ehfghdi999;p0p100;1997;787.646950970808;999;i
QE;ehfghdi999;p0p100;1998;792.349308620639;999;i
QE;ehfghdi999;p0p100;1999;782.391051597932;999;i
QE;ehfghdi999;p0p100;2000;785.294529851807;999;i
QE;ehfghdi999;p0p100;2001;797.570352613479;999;i
QE;ehfghdi999;p0p100;2002;793.026585960158;999;i
QE;ehfghdi999;p0p100;2003;809.717578655753;999;i
QE;ehfghdi999;p0p100;2004;811.8602212404;999;i
QE;ehfghdi999;p0p100;2005;783.18945099;999;i
QE;ehfghdi999;p0p100;2006;756.079509188654;999;i
QE;ehfghdi999;p0p100;2007;730.4568574854;999;i
QE;ehfghdi999;p0p100;2008;721.852692657865;999;i
QE;ehfghdi999;p0p100;2009;713.968532948842;999;i
QE;ehfghdi999;p0p100;2010;706.857309943284;999;i
QE;ehfghdi999;p0p100;2011;700.5810634873;999;i
QE;ehfghdi999;p0p100;2012;677.690465010597;999;i
QE;ehfghdi999;p0p100;2013;657.434900675153;999;i
QE;ehfghdi999;p0p100;2014;639.2672646237;999;i
QE;ehfghdi999;p0p100;2015;644.481393740379;999;i
QE;ehfghdi999;p0p100;2016;639.540500414819;999;i
QE;ehfghdi999;p0p100;2017;640.078711384139;999;i
QE;ehfghdi999;p0p100;2018;625.373118765703;999;i
QE;ehfghdi999;p0p100;2019;601.809776056498;999;i
QE;ehfghdi999;p0p100;2020;540.189016873764;999;i
QE;knfcari999;p0p100;1990;10.2444858551025;999;i
QE;knfcari999;p0p100;1991;9.96976947784424;999;i
QE;knfcari999;p0p100;1992;10.5226173400879;999;i
QE;knfcari999;p0p100;1993;9.87128257751465;999;i
QE;knfcari999;p0p100;1994;9.64365577697754;999;i
QE;knfcari999;p0p100;1995;9.76282024383545;999;i
QE;knfcari999;p0p100;1996;9.78763771057129;999;i
QE;knfcari999;p0p100;1997;9.59055614471436;999;i
QE;knfcari999;p0p100;1998;9.79156112670898;999;i
QE;knfcari999;p0p100;1999;9.6519775390625;999;i
QE;knfcari999;p0p100;2000;9.79523277282715;999;i
QE;knfcari999;p0p100;2001;9.75196266174316;999;i
QE;knfcari999;p0p100;2002;9.80045127868652;999;i
QE;knfcari999;p0p100;2003;9.96103096008301;999;i
QE;knfcari999;p0p100;2004;10.211688041687;999;i
QE;knfcari999;p0p100;2005;10.1724061965942;999;i
QE;knfcari999;p0p100;2006;10.4747180938721;999;i
QE;knfcari999;p0p100;2007;10.319616317749;999;i
QE;knfcari999;p0p100;2008;10.0692930221558;999;i
QE;knfcari999;p0p100;2009;9.13880634307861;999;i
QE;knfcari999;p0p100;2010;9.4034423828125;999;i
QE;knfcari999;p0p100;2011;9.31422519683838;999;i
QE;knfcari999;p0p100;2012;8.77276420593262;999;i
QE;knfcari999;p0p100;2013;8.48230266571045;999;i
QE;knfcari999;p0p100;2014;8.18693351745605;999;i
QE;knfcari999;p0p100;2015;8.09513759613037;999;i
QE;knfcari999;p0p100;2016;7.95425796508789;999;i
QE;knfcari999;p0p100;2017;8.02421855926514;999;i
QE;knfcari999;p0p100;2018;8.02831077575684;999;i
QE;knfcari999;p0p100;2019;7.72809791564941;999;i
QE;knfcari999;p0p100;2020;6.93425035476685;999;i
QE;ehfghgi999;p0p100;1980;4043.87216146331;999;i
QE;ehfghgi999;p0p100;1981;3811.13744334399;999;i
QE;ehfghgi999;p0p100;1982;3698.91794091246;999;i
QE;ehfghgi999;p0p100;1983;3649.66042581513;999;i
QE;ehfghgi999;p0p100;1984;3646.61357204374;999;i
QE;ehfghgi999;p0p100;1985;3707.18411929787;999;i
QE;ehfghgi999;p0p100;1986;3757.75097315795;999;i
QE;ehfghgi999;p0p100;1987;3845.78669309822;999;i
QE;ehfghgi999;p0p100;1988;3847.04395308626;999;i
QE;ehfghgi999;p0p100;1989;3843.39118289281;999;i
QE;ehfghgi999;p0p100;1990;3787.52599410054;999;i
QE;ehfghgi999;p0p100;1991;3737.44416039073;999;i
QE;ehfghgi999;p0p100;1992;3923.77997127775;999;i
QE;ehfghgi999;p0p100;1993;3727.14762230195;999;i
QE;ehfghgi999;p0p100;1994;3689.30925491941;999;i
QE;ehfghgi999;p0p100;1995;3744.80159701494;999;i
QE;ehfghgi999;p0p100;1996;3786.97126615225;999;i
QE;ehfghgi999;p0p100;1997;3746.77143326254;999;i
QE;ehfghgi999;p0p100;1998;3841.40937507299;999;i
QE;ehfghgi999;p0p100;1999;3783.93168045098;999;i
QE;ehfghgi999;p0p100;2000;3832.92965644056;999;i
QE;ehfghgi999;p0p100;2001;3801.41424523085;999;i
QE;ehfghgi999;p0p100;2002;3807.40195427097;999;i
QE;ehfghgi999;p0p100;2003;3878.63631486076;999;i
QE;ehfghgi999;p0p100;2004;3991.01765639202;999;i
QE;ehfghgi999;p0p100;2005;3984.12722100543;999;i
QE;ehfghgi999;p0p100;2006;4065.0147960491;999;i
QE;ehfghgi999;p0p100;2007;4015.04212098209;999;i
QE;ehfghgi999;p0p100;2008;3933.86186848972;999;i
QE;ehfghgi999;p0p100;2009;3607.78456781902;999;i
