country;variable;percentile;year;value;age;pop
QF;ehfcari999;p0p100;1990;111.612307379067;999;i
QF;ehfcari999;p0p100;1991;112.818977602265;999;i
QF;ehfcari999;p0p100;1992;115.137727852885;999;i
QF;ehfcari999;p0p100;1993;116.435915844374;999;i
QF;ehfcari999;p0p100;1994;118.518037959824;999;i
QF;ehfcari999;p0p100;1995;112.91165312784;999;i
QF;ehfcari999;p0p100;1996;117.49660497797;999;i
QF;ehfcari999;p0p100;1997;124.808382232356;999;i
QF;ehfcari999;p0p100;1998;135.338522698406;999;i
QF;ehfcari999;p0p100;1999;136.145859900645;999;i
QF;ehfcari999;p0p100;2000;135.456283242461;999;i
QF;ehfcari999;p0p100;2001;130.902564705707;999;i
QF;ehfcari999;p0p100;2002;142.575524817677;999;i
QF;ehfcari999;p0p100;2003;146.127316466394;999;i
QF;ehfcari999;p0p100;2004;145.973405348185;999;i
QF;ehfcari999;p0p100;2005;149.488378894451;999;i
QF;ehfcari999;p0p100;2006;157.19688969033;999;i
QF;ehfcari999;p0p100;2007;142.786280836995;999;i
QF;ehfcari999;p0p100;2008;130.966050976863;999;i
QF;ehfcari999;p0p100;2009;141.808623729003;999;i
QF;ehfcari999;p0p100;2010;142.704638240938;999;i
QF;ehfcari999;p0p100;2011;148.921268364352;999;i
QF;ehfcari999;p0p100;2012;158.696742801593;999;i
QF;ehfcari999;p0p100;2013;149.946712857645;999;i
QF;ehfcari999;p0p100;2014;150.511082319552;999;i
QF;ehfcari999;p0p100;2015;150.920643225374;999;i
QF;ehfcari999;p0p100;2016;145.102001127218;999;i
QF;ehfcari999;p0p100;2017;146.586428362485;999;i
QF;ehfcari999;p0p100;2018;142.305181731647;999;i
QF;ehfcari999;p0p100;2019;141.428100053146;999;i
QF;ehfcari999;p0p100;2020;127.285290047831;999;i
QF;ehfghdi999;p0p100;1990;30.0045402587144;999;i
QF;ehfghdi999;p0p100;1991;30.2397381142834;999;i
QF;ehfghdi999;p0p100;1992;31.0112036094072;999;i
QF;ehfghdi999;p0p100;1993;31.3578623798871;999;i
QF;ehfghdi999;p0p100;1994;31.8348541714622;999;i
QF;ehfghdi999;p0p100;1995;32.9259224301941;999;i
QF;ehfghdi999;p0p100;1996;33.7729826709948;999;i
QF;ehfghdi999;p0p100;1997;34.8639415993504;999;i
QF;ehfghdi999;p0p100;1998;35.9624184541656;999;i
QF;ehfghdi999;p0p100;1999;37.082178959779;999;i
QF;ehfghdi999;p0p100;2000;37.7799390453902;999;i
QF;ehfghdi999;p0p100;2001;38.8076309860599;999;i
QF;ehfghdi999;p0p100;2002;39.2620482649058;999;i
QF;ehfghdi999;p0p100;2003;40.2249118832545;999;i
QF;ehfghdi999;p0p100;2004;41.432824288;999;i
