country;variable;percentile;year;value;age;pop
QI-MER;mgdproi999;p0p100;1950;86027932032;999;i
QI-MER;mgdproi999;p0p100;1951;91723354240;999;i
QI-MER;mgdproi999;p0p100;1952;95876540288;999;i
QI-MER;mgdproi999;p0p100;1953;97352661504;999;i
QI-MER;mgdproi999;p0p100;1954;105364318976;999;i
QI-MER;mgdproi999;p0p100;1955;113584395264;999;i
QI-MER;mgdproi999;p0p100;1956;121076701696;999;i
QI-MER;mgdproi999;p0p100;1957;130033202176;999;i
QI-MER;mgdproi999;p0p100;1958;136611653632;999;i
QI-MER;mgdproi999;p0p100;1959;141008408576;999;i
QI-MER;mgdproi999;p0p100;1960;151560255136;999;i
QI-MER;mgdproi999;p0p100;1961;159024086992;999;i
QI-MER;mgdproi999;p0p100;1962;167238512736;999;i
QI-MER;mgdproi999;p0p100;1963;180555460176;999;i
QI-MER;mgdproi999;p0p100;1964;200177511952;999;i
QI-MER;mgdproi999;p0p100;1965;214256049120;999;i
QI-MER;mgdproi999;p0p100;1966;227302969984;999;i
QI-MER;mgdproi999;p0p100;1967;240549648624;999;i
QI-MER;mgdproi999;p0p100;1968;261738129904;999;i
QI-MER;mgdproi999;p0p100;1969;271339091648;999;i
QI-MER;mgdproi999;p0p100;1970;288145642288;999;i
QI-MER;mgdproi999;p0p100;1971;299872581936;999;i
QI-MER;mgdproi999;p0p100;1972;323403436384;999;i
QI-MER;mgdproi999;p0p100;1973;347957730912;999;i
QI-MER;mgdproi999;p0p100;1974;368019796320;999;i
QI-MER;mgdproi999;p0p100;1975;386708798688;999;i
QI-MER;mgdproi999;p0p100;1976;404698201184;999;i
QI-MER;mgdproi999;p0p100;1977;421050506368;999;i
QI-MER;mgdproi999;p0p100;1978;455409021440;999;i
QI-MER;mgdproi999;p0p100;1979;491781128640;999;i
QI-MER;mgdproi999;p0p100;1980;530148119936;999;i
QI-MER;mgdproi999;p0p100;1981;569113735104;999;i
QI-MER;mgdproi999;p0p100;1982;564379375264;999;i
QI-MER;mgdproi999;p0p100;1983;546985107456;999;i
