country;variable;percentile;year;value;age;pop
QJ-MER;adiincj992;p0p1;2018;69.6;992;j
QJ-MER;adiincj992;p0p1;2019;86.1;992;j
QJ-MER;adiincj992;p0p1;2020;63.1;992;j
QJ-MER;adiincj992;p0p1;2021;64.4;992;j
QJ-MER;adiincj992;p0p100;2018;4609.1;992;j
QJ-MER;adiincj992;p0p100;2019;4757.9;992;j
QJ-MER;adiincj992;p0p100;2020;4565.1;992;j
QJ-MER;adiincj992;p0p100;2021;4677.7;992;j
QJ-MER;adiincj992;p0p50;2018;846.8;992;j
QJ-MER;adiincj992;p0p50;2019;873.4;992;j
QJ-MER;adiincj992;p0p50;2020;852;992;j
QJ-MER;adiincj992;p0p50;2021;879.3;992;j
QJ-MER;adiincj992;p10p100;2018;5096.5;992;j
QJ-MER;adiincj992;p10p100;2019;5260.6;992;j
QJ-MER;adiincj992;p10p100;2020;5047.1;992;j
QJ-MER;adiincj992;p10p100;2021;5171.3;992;j
QJ-MER;adiincj992;p10p11;2018;444.6;992;j
QJ-MER;adiincj992;p10p11;2019;463.4;992;j
QJ-MER;adiincj992;p10p11;2020;462.8;992;j
QJ-MER;adiincj992;p10p11;2021;477.2;992;j
QJ-MER;adiincj992;p11p100;2018;5148.8;992;j
QJ-MER;adiincj992;p11p100;2019;5314.5;992;j
QJ-MER;adiincj992;p11p100;2020;5098.7;992;j
QJ-MER;adiincj992;p11p100;2021;5224.1;992;j
QJ-MER;adiincj992;p11p12;2018;484.7;992;j
QJ-MER;adiincj992;p11p12;2019;503.8;992;j
QJ-MER;adiincj992;p11p12;2020;501;992;j
QJ-MER;adiincj992;p11p12;2021;516.7;992;j
QJ-MER;adiincj992;p12p100;2018;5201.8;992;j
QJ-MER;adiincj992;p12p100;2019;5369.2;992;j
QJ-MER;adiincj992;p12p100;2020;5150.9;992;j
QJ-MER;adiincj992;p12p100;2021;5277.6;992;j
QJ-MER;adiincj992;p12p13;2018;525.7;992;j
QJ-MER;adiincj992;p12p13;2019;542.6;992;j
QJ-MER;adiincj992;p12p13;2020;539.1;992;j
QJ-MER;adiincj992;p12p13;2021;556;992;j
QJ-MER;adiincj992;p13p100;2018;5255.6;992;j
QJ-MER;adiincj992;p13p100;2019;5424.7;992;j
QJ-MER;adiincj992;p13p100;2020;5203.9;992;j
QJ-MER;adiincj992;p13p100;2021;5331.8;992;j
QJ-MER;adiincj992;p13p14;2018;568.1;992;j
QJ-MER;adiincj992;p13p14;2019;584.5;992;j
QJ-MER;adiincj992;p13p14;2020;577.2;992;j
QJ-MER;adiincj992;p13p14;2021;596;992;j
QJ-MER;adiincj992;p14p100;2018;5310.1;992;j
QJ-MER;adiincj992;p14p100;2019;5480.9;992;j
QJ-MER;adiincj992;p14p100;2020;5257.7;992;j
QJ-MER;adiincj992;p14p100;2021;5386.9;992;j
QJ-MER;adiincj992;p14p15;2018;614.7;992;j
QJ-MER;adiincj992;p14p15;2019;626.6;992;j
QJ-MER;adiincj992;p14p15;2020;609.4;992;j
QJ-MER;adiincj992;p14p15;2021;635.8;992;j
QJ-MER;adiincj992;p15p100;2018;5365.3;992;j
QJ-MER;adiincj992;p15p100;2019;5538.1;992;j
QJ-MER;adiincj992;p15p100;2020;5312.4;992;j
