country;variable;percentile;year;value;age;pop
QK-MER;adiincj992;p0p1;2018;32;992;j
QK-MER;adiincj992;p0p1;2019;36.5;992;j
QK-MER;adiincj992;p0p1;2020;34.2;992;j
QK-MER;adiincj992;p0p1;2021;33.7;992;j
QK-MER;adiincj992;p0p100;2018;8156.9;992;j
QK-MER;adiincj992;p0p100;2019;7672.7;992;j
QK-MER;adiincj992;p0p100;2020;7167.3;992;j
QK-MER;adiincj992;p0p100;2021;7207;992;j
QK-MER;adiincj992;p0p50;2018;430.3;992;j
QK-MER;adiincj992;p0p50;2019;439.2;992;j
QK-MER;adiincj992;p0p50;2020;427.1;992;j
QK-MER;adiincj992;p0p50;2021;427;992;j
QK-MER;adiincj992;p10p100;2018;9054.1;992;j
QK-MER;adiincj992;p10p100;2019;8515.4;992;j
QK-MER;adiincj992;p10p100;2020;7954.1;992;j
QK-MER;adiincj992;p10p100;2021;7998.2;992;j
QK-MER;adiincj992;p10p11;2018;176.1;992;j
QK-MER;adiincj992;p10p11;2019;176.7;992;j
QK-MER;adiincj992;p10p11;2020;170.9;992;j
QK-MER;adiincj992;p10p11;2021;170.8;992;j
QK-MER;adiincj992;p11p100;2018;9153.8;992;j
QK-MER;adiincj992;p11p100;2019;8609.1;992;j
QK-MER;adiincj992;p11p100;2020;8041.6;992;j
QK-MER;adiincj992;p11p100;2021;8086.2;992;j
QK-MER;adiincj992;p11p12;2018;192.1;992;j
QK-MER;adiincj992;p11p12;2019;196.3;992;j
QK-MER;adiincj992;p11p12;2020;188;992;j
QK-MER;adiincj992;p11p12;2021;188.3;992;j
QK-MER;adiincj992;p12p100;2018;9255.7;992;j
QK-MER;adiincj992;p12p100;2019;8704.7;992;j
QK-MER;adiincj992;p12p100;2020;8130.8;992;j
QK-MER;adiincj992;p12p100;2021;8175.9;992;j
QK-MER;adiincj992;p12p13;2018;212.3;992;j
QK-MER;adiincj992;p12p13;2019;215.6;992;j
QK-MER;adiincj992;p12p13;2020;205.4;992;j
QK-MER;adiincj992;p12p13;2021;205;992;j
QK-MER;adiincj992;p13p100;2018;9359.6;992;j
QK-MER;adiincj992;p13p100;2019;8802.3;992;j
QK-MER;adiincj992;p13p100;2020;8221.9;992;j
QK-MER;adiincj992;p13p100;2021;8267.5;992;j
QK-MER;adiincj992;p13p14;2018;227.9;992;j
QK-MER;adiincj992;p13p14;2019;232.9;992;j
QK-MER;adiincj992;p13p14;2020;224.5;992;j
QK-MER;adiincj992;p13p14;2021;222.9;992;j
QK-MER;adiincj992;p14p100;2018;9465.8;992;j
QK-MER;adiincj992;p14p100;2019;8902;992;j
QK-MER;adiincj992;p14p100;2020;8314.9;992;j
QK-MER;adiincj992;p14p100;2021;8361.1;992;j
QK-MER;adiincj992;p14p15;2018;247.7;992;j
QK-MER;adiincj992;p14p15;2019;252.6;992;j
QK-MER;adiincj992;p14p15;2020;240.7;992;j
QK-MER;adiincj992;p14p15;2021;239;992;j
QK-MER;adiincj992;p15p100;2018;9574.3;992;j
QK-MER;adiincj992;p15p100;2019;9003.7;992;j
QK-MER;adiincj992;p15p100;2020;8409.9;992;j
QK-MER;adiincj992;p15p100;2021;8456.6;992;j
QK-MER;adiincj992;p15p16;2018;264.8;992;j
QK-MER;adiincj992;p15p16;2019;268.7;992;j
QK-MER;adiincj992;p15p16;2020;257.2;992;j
QK-MER;adiincj992;p15p16;2021;255.6;992;j
QK-MER;adiincj992;p16p100;2018;9685.1;992;j
QK-MER;adiincj992;p16p100;2019;9107.7;992;j
QK-MER;adiincj992;p16p100;2020;8507;992;j
QK-MER;adiincj992;p16p100;2021;8554.3;992;j
QK-MER;adiincj992;p16p17;2018;280.6;992;j
QK-MER;adiincj992;p16p17;2019;286.5;992;j
QK-MER;adiincj992;p16p17;2020;272.8;992;j
QK-MER;adiincj992;p16p17;2021;271.6;992;j
QK-MER;adiincj992;p17p100;2018;9798.4;992;j
QK-MER;adiincj992;p17p100;2019;9214;992;j
QK-MER;adiincj992;p17p100;2020;8606.2;992;j
QK-MER;adiincj992;p17p100;2021;8654.1;992;j
QK-MER;adiincj992;p17p18;2018;301.4;992;j
QK-MER;adiincj992;p17p18;2019;305.3;992;j
QK-MER;adiincj992;p17p18;2020;291.9;992;j
QK-MER;adiincj992;p17p18;2021;289.2;992;j
QK-MER;adiincj992;p18p100;2018;9914.2;992;j
QK-MER;adiincj992;p18p100;2019;9322.6;992;j
QK-MER;adiincj992;p18p100;2020;8707.6;992;j
QK-MER;adiincj992;p18p100;2021;8756.1;992;j
QK-MER;adiincj992;p18p19;2018;316.6;992;j
QK-MER;adiincj992;p18p19;2019;322.3;992;j
QK-MER;adiincj992;p18p19;2020;308;992;j
QK-MER;adiincj992;p18p19;2021;311.4;992;j
