country;variable;percentile;year;value;age;pop
QK;ehfcari999;p0p100;1990;24.5934798612438;999;i
QK;ehfcari999;p0p100;1991;24.1559923620539;999;i
QK;ehfcari999;p0p100;1992;23.9507780299426;999;i
QK;ehfcari999;p0p100;1993;24.6153907014361;999;i
QK;ehfcari999;p0p100;1994;26.4390697847938;999;i
QK;ehfcari999;p0p100;1995;26.5004381679974;999;i
QK;ehfcari999;p0p100;1996;25.7565098423587;999;i
QK;ehfcari999;p0p100;1997;26.3898922481947;999;i
QK;ehfcari999;p0p100;1998;28.9846594726267;999;i
QK;ehfcari999;p0p100;1999;28.5591063955153;999;i
QK;ehfcari999;p0p100;2000;26.0678096911357;999;i
QK;ehfcari999;p0p100;2001;26.7286773778634;999;i
QK;ehfcari999;p0p100;2002;26.1082822709182;999;i
QK;ehfcari999;p0p100;2003;27.4725181396482;999;i
QK;ehfcari999;p0p100;2004;26.7242774750707;999;i
QK;ehfcari999;p0p100;2005;34.3221874073378;999;i
QK;ehfcari999;p0p100;2006;34.9602428610041;999;i
QK;ehfcari999;p0p100;2007;36.011942546023;999;i
QK;ehfcari999;p0p100;2008;39.8661356051856;999;i
QK;ehfcari999;p0p100;2009;41.4766228535143;999;i
QK;ehfcari999;p0p100;2010;41.0038259881517;999;i
QK;ehfcari999;p0p100;2011;45.0848876959319;999;i
QK;ehfcari999;p0p100;2012;49.4941024567717;999;i
QK;ehfcari999;p0p100;2013;59.2056120256282;999;i
QK;ehfcari999;p0p100;2014;63.1712130795048;999;i
QK;ehfcari999;p0p100;2015;61.7957307974009;999;i
QK;ehfcari999;p0p100;2016;62.6752304036714;999;i
QK;ehfcari999;p0p100;2017;64.285557880948;999;i
QK;ehfcari999;p0p100;2018;66.9180863984879;999;i
QK;ehfcari999;p0p100;2019;67.0877634717573;999;i
QK;ehfcari999;p0p100;2020;65.4105693849634;999;i
QK;ehfghdi999;p0p100;1990;4.38387533926403;999;i
QK;ehfghdi999;p0p100;1991;4.25095014991323;999;i
QK;ehfghdi999;p0p100;1992;4.47749475567086;999;i
