country;variable;percentile;year;value;age;pop
QM;ehfcari999;p0p100;1990;417.833062477186;999;i
QM;ehfcari999;p0p100;1991;391.616120552262;999;i
QM;ehfcari999;p0p100;1992;410.5465039032;999;i
QM;ehfcari999;p0p100;1993;390.093874031102;999;i
QM;ehfcari999;p0p100;1994;366.927430432325;999;i
QM;ehfcari999;p0p100;1995;368.716985228749;999;i
QM;ehfcari999;p0p100;1996;369.734611948543;999;i
QM;ehfcari999;p0p100;1997;357.773524838724;999;i
QM;ehfcari999;p0p100;1998;353.0179846018;999;i
QM;ehfcari999;p0p100;1999;350.577549623815;999;i
QM;ehfcari999;p0p100;2000;349.783336791859;999;i
QM;ehfcari999;p0p100;2001;352.34111386142;999;i
QM;ehfcari999;p0p100;2002;353.833481474279;999;i
QM;ehfcari999;p0p100;2003;359.358665159776;999;i
QM;ehfcari999;p0p100;2004;359.187592801948;999;i
QM;ehfcari999;p0p100;2005;366.531606244184;999;i
QM;ehfcari999;p0p100;2006;392.498429609361;999;i
QM;ehfcari999;p0p100;2007;393.46644887618;999;i
QM;ehfcari999;p0p100;2008;396.24490808974;999;i
QM;ehfcari999;p0p100;2009;347.893511209154;999;i
QM;ehfcari999;p0p100;2010;358.510077697017;999;i
QM;ehfcari999;p0p100;2011;367.078628018297;999;i
QM;ehfcari999;p0p100;2012;346.019915428433;999;i
QM;ehfcari999;p0p100;2013;329.068515934996;999;i
QM;ehfcari999;p0p100;2014;321.614280502993;999;i
QM;ehfcari999;p0p100;2015;321.750214232424;999;i
QM;ehfcari999;p0p100;2016;317.338133444603;999;i
QM;ehfcari999;p0p100;2017;324.118007493798;999;i
QM;ehfcari999;p0p100;2018;327.411743072438;999;i
QM;ehfcari999;p0p100;2019;317.680120749486;999;i
QM;ehfcari999;p0p100;2020;285.912108674537;999;i
QM;ehfghdi999;p0p100;1990;133.831884272377;999;i
QM;ehfghdi999;p0p100;1991;123.889471115098;999;i
QM;ehfghdi999;p0p100;1992;115.129178561185;999;i
QM;ehfghdi999;p0p100;1993;112.44530650443;999;i
QM;ehfghdi999;p0p100;1994;109.708305639113;999;i
QM;ehfghdi999;p0p100;1995;110.55541314198;999;i
QM;ehfghdi999;p0p100;1996;113.878425976079;999;i
QM;ehfghdi999;p0p100;1997;110.672011278681;999;i
QM;ehfghdi999;p0p100;1998;104.692637343327;999;i
QM;ehfghdi999;p0p100;1999;100.099942498034;999;i
QM;ehfghdi999;p0p100;2000;98.7648130051839;999;i
QM;ehfghdi999;p0p100;2001;100.29304062174;999;i
QM;ehfghdi999;p0p100;2002;98.9732422722315;999;i
QM;ehfghdi999;p0p100;2003;102.818328316691;999;i
QM;ehfghdi999;p0p100;2004;103.20463569;999;i
QM;ehfghdi999;p0p100;2005;103.004941010679;999;i
QM;ehfghdi999;p0p100;2006;102.960863720649;999;i
QM;ehfghdi999;p0p100;2007;103.0725596828;999;i
QM;ehfghdi999;p0p100;2008;102.939483240319;999;i
QM;ehfghdi999;p0p100;2009;102.818347269703;999;i
QM;ehfghdi999;p0p100;2010;102.709114597944;999;i
QM;ehfghdi999;p0p100;2011;102.6117636715;999;i
QM;ehfghdi999;p0p100;2012;100.594556280787;999;i
QM;ehfghdi999;p0p100;2013;98.6838965213616;999;i
QM;ehfghdi999;p0p100;2014;96.87330172;999;i
QM;ehfghdi999;p0p100;2015;98.1250178825636;999;i
QM;ehfghdi999;p0p100;2016;100.074996884463;999;i
QM;ehfghdi999;p0p100;2017;103.424975225768;999;i
QM;ehfghdi999;p0p100;2018;102.752114171478;999;i
QM;ehfghdi999;p0p100;2019;99.368779469311;999;i
QM;ehfghdi999;p0p100;2020;89.4319015223799;999;i
QM;ehfghgi999;p0p100;1980;986.299610615506;999;i
QM;ehfghgi999;p0p100;1981;967.448841274374;999;i
QM;ehfghgi999;p0p100;1982;963.952459581665;999;i
QM;ehfghgi999;p0p100;1983;973.949358749037;999;i
QM;ehfghgi999;p0p100;1984;979.99628367423;999;i
QM;ehfghgi999;p0p100;1985;982.623994753787;999;i
QM;ehfghgi999;p0p100;1986;984.38801207684;999;i
QM;ehfghgi999;p0p100;1987;975.304341316212;999;i
QM;ehfghgi999;p0p100;1988;952.018203827153;999;i
QM;ehfghgi999;p0p100;1989;900.048894185579;999;i
QM;ehfghgi999;p0p100;1990;789.072175184532;999;i
QM;ehfghgi999;p0p100;1991;716.030309960034;999;i
QM;ehfghgi999;p0p100;1992;702.166411356813;999;i
QM;ehfghgi999;p0p100;1993;675.750776335134;999;i
QM;ehfghgi999;p0p100;1994;649.213564603451;999;i
QM;ehfghgi999;p0p100;1995;656.085991948048;999;i
QM;ehfghgi999;p0p100;1996;669.284770887617;999;i
QM;ehfghgi999;p0p100;1997;662.517201437756;999;i
QM;ehfghgi999;p0p100;1998;660.967791532937;999;i
QM;ehfghgi999;p0p100;1999;636.882905371672;999;i
QM;ehfghgi999;p0p100;2000;635.583537426487;999;i
QM;ehfghgi999;p0p100;2001;642.757695355188;999;i
QM;ehfghgi999;p0p100;2002;647.49419911127;999;i
QM;ehfghgi999;p0p100;2003;661.6969792995;999;i
QM;ehfghgi999;p0p100;2004;670.395552136237;999;i
QM;ehfghgi999;p0p100;2005;675.836388464383;999;i
QM;ehfghgi999;p0p100;2006;706.587276856001;999;i
QM;ehfghgi999;p0p100;2007;710.002375424113;999;i
QM;ehfghgi999;p0p100;2008;714.863042958419;999;i
QM;ehfghgi999;p0p100;2009;653.78042424761;999;i
QM;ehfghgi999;p0p100;2010;666.323096551508;999;i
QM;ehfghgi999;p0p100;2011;684.03568253478;999;i
QM;ehfghgi999;p0p100;2012;654.632026470753;999;i
QM;ehfghgi999;p0p100;2013;636.440353822822;999;i
QM;ehfghgi999;p0p100;2014;620.77552214337;999;i
QM;ehfghgi999;p0p100;2015;630.736834637979;999;i
QM;ehfghgi999;p0p100;2016;630.242764587141;999;i
QM;ehfghgi999;p0p100;2017;645.787345360923;999;i
QM;ehfghgi999;p0p100;2018;650.567158084649;999;i
QM;ehfghgi999;p0p100;2019;636.859159520069;999;i
QM;ehfghgi999;p0p100;2020;573.173243568062;999;i
QM;ehfghni999;p0p100;1990;567.605951715499;999;i
QM;ehfghni999;p0p100;1991;520.043675387366;999;i
QM;ehfghni999;p0p100;1992;524.903680450209;999;i
QM;ehfghni999;p0p100;1993;506.205660433662;999;i
QM;ehfghni999;p0p100;1994;481.851379461807;999;i
QM;ehfghni999;p0p100;1995;486.303932535766;999;i
QM;ehfghni999;p0p100;1996;489.017910783044;999;i
QM;ehfghni999;p0p100;1997;479.051575472164;999;i
QM;ehfghni999;p0p100;1998;475.506264875045;999;i
QM;ehfghni999;p0p100;1999;469.712057586602;999;i
QM;ehfghni999;p0p100;2000;465.476288595654;999;i
QM;ehfghni999;p0p100;2001;469.160811999388;999;i
QM;ehfghni999;p0p100;2002;471.05961112664;999;i
QM;ehfghni999;p0p100;2003;479.839954138745;999;i
QM;ehfghni999;p0p100;2004;482.530614451736;999;i
QM;ehfghni999;p0p100;2005;490.319001304706;999;i
QM;ehfghni999;p0p100;2006;517.019856394633;999;i
QM;ehfghni999;p0p100;2007;520.040718956001;999;i
QM;ehfghni999;p0p100;2008;523.165027187889;999;i
QM;ehfghni999;p0p100;2009;465.94387071582;999;i
QM;ehfghni999;p0p100;2010;475.059534069895;999;i
QM;ehfghni999;p0p100;2011;484.474002541423;999;i
QM;ehfghni999;p0p100;2012;461.431413647882;999;i
QM;ehfghni999;p0p100;2013;444.258307218802;999;i
QM;ehfghni999;p0p100;2014;436.733294008454;999;i
QM;ehfghni999;p0p100;2015;437.841138195896;999;i
QM;ehfghni999;p0p100;2016;432.360165743117;999;i
QM;ehfghni999;p0p100;2017;441.981974141888;999;i
QM;ehfghni999;p0p100;2018;446.708529960628;999;i
QM;ehfghni999;p0p100;2019;433.646921323127;999;i
QM;ehfghni999;p0p100;2020;390.282229190814;999;i
