country;variable;percentile;year;value;age;pop
QO-MER;adiincj992;p0p1;2018;39.6;992;j
QO-MER;adiincj992;p0p1;2019;43.5;992;j
QO-MER;adiincj992;p0p1;2020;36.3;992;j
QO-MER;adiincj992;p0p1;2021;35.3;992;j
QO-MER;adiincj992;p0p100;2018;4110.5;992;j
QO-MER;adiincj992;p0p100;2019;4150.9;992;j
QO-MER;adiincj992;p0p100;2020;3972.3;992;j
QO-MER;adiincj992;p0p100;2021;4111;992;j
QO-MER;adiincj992;p0p50;2018;1335.7;992;j
QO-MER;adiincj992;p0p50;2019;1348.8;992;j
QO-MER;adiincj992;p0p50;2020;1279.9;992;j
QO-MER;adiincj992;p0p50;2021;1329.2;992;j
QO-MER;adiincj992;p10p100;2018;4532.6;992;j
QO-MER;adiincj992;p10p100;2019;4576.3;992;j
QO-MER;adiincj992;p10p100;2020;4379.9;992;j
QO-MER;adiincj992;p10p100;2021;4533.5;992;j
QO-MER;adiincj992;p10p11;2018;522.1;992;j
QO-MER;adiincj992;p10p11;2019;511.9;992;j
QO-MER;adiincj992;p10p11;2020;475.8;992;j
QO-MER;adiincj992;p10p11;2021;476.9;992;j
QO-MER;adiincj992;p11p100;2018;4577.7;992;j
QO-MER;adiincj992;p11p100;2019;4621.9;992;j
QO-MER;adiincj992;p11p100;2020;4423.7;992;j
QO-MER;adiincj992;p11p100;2021;4579;992;j
QO-MER;adiincj992;p11p12;2018;576;992;j
QO-MER;adiincj992;p11p12;2019;560.3;992;j
QO-MER;adiincj992;p11p12;2020;525.2;992;j
QO-MER;adiincj992;p11p12;2021;526.4;992;j
QO-MER;adiincj992;p12p100;2018;4623.1;992;j
QO-MER;adiincj992;p12p100;2019;4668.1;992;j
QO-MER;adiincj992;p12p100;2020;4468;992;j
QO-MER;adiincj992;p12p100;2021;4625.1;992;j
QO-MER;adiincj992;p12p13;2018;626;992;j
QO-MER;adiincj992;p12p13;2019;611.3;992;j
QO-MER;adiincj992;p12p13;2020;571.3;992;j
QO-MER;adiincj992;p12p13;2021;570.9;992;j
QO-MER;adiincj992;p13p100;2018;4669.1;992;j
QO-MER;adiincj992;p13p100;2019;4714.7;992;j
QO-MER;adiincj992;p13p100;2020;4512.8;992;j
QO-MER;adiincj992;p13p100;2021;4671.7;992;j
QO-MER;adiincj992;p13p14;2018;675.9;992;j
QO-MER;adiincj992;p13p14;2019;659.9;992;j
QO-MER;adiincj992;p13p14;2020;616;992;j
QO-MER;adiincj992;p13p14;2021;618;992;j
QO-MER;adiincj992;p14p100;2018;4715.5;992;j
QO-MER;adiincj992;p14p100;2019;4761.9;992;j
QO-MER;adiincj992;p14p100;2020;4558.1;992;j
QO-MER;adiincj992;p14p100;2021;4718.8;992;j
QO-MER;adiincj992;p14p15;2018;730.9;992;j
QO-MER;adiincj992;p14p15;2019;717.3;992;j
QO-MER;adiincj992;p14p15;2020;672.7;992;j
QO-MER;adiincj992;p14p15;2021;673.6;992;j
QO-MER;adiincj992;p15p100;2018;4762.4;992;j
QO-MER;adiincj992;p15p100;2019;4809.5;992;j
QO-MER;adiincj992;p15p100;2020;4603.9;992;j
QO-MER;adiincj992;p15p100;2021;4766.4;992;j
QO-MER;adiincj992;p15p16;2018;786.5;992;j
QO-MER;adiincj992;p15p16;2019;761.6;992;j
QO-MER;adiincj992;p15p16;2020;705.1;992;j
QO-MER;adiincj992;p15p16;2021;711.7;992;j
QO-MER;adiincj992;p16p100;2018;4809.7;992;j
QO-MER;adiincj992;p16p100;2019;4857.6;992;j
QO-MER;adiincj992;p16p100;2020;4650.3;992;j
QO-MER;adiincj992;p16p100;2021;4814.7;992;j
QO-MER;adiincj992;p16p17;2018;833.2;992;j
QO-MER;adiincj992;p16p17;2019;821.3;992;j
QO-MER;adiincj992;p16p17;2020;771.9;992;j
QO-MER;adiincj992;p16p17;2021;780;992;j
QO-MER;adiincj992;p17p100;2018;4857.6;992;j
QO-MER;adiincj992;p17p100;2019;4906.3;992;j
QO-MER;adiincj992;p17p100;2020;4697;992;j
QO-MER;adiincj992;p17p100;2021;4863.3;992;j
QO-MER;adiincj992;p17p18;2018;848.5;992;j
QO-MER;adiincj992;p17p18;2019;878.8;992;j
QO-MER;adiincj992;p17p18;2020;820.1;992;j
QO-MER;adiincj992;p17p18;2021;832.9;992;j
QO-MER;adiincj992;p18p100;2018;4906.5;992;j
QO-MER;adiincj992;p18p100;2019;4955.4;992;j
QO-MER;adiincj992;p18p100;2020;4744.3;992;j
QO-MER;adiincj992;p18p100;2021;4912.5;992;j
QO-MER;adiincj992;p18p19;2018;908.6;992;j
QO-MER;adiincj992;p18p19;2019;894.2;992;j
QO-MER;adiincj992;p18p19;2020;835;992;j
QO-MER;adiincj992;p18p19;2021;850.4;992;j
QO-MER;adiincj992;p19p100;2018;4955.9;992;j
QO-MER;adiincj992;p19p100;2019;5005.5;992;j
QO-MER;adiincj992;p19p100;2020;4792.5;992;j
QO-MER;adiincj992;p19p100;2021;4962.6;992;j
QO-MER;adiincj992;p19p20;2018;961.1;992;j
QO-MER;adiincj992;p19p20;2019;958.7;992;j
QO-MER;adiincj992;p19p20;2020;886.5;992;j
QO-MER;adiincj992;p19p20;2021;899.4;992;j
QO-MER;adiincj992;p1p100;2018;4151.6;992;j
QO-MER;adiincj992;p1p100;2019;4192.4;992;j
QO-MER;adiincj992;p1p100;2020;4012;992;j
QO-MER;adiincj992;p1p100;2021;4152.1;992;j
QO-MER;adiincj992;p1p2;2018;153.5;992;j
QO-MER;adiincj992;p1p2;2019;148.8;992;j
QO-MER;adiincj992;p1p2;2020;121.8;992;j
QO-MER;adiincj992;p1p2;2021;124;992;j
QO-MER;adiincj992;p20p100;2018;5005.8;992;j
QO-MER;adiincj992;p20p100;2019;5056.1;992;j
QO-MER;adiincj992;p20p100;2020;4841.4;992;j
QO-MER;adiincj992;p20p100;2021;5013.4;992;j
QO-MER;adiincj992;p20p21;2018;1024.5;992;j
QO-MER;adiincj992;p20p21;2019;1016;992;j
QO-MER;adiincj992;p20p21;2020;933.3;992;j
QO-MER;adiincj992;p20p21;2021;959.8;992;j
QO-MER;adiincj992;p21p100;2018;5056.2;992;j
QO-MER;adiincj992;p21p100;2019;5107.3;992;j
QO-MER;adiincj992;p21p100;2020;4890.8;992;j
QO-MER;adiincj992;p21p100;2021;5064.7;992;j
QO-MER;adiincj992;p21p22;2018;1092.3;992;j
QO-MER;adiincj992;p21p22;2019;1082.2;992;j
QO-MER;adiincj992;p21p22;2020;1002.3;992;j
QO-MER;adiincj992;p21p22;2021;1027;992;j
QO-MER;adiincj992;p22p100;2018;5107;992;j
QO-MER;adiincj992;p22p100;2019;5158.9;992;j
QO-MER;adiincj992;p22p100;2020;4940.7;992;j
QO-MER;adiincj992;p22p100;2021;5116.5;992;j
QO-MER;adiincj992;p22p23;2018;1154.3;992;j
QO-MER;adiincj992;p22p23;2019;1156.1;992;j
QO-MER;adiincj992;p22p23;2020;1056.4;992;j
QO-MER;adiincj992;p22p23;2021;1101;992;j
QO-MER;adiincj992;p23p100;2018;5158.4;992;j
QO-MER;adiincj992;p23p100;2019;5210.8;992;j
QO-MER;adiincj992;p23p100;2020;4991.1;992;j
QO-MER;adiincj992;p23p100;2021;5168.6;992;j
QO-MER;adiincj992;p23p24;2018;1230.8;992;j
QO-MER;adiincj992;p23p24;2019;1223.7;992;j
