country;variable;percentile;year;value;age;pop
QO;ehfcari999;p0p100;1990;80.2530147946829;999;i
QO;ehfcari999;p0p100;1991;79.8018134188973;999;i
QO;ehfcari999;p0p100;1992;93.0952548291342;999;i
QO;ehfcari999;p0p100;1993;95.2593520297721;999;i
QO;ehfcari999;p0p100;1994;90.8422121437906;999;i
QO;ehfcari999;p0p100;1995;97.7936175008593;999;i
QO;ehfcari999;p0p100;1996;95.9802370178933;999;i
QO;ehfcari999;p0p100;1997;113.66517728472;999;i
QO;ehfcari999;p0p100;1998;119.023178787988;999;i
QO;ehfcari999;p0p100;1999;125.398181555809;999;i
QO;ehfcari999;p0p100;2000;131.443781981229;999;i
QO;ehfcari999;p0p100;2001;118.531771053184;999;i
QO;ehfcari999;p0p100;2002;122.991083621454;999;i
QO;ehfcari999;p0p100;2003;128.038108476741;999;i
QO;ehfcari999;p0p100;2004;124.576901081537;999;i
QO;ehfcari999;p0p100;2005;143.808426771877;999;i
QO;ehfcari999;p0p100;2006;149.808911856129;999;i
QO;ehfcari999;p0p100;2007;159.195875945994;999;i
QO;ehfcari999;p0p100;2008;171.850217360577;999;i
QO;ehfcari999;p0p100;2009;180.826738937454;999;i
QO;ehfcari999;p0p100;2010;184.917753839024;999;i
QO;ehfcari999;p0p100;2011;191.267157887331;999;i
QO;ehfcari999;p0p100;2012;202.978974228541;999;i
QO;ehfcari999;p0p100;2013;198.410397954575;999;i
QO;ehfcari999;p0p100;2014;212.170588362651;999;i
QO;ehfcari999;p0p100;2015;210.490354137951;999;i
QO;ehfcari999;p0p100;2016;221.545116389945;999;i
QO;ehfcari999;p0p100;2017;225.777713929277;999;i
QO;ehfcari999;p0p100;2018;223.107082953313;999;i
QO;ehfcari999;p0p100;2019;223.385431861415;999;i
QO;ehfcari999;p0p100;2020;217.80079606488;999;i
QO;ehfghdi999;p0p100;1990;16.5799814751875;999;i
QO;ehfghdi999;p0p100;1991;17.4694981666308;999;i
QO;ehfghdi999;p0p100;1992;17.9496676923511;999;i
QO;ehfghdi999;p0p100;1993;20.3106613905848;999;i
QO;ehfghdi999;p0p100;1994;19.2903452374416;999;i
QO;ehfghdi999;p0p100;1995;20.8663336898969;999;i
QO;ehfghdi999;p0p100;1996;20.9539790454411;999;i
QO;ehfghdi999;p0p100;1997;23.1024223251599;999;i
QO;ehfghdi999;p0p100;1998;25.4591621398322;999;i
QO;ehfghdi999;p0p100;1999;26.1208183452259;999;i
QO;ehfghdi999;p0p100;2000;28.8848249720435;999;i
QO;ehfghdi999;p0p100;2001;27.2483846839348;999;i
QO;ehfghdi999;p0p100;2002;27.5690054856201;999;i
QO;ehfghdi999;p0p100;2003;30.5804114809609;999;i
QO;ehfghdi999;p0p100;2004;32.026514159;999;i
QO;ehfghdi999;p0p100;2005;33.5425826416405;999;i
QO;ehfghdi999;p0p100;2006;35.1452902611544;999;i
QO;ehfghdi999;p0p100;2007;36.839360728;999;i
QO;ehfghdi999;p0p100;2008;38.7586339715723;999;i
QO;ehfghdi999;p0p100;2009;40.7974269379264;999;i
QO;ehfghdi999;p0p100;2010;42.9635685921634;999;i
QO;ehfghdi999;p0p100;2011;45.265408292;999;i
QO;ehfghdi999;p0p100;2012;44.6704203491477;999;i
QO;ehfghdi999;p0p100;2013;44.2636985555875;999;i
QO;ehfghdi999;p0p100;2014;44.050936707;999;i
QO;ehfghdi999;p0p100;2015;44.1954096488084;999;i
QO;ehfghdi999;p0p100;2016;45.9734988119115;999;i
QO;ehfghdi999;p0p100;2017;48.7354891520661;999;i
QO;ehfghdi999;p0p100;2018;49.2971969900501;999;i
QO;ehfghdi999;p0p100;2019;50.0041704541484;999;i
QO;ehfghdi999;p0p100;2020;48.7540661927946;999;i
QO;ehfghgi999;p0p100;1980;216.686430753617;999;i
QO;ehfghgi999;p0p100;1981;199.819114860917;999;i
QO;ehfghgi999;p0p100;1982;197.22682746616;999;i
QO;ehfghgi999;p0p100;1983;204.835538874476;999;i
QO;ehfghgi999;p0p100;1984;225.541822996312;999;i
QO;ehfghgi999;p0p100;1985;241.713822233741;999;i
QO;ehfghgi999;p0p100;1986;267.486277730476;999;i
QO;ehfghgi999;p0p100;1987;264.027745907711;999;i
QO;ehfghgi999;p0p100;1988;276.59953953316;999;i
QO;ehfghgi999;p0p100;1989;263.110139368481;999;i
QO;ehfghgi999;p0p100;1990;247.216666378232;999;i
QO;ehfghgi999;p0p100;1991;248.464000855867;999;i
QO;ehfghgi999;p0p100;1992;277.057387753419;999;i
QO;ehfghgi999;p0p100;1993;293.444003992182;999;i
QO;ehfghgi999;p0p100;1994;286.782327627832;999;i
QO;ehfghgi999;p0p100;1995;296.28646491094;999;i
QO;ehfghgi999;p0p100;1996;292.66615433688;999;i
QO;ehfghgi999;p0p100;1997;301.828704116917;999;i
QO;ehfghgi999;p0p100;1998;321.049699447497;999;i
QO;ehfghgi999;p0p100;1999;318.960089210047;999;i
QO;ehfghgi999;p0p100;2000;318.657543330426;999;i
QO;ehfghgi999;p0p100;2001;299.641799784326;999;i
QO;ehfghgi999;p0p100;2002;306.454856550289;999;i
QO;ehfghgi999;p0p100;2003;313.522779281327;999;i
