country;variable;percentile;year;value;age;pop
QP-MER;adiincj992;p0p1;2018;-8846.5;992;j
QP-MER;adiincj992;p0p1;2019;-8896.4;992;j
QP-MER;adiincj992;p0p1;2020;-8145.8;992;j
QP-MER;adiincj992;p0p1;2021;-8795.3;992;j
QP-MER;adiincj992;p0p100;2018;63170.9;992;j
QP-MER;adiincj992;p0p100;2019;63743.7;992;j
QP-MER;adiincj992;p0p100;2020;60524.6;992;j
QP-MER;adiincj992;p0p100;2021;64510.8;992;j
QP-MER;adiincj992;p0p50;2018;24258.7;992;j
QP-MER;adiincj992;p0p50;2019;24826.3;992;j
QP-MER;adiincj992;p0p50;2020;25374.3;992;j
QP-MER;adiincj992;p0p50;2021;27217;992;j
QP-MER;adiincj992;p10p100;2018;69457.9;992;j
QP-MER;adiincj992;p10p100;2019;70057.9;992;j
QP-MER;adiincj992;p10p100;2020;66286.5;992;j
QP-MER;adiincj992;p10p100;2021;70567.1;992;j
QP-MER;adiincj992;p10p11;2018;14204.7;992;j
QP-MER;adiincj992;p10p11;2019;14912.1;992;j
QP-MER;adiincj992;p10p11;2020;15768.3;992;j
QP-MER;adiincj992;p10p11;2021;17642;992;j
QP-MER;adiincj992;p11p100;2018;70078.7;992;j
QP-MER;adiincj992;p11p100;2019;70677.6;992;j
QP-MER;adiincj992;p11p100;2020;66854.1;992;j
QP-MER;adiincj992;p11p100;2021;71161.8;992;j
QP-MER;adiincj992;p11p12;2018;15086.9;992;j
QP-MER;adiincj992;p11p12;2019;15841.4;992;j
QP-MER;adiincj992;p11p12;2020;16688.5;992;j
QP-MER;adiincj992;p11p12;2021;18699.5;992;j
QP-MER;adiincj992;p12p100;2018;70703.6;992;j
QP-MER;adiincj992;p12p100;2019;71300.7;992;j
QP-MER;adiincj992;p12p100;2020;67424.1;992;j
QP-MER;adiincj992;p12p100;2021;71757.9;992;j
QP-MER;adiincj992;p12p13;2018;16074.8;992;j
QP-MER;adiincj992;p12p13;2019;16826.4;992;j
QP-MER;adiincj992;p12p13;2020;17764.4;992;j
QP-MER;adiincj992;p12p13;2021;19686.3;992;j
QP-MER;adiincj992;p13p100;2018;71331.5;992;j
QP-MER;adiincj992;p13p100;2019;71926.8;992;j
QP-MER;adiincj992;p13p100;2020;67994.9;992;j
QP-MER;adiincj992;p13p100;2021;72356.5;992;j
QP-MER;adiincj992;p13p14;2018;17032.1;992;j
QP-MER;adiincj992;p13p14;2019;17682.4;992;j
QP-MER;adiincj992;p13p14;2020;18648.4;992;j
QP-MER;adiincj992;p13p14;2021;20631.8;992;j
QP-MER;adiincj992;p14p100;2018;71962.9;992;j
QP-MER;adiincj992;p14p100;2019;72557.6;992;j
QP-MER;adiincj992;p14p100;2020;68568.7;992;j
QP-MER;adiincj992;p14p100;2021;72957.9;992;j
QP-MER;adiincj992;p14p15;2018;17960.4;992;j
QP-MER;adiincj992;p14p15;2019;18566.8;992;j
QP-MER;adiincj992;p14p15;2020;19518.5;992;j
QP-MER;adiincj992;p14p15;2021;21531;992;j
QP-MER;adiincj992;p15p100;2018;72598.2;992;j
QP-MER;adiincj992;p15p100;2019;73192.8;992;j
QP-MER;adiincj992;p15p100;2020;69145.8;992;j
QP-MER;adiincj992;p15p100;2021;73562.9;992;j
QP-MER;adiincj992;p15p16;2018;18848.1;992;j
QP-MER;adiincj992;p15p16;2019;19412.5;992;j
QP-MER;adiincj992;p15p16;2020;20760.6;992;j
QP-MER;adiincj992;p15p16;2021;22392.5;992;j
QP-MER;adiincj992;p16p100;2018;73238.1;992;j
QP-MER;adiincj992;p16p100;2019;73833;992;j
QP-MER;adiincj992;p16p100;2020;69721.8;992;j
QP-MER;adiincj992;p16p100;2021;74172.1;992;j
QP-MER;adiincj992;p16p17;2018;19629.5;992;j
QP-MER;adiincj992;p16p17;2019;20294;992;j
QP-MER;adiincj992;p16p17;2020;21246.7;992;j
QP-MER;adiincj992;p16p17;2021;23056.5;992;j
QP-MER;adiincj992;p17p100;2018;73884;992;j
QP-MER;adiincj992;p17p100;2019;74478.1;992;j
QP-MER;adiincj992;p17p100;2020;70305.9;992;j
QP-MER;adiincj992;p17p100;2021;74788;992;j
QP-MER;adiincj992;p17p18;2018;20469.3;992;j
QP-MER;adiincj992;p17p18;2019;21175.9;992;j
QP-MER;adiincj992;p17p18;2020;21866.5;992;j
QP-MER;adiincj992;p17p18;2021;23497.3;992;j
QP-MER;adiincj992;p18p100;2018;74535.4;992;j
QP-MER;adiincj992;p18p100;2019;75128.1;992;j
QP-MER;adiincj992;p18p100;2020;70896.6;992;j
QP-MER;adiincj992;p18p100;2021;75413.4;992;j
QP-MER;adiincj992;p18p19;2018;21286.6;992;j
QP-MER;adiincj992;p18p19;2019;21988.1;992;j
QP-MER;adiincj992;p18p19;2020;22567.4;992;j
QP-MER;adiincj992;p18p19;2021;23989;992;j
QP-MER;adiincj992;p19p100;2018;75192.8;992;j
QP-MER;adiincj992;p19p100;2019;75784.1;992;j
QP-MER;adiincj992;p19p100;2020;71493.2;992;j
QP-MER;adiincj992;p19p100;2021;76048.3;992;j
QP-MER;adiincj992;p19p20;2018;22085.8;992;j
QP-MER;adiincj992;p19p20;2019;22784.6;992;j
QP-MER;adiincj992;p19p20;2020;22938.2;992;j
QP-MER;adiincj992;p19p20;2021;24620.7;992;j
QP-MER;adiincj992;p1p100;2018;63898.3;992;j
QP-MER;adiincj992;p1p100;2019;64477.4;992;j
QP-MER;adiincj992;p1p100;2020;61218.3;992;j
QP-MER;adiincj992;p1p100;2021;65251.3;992;j
QP-MER;adiincj992;p1p2;2018;1448.8;992;j
QP-MER;adiincj992;p1p2;2019;1694.7;992;j
QP-MER;adiincj992;p1p2;2020;4091.1;992;j
QP-MER;adiincj992;p1p2;2021;5376.1;992;j
QP-MER;adiincj992;p20p100;2018;75856.6;992;j
QP-MER;adiincj992;p20p100;2019;76446.6;992;j
