country;variable;percentile;year;value;age;pop
QP;ehfcari999;p0p100;1990;2466.78109388224;999;i
QP;ehfcari999;p0p100;1991;2460.41238215937;999;i
QP;ehfcari999;p0p100;1992;2562.49775068715;999;i
QP;ehfcari999;p0p100;1993;2551.6647273552;999;i
QP;ehfcari999;p0p100;1994;2574.63164221594;999;i
QP;ehfcari999;p0p100;1995;2610.99670098124;999;i
QP;ehfcari999;p0p100;1996;2702.88966132342;999;i
QP;ehfcari999;p0p100;1997;2650.02982027969;999;i
QP;ehfcari999;p0p100;1998;2722.15774826799;999;i
QP;ehfcari999;p0p100;1999;2812.21936074294;999;i
QP;ehfcari999;p0p100;2000;2978.65119461417;999;i
QP;ehfcari999;p0p100;2001;2904.12670911138;999;i
QP;ehfcari999;p0p100;2002;2989.8436779171;999;i
QP;ehfcari999;p0p100;2003;2898.00926425262;999;i
QP;ehfcari999;p0p100;2004;2921.26500404302;999;i
QP;ehfcari999;p0p100;2005;2950.62227005955;999;i
QP;ehfcari999;p0p100;2006;2895.43477116645;999;i
QP;ehfcari999;p0p100;2007;2914.06344489034;999;i
QP;ehfcari999;p0p100;2008;2773.07099915132;999;i
QP;ehfcari999;p0p100;2009;2576.30971416768;999;i
QP;ehfcari999;p0p100;2010;2700.33223584758;999;i
QP;ehfcari999;p0p100;2011;2660.5361931416;999;i
QP;ehfcari999;p0p100;2012;2508.82013656925;999;i
QP;ehfcari999;p0p100;2013;2530.92205518397;999;i
QP;ehfcari999;p0p100;2014;2556.16418114966;999;i
QP;ehfcari999;p0p100;2015;2498.53279466106;999;i
QP;ehfcari999;p0p100;2016;2445.56270217942;999;i
QP;ehfcari999;p0p100;2017;2446.41791096401;999;i
QP;ehfcari999;p0p100;2018;2520.31320041947;999;i
QP;ehfcari999;p0p100;2019;2457.06476375547;999;i
QP;ehfcari999;p0p100;2020;2211.35828737992;999;i
QP;ehfghdi999;p0p100;1990;937.126549231394;999;i
QP;ehfghdi999;p0p100;1991;927.23582418952;999;i
QP;ehfghdi999;p0p100;1992;947.071428963713;999;i
QP;ehfghdi999;p0p100;1993;964.027541950558;999;i
QP;ehfghdi999;p0p100;1994;982.229934055726;999;i
QP;ehfghdi999;p0p100;1995;994.687539919457;999;i
QP;ehfghdi999;p0p100;1996;1028.85561464631;999;i
QP;ehfghdi999;p0p100;1997;1044.07738165969;999;i
QP;ehfghdi999;p0p100;1998;1053.49294794749;999;i
QP;ehfghdi999;p0p100;1999;1069.43582483476;999;i
QP;ehfghdi999;p0p100;2000;1101.34222436903;999;i
QP;ehfghdi999;p0p100;2001;1083.76463275534;999;i
QP;ehfghdi999;p0p100;2002;1091.82796212287;999;i
QP;ehfghdi999;p0p100;2003;1102.81954453233;999;i
QP;ehfghdi999;p0p100;2004;1121.97205901;999;i
QP;ehfghdi999;p0p100;2005;1118.48982555547;999;i
QP;ehfghdi999;p0p100;2006;1115.03635425242;999;i
QP;ehfghdi999;p0p100;2007;1111.6116549;999;i
QP;ehfghdi999;p0p100;2008;1099.9120897251;999;i
QP;ehfghdi999;p0p100;2009;1088.37177385303;999;i
QP;ehfghdi999;p0p100;2010;1076.98885897056;999;i
QP;ehfghdi999;p0p100;2011;1065.7615204;999;i
QP;ehfghdi999;p0p100;2012;1088.99285688808;999;i
QP;ehfghdi999;p0p100;2013;1112.82902584254;999;i
QP;ehfghdi999;p0p100;2014;1137.2849299;999;i
QP;ehfghdi999;p0p100;2015;1109.47025380708;999;i
QP;ehfghdi999;p0p100;2016;1084.99854809519;999;i
QP;ehfghdi999;p0p100;2017;1079.34460702688;999;i
QP;ehfghdi999;p0p100;2018;1113.65276110827;999;i
QP;ehfghdi999;p0p100;2019;1085.80703307992;999;i
QP;ehfghdi999;p0p100;2020;977.226329771924;999;i
QP;ehfghgi999;p0p100;1980;4110.207125;999;i
QP;ehfghgi999;p0p100;1981;3996.98803125;999;i
QP;ehfghgi999;p0p100;1982;3848.21053125;999;i
QP;ehfghgi999;p0p100;1983;3898.8670625;999;i
QP;ehfghgi999;p0p100;1984;4066.90665625;999;i
QP;ehfghgi999;p0p100;1985;4097.22659375;999;i
QP;ehfghgi999;p0p100;1986;3972.65091343412;999;i
QP;ehfghgi999;p0p100;1987;4137.44760267488;999;i
QP;ehfghgi999;p0p100;1988;4313.72399368363;999;i
QP;ehfghgi999;p0p100;1989;4440.17440292744;999;i
QP;ehfghgi999;p0p100;1990;4268.95189352825;999;i
QP;ehfghgi999;p0p100;1991;4253.05620414031;999;i
QP;ehfghgi999;p0p100;1992;4380.79053666117;999;i
QP;ehfghgi999;p0p100;1993;4389.09233390351;999;i
QP;ehfghgi999;p0p100;1994;4444.38244497717;999;i
QP;ehfghgi999;p0p100;1995;4512.04297374527;999;i
QP;ehfghgi999;p0p100;1996;4664.69662923352;999;i
QP;ehfghgi999;p0p100;1997;4612.32682276156;999;i
QP;ehfghgi999;p0p100;1998;4742.41618341363;999;i
QP;ehfghgi999;p0p100;1999;4844.28047600189;999;i
QP;ehfghgi999;p0p100;2000;5074.99702889662;999;i
QP;ehfghgi999;p0p100;2001;4948.64892907536;999;i
QP;ehfghgi999;p0p100;2002;5042.5560403108;999;i
QP;ehfghgi999;p0p100;2003;4930.89663861955;999;i
QP;ehfghgi999;p0p100;2004;4992.23543009747;999;i
QP;ehfghgi999;p0p100;2005;5018.64061215342;999;i
QP;ehfghgi999;p0p100;2006;4953.30864232494;999;i
QP;ehfghgi999;p0p100;2007;4957.94381894359;999;i
QP;ehfghgi999;p0p100;2008;4785.77317098345;999;i
QP;ehfghgi999;p0p100;2009;4546.16546730162;999;i
QP;ehfghgi999;p0p100;2010;4667.22801250448;999;i
QP;ehfghgi999;p0p100;2011;4608.30242737066;999;i
QP;ehfghgi999;p0p100;2012;4454.66303716972;999;i
QP;ehfghgi999;p0p100;2013;4502.43526008982;999;i
QP;ehfghgi999;p0p100;2014;4553.70904763757;999;i
QP;ehfghgi999;p0p100;2015;4473.99500440463;999;i
QP;ehfghgi999;p0p100;2016;4377.92545849066;999;i
QP;ehfghgi999;p0p100;2017;4372.08457191226;999;i
QP;ehfghgi999;p0p100;2018;4506.217531837;999;i
QP;ehfghgi999;p0p100;2019;4393.30394206474;999;i
QP;ehfghgi999;p0p100;2020;3953.97354785826;999;i
QP;ehfghni999;p0p100;1990;3331.82534429686;999;i
QP;ehfghni999;p0p100;1991;3325.82037995079;999;i
QP;ehfghni999;p0p100;1992;3433.71910769746;999;i
QP;ehfghni999;p0p100;1993;3425.06479195295;999;i
QP;ehfghni999;p0p100;1994;3462.15251092144;999;i
QP;ehfghni999;p0p100;1995;3517.35543382581;999;i
QP;ehfghni999;p0p100;1996;3635.84101458721;999;i
QP;ehfghni999;p0p100;1997;3568.24944110187;999;i
QP;ehfghni999;p0p100;1998;3688.92323546614;999;i
QP;ehfghni999;p0p100;1999;3774.84465116713;999;i
QP;ehfghni999;p0p100;2000;3973.65480452759;999;i
QP;ehfghni999;p0p100;2001;3864.88429632001;999;i
QP;ehfghni999;p0p100;2002;3950.72807818792;999;i
QP;ehfghni999;p0p100;2003;3828.07709408721;999;i
QP;ehfghni999;p0p100;2004;3870.26337108747;999;i
QP;ehfghni999;p0p100;2005;3900.15078659795;999;i
QP;ehfghni999;p0p100;2006;3838.27228807252;999;i
QP;ehfghni999;p0p100;2007;3846.33216404359;999;i
QP;ehfghni999;p0p100;2008;3685.86108125835;999;i
QP;ehfghni999;p0p100;2009;3457.79369344859;999;i
QP;ehfghni999;p0p100;2010;3590.23915353391;999;i
QP;ehfghni999;p0p100;2011;3542.54090697066;999;i
QP;ehfghni999;p0p100;2012;3365.67018028164;999;i
QP;ehfghni999;p0p100;2013;3389.60623424728;999;i
QP;ehfghni999;p0p100;2014;3416.42411773757;999;i
QP;ehfghni999;p0p100;2015;3364.52475059755;999;i
QP;ehfghni999;p0p100;2016;3292.92691039547;999;i
QP;ehfghni999;p0p100;2017;3292.73996488539;999;i
QP;ehfghni999;p0p100;2018;3392.56477072873;999;i
QP;ehfghni999;p0p100;2019;3307.49690898482;999;i
QP;ehfghni999;p0p100;2020;2976.74721808634;999;i
QP;ehfghoi999;p0p100;1990;865.044250414617;999;i
