country;variable;percentile;year;value;age;pop
QR-MER;mgdproi999;p0p100;1950;315204956160;999;i
QR-MER;mgdproi999;p0p100;1951;331407681536;999;i
QR-MER;mgdproi999;p0p100;1952;343639202048;999;i
QR-MER;mgdproi999;p0p100;1953;359967190784;999;i
QR-MER;mgdproi999;p0p100;1954;381593053696;999;i
QR-MER;mgdproi999;p0p100;1955;407043317504;999;i
QR-MER;mgdproi999;p0p100;1956;421983055616;999;i
QR-MER;mgdproi999;p0p100;1957;456888570112;999;i
QR-MER;mgdproi999;p0p100;1958;480197511936;999;i
QR-MER;mgdproi999;p0p100;1959;492212228864;999;i
QR-MER;mgdproi999;p0p100;1960;524231247936;999;i
QR-MER;mgdproi999;p0p100;1961;561448118464;999;i
QR-MER;mgdproi999;p0p100;1962;590416104704;999;i
QR-MER;mgdproi999;p0p100;1963;595731461056;999;i
QR-MER;mgdproi999;p0p100;1964;636645059968;999;i
QR-MER;mgdproi999;p0p100;1965;665960748672;999;i
QR-MER;mgdproi999;p0p100;1966;691961624192;999;i
QR-MER;mgdproi999;p0p100;1967;715869688960;999;i
QR-MER;mgdproi999;p0p100;1968;763688882688;999;i
QR-MER;mgdproi999;p0p100;1969;811727385088;999;i
QR-MER;mgdproi999;p0p100;1970;868250230144;999;i
QR-MER;mgdproi999;p0p100;1971;925705164928;999;i
QR-MER;mgdproi999;p0p100;1972;990356220032;999;i
QR-MER;mgdproi999;p0p100;1973;1077760964736;999;i
QR-MER;mgdproi999;p0p100;1974;1153621104256;999;i
QR-MER;mgdproi999;p0p100;1975;1197821907328;999;i
QR-MER;mgdproi999;p0p100;1976;1278574694400;999;i
QR-MER;mgdproi999;p0p100;1977;1347677618176;999;i
QR-MER;mgdproi999;p0p100;1978;1384789607424;999;i
QR-MER;mgdproi999;p0p100;1979;1465020501504;999;i
QR-MER;mgdproi999;p0p100;1980;1538277863296;999;i
QR-MER;mgdproi999;p0p100;1981;1506923854848;999;i
QR-MER;mgdproi999;p0p100;1982;1503981800960;999;i
QR-MER;mgdproi999;p0p100;1983;1461850858112;999;i
QR-MER;mgdproi999;p0p100;1984;1565196242048;999;i
QR-MER;mgdproi999;p0p100;1985;1619612844160;999;i
QR-MER;mgdproi999;p0p100;1986;1731263365888;999;i
QR-MER;mgdproi999;p0p100;1987;1797934572544;999;i
QR-MER;mgdproi999;p0p100;1988;1820992438656;999;i
QR-MER;mgdproi999;p0p100;1989;1805796239360;999;i
QR-MER;mgdproi999;p0p100;1990;1785139830656;999;i
QR-MER;mgdproi999;p0p100;1991;1863736497408;999;i
QR-MER;mgdproi999;p0p100;1992;1918412593920;999;i
QR-MER;mgdproi999;p0p100;1993;1998849650048;999;i
QR-MER;mgdproi999;p0p100;1994;2080607675392;999;i
QR-MER;mgdproi999;p0p100;1995;2151468210688;999;i
QR-MER;mgdproi999;p0p100;1996;2198927004928;999;i
QR-MER;mgdproi999;p0p100;1997;2292878231296;999;i
QR-MER;mgdproi999;p0p100;1998;2315324744448;999;i
QR-MER;mgdproi999;p0p100;1999;2275255095296;999;i
QR-MER;mgdproi999;p0p100;2000;2372541063936;999;i
QR-MER;mgdproi999;p0p100;2001;2396707560960;999;i
QR-MER;mgdproi999;p0p100;2002;2369413730048;999;i
QR-MER;mgdproi999;p0p100;2003;2389972379904;999;i
QR-MER;mgdproi999;p0p100;2004;2615111867904;999;i
QR-MER;mgdproi999;p0p100;2005;2762823305216;999;i
QR-MER;mgdproi999;p0p100;2006;2928595484928;999;i
QR-MER;mgdproi999;p0p100;2007;3123298289664;999;i
QR-MER;mgdproi999;p0p100;2008;3294822437376;999;i
QR-MER;mgdproi999;p0p100;2009;3256661724160;999;i
QR-MER;mgdproi999;p0p100;2010;3458700222720;999;i
QR-MER;mgdproi999;p0p100;2011;3642165948672;999;i
QR-MER;mgdproi999;p0p100;2012;3755647344640;999;i
QR-MER;mgdproi999;p0p100;2013;3882857263872;999;i
QR-MER;mgdproi999;p0p100;2014;3879591402240;999;i
QR-MER;mgdproi999;p0p100;2015;3811453675520;999;i
QR-MER;mgdproi999;p0p100;2016;3656632340736;999;i
QR-MER;mgdproi999;p0p100;2017;3629281118208;999;i
QR-MER;mgdproi999;p0p100;2018;3586885297920;999;i
QR-MER;mgdproi999;p0p100;2019;3514300307968;999;i
QR-MER;mgdproi999;p0p100;2020;3243442105088;999;i
QR-MER;mgdproi999;p0p100;2021;3464222947072;999;i
QR-MER;mgdproi999;p0p100;2022;3515606374912;999;i
QR-MER;mgweali999;p0p100;1995;630133472896;999;i
QR-MER;mgweali999;p0p100;1996;667630854080;999;i
QR-MER;mgweali999;p0p100;1997;722951318608;999;i
QR-MER;mgweali999;p0p100;1998;752805078960;999;i
QR-MER;mgweali999;p0p100;1999;748626729056;999;i
QR-MER;mgweali999;p0p100;2000;830655902808;999;i
QR-MER;mgweali999;p0p100;2001;876233816256;999;i
QR-MER;mgweali999;p0p100;2002;862371910218;999;i
QR-MER;mgweali999;p0p100;2003;853017704376;999;i
QR-MER;mgweali999;p0p100;2004;1032402596284;999;i
QR-MER;mgweali999;p0p100;2005;1228442998380;999;i
QR-MER;mgweali999;p0p100;2006;1443622489280;999;i
QR-MER;mgweali999;p0p100;2007;1599031660384;999;i
QR-MER;mgweali999;p0p100;2008;1707240291504;999;i
QR-MER;mgweali999;p0p100;2009;1516026640960;999;i
QR-MER;mgweali999;p0p100;2010;1475228741696;999;i
QR-MER;mgweali999;p0p100;2011;1488083091968;999;i
QR-MER;mgweali999;p0p100;2012;1514738723392;999;i
QR-MER;mgweali999;p0p100;2013;1598398669376;999;i
QR-MER;mgweali999;p0p100;2014;1546277142464;999;i
QR-MER;mgweali999;p0p100;2015;1415426010592;999;i
QR-MER;mgweali999;p0p100;2016;1212472341008;999;i
QR-MER;mgweali999;p0p100;2017;1045154409856;999;i
