country;variable;percentile;year;value;age;pop
QS-MER;adiincj992;p0p1;2018;56.2;992;j
QS-MER;adiincj992;p0p1;2019;68.1;992;j
QS-MER;adiincj992;p0p1;2020;70.1;992;j
QS-MER;adiincj992;p0p1;2021;63.7;992;j
QS-MER;adiincj992;p0p100;2018;4825.1;992;j
QS-MER;adiincj992;p0p100;2019;4935.7;992;j
QS-MER;adiincj992;p0p100;2020;4696.1;992;j
QS-MER;adiincj992;p0p100;2021;4847.3;992;j
QS-MER;adiincj992;p0p50;2018;1154.8;992;j
QS-MER;adiincj992;p0p50;2019;1203.9;992;j
QS-MER;adiincj992;p0p50;2020;1163.2;992;j
QS-MER;adiincj992;p0p50;2021;1185.2;992;j
QS-MER;adiincj992;p10p100;2018;5331.4;992;j
QS-MER;adiincj992;p10p100;2019;5451.4;992;j
QS-MER;adiincj992;p10p100;2020;5186.4;992;j
QS-MER;adiincj992;p10p100;2021;5354;992;j
QS-MER;adiincj992;p10p11;2018;505.1;992;j
QS-MER;adiincj992;p10p11;2019;542.8;992;j
QS-MER;adiincj992;p10p11;2020;531.6;992;j
QS-MER;adiincj992;p10p11;2021;536;992;j
QS-MER;adiincj992;p11p100;2018;5385.6;992;j
QS-MER;adiincj992;p11p100;2019;5506.5;992;j
QS-MER;adiincj992;p11p100;2020;5238.7;992;j
QS-MER;adiincj992;p11p100;2021;5408.1;992;j
QS-MER;adiincj992;p11p12;2018;559.3;992;j
QS-MER;adiincj992;p11p12;2019;594.9;992;j
QS-MER;adiincj992;p11p12;2020;584.3;992;j
QS-MER;adiincj992;p11p12;2021;580.3;992;j
QS-MER;adiincj992;p12p100;2018;5440.5;992;j
QS-MER;adiincj992;p12p100;2019;5562.4;992;j
QS-MER;adiincj992;p12p100;2020;5291.6;992;j
QS-MER;adiincj992;p12p100;2021;5463;992;j
QS-MER;adiincj992;p12p13;2018;607.7;992;j
QS-MER;adiincj992;p12p13;2019;631.2;992;j
QS-MER;adiincj992;p12p13;2020;620.9;992;j
QS-MER;adiincj992;p12p13;2021;617.6;992;j
QS-MER;adiincj992;p13p100;2018;5496;992;j
QS-MER;adiincj992;p13p100;2019;5619;992;j
QS-MER;adiincj992;p13p100;2020;5345.3;992;j
QS-MER;adiincj992;p13p100;2021;5518.7;992;j
QS-MER;adiincj992;p13p14;2018;662.7;992;j
QS-MER;adiincj992;p13p14;2019;686.9;992;j
QS-MER;adiincj992;p13p14;2020;670;992;j
QS-MER;adiincj992;p13p14;2021;667;992;j
QS-MER;adiincj992;p14p100;2018;5552.2;992;j
QS-MER;adiincj992;p14p100;2019;5676.4;992;j
QS-MER;adiincj992;p14p100;2020;5399.6;992;j
QS-MER;adiincj992;p14p100;2021;5575.1;992;j
QS-MER;adiincj992;p14p15;2018;721.1;992;j
QS-MER;adiincj992;p14p15;2019;738.5;992;j
