country;variable;percentile;year;value;age;pop
QT-MER;adiincj992;p0p1;2018;571.9;992;j
QT-MER;adiincj992;p0p1;2019;564.9;992;j
QT-MER;adiincj992;p0p1;2020;507.5;992;j
QT-MER;adiincj992;p0p1;2021;518;992;j
QT-MER;adiincj992;p0p100;2018;8290.9;992;j
QT-MER;adiincj992;p0p100;2019;8101.1;992;j
QT-MER;adiincj992;p0p100;2020;7450.6;992;j
QT-MER;adiincj992;p0p100;2021;7634.9;992;j
QT-MER;adiincj992;p0p50;2018;2251.3;992;j
QT-MER;adiincj992;p0p50;2019;2201.9;992;j
QT-MER;adiincj992;p0p50;2020;2027;992;j
QT-MER;adiincj992;p0p50;2021;2074.8;992;j
QT-MER;adiincj992;p10p100;2018;9044.8;992;j
QT-MER;adiincj992;p10p100;2019;8836.5;992;j
QT-MER;adiincj992;p10p100;2020;8127.2;992;j
QT-MER;adiincj992;p10p100;2021;8328.4;992;j
QT-MER;adiincj992;p10p11;2018;1855.4;992;j
QT-MER;adiincj992;p10p11;2019;1812.1;992;j
QT-MER;adiincj992;p10p11;2020;1669;992;j
QT-MER;adiincj992;p10p11;2021;1708.8;992;j
QT-MER;adiincj992;p11p100;2018;9125.6;992;j
QT-MER;adiincj992;p11p100;2019;8915.4;992;j
QT-MER;adiincj992;p11p100;2020;8199.8;992;j
QT-MER;adiincj992;p11p100;2021;8402.8;992;j
QT-MER;adiincj992;p11p12;2018;1908;992;j
QT-MER;adiincj992;p11p12;2019;1865.3;992;j
QT-MER;adiincj992;p11p12;2020;1718.8;992;j
QT-MER;adiincj992;p11p12;2021;1760;992;j
QT-MER;adiincj992;p12p100;2018;9207.6;992;j
QT-MER;adiincj992;p12p100;2019;8995.5;992;j
QT-MER;adiincj992;p12p100;2020;8273.4;992;j
QT-MER;adiincj992;p12p100;2021;8478.3;992;j
QT-MER;adiincj992;p12p13;2018;1965.3;992;j
QT-MER;adiincj992;p12p13;2019;1916.7;992;j
QT-MER;adiincj992;p12p13;2020;1769.2;992;j
QT-MER;adiincj992;p12p13;2021;1811.2;992;j
QT-MER;adiincj992;p13p100;2018;9290.9;992;j
QT-MER;adiincj992;p13p100;2019;9076.9;992;j
QT-MER;adiincj992;p13p100;2020;8348.2;992;j
QT-MER;adiincj992;p13p100;2021;8554.9;992;j
QT-MER;adiincj992;p13p14;2018;2021;992;j
QT-MER;adiincj992;p13p14;2019;1971.7;992;j
QT-MER;adiincj992;p13p14;2020;1796.4;992;j
QT-MER;adiincj992;p13p14;2021;1840.6;992;j
QT-MER;adiincj992;p14p100;2018;9375.4;992;j
QT-MER;adiincj992;p14p100;2019;9159.5;992;j
QT-MER;adiincj992;p14p100;2020;8424.4;992;j
QT-MER;adiincj992;p14p100;2021;8633;992;j
QT-MER;adiincj992;p14p15;2018;2031.9;992;j
QT-MER;adiincj992;p14p15;2019;1984.6;992;j
QT-MER;adiincj992;p14p15;2020;1826;992;j
QT-MER;adiincj992;p14p15;2021;1869.4;992;j
QT-MER;adiincj992;p15p100;2018;9461.8;992;j
QT-MER;adiincj992;p15p100;2019;9243.9;992;j
QT-MER;adiincj992;p15p100;2020;8502;992;j
QT-MER;adiincj992;p15p100;2021;8712.6;992;j
QT-MER;adiincj992;p15p16;2018;2065.2;992;j
QT-MER;adiincj992;p15p16;2019;2018.3;992;j
QT-MER;adiincj992;p15p16;2020;1860.7;992;j
QT-MER;adiincj992;p15p16;2021;1905.1;992;j
QT-MER;adiincj992;p16p100;2018;9549.9;992;j
QT-MER;adiincj992;p16p100;2019;9329.9;992;j
QT-MER;adiincj992;p16p100;2020;8581.1;992;j
QT-MER;adiincj992;p16p100;2021;8793.6;992;j
QT-MER;adiincj992;p16p17;2018;2078.8;992;j
QT-MER;adiincj992;p16p17;2019;2030.2;992;j
QT-MER;adiincj992;p16p17;2020;1872.3;992;j
QT-MER;adiincj992;p16p17;2021;1916.2;992;j
QT-MER;adiincj992;p17p100;2018;9639.9;992;j
QT-MER;adiincj992;p17p100;2019;9417.9;992;j
QT-MER;adiincj992;p17p100;2020;8661.9;992;j
QT-MER;adiincj992;p17p100;2021;8876.5;992;j
QT-MER;adiincj992;p17p18;2018;2104.8;992;j
QT-MER;adiincj992;p17p18;2019;2054.4;992;j
QT-MER;adiincj992;p17p18;2020;1894.7;992;j
QT-MER;adiincj992;p17p18;2021;1938.6;992;j
QT-MER;adiincj992;p18p100;2018;9731.8;992;j
QT-MER;adiincj992;p18p100;2019;9507.7;992;j
QT-MER;adiincj992;p18p100;2020;8744.4;992;j
QT-MER;adiincj992;p18p100;2021;8961.1;992;j
QT-MER;adiincj992;p18p19;2018;2133.8;992;j
QT-MER;adiincj992;p18p19;2019;2085.3;992;j
QT-MER;adiincj992;p18p19;2020;1921.6;992;j
QT-MER;adiincj992;p18p19;2021;1967.9;992;j
QT-MER;adiincj992;p19p100;2018;9825.6;992;j
QT-MER;adiincj992;p19p100;2019;9599.3;992;j
QT-MER;adiincj992;p19p100;2020;8828.7;992;j
QT-MER;adiincj992;p19p100;2021;9047.4;992;j
