country;variable;percentile;year;value;age;pop
QT;ehfcari999;p0p100;1990;116.268251529511;999;i
QT;ehfcari999;p0p100;1991;128.772710415245;999;i
QT;ehfcari999;p0p100;1992;121.70075588494;999;i
QT;ehfcari999;p0p100;1993;124.319135174284;999;i
QT;ehfcari999;p0p100;1994;141.493441689808;999;i
QT;ehfcari999;p0p100;1995;147.198007896764;999;i
QT;ehfcari999;p0p100;1996;142.362303817933;999;i
QT;ehfcari999;p0p100;1997;149.512718681538;999;i
QT;ehfcari999;p0p100;1998;143.968026661387;999;i
QT;ehfcari999;p0p100;1999;161.438666664846;999;i
QT;ehfcari999;p0p100;2000;159.030180529765;999;i
QT;ehfcari999;p0p100;2001;147.680678401888;999;i
QT;ehfcari999;p0p100;2002;137.347841127295;999;i
QT;ehfcari999;p0p100;2003;157.050624134746;999;i
QT;ehfcari999;p0p100;2004;178.344443358543;999;i
QT;ehfcari999;p0p100;2005;163.174869945192;999;i
QT;ehfcari999;p0p100;2006;175.323181387966;999;i
QT;ehfcari999;p0p100;2007;175.40781784437;999;i
QT;ehfcari999;p0p100;2008;174.45696187518;999;i
QT;ehfcari999;p0p100;2009;187.060427598804;999;i
QT;ehfcari999;p0p100;2010;174.986737808052;999;i
QT;ehfcari999;p0p100;2011;174.127249702688;999;i
QT;ehfcari999;p0p100;2012;172.633463666412;999;i
QT;ehfcari999;p0p100;2013;171.713404235032;999;i
QT;ehfcari999;p0p100;2014;177.21329870045;999;i
QT;ehfcari999;p0p100;2015;169.04066361905;999;i
QT;ehfcari999;p0p100;2016;168.127044896945;999;i
QT;ehfcari999;p0p100;2017;174.019242159781;999;i
QT;ehfcari999;p0p100;2018;176.307967668335;999;i
QT;ehfcari999;p0p100;2019;178.178182923825;999;i
QT;ehfcari999;p0p100;2020;173.72372835073;999;i
QT;ehfghdi999;p0p100;1990;19.8718596441621;999;i
QT;ehfghdi999;p0p100;1991;20.7049175810689;999;i
QT;ehfghdi999;p0p100;1992;19.245776741067;999;i
QT;ehfghdi999;p0p100;1993;20.5497868195681;999;i
QT;ehfghdi999;p0p100;1994;21.6892146664361;999;i
QT;ehfghdi999;p0p100;1995;23.1134361730025;999;i
QT;ehfghdi999;p0p100;1996;23.21702405608;999;i
QT;ehfghdi999;p0p100;1997;24.5709828387263;999;i
QT;ehfghdi999;p0p100;1998;24.1800178114547;999;i
QT;ehfghdi999;p0p100;1999;23.9524852196881;999;i
QT;ehfghdi999;p0p100;2000;24.2627717318837;999;i
QT;ehfghdi999;p0p100;2001;23.9694816866672;999;i
