country;variable;percentile;year;value;age;pop
QU-MER;adiincj992;p0p1;2018;73.3;992;j
QU-MER;adiincj992;p0p1;2019;98.3;992;j
QU-MER;adiincj992;p0p1;2020;102.9;992;j
QU-MER;adiincj992;p0p1;2021;95.8;992;j
QU-MER;adiincj992;p0p100;2018;2886.4;992;j
QU-MER;adiincj992;p0p100;2019;2886;992;j
QU-MER;adiincj992;p0p100;2020;2773.4;992;j
QU-MER;adiincj992;p0p100;2021;2969.6;992;j
QU-MER;adiincj992;p0p50;2018;725.8;992;j
QU-MER;adiincj992;p0p50;2019;746.7;992;j
QU-MER;adiincj992;p0p50;2020;701.7;992;j
QU-MER;adiincj992;p0p50;2021;768.5;992;j
QU-MER;adiincj992;p10p100;2018;3187.8;992;j
QU-MER;adiincj992;p10p100;2019;3186.1;992;j
QU-MER;adiincj992;p10p100;2020;3062;992;j
QU-MER;adiincj992;p10p100;2021;3278.6;992;j
QU-MER;adiincj992;p10p11;2018;363.9;992;j
QU-MER;adiincj992;p10p11;2019;377.9;992;j
QU-MER;adiincj992;p10p11;2020;348;992;j
QU-MER;adiincj992;p10p11;2021;390.3;992;j
QU-MER;adiincj992;p11p100;2018;3219.5;992;j
QU-MER;adiincj992;p11p100;2019;3217.6;992;j
QU-MER;adiincj992;p11p100;2020;3092.5;992;j
QU-MER;adiincj992;p11p100;2021;3311;992;j
QU-MER;adiincj992;p11p12;2018;407.8;992;j
QU-MER;adiincj992;p11p12;2019;414;992;j
QU-MER;adiincj992;p11p12;2020;389.9;992;j
QU-MER;adiincj992;p11p12;2021;433;992;j
QU-MER;adiincj992;p12p100;2018;3251.5;992;j
QU-MER;adiincj992;p12p100;2019;3249.5;992;j
QU-MER;adiincj992;p12p100;2020;3123.2;992;j
QU-MER;adiincj992;p12p100;2021;3343.8;992;j
QU-MER;adiincj992;p12p13;2018;450.5;992;j
QU-MER;adiincj992;p12p13;2019;460.1;992;j
QU-MER;adiincj992;p12p13;2020;428.3;992;j
QU-MER;adiincj992;p12p13;2021;480.2;992;j
QU-MER;adiincj992;p13p100;2018;3283.7;992;j
QU-MER;adiincj992;p13p100;2019;3281.6;992;j
QU-MER;adiincj992;p13p100;2020;3154.2;992;j
QU-MER;adiincj992;p13p100;2021;3376.7;992;j
QU-MER;adiincj992;p13p14;2018;491.2;992;j
QU-MER;adiincj992;p13p14;2019;503.9;992;j
QU-MER;adiincj992;p13p14;2020;471.8;992;j
QU-MER;adiincj992;p13p14;2021;525.6;992;j
QU-MER;adiincj992;p14p100;2018;3316.2;992;j
QU-MER;adiincj992;p14p100;2019;3313.9;992;j
QU-MER;adiincj992;p14p100;2020;3185.4;992;j
QU-MER;adiincj992;p14p100;2021;3409.8;992;j
QU-MER;adiincj992;p14p15;2018;534.5;992;j
QU-MER;adiincj992;p14p15;2019;546;992;j
QU-MER;adiincj992;p14p15;2020;513.3;992;j
QU-MER;adiincj992;p14p15;2021;568.9;992;j
QU-MER;adiincj992;p15p100;2018;3348.9;992;j
QU-MER;adiincj992;p15p100;2019;3346.4;992;j
QU-MER;adiincj992;p15p100;2020;3216.8;992;j
QU-MER;adiincj992;p15p100;2021;3443.2;992;j
QU-MER;adiincj992;p15p16;2018;575.5;992;j
QU-MER;adiincj992;p15p16;2019;592.5;992;j
QU-MER;adiincj992;p15p16;2020;554.3;992;j
QU-MER;adiincj992;p15p16;2021;616;992;j
QU-MER;adiincj992;p16p100;2018;3381.9;992;j
QU-MER;adiincj992;p16p100;2019;3379.2;992;j
QU-MER;adiincj992;p16p100;2020;3248.5;992;j
QU-MER;adiincj992;p16p100;2021;3476.9;992;j
QU-MER;adiincj992;p16p17;2018;617.6;992;j
QU-MER;adiincj992;p16p17;2019;636.7;992;j
QU-MER;adiincj992;p16p17;2020;596;992;j
QU-MER;adiincj992;p16p17;2021;662.4;992;j
QU-MER;adiincj992;p17p100;2018;3415.2;992;j
QU-MER;adiincj992;p17p100;2019;3412.3;992;j
QU-MER;adiincj992;p17p100;2020;3280.5;992;j
QU-MER;adiincj992;p17p100;2021;3510.8;992;j
QU-MER;adiincj992;p17p18;2018;659.5;992;j
QU-MER;adiincj992;p17p18;2019;679.4;992;j
QU-MER;adiincj992;p17p18;2020;638;992;j
QU-MER;adiincj992;p17p18;2021;705.7;992;j
QU-MER;adiincj992;p18p100;2018;3448.8;992;j
QU-MER;adiincj992;p18p100;2019;3445.6;992;j
QU-MER;adiincj992;p18p100;2020;3312.7;992;j
QU-MER;adiincj992;p18p100;2021;3545;992;j
QU-MER;adiincj992;p18p19;2018;702;992;j
QU-MER;adiincj992;p18p19;2019;720.7;992;j
QU-MER;adiincj992;p18p19;2020;672.9;992;j
QU-MER;adiincj992;p18p19;2021;741.4;992;j
QU-MER;adiincj992;p19p100;2018;3482.7;992;j
QU-MER;adiincj992;p19p100;2019;3479.2;992;j
QU-MER;adiincj992;p19p100;2020;3345.3;992;j
QU-MER;adiincj992;p19p100;2021;3579.6;992;j
QU-MER;adiincj992;p19p20;2018;713.7;992;j
QU-MER;adiincj992;p19p20;2019;731.9;992;j
QU-MER;adiincj992;p19p20;2020;683.4;992;j
QU-MER;adiincj992;p19p20;2021;756.1;992;j
QU-MER;adiincj992;p1p100;2018;2914.8;992;j
QU-MER;adiincj992;p1p100;2019;2914.2;992;j
QU-MER;adiincj992;p1p100;2020;2800.3;992;j
QU-MER;adiincj992;p1p100;2021;2998.6;992;j
QU-MER;adiincj992;p1p2;2018;107.8;992;j
QU-MER;adiincj992;p1p2;2019;131.3;992;j
QU-MER;adiincj992;p1p2;2020;122.6;992;j
QU-MER;adiincj992;p1p2;2021;136.8;992;j
QU-MER;adiincj992;p20p100;2018;3517.3;992;j
QU-MER;adiincj992;p20p100;2019;3513.6;992;j
QU-MER;adiincj992;p20p100;2020;3378.6;992;j
QU-MER;adiincj992;p20p100;2021;3614.9;992;j
QU-MER;adiincj992;p20p21;2018;727.8;992;j
QU-MER;adiincj992;p20p21;2019;746.3;992;j
QU-MER;adiincj992;p20p21;2020;696.8;992;j
QU-MER;adiincj992;p20p21;2021;770.2;992;j
QU-MER;adiincj992;p21p100;2018;3552.6;992;j
QU-MER;adiincj992;p21p100;2019;3548.6;992;j
QU-MER;adiincj992;p21p100;2020;3412.5;992;j
QU-MER;adiincj992;p21p100;2021;3650.9;992;j
QU-MER;adiincj992;p21p22;2018;742.6;992;j
QU-MER;adiincj992;p21p22;2019;761;992;j
QU-MER;adiincj992;p21p22;2020;717.3;992;j
QU-MER;adiincj992;p21p22;2021;792.3;992;j
QU-MER;adiincj992;p22p100;2018;3588.7;992;j
QU-MER;adiincj992;p22p100;2019;3584.3;992;j
QU-MER;adiincj992;p22p100;2020;3447.1;992;j
QU-MER;adiincj992;p22p100;2021;3687.6;992;j
QU-MER;adiincj992;p22p23;2018;763;992;j
QU-MER;adiincj992;p22p23;2019;782.4;992;j
QU-MER;adiincj992;p22p23;2020;736.6;992;j
QU-MER;adiincj992;p22p23;2021;807.4;992;j
QU-MER;adiincj992;p23p100;2018;3625.4;992;j
QU-MER;adiincj992;p23p100;2019;3620.7;992;j
QU-MER;adiincj992;p23p100;2020;3482.3;992;j
QU-MER;adiincj992;p23p100;2021;3725;992;j
QU-MER;adiincj992;p23p24;2018;783.4;992;j
QU-MER;adiincj992;p23p24;2019;801.8;992;j
QU-MER;adiincj992;p23p24;2020;750.3;992;j
QU-MER;adiincj992;p23p24;2021;821.7;992;j
QU-MER;adiincj992;p24p100;2018;3662.8;992;j
QU-MER;adiincj992;p24p100;2019;3657.8;992;j
QU-MER;adiincj992;p24p100;2020;3518.2;992;j
QU-MER;adiincj992;p24p100;2021;3763.2;992;j
QU-MER;adiincj992;p24p25;2018;795.2;992;j
QU-MER;adiincj992;p24p25;2019;814.6;992;j
QU-MER;adiincj992;p24p25;2020;761.2;992;j
QU-MER;adiincj992;p24p25;2021;835.8;992;j
QU-MER;adiincj992;p25p100;2018;3701;992;j
